,Date,Open,High,Low,Close,Volume
0,2000-01-03,27.4375,27.4375,26.75,26.875,152400
1,2000-01-04,26.875,26.875,26.0625,26.5,117400
2,2000-01-05,26.5625,27.0625,26.375,27.0,123300
3,2000-01-06,26.875,27.6875,26.875,27.5625,301700
4,2000-01-07,27.5625,28.0,27.5625,27.9375,200600
5,2000-01-10,28.0,28.375,28.0,28.1875,269000
6,2000-01-11,28.1875,28.4375,28.1875,28.25,266100
7,2000-01-12,28.25,28.25,27.75,27.75,89000
8,2000-01-13,27.75,28.0625,27.625,27.625,163400
9,2000-01-14,27.6875,28.0625,27.5,27.625,135700
10,2000-01-18,27.75,27.9375,27.3125,27.8125,132400
11,2000-01-19,27.9375,28.375,27.875,27.875,82100
12,2000-01-20,27.9375,28.0,27.5,27.6875,98900
13,2000-01-21,27.5625,27.75,27.3125,27.375,109200
14,2000-01-24,27.25,27.5,27.0625,27.125,107900
15,2000-01-25,27.75,27.75,27.0,27.25,128200
16,2000-01-26,27.375,27.5,27.0,27.125,180400
17,2000-01-27,27.0,27.5625,27.0,27.3125,131900
18,2000-01-28,27.3125,27.3125,26.9375,27.125,102000
19,2000-01-31,27.25,27.4375,26.875,27.0,71700
20,2000-02-01,27.0,27.1875,26.875,27.0,119700
21,2000-02-02,27.0,27.125,26.75,27.125,193700
22,2000-02-03,27.25,27.4375,27.0,27.25,76100
23,2000-02-04,27.25,27.625,27.0625,27.0625,61900
24,2000-02-07,26.75,27.25,26.75,27.25,53400
25,2000-02-08,27.5,27.5625,26.5625,26.9375,52000
26,2000-02-09,27.0,27.125,26.8125,26.9375,57000
27,2000-02-10,26.875,27.1875,26.8125,27.0625,157500
28,2000-02-11,27.0625,27.125,26.875,26.875,99700
29,2000-02-14,26.875,26.875,26.125,26.25,120000
30,2000-02-15,26.5,26.75,25.625,25.8125,102600
31,2000-02-16,25.6875,26.0625,25.6875,25.9375,102500
32,2000-02-17,25.9375,26.25,25.75,26.25,75800
33,2000-02-18,25.9375,26.0,25.75,25.875,54100
34,2000-02-22,25.8125,26.5,25.8125,26.25,261300
35,2000-02-23,26.4375,26.4375,26.0625,26.1875,45900
36,2000-02-24,26.5,26.75,26.0,26.125,68200
37,2000-02-25,26.0625,26.5,26.0,26.0625,59100
38,2000-02-28,26.1875,26.1875,25.75,25.9375,147400
39,2000-02-29,25.9375,26.25,25.875,26.0,207200
40,2000-03-01,26.0,26.125,25.875,26.0,80600
41,2000-03-02,25.875,26.125,25.75,26.0625,114400
42,2000-03-03,26.3125,26.9375,26.3125,26.75,78400
43,2000-03-06,26.8125,26.875,26.4375,26.875,70500
44,2000-03-07,26.8125,26.8125,25.875,25.875,71300
45,2000-03-08,26.25,26.5,26.125,26.375,92500
46,2000-03-09,26.5625,26.75,26.3125,26.625,38200
47,2000-03-10,26.625,26.8125,26.0,26.0,82300
48,2000-03-13,26.1875,27.1875,26.0,27.0,239700
49,2000-03-14,27.125,27.375,26.5625,26.5625,325300
50,2000-03-15,26.5,26.8125,25.875,26.8125,367200
51,2000-03-16,26.75,27.5,26.625,26.9375,165400
52,2000-03-17,26.6875,27.9375,26.5625,27.9375,195400
53,2000-03-20,28.125,28.125,27.625,28.0625,333400
54,2000-03-21,27.875,27.9375,27.4375,27.9375,42400
55,2000-03-22,27.9375,27.9375,27.6875,27.875,73800
56,2000-03-23,27.875,27.875,27.125,27.25,289000
57,2000-03-24,27.375,27.375,27.0,27.0625,209100
58,2000-03-27,27.1875,27.25,27.0625,27.1875,483500
59,2000-03-28,27.0,27.5,27.0,27.25,70400
60,2000-03-29,26.875,27.0625,26.75,26.875,92900
61,2000-03-30,26.625,27.3125,26.625,27.0,114500
62,2000-03-31,27.1875,27.3125,26.9375,27.25,176300
63,2000-04-03,27.25,27.3125,26.90625,26.9375,200800
64,2000-04-04,26.875,26.9375,26.1875,26.9375,99900
65,2000-04-05,26.5,27.0,26.375,27.0,108300
66,2000-04-06,27.0,27.75,26.8125,27.125,105300
67,2000-04-07,27.375,27.375,26.5625,26.9375,83300
68,2000-04-10,27.125,27.375,26.8125,27.0,407900
69,2000-04-11,27.0,27.1875,26.8125,27.125,359400
70,2000-04-12,27.25,27.6875,27.125,27.375,200600
71,2000-04-13,27.25,27.75,27.25,27.6875,144000
72,2000-04-14,27.6875,27.875,27.4375,27.625,200900
73,2000-04-17,27.3125,27.875,26.625,27.75,148400
