,Date,Open,High,Low,Close,Volume
0,2000-01-03,5.597796,5.597796,5.267218,5.37741,31763
1,2000-01-04,5.245179,5.37741,5.201102,5.294766,37151
2,2000-01-05,5.289256,5.509642,5.289256,5.509642,16448
3,2000-01-06,5.509642,5.509642,5.37741,5.443526,5955
4,2000-01-07,5.509642,5.641873,5.37741,5.641873,14463
5,2000-01-10,5.641873,5.641873,5.37741,5.421488,7941
6,2000-01-11,5.421488,5.553719,5.245179,5.245179,30061
7,2000-01-12,5.333333,5.465565,5.201102,5.421488,52465
8,2000-01-13,5.37741,5.487603,5.37741,5.487603,11060
9,2000-01-14,5.487603,5.597796,5.465565,5.597796,12195
10,2000-01-18,5.53168,5.53168,5.421488,5.465565,23822
11,2000-01-19,5.509642,5.641873,5.465565,5.641873,31479
12,2000-01-20,5.641873,5.68595,5.641873,5.641873,70615
13,2000-01-21,5.663912,5.730028,5.597796,5.597796,30345
14,2000-01-24,5.597796,5.663912,5.553719,5.553719,23822
15,2000-01-25,5.509642,5.575758,5.465565,5.465565,7657
16,2000-01-26,5.37741,5.37741,5.245179,5.289256,9075
17,2000-01-27,5.37741,5.421488,5.289256,5.289256,12762
18,2000-01-28,5.289256,5.289256,5.245179,5.245179,16448
19,2000-01-31,5.289256,5.289256,5.112948,5.201102,20135
20,2000-02-01,5.112948,5.157025,5.068871,5.068871,32613
21,2000-02-02,5.090909,5.090909,4.760331,4.892562,76287
22,2000-02-03,4.892562,5.289256,4.892562,5.289256,41688
23,2000-02-04,5.245179,5.641873,5.245179,5.553719,18434
24,2000-02-07,5.509642,5.641873,5.421488,5.421488,22971
25,2000-02-08,5.421488,5.443526,5.112948,5.157025,13896
26,2000-02-09,5.201102,5.37741,5.112948,5.112948,41972
27,2000-02-10,5.201102,5.245179,4.936639,4.980716,51614
28,2000-02-11,5.112948,5.157025,4.936639,4.980716,11627
29,2000-02-14,4.980716,5.112948,4.892562,4.892562,29210
30,2000-02-15,5.024793,5.134986,4.980716,5.112948,33180
31,2000-02-16,5.112948,5.112948,5.002755,5.002755,2269
32,2000-02-17,4.892562,4.936639,4.892562,4.892562,22688
33,2000-02-18,4.914601,4.936639,4.716253,4.738292,22120
34,2000-02-22,4.804408,4.936639,4.584022,4.584022,75436
35,2000-02-23,4.539945,4.936639,4.363636,4.936639,50763
36,2000-02-24,4.980716,4.980716,4.760331,4.804408,7373
37,2000-02-25,4.760331,4.848485,4.672176,4.848485,23538
38,2000-02-28,4.716253,4.826446,4.716253,4.826446,20419
39,2000-02-29,4.760331,4.760331,4.584022,4.672176,52465
40,2000-03-01,4.760331,4.760331,4.628099,4.716253,14180
41,2000-03-02,4.628099,4.716253,4.539945,4.584022,21270
42,2000-03-03,4.584022,4.848485,4.584022,4.826446,25240
43,2000-03-06,4.760331,4.826446,4.672176,4.826446,41405
44,2000-03-07,4.848485,4.848485,4.804408,4.804408,47644
45,2000-03-08,4.606061,4.760331,4.606061,4.628099,24389
46,2000-03-09,4.628099,4.694215,4.429752,4.539945,24956
47,2000-03-10,4.429752,4.539945,4.429752,4.495868,22404
48,2000-03-13,4.429752,4.584022,4.407713,4.584022,16732
49,2000-03-14,4.584022,4.914601,4.584022,4.914601,26941
50,2000-03-15,4.815427,4.914601,4.760331,4.892562,18717
51,2000-03-16,4.892562,5.157025,4.870523,5.068871,67495
52,2000-03-17,4.892562,5.024793,4.760331,4.936639,35449
53,2000-03-20,4.848485,4.848485,4.716253,4.716253,15314
