,Date,Open,High,Low,Close,Volume
0,2000-01-03,1.785156,1.800781,1.716797,1.759766,54070400
1,2000-01-04,1.703125,1.71875,1.664063,1.679688,38960000
2,2000-01-05,1.679688,1.683594,1.644531,1.666016,24038400
3,2000-01-06,1.65625,1.789063,1.65625,1.779297,35760000
4,2000-01-07,1.796875,2.101563,1.794922,2.050781,67779200
5,2000-01-10,2.058594,2.451172,2.050781,2.318359,61219200
6,2000-01-11,2.322266,2.324219,2.070313,2.106445,46502400
7,2000-01-12,2.136719,2.15625,2.035156,2.087891,21923200
8,2000-01-13,2.15625,2.207031,2.09375,2.203125,23811200
9,2000-01-14,2.217773,2.259277,2.125,2.152344,38908800
10,2000-01-18,2.148438,2.150391,1.964844,2.138672,38672000
11,2000-01-19,2.121094,2.121094,1.871094,1.964844,81686400
12,2000-01-20,2.044922,2.046875,1.835938,1.955078,39651200
13,2000-01-21,1.958984,2.021484,1.9375,1.949219,25081600
14,2000-01-24,2.001953,2.001953,1.730469,1.732422,51062400
15,2000-01-25,1.75,1.779297,1.640625,1.769531,38486400
16,2000-01-26,1.775391,1.775391,1.632813,1.686523,29126400
17,2000-01-27,1.708984,1.720703,1.546875,1.550781,23321600
18,2000-01-28,1.5625,1.597656,1.443359,1.530273,44937600
19,2000-01-31,1.537109,1.632813,1.402344,1.462891,23894400
20,2000-02-01,1.449219,1.523438,1.433594,1.443359,31091200
21,2000-02-02,1.457031,1.53125,1.417969,1.435547,40953600
22,2000-02-03,1.46875,1.472656,1.398438,1.40625,39974400
23,2000-02-04,1.4375,1.46875,1.410156,1.460938,34313600
24,2000-02-07,1.484375,1.748047,1.453125,1.697266,55174400
25,2000-02-08,1.732422,1.867188,1.671875,1.853516,42739200
26,2000-02-09,1.888672,1.90625,1.695313,1.716797,36944000
27,2000-02-10,1.754883,1.832031,1.671875,1.72998,31875200
28,2000-02-11,1.732422,1.769531,1.667969,1.748047,35638400
29,2000-02-14,1.754883,1.890625,1.753906,1.876953,34112000
30,2000-02-15,1.890625,2.0,1.859375,1.984375,52416000
31,2000-02-16,2.0,2.125,1.992188,2.0,65075200
32,2000-02-17,2.097656,2.371094,2.097656,2.328125,72723200
33,2000-02-18,2.28125,2.515625,2.208984,2.408203,75715200
34,2000-02-22,2.363281,2.390625,2.132813,2.34082,44249600
35,2000-02-23,2.388672,2.414063,2.3125,2.367188,25321600
36,2000-02-24,2.394531,2.433594,2.257813,2.292969,22582400
37,2000-02-25,2.375,2.390625,2.09375,2.260742,35862400
38,2000-02-28,2.208984,2.289063,2.152344,2.216797,28585600
39,2000-02-29,2.222656,2.398438,2.21875,2.390625,23766400
40,2000-03-01,2.369141,2.541016,2.369141,2.499023,36835200
41,2000-03-02,2.523438,2.5625,2.394531,2.4375,16652800
42,2000-03-03,2.46875,2.589844,2.4375,2.496094,16841600
43,2000-03-06,2.507813,2.640625,2.464844,2.574219,22163200
44,2000-03-07,2.613281,2.65625,2.289063,2.396484,19222400
45,2000-03-08,2.523926,2.53125,2.234375,2.310547,15993600
46,2000-03-09,2.34375,2.375,2.21875,2.238281,14304000
47,2000-03-10,2.28125,2.316406,2.167969,2.240234,18297600
48,2000-03-13,2.150391,2.214844,2.083984,2.117188,18227200
49,2000-03-14,2.154297,2.304688,2.0,2.121094,43184000
50,2000-03-15,2.144531,2.191406,1.996094,1.998047,23276800
51,2000-03-16,2.1875,2.193359,2.015625,2.066406,17696000
52,2000-03-17,2.023438,2.179688,1.9375,1.992188,18880000
53,2000-03-20,1.988281,2.15625,1.734375,1.794922,29299200
54,2000-03-21,1.792969,1.910156,1.664063,1.779297,48233600
55,2000-03-22,1.861328,2.015625,1.851563,2.001953,17088000
56,2000-03-23,2.109375,2.238281,2.0625,2.175781,43878400
57,2000-03-24,2.183594,2.273438,2.167969,2.199219,18467200
58,2000-03-27,2.248047,2.253906,2.117188,2.181641,17868800
59,2000-03-28,2.238281,2.335938,2.175781,2.201172,13974400
60,2000-03-29,2.25,2.34375,2.03125,2.082031,21843200
61,2000-03-30,2.025391,2.025391,1.84375,1.84375,29782400
62,2000-03-31,1.925781,2.007813,1.90625,1.980469,32233600
63,2000-04-03,1.921875,1.984375,1.875,1.876953,19635200
64,2000-04-04,1.898438,1.919922,1.714844,1.851563,23440000
65,2000-04-05,1.851563,2.03125,1.792969,1.945313,35942400
66,2000-04-06,2.052734,2.101563,1.953125,2.061035,28924800
67,2000-04-07,2.109375,2.109375,1.96875,1.978516,24265600
68,2000-04-10,1.992188,2.039063,1.921875,1.9375,15536000
69,2000-04-11,1.960938,1.966797,1.820313,1.953125,18240000
70,2000-04-12,1.917969,1.921875,1.753906,1.818359,20832000
71,2000-04-13,1.837891,1.941406,1.710938,1.902344,24284800
72,2000-04-14,1.904297,1.90625,1.710938,1.728516,18460800
73,2000-04-17,1.705078,1.71875,1.578125,1.589844,32432000
