,Date,Open,High,Low,Close,Volume
0,2000-01-03,43.041668,43.3125,39.604168,40.604168,4650300
1,2000-01-04,39.770832,39.833332,36.354168,36.666668,6012000
2,2000-01-05,36.666668,36.875,34.416668,35.833332,9397200
3,2000-01-06,35.583332,36.083332,34.8125,35.0,7239000
4,2000-01-07,35.333332,38.958332,35.291668,38.958332,11066100
5,2000-01-10,40.25,40.3125,38.708332,39.333332,5444400
6,2000-01-11,38.0,38.208332,35.708332,35.8125,5808300
7,2000-01-12,36.166668,36.208332,34.333332,34.583332,5897100
8,2000-01-13,35.0,39.166668,34.5,38.916668,8186100
9,2000-01-14,39.333332,39.416668,37.125,37.333332,5630100
10,2000-01-18,37.395832,43.041668,37.333332,41.833332,10886700
11,2000-01-19,41.895832,46.666668,41.541668,44.5625,13847700
12,2000-01-20,46.333332,52.625,46.166668,51.916668,18881700
13,2000-01-21,52.3125,54.416668,50.0,54.0,13561200
14,2000-01-24,54.0,58.5,51.333332,51.666668,13180200
15,2000-01-25,50.916668,51.666668,49.145832,50.416668,12115500
16,2000-01-26,51.0,53.25,50.833332,52.0,19947900
17,2000-01-27,52.916668,58.833332,52.8125,54.0,14714100
18,2000-01-28,53.833332,55.5,48.5,49.0,11951700
19,2000-01-31,49.020832,52.833332,48.25,51.416668,9003600
20,2000-02-01,50.0,50.583332,48.354168,49.083332,9310800
21,2000-02-02,49.125,49.979168,48.75,49.416668,7194900
22,2000-02-03,50.0,51.416668,48.416668,51.416668,9299700
23,2000-02-04,52.666668,55.958332,52.333332,54.958332,9867000
24,2000-02-07,54.875,55.208332,52.666668,55.208332,5970600
25,2000-02-08,56.0,56.75,53.416668,56.604168,6993900
26,2000-02-09,56.541668,56.5625,54.395832,55.0,4882500
27,2000-02-10,54.666668,59.916668,53.458332,57.166668,8509800
28,2000-02-11,57.291668,57.625,54.583332,55.25,4733700
29,2000-02-14,55.333332,60.166668,54.1875,60.0,12053100
30,2000-02-15,59.625,60.291668,58.166668,58.583332,10077300
31,2000-02-16,58.583332,59.75,57.770832,59.333332,6396000
32,2000-02-17,59.75,64.166664,59.541668,63.6875,10393800
33,2000-02-18,63.6875,64.979164,63.333332,64.4375,8012700
34,2000-02-22,65.333336,66.020836,61.458332,63.333332,7691400
35,2000-02-23,63.666668,63.75,62.125,62.75,7914900
36,2000-02-24,63.208332,64.75,62.25,64.083336,5943300
37,2000-02-25,64.416664,64.5,61.5,62.604168,4480800
38,2000-02-28,62.375,62.541668,56.166668,59.916668,10691100
39,2000-02-29,60.5,62.833332,60.291668,62.666668,8165700
40,2000-03-01,63.333332,67.666664,63.3125,67.666664,9393600
41,2000-03-02,66.666664,69.083336,64.0,68.625,8546400
42,2000-03-03,68.958336,69.3125,66.708336,68.416664,8631600
43,2000-03-06,69.083336,70.8125,67.291664,69.875,7219800
44,2000-03-07,71.333336,72.291664,64.833336,65.666664,9945900
45,2000-03-08,66.958336,68.041664,60.75,62.958332,11710500
46,2000-03-09,63.875,66.291664,61.479168,63.755207,8166900
47,2000-03-10,65.25,67.0,62.333332,63.833332,6098400
48,2000-03-13,61.0,62.520832,60.333332,61.520832,7131600
49,2000-03-14,62.0,62.625,59.0,59.5,7701000
50,2000-03-15,58.75,58.770832,56.0,56.75,11393400
51,2000-03-16,60.333332,60.333332,55.666668,58.125,14791500
52,2000-03-17,59.916668,65.166664,59.354168,63.125,14571000
53,2000-03-20,64.0,66.625,63.208332,65.666664,8073000
54,2000-03-21,65.083336,65.3125,62.625,64.0,7923300
55,2000-03-22,66.25,68.166664,65.333336,68.0,10652700
56,2000-03-23,68.166664,75.333336,67.666664,73.3125,12723900
57,2000-03-24,73.333336,75.479164,70.5,71.458336,6896100
58,2000-03-27,71.4375,71.479164,69.25,69.666664,5853900
59,2000-03-28,69.604164,69.604164,68.0,68.270836,6826500
60,2000-03-29,68.270836,68.625,64.0,65.833336,8520000
61,2000-03-30,64.5,66.041664,60.020832,62.666668,9981000
62,2000-03-31,62.666668,65.729164,60.020832,64.666664,9521700
63,2000-04-03,65.333336,65.333336,59.979168,60.3125,8222100
64,2000-04-04,61.166668,61.666668,47.0,56.0,20235300
65,2000-04-05,54.666668,58.166668,52.666668,55.333332,14773800
66,2000-04-06,55.75,58.625,55.5,58.541668,8310300
67,2000-04-07,59.333332,66.0,59.333332,65.333336,8077200
68,2000-04-10,65.1875,65.416664,62.666668,63.0625,7559400
69,2000-04-11,59.333332,60.083332,55.0,56.75,11293200
70,2000-04-12,56.25,56.75,50.666668,51.333332,14435400
71,2000-04-13,51.083332,56.25,49.416668,51.005207,14305500
72,2000-04-14,49.5,52.333332,44.333332,48.0,16483500
73,2000-04-17,47.083332,50.666668,42.833332,49.5,17205000
74,2000-04-18,49.333332,53.666668,48.375,52.416668,12952800
75,2000-04-19,53.5,54.625,51.333332,53.333332,9607500
76,2000-04-20,53.333332,53.5,50.5,50.708332,6183300
77,2000-04-24,49.333332,51.541668,48.8125,50.333332,6937800
78,2000-04-25,56.0,60.0,55.833332,59.0,14083200
79,2000-04-26,60.0,61.75,59.666668,60.25,8816700
80,2000-04-27,59.666668,65.0,58.8125,63.3125,9407700
81,2000-04-28,64.916664,67.0,64.229164,65.833336,7642200
82,2000-05-01,65.333336,66.916664,65.333336,66.5,5603400
83,2000-05-02,66.0,66.583336,63.666668,63.9375,6157500
84,2000-05-03,63.979168,64.25,58.0,60.333332,10080000
85,2000-05-04,60.0,61.3125,59.166668,60.541668,5294700
86,2000-05-05,60.833332,63.604168,60.208332,63.020832,5195100
87,2000-05-08,62.166668,62.270832,61.0,61.125,4237800
88,2000-05-09,61.791668,62.0,58.75,59.416668,4848300
89,2000-05-10,58.333332,58.5,54.729168,57.583332,8834100
90,2000-05-11,57.833332,61.75,56.354168,60.5,7548600
91,2000-05-12,60.833332,64.979164,60.833332,62.572918,7761300
92,2000-05-15,62.0,62.25,59.75,59.75,5015100
93,2000-05-16,60.166668,65.083336,60.166668,64.583336,11115000
94,2000-05-17,63.333332,66.645836,62.75,65.166664,7578300
95,2000-05-18,65.833336,66.5,63.75,65.4375,5811900
96,2000-05-19,62.916668,63.708332,60.0,60.8125,5823600
97,2000-05-22,60.854168,61.166668,56.583332,59.0,8140200
98,2000-05-23,58.0,58.666668,54.666668,54.666668,6895800
99,2000-05-24,54.833332,57.291668,52.416668,56.666668,9766200
100,2000-05-25,58.0,59.125,57.0,57.666668,6900600
101,2000-05-26,57.666668,58.75,55.291668,56.0,3710100
102,2000-05-30,59.0,62.395832,58.520832,61.666668,6134400
103,2000-05-31,61.083332,65.0,60.854168,64.333336,9127200
104,2000-06-01,64.5,65.5,63.75,64.833336,6170700
105,2000-06-02,66.625,70.145836,66.625,69.625,11026200
106,2000-06-05,68.5,71.791664,68.375,70.333336,7671000
107,2000-06-06,70.770836,73.979164,70.25,72.416664,9321900
108,2000-06-07,71.833336,72.75,69.333336,70.416664,8747700
109,2000-06-08,70.916664,72.645836,69.583336,71.0,5811900
110,2000-06-09,71.5,72.333336,70.166664,70.666664,3668400
111,2000-06-12,76.625,78.3125,74.333336,77.666664,13750800
112,2000-06-13,76.541664,83.0,75.0,83.0,13085100
113,2000-06-14,80.583336,81.875,77.5,79.0,9735000
114,2000-06-15,79.291664,83.3125,78.541664,83.25,9311100
115,2000-06-16,82.041664,82.75,80.541664,82.0,6708900
116,2000-06-19,81.6875,85.729164,81.0,84.416664,6840600
117,2000-06-20,82.833336,83.333336,80.0,81.104164,9042600
118,2000-06-21,80.625,82.833336,80.416664,81.416664,6380100
119,2000-06-22,80.791664,82.125,80.0,80.0,5391000
120,2000-06-23,80.625,82.833336,79.75,80.0,5578500
121,2000-06-26,81.666664,87.979164,81.166664,86.729164,7898700
122,2000-06-27,85.333336,86.541664,83.25,84.416664,6786600
123,2000-06-28,84.333336,89.791664,83.666664,88.239586,8032500
124,2000-06-29,88.1875,90.333336,86.25,88.0,8527500
125,2000-06-30,88.833336,89.973961,85.666664,88.0,6548100
126,2000-07-03,89.5,91.666664,88.5,91.166664,2525400
127,2000-07-05,91.166664,92.625,84.125,85.875,8581500
128,2000-07-06,85.25,85.583336,79.333336,82.666664,11861400
129,2000-07-07,83.166664,86.645836,82.395836,85.5625,7928700
130,2000-07-10,85.645836,87.479164,80.583336,82.75,11262300
131,2000-07-11,81.333336,84.5,81.0,83.5,7456800
132,2000-07-12,84.0,85.625,83.333336,84.666664,6085500
133,2000-07-13,85.5,89.0,85.291664,86.333336,5261700
134,2000-07-14,87.25,89.541664,87.083336,89.0,5194500
135,2000-07-17,92.666664,94.3125,91.666664,91.75,11579100
136,2000-07-18,92.916664,94.333336,91.375,91.395836,6552000
137,2000-07-19,91.875,92.666664,88.375,89.770836,4942800
138,2000-07-20,90.770836,92.5,90.666664,91.875,5468400
139,2000-07-21,93.333336,95.333336,91.6875,94.416664,5766000
140,2000-07-24,89.666664,91.166664,81.645836,83.333336,20666100
141,2000-07-25,84.666664,86.916664,84.333336,86.333336,10649700
142,2000-07-26,86.333336,90.166664,85.333336,86.041664,9921900
143,2000-07-27,89.333336,91.666664,82.25,82.916664,11722800
144,2000-07-28,83.416664,84.333336,75.5,77.583336,18792900
145,2000-07-31,77.666664,78.583336,74.354164,78.333336,11489700
146,2000-08-01,78.666664,79.833336,77.145836,77.895836,7421400
147,2000-08-02,78.0,81.333336,76.0,79.9375,8317200
148,2000-08-03,79.666664,82.833336,76.833336,82.75,11584200
149,2000-08-04,85.0,89.0,85.0,89.0,9312600
150,2000-08-07,88.208336,94.75,87.416664,91.5,11078100
151,2000-08-08,91.333336,95.541664,90.125,95.5,9816900
152,2000-08-09,95.416664,96.645836,90.708336,91.958336,10502700
153,2000-08-10,91.333336,93.25,90.083336,90.875,5616600
154,2000-08-11,90.875,93.25,89.645836,91.666664,5311800
155,2000-08-14,91.6875,95.208336,91.354164,93.708336,6047400
156,2000-08-15,93.666664,94.875,91.6875,91.833336,5703600
157,2000-08-16,93.0,98.333336,92.166664,96.666664,4386300
158,2000-08-17,94.708336,97.833336,93.333336,97.0,9295500
159,2000-08-18,97.666664,100.0,96.916664,99.979164,7982100
160,2000-08-21,99.666664,101.0,98.541664,99.916664,6242700
161,2000-08-22,99.666664,101.5,98.666664,100.166664,5641200
162,2000-08-23,99.333336,100.3125,97.333336,98.75,4729200
163,2000-08-24,99.416664,100.583336,97.916664,100.0625,4778100
164,2000-08-25,100.0625,101.041664,99.479164,100.5,3453900
165,2000-08-28,101.333336,105.5,101.208336,103.833336,6175800
166,2000-08-29,103.916664,104.791664,102.0,103.208336,5264100
167,2000-08-30,105.833336,113.333336,105.791664,110.0,12887400
168,2000-08-31,109.0,110.0,108.166664,109.333336,7785900
169,2000-09-01,109.625,113.333336,108.666664,113.333336,6995700
170,2000-09-05,113.0,113.0,108.208336,109.333336,10365300
171,2000-09-06,108.583336,108.666664,104.0,104.020836,8859600
172,2000-09-07,104.333336,107.395836,104.333336,106.416664,9845400
173,2000-09-08,104.166664,104.958336,100.1875,101.625,8593200
174,2000-09-11,101.666664,104.916664,97.270836,98.666664,12076500
175,2000-09-12,99.666664,101.0,93.166664,96.0,14834400
176,2000-09-13,95.0,98.0,93.333336,95.333336,17530500
177,2000-09-14,97.583336,101.666664,97.583336,101.0,11851500
178,2000-09-15,100.5,103.166664,96.833336,99.5,11082600
179,2000-09-18,100.0,101.5,95.208336,96.833336,11286600
180,2000-09-19,98.0,102.791664,97.166664,102.666664,9549300
181,2000-09-20,102.25,105.5,99.666664,105.166664,11786700
182,2000-09-21,104.333336,106.333336,96.333336,97.333336,11106000
183,2000-09-22,100.333336,106.625,99.333336,106.625,15160500
184,2000-09-25,106.333336,112.666664,106.0,107.333336,13462500
185,2000-09-26,109.0,111.583336,106.0,108.333336,12964800
186,2000-09-27,107.625,109.333336,100.333336,103.333336,19000500
187,2000-09-28,101.479164,104.270836,98.0,100.333336,13338000
188,2000-09-29,102.0,104.833336,98.666664,99.333336,10038000
189,2000-10-02,100.666664,102.625,97.0,98.25,10347000
190,2000-10-03,98.25,100.666664,95.125,96.666664,15051300
191,2000-10-04,94.5,100.375,90.0625,97.375,9852100
192,2000-10-05,97.0,101.75,95.0,96.9375,5893300
193,2000-10-06,96.0,96.5625,86.625,90.4375,10503800
194,2000-10-09,90.375,95.0,84.5,93.0,6280000
195,2000-10-10,90.0,92.5,81.984375,85.0,8612400
196,2000-10-11,82.375,89.5,80.25,83.125,12161800
197,2000-10-12,88.75,95.0,83.0,86.0,16115900
198,2000-10-13,84.5,94.0,83.625,92.875,8328900
199,2000-10-16,94.0625,102.4375,91.5625,98.3125,10549700
200,2000-10-17,102.0,102.0,95.125,97.0,9109600
201,2000-10-18,97.0625,100.4375,88.0,89.375,12701400
202,2000-10-19,93.875,97.4375,92.5,95.1875,8038400
203,2000-10-20,96.5,107.0,96.5,105.9375,11369900
204,2000-10-23,102.75,104.75,97.0,101.4375,11961600
205,2000-10-24,101.125,101.5,91.0,93.5,11191500
206,2000-10-25,81.125,82.5,74.0,76.875,38029900
207,2000-10-26,77.0,78.25,60.0,70.0,37234600
208,2000-10-27,77.5,79.75,71.0,76.0,19728000
209,2000-10-30,74.0,74.75,70.0,71.0,11007000
210,2000-10-31,71.0,77.75,70.8125,76.5,10567300
211,2000-11-01,74.0,77.5,71.625,73.625,12168100
212,2000-11-02,74.9375,76.25,71.125,71.25,14855800
213,2000-11-03,71.5,75.5,70.625,73.125,25205200
214,2000-11-06,74.0,74.5625,69.5,70.5,13630000
215,2000-11-07,68.5,70.875,67.1875,68.625,13302900
216,2000-11-08,68.6875,68.875,61.5,61.5,19014300
217,2000-11-09,60.0,65.5,59.375,64.0,15829500
218,2000-11-10,63.0,64.125,60.125,60.125,10785200
219,2000-11-13,58.9375,63.0,56.5,59.0,16525800
220,2000-11-14,60.0,66.875,60.0,66.5,14393400
221,2000-11-15,66.4375,69.75,65.625,67.75,10798000
222,2000-11-16,66.75,66.8125,63.125,63.8125,6975800
223,2000-11-17,63.8125,65.0,60.75,62.125,9633400
224,2000-11-20,60.0,62.125,58.5625,59.3125,9468000
225,2000-11-21,59.4375,65.6875,58.625,64.5625,11899900
226,2000-11-22,63.375,66.625,62.125,63.25,7504100
227,2000-11-24,64.9375,67.5,63.6875,67.5,2865100
228,2000-11-27,69.5,70.4375,63.25,64.3125,8930000
229,2000-11-28,64.375,66.0,61.0,61.0,8237000
230,2000-11-29,62.25,63.6875,58.3125,62.25,11051200
231,2000-11-30,59.125,61.0,56.125,58.5,14695200
232,2000-12-01,59.5,63.5625,59.1875,60.9375,11691100
233,2000-12-04,60.8125,64.0625,59.4375,61.5,7879600
234,2000-12-05,64.25,69.5,63.5625,69.125,12010300
235,2000-12-06,69.0,73.5,68.0,69.75,12265500
236,2000-12-07,68.5625,71.9375,67.1875,71.5625,7853400
237,2000-12-08,75.0,78.0,74.0625,76.5,11212200
238,2000-12-11,77.5,79.75,76.1875,79.75,10858600
239,2000-12-12,78.0,79.4375,74.0,74.9375,7576900
240,2000-12-13,77.0,77.6875,70.5,72.5,8724200
241,2000-12-14,75.0,76.4375,68.5,70.0,13479500
242,2000-12-15,69.75,70.4375,65.5,70.0,14366900
243,2000-12-18,71.625,73.0,63.25,64.5,11176600
244,2000-12-19,65.75,68.5625,61.5,62.3125,9852100
