,Date,Open,High,Low,Close,Volume
0,2000-01-03,11.25,11.5,10.9375,11.0625,140600
1,2000-01-04,11.0,11.0625,10.5,10.53125,135600
2,2000-01-05,10.5,10.6875,10.375,10.53125,200200
3,2000-01-06,10.53125,10.59375,10.375,10.53125,161400
4,2000-01-07,10.578125,11.59375,10.53125,11.59375,239200
5,2000-01-10,11.625,12.125,11.5625,12.03125,276400
6,2000-01-11,11.90625,12.0,11.8125,11.875,252400
7,2000-01-12,11.875,12.0,11.84375,11.875,286600
8,2000-01-13,11.84375,12.0625,11.84375,12.0625,377600
9,2000-01-14,12.0,12.125,11.9375,12.0625,224400
10,2000-01-18,12.03125,12.09375,11.96875,12.0,230200
11,2000-01-19,12.03125,12.46875,11.96875,12.0625,263600
12,2000-01-20,12.03125,12.6875,12.03125,12.3125,531400
13,2000-01-21,12.296875,12.5,12.0,12.1875,360000
14,2000-01-24,12.125,12.1875,11.78125,11.96875,197600
15,2000-01-25,12.0,12.0,11.9375,11.96875,199600
16,2000-01-26,12.0,13.0,12.0,12.8125,405200
17,2000-01-27,12.828125,13.125,12.625,12.65625,145200
18,2000-01-28,12.65625,13.09375,12.25,12.28125,320600
19,2000-01-31,12.265625,12.53125,12.25,12.375,108200
20,2000-02-01,12.25,12.5,12.25,12.3125,84600
21,2000-02-02,12.875,13.0,12.3125,12.4375,680600
22,2000-02-03,12.4375,12.9375,12.375,12.9375,267200
23,2000-02-04,12.75,12.9375,12.5,12.9375,246800
24,2000-02-07,13.09375,13.71875,12.875,13.28125,1454000
25,2000-02-08,13.8125,14.0,13.5625,13.8125,1119200
26,2000-02-09,13.8125,14.75,13.78125,14.5,613200
27,2000-02-10,14.375,14.53125,13.6875,14.53125,433200
28,2000-02-11,14.5625,14.65625,14.375,14.625,202600
29,2000-02-14,14.640625,14.71875,14.5625,14.6875,218600
30,2000-02-15,14.6875,15.09375,14.625,15.0625,313400
31,2000-02-16,15.0625,15.0625,14.59375,15.0625,317400
32,2000-02-17,15.0625,15.125,14.875,15.09375,234000
33,2000-02-18,15.0,15.125,14.9375,15.0625,260800
34,2000-02-22,14.859375,15.125,14.75,15.0,333800
35,2000-02-23,14.9375,15.1875,14.875,15.0625,99800
36,2000-02-24,14.9375,15.4375,14.9375,15.3125,524200
37,2000-02-25,15.4375,17.625,15.21875,16.59375,968200
38,2000-02-28,16.59375,18.40625,16.46875,17.34375,341800
39,2000-02-29,17.375,18.75,17.3125,18.375,368600
40,2000-03-01,18.34375,18.875,18.0625,18.5625,490400
41,2000-03-02,18.5,18.625,16.875,17.125,383800
42,2000-03-03,17.15625,17.15625,15.875,16.1875,485000
43,2000-03-06,16.28125,16.28125,13.25,13.8125,3301000
44,2000-03-07,13.96875,14.09375,13.84375,13.90625,1295400
45,2000-03-08,13.96875,13.96875,12.75,13.6875,1278200
46,2000-03-09,13.8125,13.9375,13.625,13.71875,549000
47,2000-03-10,13.75,13.78125,13.46875,13.71875,805000
48,2000-03-13,13.5625,14.0,13.5,13.6875,871400
49,2000-03-14,13.5625,14.5,13.5,14.40625,843000
50,2000-03-15,14.40625,14.625,14.125,14.46875,580800
51,2000-03-16,14.25,14.40625,12.875,13.5625,2226400
52,2000-03-17,13.5,13.5625,13.375,13.53125,310200
53,2000-03-20,13.5625,13.6875,12.875,13.03125,443400
54,2000-03-21,12.9375,13.125,12.4375,13.03125,626000
55,2000-03-22,13.125,13.25,12.53125,12.59375,5277400
56,2000-03-23,13.0625,13.0625,12.5625,12.59375,463800
57,2000-03-24,12.75,12.75,12.03125,12.125,711000
58,2000-03-27,12.484375,12.5,12.0625,12.28125,347000
