,Date,Open,High,Low,Close,Volume
0,2000-01-03,23.125,23.125,22.25,22.4375,124200
1,2000-01-04,22.5,22.5,21.75,22.375,131500
2,2000-01-05,22.125,22.3125,21.75,21.75,192400
3,2000-01-06,22.125,23.0625,21.9375,23.0625,335400
4,2000-01-07,23.1875,23.1875,22.9375,23.0625,162000
5,2000-01-10,23.25,23.5625,23.125,23.5,189300
6,2000-01-11,23.4375,23.625,23.3125,23.3125,247100
7,2000-01-12,23.375,23.375,23.0,23.0625,147500
8,2000-01-13,22.9375,23.3125,22.9375,23.1875,49900
9,2000-01-14,23.125,23.625,23.125,23.625,158000
10,2000-01-18,23.125,23.625,23.125,23.4375,132300
11,2000-01-19,23.6875,23.8125,23.125,23.25,105600
12,2000-01-20,23.375,23.4375,23.1875,23.1875,50900
13,2000-01-21,23.125,23.25,22.875,23.1875,78000
14,2000-01-24,22.9375,23.9375,22.9375,23.25,278400
15,2000-01-25,23.375,23.625,23.25,23.4375,253300
16,2000-01-26,23.3125,23.5,22.625,22.875,235200
17,2000-01-27,23.125,23.1875,22.875,23.0625,106800
18,2000-01-28,23.0625,23.0625,22.8125,23.0,61900
19,2000-01-31,22.75,23.1875,22.6875,22.75,81200
20,2000-02-01,22.875,22.875,22.5,22.6875,102500
21,2000-02-02,22.75,23.0,22.625,22.625,127900
22,2000-02-03,22.8125,23.0625,22.6875,22.875,108500
23,2000-02-04,23.0,23.125,22.8125,22.8125,66700
24,2000-02-07,22.9375,22.9375,22.5625,22.625,160500
25,2000-02-08,22.0625,22.5,22.0625,22.5,235000
26,2000-02-09,22.3125,22.5,22.125,22.125,196900
27,2000-02-10,22.125,22.3125,22.0,22.125,225800
28,2000-02-11,22.0,22.1875,21.6875,21.75,220300
29,2000-02-14,21.75,22.0,21.625,21.75,266300
30,2000-02-15,21.5625,21.9375,21.5625,21.625,302300
31,2000-02-16,21.75,21.8125,21.375,21.4375,341500
32,2000-02-17,21.5,21.5625,21.3125,21.4375,258700
33,2000-02-18,21.5,21.5,21.1875,21.3125,145600
34,2000-02-22,22.0,22.0,21.125,21.375,302100
35,2000-02-23,21.1875,21.25,21.0625,21.0625,103100
