,Date,Open,High,Low,Close,Volume
0,2000-01-03,1.777778,1.777778,1.777778,1.777778,1013
1,2000-01-04,1.740741,1.962963,1.740741,1.962963,14175
2,2000-01-05,1.925926,1.925926,1.851852,1.851852,8100
3,2000-01-06,2.0,2.0,2.0,2.0,3713
4,2000-01-07,2.074074,2.074074,2.074074,2.074074,10125
5,2000-01-10,2.018519,2.074074,2.018519,2.074074,3713
6,2000-01-11,2.037037,2.037037,2.0,2.0,5400
7,2000-01-12,2.0,2.166667,2.0,2.148148,24638
8,2000-01-13,2.148148,2.148148,2.148148,2.148148,0
9,2000-01-14,2.185185,2.185185,2.0,2.148148,1688
10,2000-01-18,2.0,2.0,2.0,2.0,1688
11,2000-01-19,2.148148,2.148148,2.074074,2.074074,18563
12,2000-01-20,2.055556,2.055556,2.055556,2.055556,13500
13,2000-01-21,2.037037,2.074074,2.037037,2.055556,11475
14,2000-01-24,2.055556,2.055556,1.814815,1.925926,104288
15,2000-01-25,2.037037,2.037037,1.888889,1.925926,20250
16,2000-01-26,2.037037,2.111111,1.888889,1.888889,7763
17,2000-01-27,2.277778,2.277778,2.018519,2.055556,16200
18,2000-01-28,2.111111,2.148148,2.092593,2.092593,47250
19,2000-01-31,2.037037,2.111111,2.037037,2.111111,25313
20,2000-02-01,2.148148,2.222222,2.111111,2.185185,16200
21,2000-02-02,2.185185,2.185185,2.092593,2.185185,22275
22,2000-02-03,2.222222,2.222222,2.166667,2.166667,50625
23,2000-02-04,2.148148,2.203704,2.074074,2.074074,65813
24,2000-02-07,2.083333,2.083333,2.083333,2.083333,6750
25,2000-02-08,2.074074,2.148148,2.037037,2.148148,46575
26,2000-02-09,2.037037,2.037037,2.037037,2.037037,338
27,2000-02-10,2.074074,2.074074,2.037037,2.037037,21263
28,2000-02-11,2.074074,2.148148,2.074074,2.148148,20925
29,2000-02-14,2.148148,2.148148,2.074074,2.148148,136013
30,2000-02-15,2.074074,2.074074,2.074074,2.074074,2363
31,2000-02-16,2.074074,2.074074,2.074074,2.074074,0
32,2000-02-17,2.074074,2.185185,2.037037,2.037037,87750
33,2000-02-18,2.111111,2.111111,2.074074,2.074074,6075
34,2000-02-22,2.037037,2.074074,2.037037,2.074074,11138
35,2000-02-23,2.037037,2.037037,2.037037,2.037037,11475
36,2000-02-24,2.037037,2.074074,2.037037,2.037037,9450
37,2000-02-25,2.037037,2.037037,2.037037,2.037037,8775
38,2000-02-28,2.037037,2.074074,2.037037,2.037037,7088
39,2000-02-29,2.055556,2.055556,2.037037,2.055556,24300
40,2000-03-01,2.037037,2.074074,2.037037,2.037037,5738
41,2000-03-02,2.074074,2.074074,2.055556,2.055556,10125
42,2000-03-03,2.037037,2.074074,2.037037,2.074074,46575
43,2000-03-06,2.037037,2.055556,2.037037,2.037037,55688
44,2000-03-07,2.074074,2.074074,2.074074,2.074074,3375
45,2000-03-08,2.111111,2.166667,2.092593,2.166667,79988
46,2000-03-09,2.185185,2.185185,2.148148,2.166667,40163
47,2000-03-10,2.222222,2.222222,2.148148,2.222222,7088
48,2000-03-13,2.259259,2.259259,2.222222,2.240741,24300
49,2000-03-14,2.259259,2.592593,2.259259,2.481481,82350
50,2000-03-15,2.444444,2.444444,2.259259,2.37037,20588
51,2000-03-16,2.407407,2.814815,2.407407,2.555556,51975
52,2000-03-17,2.740741,2.787037,2.462963,2.462963,4050
53,2000-03-20,2.814815,2.814815,2.453704,2.453704,9113
54,2000-03-21,2.666667,2.740741,2.592593,2.592593,42188
55,2000-03-22,2.740741,2.888889,2.740741,2.888889,40163
56,2000-03-23,2.666667,2.740741,2.666667,2.740741,2700
57,2000-03-24,2.722222,3.555556,2.722222,3.259259,157275
58,2000-03-27,3.462963,3.481481,3.222222,3.222222,77625
59,2000-03-28,2.851852,2.888889,2.648148,2.666667,43875
60,2000-03-29,2.666667,2.666667,2.62963,2.62963,14513
61,2000-03-30,2.62963,2.62963,2.62963,2.62963,2025
62,2000-03-31,2.611111,2.611111,2.611111,2.611111,8100
63,2000-04-03,2.62963,2.62963,2.611111,2.611111,6750
64,2000-04-04,2.574074,2.62963,2.574074,2.62963,2363
65,2000-04-05,2.62963,2.62963,2.62963,2.62963,675
66,2000-04-06,2.555556,2.574074,2.555556,2.574074,4725
67,2000-04-07,2.611111,2.666667,2.555556,2.555556,26325
68,2000-04-10,2.666667,2.666667,2.518519,2.518519,11138
69,2000-04-11,2.444444,2.444444,2.444444,2.444444,675
70,2000-04-12,2.444444,2.444444,2.444444,2.444444,6750
71,2000-04-13,2.444444,2.444444,2.37037,2.444444,19913
72,2000-04-14,2.518519,2.518519,2.333333,2.351852,69525
73,2000-04-17,2.296296,2.333333,2.277778,2.277778,37463
74,2000-04-18,2.222222,2.333333,2.222222,2.259259,14850
75,2000-04-19,2.481481,2.481481,2.481481,2.481481,675
76,2000-04-20,2.481481,2.481481,2.481481,2.481481,0
77,2000-04-24,2.481481,2.481481,2.481481,2.481481,0
78,2000-04-25,2.481481,2.481481,2.481481,2.481481,0
79,2000-04-26,2.518519,2.518519,2.37037,2.37037,21938
80,2000-04-27,2.259259,2.37037,2.134259,2.37037,141413
81,2000-04-28,2.305556,2.305556,2.305556,2.305556,7425
82,2000-05-01,2.37037,2.37037,2.222222,2.259259,60413
83,2000-05-02,2.277778,2.296296,2.277778,2.296296,3038
84,2000-05-03,2.222222,2.481481,2.222222,2.481481,28013
85,2000-05-04,2.351852,2.351852,2.351852,2.351852,675
86,2000-05-05,2.481481,2.481481,2.481481,2.481481,4725
87,2000-05-08,2.37037,2.481481,2.37037,2.481481,7088
88,2000-05-09,2.518519,2.518519,2.37037,2.37037,1350
89,2000-05-10,2.37037,2.37037,2.351852,2.351852,21938
90,2000-05-11,2.351852,2.351852,2.351852,2.351852,0
91,2000-05-12,2.351852,2.351852,2.351852,2.351852,0
92,2000-05-15,2.351852,2.351852,2.351852,2.351852,0
93,2000-05-16,2.333333,2.666667,2.259259,2.62963,41513
94,2000-05-17,2.37037,2.481481,2.37037,2.481481,8438
95,2000-05-18,2.481481,2.555556,2.37037,2.407407,17550
96,2000-05-19,2.407407,2.407407,2.407407,2.407407,0
97,2000-05-22,2.555556,2.555556,2.555556,2.555556,8100
98,2000-05-23,2.555556,2.555556,2.555556,2.555556,338
99,2000-05-24,2.555556,2.555556,2.555556,2.555556,0
100,2000-05-25,2.555556,2.555556,2.555556,2.555556,0
101,2000-05-26,2.555556,2.666667,2.555556,2.666667,14175
102,2000-05-30,2.666667,2.666667,2.666667,2.666667,0
103,2000-05-31,2.592593,2.592593,2.592593,2.592593,1688
104,2000-06-01,2.666667,2.666667,2.555556,2.555556,4388
105,2000-06-02,2.666667,2.666667,2.555556,2.555556,5400
106,2000-06-05,2.592593,2.592593,2.592593,2.592593,3375
107,2000-06-06,2.592593,2.592593,2.592593,2.592593,0
108,2000-06-07,2.592593,2.592593,2.592593,2.592593,0
109,2000-06-08,2.555556,2.555556,2.555556,2.555556,2025
110,2000-06-09,2.555556,2.555556,2.555556,2.555556,0
111,2000-06-12,2.555556,2.555556,2.555556,2.555556,1688
112,2000-06-13,2.555556,2.555556,2.555556,2.555556,0
113,2000-06-14,2.555556,2.592593,2.444444,2.518519,14850
114,2000-06-15,2.481481,2.481481,2.481481,2.481481,2025
115,2000-06-16,2.481481,2.481481,2.481481,2.481481,0
116,2000-06-19,2.481481,2.481481,2.481481,2.481481,0
117,2000-06-20,2.481481,2.481481,2.481481,2.481481,0
118,2000-06-21,2.592593,2.592593,2.518519,2.518519,8438
119,2000-06-22,2.518519,2.518519,2.444444,2.444444,17213
120,2000-06-23,2.481481,2.481481,2.444444,2.481481,11813
121,2000-06-26,2.444444,2.481481,2.444444,2.444444,9788
122,2000-06-27,2.555556,2.555556,2.555556,2.555556,7425
123,2000-06-28,2.481481,2.518519,2.481481,2.518519,14850
124,2000-06-29,2.518519,2.518519,2.518519,2.518519,5400
125,2000-06-30,2.481481,2.481481,2.481481,2.481481,3375
126,2000-07-03,2.481481,2.481481,2.481481,2.481481,0
127,2000-07-05,2.611111,2.611111,2.481481,2.481481,6413
128,2000-07-06,2.5,2.5,2.462963,2.462963,29700
129,2000-07-07,2.611111,2.611111,2.518519,2.518519,14175
130,2000-07-10,2.481481,2.481481,2.481481,2.481481,338
131,2000-07-11,2.481481,2.5,2.481481,2.5,6750
132,2000-07-12,2.444444,2.444444,2.444444,2.444444,3375
133,2000-07-13,2.462963,2.462963,2.444444,2.444444,5063
134,2000-07-14,2.462963,2.555556,2.444444,2.481481,19575
135,2000-07-17,2.481481,2.481481,2.444444,2.444444,4725
136,2000-07-18,2.49537,2.518519,2.49537,2.518519,9113
137,2000-07-19,2.453704,2.453704,2.453704,2.453704,3713
138,2000-07-20,2.453704,2.453704,2.453704,2.453704,0
139,2000-07-21,2.453704,2.453704,2.453704,2.453704,0
140,2000-07-24,2.453704,2.453704,2.453704,2.453704,0
141,2000-07-25,2.444444,2.444444,2.444444,2.444444,338
142,2000-07-26,2.444444,2.444444,2.444444,2.444444,0
143,2000-07-27,2.481481,2.481481,2.444444,2.444444,8775
144,2000-07-28,2.481481,2.481481,2.444444,2.444444,8100
145,2000-07-31,2.444444,2.444444,2.444444,2.444444,1688
146,2000-08-01,2.444444,2.444444,2.444444,2.444444,0
147,2000-08-02,2.444444,2.518519,2.444444,2.5,38475
148,2000-08-03,2.444444,2.444444,2.444444,2.444444,3713
149,2000-08-04,2.444444,2.462963,2.444444,2.462963,2700
150,2000-08-07,2.518519,2.518519,2.444444,2.462963,19238
151,2000-08-08,2.444444,2.481481,2.37037,2.37037,8775
152,2000-08-09,2.37037,2.37037,2.37037,2.37037,2700
153,2000-08-10,2.37037,2.37037,2.37037,2.37037,338
154,2000-08-11,2.37037,2.37037,2.37037,2.37037,1350
155,2000-08-14,2.37037,2.37037,2.37037,2.37037,9450
156,2000-08-15,2.444444,2.444444,2.37037,2.37037,17213
157,2000-08-16,2.37037,2.37037,2.37037,2.37037,0
158,2000-08-17,2.37037,2.37037,2.37037,2.37037,0
159,2000-08-18,2.37037,2.37037,2.37037,2.37037,0
160,2000-08-21,2.37037,2.37037,2.37037,2.37037,0
161,2000-08-22,2.37037,2.37037,2.37037,2.37037,0
162,2000-08-23,2.37037,2.37037,2.37037,2.37037,4388
163,2000-08-24,2.37037,2.37037,2.37037,2.37037,6750
164,2000-08-25,2.37037,2.37037,2.37037,2.37037,0
165,2000-08-28,2.37037,2.37037,2.37037,2.37037,1688
166,2000-08-29,2.407407,2.444444,2.407407,2.444444,14175
167,2000-08-30,2.388889,2.388889,2.388889,2.388889,3713
168,2000-08-31,2.388889,2.388889,2.388889,2.388889,0
169,2000-09-01,2.388889,2.388889,2.388889,2.388889,0
170,2000-09-05,2.37037,2.37037,2.37037,2.37037,3375
171,2000-09-06,2.37037,2.37037,2.37037,2.37037,8438
172,2000-09-07,2.37037,2.37037,2.37037,2.37037,3038
173,2000-09-08,2.37037,2.37037,2.37037,2.37037,1688
174,2000-09-11,2.518519,2.518519,2.37037,2.388889,20250
175,2000-09-12,2.518519,2.518519,2.444444,2.444444,1688
176,2000-09-13,2.407407,2.407407,2.407407,2.407407,1688
177,2000-09-14,2.37037,2.37037,2.37037,2.37037,675
178,2000-09-15,2.37037,2.388889,2.37037,2.37037,14175
179,2000-09-18,2.37037,2.388889,2.37037,2.388889,30713
180,2000-09-19,2.37037,2.388889,2.37037,2.37037,9450
181,2000-09-20,2.37037,2.481481,2.37037,2.37037,13163
182,2000-09-21,2.37037,2.37037,2.37037,2.37037,5063
183,2000-09-22,2.37037,2.37037,2.37037,2.37037,1350
184,2000-09-25,2.37037,2.37037,2.37037,2.37037,1350
185,2000-09-26,2.37037,2.37037,2.37037,2.37037,1013
186,2000-09-27,2.37037,2.37037,2.37037,2.37037,1688
187,2000-09-28,2.37037,2.37037,2.37037,2.37037,3713
188,2000-09-29,2.37037,2.37037,2.37037,2.37037,2363
189,2000-10-02,2.37037,2.37037,2.37037,2.37037,1350
190,2000-10-03,2.37037,2.37037,2.37037,2.37037,0
191,2000-10-04,2.296296,2.333333,2.222222,2.240741,37800
192,2000-10-05,2.240741,2.240741,2.240741,2.240741,0
193,2000-10-06,2.240741,2.240741,2.240741,2.240741,0
194,2000-10-09,2.240741,2.240741,2.240741,2.240741,0
195,2000-10-10,2.240741,2.240741,2.240741,2.240741,0
196,2000-10-11,2.240741,2.240741,2.240741,2.240741,0
197,2000-10-12,2.259259,2.259259,2.185185,2.185185,40163
198,2000-10-13,2.37037,2.37037,2.37037,2.37037,1013
199,2000-10-16,2.37037,2.37037,2.37037,2.37037,0
200,2000-10-17,2.185185,2.185185,2.185185,2.185185,1688
201,2000-10-18,2.185185,2.185185,2.185185,2.185185,1013
202,2000-10-19,2.185185,2.185185,2.185185,2.185185,7425
203,2000-10-20,2.185185,2.185185,2.185185,2.185185,3038
204,2000-10-23,2.185185,2.185185,2.148148,2.148148,15525
205,2000-10-24,2.148148,2.148148,2.148148,2.148148,0
206,2000-10-25,2.148148,2.148148,2.148148,2.148148,3375
207,2000-10-26,2.148148,2.148148,2.148148,2.148148,1688
208,2000-10-27,2.185185,2.185185,2.148148,2.148148,8438
209,2000-10-30,2.185185,2.185185,2.148148,2.148148,10125
210,2000-10-31,2.166667,2.166667,2.166667,2.166667,7425
211,2000-11-01,2.148148,2.148148,2.148148,2.148148,2025
212,2000-11-02,2.148148,2.148148,2.148148,2.148148,6075
213,2000-11-03,2.148148,2.148148,2.148148,2.148148,9450
214,2000-11-06,2.148148,2.148148,2.148148,2.148148,0
215,2000-11-07,2.148148,2.148148,2.074074,2.074074,25650
216,2000-11-08,2.148148,2.148148,2.037037,2.037037,11813
217,2000-11-09,2.055556,2.055556,2.0,2.0,15188
218,2000-11-10,2.018519,2.018519,2.0,2.0,16200
219,2000-11-13,2.0,2.037037,2.0,2.037037,5400
220,2000-11-14,2.037037,2.037037,2.037037,2.037037,0
221,2000-11-15,2.0,2.0,2.0,2.0,338
222,2000-11-16,2.0,2.0,2.0,2.0,0
223,2000-11-17,2.0,2.0,2.0,2.0,1013
224,2000-11-20,2.0,2.018519,2.0,2.018519,8100
225,2000-11-21,2.111111,2.111111,2.018519,2.018519,14175
226,2000-11-22,2.111111,2.111111,1.962963,1.962963,15188
227,2000-11-24,1.962963,1.962963,1.962963,1.962963,0
228,2000-11-27,1.962963,1.962963,1.962963,1.962963,675
229,2000-11-28,1.925926,2.0,1.925926,2.0,23963
230,2000-11-29,2.0,2.0,1.925926,1.925926,18563
231,2000-11-30,1.925926,1.925926,1.925926,1.925926,675
232,2000-12-01,1.925926,2.074074,1.925926,2.074074,4050
233,2000-12-04,1.925926,1.925926,1.925926,1.925926,9450
234,2000-12-05,1.925926,1.925926,1.925926,1.925926,1350
235,2000-12-06,2.074074,2.074074,1.925926,1.925926,2363
236,2000-12-07,1.925926,1.925926,1.925926,1.925926,1013
237,2000-12-08,1.925926,1.925926,1.925926,1.925926,0
238,2000-12-11,1.925926,1.925926,1.925926,1.925926,0
239,2000-12-12,1.925926,1.925926,1.925926,1.925926,0
240,2000-12-13,1.925926,1.925926,1.925926,1.925926,1350
241,2000-12-14,1.962963,1.962963,1.962963,1.962963,7425
242,2000-12-15,1.925926,1.962963,1.925926,1.925926,30375
243,2000-12-18,1.962963,1.962963,1.925926,1.925926,15525
244,2000-12-19,1.925926,1.925926,1.851852,1.925926,7425
245,2000-12-20,1.925926,1.925926,1.925926,1.925926,10125
246,2000-12-21,1.888889,1.888889,1.851852,1.851852,33750
247,2000-12-22,1.888889,1.888889,1.888889,1.888889,3038
248,2000-12-26,1.925926,1.925926,1.925926,1.925926,15188
249,2000-12-27,1.888889,2.074074,1.888889,2.0,273375
250,2000-12-28,2.0,2.018519,1.962963,2.018519,19238
251,2000-12-29,1.962963,2.037037,1.962963,1.962963,8775
252,2001-01-02,1.962963,1.962963,1.962963,1.962963,2025
253,2001-01-03,2.009259,2.009259,2.0,2.009259,8438
254,2001-01-04,2.018519,2.074074,1.962963,2.074074,12488
255,2001-01-05,1.962963,2.0,1.925926,1.925926,42525
256,2001-01-08,1.925926,1.925926,1.925926,1.925926,0
257,2001-01-09,1.962963,1.962963,1.925926,1.925926,11475
258,2001-01-10,1.925926,1.944444,1.925926,1.944444,4388
259,2001-01-11,1.944444,1.944444,1.944444,1.944444,0
260,2001-01-12,2.037037,2.037037,2.037037,2.037037,338
261,2001-01-16,1.944444,1.944444,1.944444,1.944444,338
262,2001-01-17,1.925926,1.925926,1.925926,1.925926,135000
263,2001-01-18,1.925926,1.925926,1.925926,1.925926,0
264,2001-01-19,1.925926,1.925926,1.925926,1.925926,338
265,2001-01-22,1.925926,2.037037,1.925926,2.0,10800
266,2001-01-23,2.037037,2.037037,2.037037,2.037037,675
267,2001-01-24,2.037037,2.037037,2.037037,2.037037,675
268,2001-01-25,2.0,2.037037,2.0,2.037037,4725
269,2001-01-26,2.037037,2.055556,2.037037,2.055556,14175
270,2001-01-29,2.074074,2.092593,2.074074,2.092593,8100
271,2001-01-30,2.12963,2.12963,2.074074,2.111111,6750
272,2001-01-31,2.148148,2.148148,2.148148,2.148148,3375
273,2001-02-01,2.037037,2.037037,2.037037,2.037037,3375
274,2001-02-02,2.046296,2.046296,2.046296,2.046296,675
275,2001-02-05,2.046296,2.046296,2.046296,2.046296,0
276,2001-02-06,2.148148,2.185185,2.148148,2.185185,1688
277,2001-02-07,2.185185,2.185185,2.185185,2.185185,0
278,2001-02-08,2.055556,2.055556,2.055556,2.055556,2363
279,2001-02-09,2.055556,2.055556,2.055556,2.055556,0
280,2001-02-12,2.111111,2.185185,2.111111,2.185185,6413
281,2001-02-13,2.185185,2.185185,2.185185,2.185185,0
282,2001-02-14,2.074074,2.074074,2.074074,2.074074,2363
283,2001-02-15,2.074074,2.074074,2.074074,2.074074,675
284,2001-02-16,2.074074,2.111111,2.074074,2.111111,2025
285,2001-02-20,2.111111,2.222222,2.111111,2.222222,4050
286,2001-02-21,2.148148,2.148148,2.148148,2.148148,2363
287,2001-02-22,2.111111,2.111111,2.111111,2.111111,5738
288,2001-02-23,2.111111,2.111111,2.111111,2.111111,3375
289,2001-02-26,2.111111,2.111111,2.111111,2.111111,0
290,2001-02-27,2.111111,2.111111,2.111111,2.111111,0
291,2001-02-28,2.148148,2.222222,2.148148,2.222222,2025
292,2001-03-01,2.240741,2.277778,2.222222,2.277778,141750
293,2001-03-02,2.185185,2.277778,2.148148,2.259259,15525
294,2001-03-05,2.259259,2.259259,2.259259,2.259259,0
295,2001-03-06,2.259259,2.259259,2.259259,2.259259,338
296,2001-03-07,2.259259,2.259259,2.259259,2.259259,1013
297,2001-03-08,2.259259,2.259259,2.259259,2.259259,0
298,2001-03-09,2.259259,2.259259,2.259259,2.259259,0
299,2001-03-12,2.259259,2.259259,2.259259,2.259259,0
300,2001-03-13,2.259259,2.259259,2.259259,2.259259,0
301,2001-03-14,2.222222,2.222222,2.222222,2.222222,338
302,2001-03-15,2.185185,2.185185,2.185185,2.185185,338
303,2001-03-16,2.185185,2.185185,2.185185,2.185185,0
304,2001-03-19,2.222222,2.222222,2.185185,2.222222,17550
305,2001-03-20,2.222222,2.222222,2.222222,2.222222,0
306,2001-03-21,2.185185,2.203704,2.185185,2.185185,20588
307,2001-03-22,2.222222,2.222222,2.111111,2.111111,41850
308,2001-03-23,2.111111,2.111111,2.111111,2.111111,338
309,2001-03-26,2.111111,2.111111,2.111111,2.111111,0
310,2001-03-27,2.148148,2.148148,2.111111,2.111111,3038
311,2001-03-28,2.111111,2.111111,2.111111,2.111111,3375
312,2001-03-29,2.111111,2.111111,2.111111,2.111111,6750
313,2001-03-30,2.12963,2.12963,2.12963,2.12963,1013
314,2001-04-02,2.12963,2.12963,2.12963,2.12963,0
315,2001-04-03,2.111111,2.111111,2.111111,2.111111,2025
316,2001-04-04,2.111111,2.111111,2.111111,2.111111,0
317,2001-04-05,2.12963,2.12963,2.111111,2.111111,3038
318,2001-04-06,2.111111,2.111111,2.111111,2.111111,0
319,2001-04-09,2.10963,2.10963,2.10963,2.10963,0
320,2001-04-10,2.118519,2.118519,2.118519,2.118519,3375
321,2001-04-11,2.103704,2.103704,2.103704,2.103704,12825
322,2001-04-12,2.222222,2.222222,2.088889,2.088889,2025
323,2001-04-16,2.088889,2.088889,2.088889,2.088889,1688
324,2001-04-17,2.088889,2.088889,2.088889,2.088889,0
325,2001-04-18,2.222222,2.222222,2.222222,2.222222,338
326,2001-04-19,2.103704,2.266667,2.103704,2.266667,99563
327,2001-04-20,2.222222,2.222222,2.222222,2.222222,675
328,2001-04-23,2.266667,2.266667,2.266667,2.266667,1688
329,2001-04-24,2.266667,2.266667,2.266667,2.266667,0
330,2001-04-25,2.266667,2.266667,2.266667,2.266667,1688
331,2001-04-26,2.263704,2.263704,2.237037,2.237037,4050
332,2001-04-27,2.222222,2.237037,2.222222,2.237037,1013
333,2001-04-30,2.222222,2.222222,2.222222,2.222222,338
334,2001-05-01,2.222222,2.266667,2.222222,2.266667,12150
335,2001-05-02,2.222222,2.237037,2.222222,2.237037,6750
336,2001-05-03,2.281481,2.281481,2.207407,2.207407,2363
337,2001-05-04,2.281481,2.281481,2.207407,2.237037,3375
