,Date,Open,High,Low,Close,Volume
0,2000-01-03,1.453125,1.5,1.445313,1.5,178000
1,2000-01-04,1.484375,1.5,1.40625,1.421875,177200
2,2000-01-05,1.445313,1.5,1.40625,1.5,233600
3,2000-01-06,1.5,1.53125,1.4375,1.484375,308800
4,2000-01-07,1.46875,1.734375,1.46875,1.546875,1054000
5,2000-01-10,1.609375,1.75,1.59375,1.6875,1361600
6,2000-01-11,1.6875,1.703125,1.46875,1.523438,669200
7,2000-01-12,1.5625,1.609375,1.4375,1.515625,804800
8,2000-01-13,1.53125,1.5625,1.5,1.53125,452800
9,2000-01-14,1.53125,1.625,1.523438,1.59375,633600
10,2000-01-18,1.578125,1.71875,1.578125,1.671875,499600
11,2000-01-19,1.6875,1.765625,1.65625,1.6875,846800
12,2000-01-20,1.75,1.78125,1.6875,1.703125,648400
13,2000-01-21,1.734375,2.0,1.71875,1.90625,1494800
14,2000-01-24,1.929688,2.125,1.90625,2.007813,1898800
15,2000-01-25,2.0,2.21875,1.875,2.203125,1427600
16,2000-01-26,2.296875,2.296875,2.140625,2.1875,1073600
17,2000-01-27,2.140625,2.171875,1.828125,1.859375,1319600
18,2000-01-28,1.765625,1.90625,1.59375,1.75,804800
19,2000-01-31,1.742188,1.828125,1.671875,1.71875,315600
20,2000-02-01,1.6875,1.859375,1.6875,1.8125,272400
21,2000-02-02,1.78125,1.9375,1.703125,1.9375,432400
22,2000-02-03,1.90625,2.0,1.875,1.9375,330400
23,2000-02-04,1.9375,2.007813,1.796875,1.8125,713600
24,2000-02-07,1.8125,1.90625,1.71875,1.75,386400
25,2000-02-08,1.757813,1.8125,1.71875,1.734375,439600
26,2000-02-09,1.75,1.78125,1.625,1.671875,440400
27,2000-02-10,1.734375,1.734375,1.625,1.640625,370000
28,2000-02-11,1.625,1.671875,1.53125,1.578125,811600
29,2000-02-14,1.5625,1.6875,1.5625,1.6875,313200
30,2000-02-15,1.789063,1.8125,1.625,1.75,402400
31,2000-02-16,1.75,1.765625,1.625,1.65625,219600
32,2000-02-17,1.703125,1.734375,1.59375,1.640625,348800
33,2000-02-18,1.625,1.671875,1.578125,1.578125,230000
34,2000-02-22,1.617188,1.65625,1.5625,1.59375,352800
35,2000-02-23,1.59375,1.71875,1.59375,1.703125,162400
36,2000-02-24,1.703125,1.71875,1.625,1.640625,236800
37,2000-02-25,1.734375,1.742188,1.609375,1.640625,230800
38,2000-02-28,1.609375,1.75,1.59375,1.640625,218800
39,2000-02-29,1.671875,1.78125,1.625,1.71875,410800
40,2000-03-01,1.734375,1.78125,1.65625,1.65625,148000
41,2000-03-02,1.671875,1.984375,1.671875,1.859375,748800
42,2000-03-03,1.9375,2.0,1.902344,1.953125,582000
43,2000-03-06,1.9375,1.9375,1.84375,1.90625,794800
44,2000-03-07,1.898438,2.75,1.78125,2.375,2076800
45,2000-03-08,2.546875,2.640625,2.359375,2.453125,2096000
46,2000-03-09,2.5,2.5625,2.03125,2.34375,1108800
47,2000-03-10,2.25,2.390625,2.15625,2.34375,556000
48,2000-03-13,2.3125,2.3125,2.125,2.203125,409600
49,2000-03-14,2.25,2.34375,2.015625,2.125,947600
50,2000-03-15,2.0625,2.164063,1.8125,2.0,1053600
