,Date,Open,High,Low,Close,Volume
0,2000-01-03,5.078125,5.101563,5.0,5.03125,976800
1,2000-01-04,4.984375,5.03125,4.9375,4.960938,1455200
2,2000-01-05,4.992188,5.078125,4.984375,5.039063,704000
3,2000-01-06,5.03125,5.125,5.0,5.125,771200
4,2000-01-07,5.101563,5.203125,5.101563,5.171875,609600
5,2000-01-10,5.148438,5.203125,5.125,5.148438,525600
6,2000-01-11,5.117188,5.242188,5.117188,5.15625,480000
7,2000-01-12,5.15625,5.234375,4.96875,5.023438,889600
8,2000-01-13,5.03125,5.078125,4.96875,5.078125,1664800
9,2000-01-14,5.09375,5.09375,4.976563,5.0625,975200
10,2000-01-18,5.03125,5.101563,5.007813,5.085938,570400
11,2000-01-19,5.046875,5.046875,4.921875,4.9375,937600
12,2000-01-20,4.960938,4.960938,4.898438,4.953125,532000
13,2000-01-21,5.0,5.0,4.882813,4.929688,1207200
14,2000-01-24,4.929688,4.953125,4.78125,4.84375,1138400
15,2000-01-25,4.835938,4.851563,4.78125,4.8125,1072000
16,2000-01-26,4.8125,4.960938,4.8125,4.921875,1180000
17,2000-01-27,4.953125,4.992188,4.84375,4.84375,658400
18,2000-01-28,4.84375,4.84375,4.625,4.796875,1668800
19,2000-01-31,4.796875,5.078125,4.765625,5.078125,998400
20,2000-02-01,5.046875,5.046875,4.75,4.851563,1090400
21,2000-02-02,4.851563,4.851563,4.726563,4.765625,1334400
22,2000-02-03,4.765625,4.773438,4.65625,4.734375,2530400
23,2000-02-04,4.671875,4.78125,4.671875,4.734375,1499200
24,2000-02-07,4.703125,4.710938,4.625,4.640625,1003200
25,2000-02-08,4.640625,4.78125,4.625,4.75,794400
26,2000-02-09,4.78125,4.828125,4.75,4.796875,724800
27,2000-02-10,4.851563,4.875,4.625,4.679688,1532000
28,2000-02-11,4.671875,4.671875,4.429688,4.484375,1668800
29,2000-02-14,4.484375,4.539063,4.4375,4.445313,1120800
30,2000-02-15,4.4375,4.515625,4.203125,4.460938,2621600
31,2000-02-16,4.5,4.609375,4.28125,4.5,1272800
32,2000-02-17,4.40625,4.5625,4.328125,4.546875,1171600
33,2000-02-18,4.484375,4.625,4.375,4.5,1122800
34,2000-02-22,4.59375,4.59375,4.453125,4.484375,1144400
35,2000-02-23,4.4375,4.4375,4.335938,4.421875,486800
36,2000-02-24,4.375,4.40625,4.25,4.375,1636400
37,2000-02-25,4.46875,4.46875,4.3125,4.34375,1815600
38,2000-02-28,4.328125,4.375,4.203125,4.234375,958800
39,2000-02-29,4.265625,4.34375,4.15625,4.171875,1211600
40,2000-03-01,4.15625,4.3125,4.15625,4.234375,1337200
41,2000-03-02,4.171875,4.1875,4.078125,4.078125,1590800
42,2000-03-03,4.09375,4.09375,3.75,3.796875,3562400
43,2000-03-06,3.8125,4.0,3.8125,3.859375,1926000
44,2000-03-07,3.875,3.90625,3.625,3.625,2348800
45,2000-03-08,3.75,3.828125,3.734375,3.78125,1623200
46,2000-03-09,4.0,4.0,3.75,3.765625,1399200
47,2000-03-10,3.75,3.8125,3.640625,3.65625,901200
48,2000-03-13,3.625,3.75,3.546875,3.578125,732400
49,2000-03-14,3.578125,3.59375,3.40625,3.53125,1806800
50,2000-03-15,3.5625,4.234375,3.46875,3.8125,2446400
51,2000-03-16,3.8125,4.265625,3.8125,4.265625,2066000
52,2000-03-17,3.9375,4.125,3.75,3.75,1378400
53,2000-03-20,3.8125,4.046875,3.8125,3.9375,2084800
54,2000-03-21,4.0,4.0,3.8125,3.84375,1765200
55,2000-03-22,3.765625,3.84375,3.5625,3.625,1492000
56,2000-03-23,3.75,3.78125,3.6875,3.75,1786400
57,2000-03-24,3.65625,3.734375,3.625,3.65625,932800
58,2000-03-27,3.734375,3.78125,3.625,3.625,710400
59,2000-03-28,3.5625,3.625,3.5,3.546875,1154000
60,2000-03-29,3.5625,3.625,3.53125,3.609375,588800
61,2000-03-30,3.75,4.21875,3.703125,3.75,2306000
62,2000-03-31,3.9375,4.1875,3.9375,4.109375,2198000
63,2000-04-03,4.046875,4.15625,3.625,3.65625,2297600
