,Date,Open,High,Low,Close,Volume
0,2000-01-03,2.732843,2.732843,2.426471,2.47549,2159340
1,2000-01-04,2.463235,2.463235,2.352941,2.352941,928200
2,2000-01-05,2.463235,2.52451,2.414216,2.5,2998800
3,2000-01-06,2.5,2.54902,2.45098,2.487745,1082220
4,2000-01-07,2.47549,2.598039,2.45098,2.573529,4083570
5,2000-01-10,2.598039,2.794118,2.573529,2.732843,2310810
6,2000-01-11,2.745098,2.745098,2.622549,2.671569,1488180
7,2000-01-12,2.647059,2.745098,2.622549,2.745098,3887220
8,2000-01-13,2.757353,3.17402,2.745098,3.125,4864890
9,2000-01-14,3.14951,3.186275,2.965686,3.014706,1209210
10,2000-01-18,3.014706,3.137255,3.014706,3.051471,1677390
11,2000-01-19,3.063725,3.063725,2.769608,2.818627,1005210
12,2000-01-20,2.867647,2.941176,2.622549,2.916667,1096500
13,2000-01-21,2.879902,2.941176,2.818627,2.855392,786420
14,2000-01-24,2.916667,2.965686,2.769608,2.941176,843540
15,2000-01-25,2.873775,2.953431,2.647059,2.757353,1060290
16,2000-01-26,2.696078,2.781863,2.647059,2.647059,327930
17,2000-01-27,2.647059,2.671569,2.52451,2.647059,1017960
18,2000-01-28,2.647059,2.781863,2.573529,2.573529,1465230
19,2000-01-31,2.573529,2.671569,2.573529,2.585784,529380
20,2000-02-01,2.634804,2.671569,2.598039,2.622549,878730
21,2000-02-02,2.610294,2.683824,2.610294,2.622549,335580
22,2000-02-03,2.628676,2.634804,2.52451,2.598039,1194420
23,2000-02-04,2.585784,2.622549,2.573529,2.610294,792540
24,2000-02-07,2.598039,2.622549,2.54902,2.610294,685440
25,2000-02-08,2.610294,2.634804,2.585784,2.610294,870060
26,2000-02-09,2.598039,2.659314,2.54902,2.54902,1058760
27,2000-02-10,2.634804,2.647059,2.54902,2.647059,704820
28,2000-02-11,2.622549,2.634804,2.45098,2.45098,3347130
29,2000-02-14,2.573529,2.745098,2.52451,2.696078,1334160
30,2000-02-15,2.696078,2.745098,2.647059,2.671569,1664640
31,2000-02-16,2.696078,2.720588,2.47549,2.561275,1599360
32,2000-02-17,2.542892,2.671569,2.5,2.622549,2088960
33,2000-02-18,2.628676,2.634804,2.52451,2.54902,985320
34,2000-02-22,2.769608,2.843137,2.573529,2.647059,3742890
35,2000-02-23,2.757353,2.892157,2.647059,2.867647,3488400
36,2000-02-24,2.892157,2.965686,2.843137,2.928922,2262870
37,2000-02-25,2.916667,2.965686,2.892157,2.928922,1056720
38,2000-02-28,2.977941,3.333333,2.916667,3.259804,2637210
39,2000-02-29,3.382353,3.676471,3.357843,3.676471,3760740
40,2000-03-01,3.553922,3.688725,3.137255,3.566176,3394050
41,2000-03-02,3.443627,3.455882,3.002451,3.07598,2784090
42,2000-03-03,3.088235,3.137255,2.990196,3.039216,1197480
43,2000-03-06,3.039216,3.112745,2.990196,3.063725,894030
44,2000-03-07,3.039216,3.25674,3.014706,3.051471,1523880
45,2000-03-08,3.039216,3.088235,2.953431,3.063725,1889040
46,2000-03-09,3.039216,3.235294,2.965686,3.235294,1486140
47,2000-03-10,3.210784,3.333333,3.14951,3.186275,926160
48,2000-03-13,3.247549,3.259804,2.928922,3.051471,888420
49,2000-03-14,3.106618,3.112745,2.990196,3.088235,813960
50,2000-03-15,3.088235,3.112745,2.953431,3.026961,593640
51,2000-03-16,2.990196,3.112745,2.965686,3.051471,616590
52,2000-03-17,3.014706,3.186275,3.014706,3.161765,2257770
53,2000-03-20,3.137255,3.198529,2.941176,2.941176,794580
54,2000-03-21,3.014706,3.137255,2.941176,3.07598,445740
55,2000-03-22,3.112745,3.161765,3.039216,3.140319,819060
56,2000-03-23,3.161765,3.578431,3.088235,3.455882,2958510
57,2000-03-24,3.468137,3.578431,3.186275,3.357843,1306620
58,2000-03-27,3.455882,3.529412,3.431373,3.504902,676260
59,2000-03-28,3.529412,3.541667,3.284314,3.321078,521730
60,2000-03-29,3.370098,3.504902,3.210784,3.210784,431460
61,2000-03-30,3.235294,3.345588,2.843137,3.088235,1739100
62,2000-03-31,3.14951,3.284314,3.07598,3.17402,1025610
63,2000-04-03,3.140319,3.210784,3.039216,3.039216,375360
64,2000-04-04,3.063725,3.210784,2.843137,3.137255,1585590
65,2000-04-05,3.088235,3.235294,3.039216,3.125,398310
66,2000-04-06,3.112745,3.247549,3.088235,3.210784,465630
67,2000-04-07,3.210784,3.235294,3.039216,3.161765,355470
68,2000-04-10,3.14951,3.198529,3.014706,3.063725,553860
69,2000-04-11,3.063725,3.14951,2.916667,3.014706,361080
70,2000-04-12,3.063725,3.063725,2.916667,2.941176,283050
71,2000-04-13,3.039216,3.137255,3.014706,3.137255,570690
72,2000-04-14,2.941176,3.014706,2.879902,2.916667,541110
73,2000-04-17,2.941176,2.990196,2.573529,2.696078,2908530
74,2000-04-18,2.732843,3.014706,2.671569,2.971814,2584170
75,2000-04-19,3.014706,3.063725,2.720588,2.732843,614550
76,2000-04-20,2.818627,2.916667,2.757353,2.818627,387090
77,2000-04-24,2.769608,2.843137,2.745098,2.769608,460530
78,2000-04-25,2.818627,2.855392,2.745098,2.843137,682890
79,2000-04-26,2.843137,2.892157,2.806373,2.818627,813960
80,2000-04-27,2.769608,2.843137,2.696078,2.745098,687990
81,2000-04-28,2.757353,2.818627,2.696078,2.742034,1113840
82,2000-05-01,2.732843,2.941176,2.696078,2.941176,865980
83,2000-05-02,2.916667,3.088235,2.867647,2.928922,655350
84,2000-05-03,2.941176,3.002451,2.806373,2.916667,1726350
85,2000-05-04,2.928922,3.063725,2.843137,3.063725,349350
86,2000-05-05,2.990196,3.112745,2.965686,3.014706,542640
87,2000-05-08,3.026961,3.370098,3.002451,3.210784,1556520
88,2000-05-09,3.235294,3.480392,3.223039,3.333333,674220
89,2000-05-10,3.186275,3.235294,3.125,3.14951,672690
90,2000-05-11,3.17402,3.17402,3.07598,3.161765,604860
91,2000-05-12,3.137255,3.210784,3.063725,3.112745,584460
92,2000-05-15,3.094363,3.370098,3.063725,3.272059,301920
93,2000-05-16,3.272059,3.382353,3.235294,3.345588,557430
