,Date,Open,High,Low,Close,Volume
0,2000-01-03,23.5,23.75,23.03125,23.1875,906400
1,2000-01-04,22.875,23.0,22.21875,22.3125,1060000
2,2000-01-05,22.375,23.25,22.1875,22.40625,1087400
3,2000-01-06,22.53125,23.65625,22.4375,23.0,1002400
4,2000-01-07,23.03125,23.46875,22.625,23.0625,805800
5,2000-01-10,23.0,23.40625,22.84375,23.125,659200
6,2000-01-11,23.125,23.25,22.375,22.65625,813200
7,2000-01-12,22.78125,23.28125,22.34375,22.5,684000
8,2000-01-13,22.5,22.71875,22.28125,22.34375,500600
9,2000-01-14,22.4375,22.4375,20.0,21.28125,9517000
10,2000-01-18,21.28125,21.5,20.8125,21.5,1003400
11,2000-01-19,21.25,21.6875,21.0625,21.5625,1031400
12,2000-01-20,21.53125,21.5625,21.0,21.09375,1087400
13,2000-01-21,21.09375,21.21875,20.375,20.625,960200
14,2000-01-24,20.8125,20.8125,20.0625,20.0625,665800
15,2000-01-25,20.1875,20.59375,19.65625,19.90625,641600
16,2000-01-26,20.0,20.21875,19.625,20.09375,998200
17,2000-01-27,20.0625,20.0625,19.5,19.71875,623600
18,2000-01-28,19.625,19.625,18.875,18.875,1407600
19,2000-01-31,19.25,21.40625,19.21875,21.25,1982400
20,2000-02-01,21.125,21.25,20.125,20.28125,1198400
21,2000-02-02,20.25,20.75,20.1875,20.34375,1300000
22,2000-02-03,20.46875,20.90625,20.46875,20.6875,975200
23,2000-02-04,20.8125,20.9375,20.5,20.75,786800
24,2000-02-07,20.5625,20.75,20.4375,20.5,627800
25,2000-02-08,20.5,21.09375,20.5,21.09375,887600
26,2000-02-09,20.9375,21.15625,20.78125,20.875,911200
27,2000-02-10,20.75,21.0625,20.59375,21.0,1077600
28,2000-02-11,21.0,22.71875,20.9375,21.375,2209200
29,2000-02-14,21.375,21.5,20.78125,21.21875,885200
30,2000-02-15,21.125,22.0625,21.125,21.90625,1211400
31,2000-02-16,22.125,22.59375,21.625,22.09375,1650000
32,2000-02-17,22.03125,22.53125,22.0,22.28125,838400
33,2000-02-18,22.25,22.6875,22.25,22.5625,1215400
34,2000-02-22,22.46875,23.625,22.1875,23.34375,1636000
35,2000-02-23,23.0625,23.6875,22.75,23.0625,1850200
36,2000-02-24,22.65625,22.65625,21.84375,22.375,2772800
37,2000-02-25,22.40625,22.65625,22.09375,22.5625,1627400
38,2000-02-28,22.5,22.53125,21.96875,22.0625,1047200
39,2000-02-29,21.5,21.96875,20.9375,21.96875,2147800
40,2000-03-01,21.96875,22.5,21.5,22.40625,1485800
41,2000-03-02,22.28125,22.3125,21.46875,21.84375,850200
42,2000-03-03,21.71875,21.71875,21.4375,21.5625,828000
43,2000-03-06,21.25,21.375,20.78125,21.09375,889200
44,2000-03-07,20.59375,20.625,19.8125,20.0,1308200
45,2000-03-08,20.0,21.5625,19.875,20.90625,1841600
46,2000-03-09,20.21875,20.8125,20.15625,20.5625,1652600
47,2000-03-10,20.34375,20.5,19.875,20.0,1022000
48,2000-03-13,19.6875,20.0,19.59375,20.0,825800
49,2000-03-14,20.0,20.5625,20.0,20.46875,1069800
50,2000-03-15,20.5,21.9375,20.3125,21.875,1606600
51,2000-03-16,22.0,24.15625,22.0,23.84375,1892200
52,2000-03-17,23.25,23.5,23.0625,23.0625,1529400
53,2000-03-20,23.0625,24.0,23.0625,23.5,1459200
54,2000-03-21,23.625,23.625,23.0,23.46875,707800
55,2000-03-22,23.125,23.25,22.125,22.53125,1051600
56,2000-03-23,22.3125,22.71875,21.90625,22.65625,746600
57,2000-03-24,22.40625,22.5,21.875,22.0,974000
58,2000-03-27,21.5625,21.96875,21.5,21.59375,736400
59,2000-03-28,21.5,21.78125,20.90625,21.0,2338600
60,2000-03-29,21.09375,23.5,21.09375,23.40625,2919000
61,2000-03-30,23.40625,24.90625,23.375,24.5,1623000
62,2000-03-31,24.8125,25.34375,24.375,24.375,1573200
63,2000-04-03,24.25,24.4375,23.5,23.5,1619400
64,2000-04-04,23.625,25.03125,23.625,24.34375,1582200
65,2000-04-05,24.0,24.8125,23.71875,24.0,627200
66,2000-04-06,23.75,23.8125,23.375,23.78125,746200
67,2000-04-07,23.625,23.71875,22.96875,23.09375,744400
68,2000-04-10,23.09375,23.28125,22.90625,23.21875,672000
69,2000-04-11,23.3125,24.1875,23.1875,23.96875,1034800
70,2000-04-12,23.96875,25.1875,23.9375,24.5625,1346400
71,2000-04-13,24.6875,24.6875,24.0,24.15625,985600
72,2000-04-14,24.15625,24.625,23.21875,23.53125,1104800
73,2000-04-17,23.59375,23.96875,22.9375,23.40625,1290600
74,2000-04-18,23.4375,23.59375,23.0625,23.28125,503200
75,2000-04-19,23.375,24.25,23.21875,23.78125,1016000
76,2000-04-20,23.75,24.1875,23.625,23.84375,539800
77,2000-04-24,23.5,25.21875,23.5,24.5625,1721400
78,2000-04-25,24.0,24.96875,23.78125,24.5625,861400
79,2000-04-26,24.4375,24.4375,23.5625,23.8125,1187800
80,2000-04-27,23.6875,23.84375,23.3125,23.53125,924800
81,2000-04-28,23.375,23.375,22.5,22.75,1145800
82,2000-05-01,22.6875,22.9375,22.5,22.65625,646400
83,2000-05-02,22.65625,23.15625,22.5,22.9375,753600
84,2000-05-03,23.625,24.375,23.4375,23.53125,1131200
85,2000-05-04,23.65625,24.0625,23.265625,23.625,658800
86,2000-05-05,23.53125,23.9375,23.0625,23.1875,475800
87,2000-05-08,23.09375,24.3125,23.03125,24.125,744200
88,2000-05-09,24.03125,24.5,24.0,24.34375,530400
89,2000-05-10,24.21875,25.125,24.21875,25.0,1012200
90,2000-05-11,24.75,25.28125,24.71875,25.0,659400
91,2000-05-12,24.90625,25.15625,24.53125,24.6875,891600
92,2000-05-15,24.875,25.96875,24.84375,25.78125,1414200
93,2000-05-16,25.875,25.96875,25.25,25.6875,564400
94,2000-05-17,25.5625,25.5625,24.8125,25.125,396800
95,2000-05-18,25.0625,25.5625,24.8125,25.34375,346000
96,2000-05-19,25.21875,25.5,24.8125,24.90625,554600
97,2000-05-22,24.65625,25.5625,24.53125,25.46875,655800
98,2000-05-23,25.40625,25.96875,25.1875,25.9375,681200
99,2000-05-24,25.875,26.71875,25.875,26.53125,909800
100,2000-05-25,26.46875,26.65625,26.09375,26.625,900200
101,2000-05-26,26.96875,27.90625,26.84375,27.5,1544200
102,2000-05-30,27.46875,27.46875,26.46875,26.90625,1374600
103,2000-05-31,27.09375,27.09375,25.65625,25.9375,1136000
104,2000-06-01,26.125,26.1875,25.4375,25.6875,930200
105,2000-06-02,26.0625,26.0625,25.0,25.03125,1091200
