,Date,Open,High,Low,Close,Volume
0,2000-01-03,8.3125,8.375,7.375,7.5625,1287300
1,2000-01-04,7.375,7.875,7.375,7.625,1238300
2,2000-01-05,7.5,7.875,7.5,7.8125,1096300
3,2000-01-06,7.75,8.25,7.5,8.125,1026700
4,2000-01-07,8.1875,9.125,8.0625,8.75,2419300
5,2000-01-10,8.875,8.9375,8.375,8.375,1276200
6,2000-01-11,8.375,8.75,8.25,8.25,693700
7,2000-01-12,8.375,8.6875,8.25,8.4375,764000
8,2000-01-13,8.5625,9.5,8.5625,9.25,1760600
9,2000-01-14,9.375,9.625,8.25,8.25,1429000
10,2000-01-18,9.0,9.0,8.375,8.625,776600
11,2000-01-19,8.6875,8.6875,8.0,8.0,1220100
12,2000-01-20,8.0,8.0625,7.6875,7.75,1744500
13,2000-01-21,7.75,8.0625,7.6875,7.8125,1670100
14,2000-01-24,7.9375,8.125,7.625,7.9375,1001400
15,2000-01-25,7.5,7.8125,7.5,7.75,994500
16,2000-01-26,7.75,8.0625,7.75,7.875,821500
17,2000-01-27,8.0,8.0625,7.625,7.625,421200
18,2000-01-28,7.375,8.0625,7.125,7.625,1775700
19,2000-01-31,7.625,8.1875,7.625,8.0,858700
20,2000-02-01,8.0,8.375,8.0,8.25,783600
21,2000-02-02,8.3125,8.625,8.25,8.3125,597300
22,2000-02-03,8.3125,8.625,8.3125,8.4375,773500
23,2000-02-04,8.5625,8.75,8.375,8.375,481200
24,2000-02-07,8.5,8.625,8.3125,8.4375,574300
25,2000-02-08,8.4375,8.5625,8.0625,8.1875,713800
26,2000-02-09,7.8125,8.125,7.4375,7.5625,1495000
27,2000-02-10,7.4375,7.5,7.0,7.1875,1307800
28,2000-02-11,7.125,7.125,6.6875,6.875,983900
29,2000-02-14,6.9375,7.5,6.8125,7.4375,902200
30,2000-02-15,7.5625,7.6875,7.375,7.5625,753600
31,2000-02-16,7.5625,7.6875,7.1875,7.375,535300
32,2000-02-17,7.4375,7.4375,7.0625,7.125,417200
33,2000-02-18,7.125,7.25,7.0,7.0625,357400
34,2000-02-22,7.0,7.0625,6.875,7.0625,517200
35,2000-02-23,7.0,7.25,6.8125,7.125,628800
36,2000-02-24,7.25,7.25,6.875,6.875,467600
37,2000-02-25,6.875,7.0625,6.625,6.625,457300
38,2000-02-28,6.8125,6.875,6.5,6.625,496300
39,2000-02-29,6.625,6.9375,6.5625,6.8125,528900
40,2000-03-01,7.375,7.75,6.75,7.75,1445100
41,2000-03-02,7.75,7.875,6.875,6.9375,1200200
42,2000-03-03,7.1875,7.375,7.0625,7.3125,904700
43,2000-03-06,7.0625,7.125,6.875,7.0,479500
44,2000-03-07,7.0,7.0,6.125,6.125,759200
45,2000-03-08,6.5625,6.75,6.25,6.5,1122700
46,2000-03-09,6.4375,6.6875,6.3125,6.5625,523300
47,2000-03-10,6.5,6.5625,6.3125,6.4375,487000
48,2000-03-13,6.4375,6.75,6.4375,6.6875,448100
49,2000-03-14,6.6875,6.8125,6.5,6.625,464800
50,2000-03-15,6.75,7.1875,6.5625,7.1875,718100
51,2000-03-16,7.0625,7.3125,6.875,7.25,513900
52,2000-03-17,7.25,7.3125,6.875,7.0,527100
53,2000-03-20,7.1875,7.1875,7.0,7.125,303000
54,2000-03-21,7.25,7.3125,7.0625,7.1875,417300
55,2000-03-22,7.0625,7.375,7.0625,7.1875,316200
56,2000-03-23,7.125,7.5,7.0625,7.5,504200
57,2000-03-24,7.3125,7.5,7.25,7.3125,274300
58,2000-03-27,7.375,7.375,7.125,7.1875,303100
59,2000-03-28,7.0625,7.375,7.0625,7.3125,287000
60,2000-03-29,7.25,7.75,7.25,7.5,566200
61,2000-03-30,7.625,8.0,7.5625,7.5625,768900
62,2000-03-31,7.4375,7.5625,7.25,7.3125,370500
63,2000-04-03,7.4375,7.875,7.375,7.6875,392300
64,2000-04-04,7.5,7.75,7.1875,7.625,437700
65,2000-04-05,7.625,7.625,7.1875,7.5,317200
66,2000-04-06,7.5,8.0625,7.5,7.9375,734700
67,2000-04-07,7.9375,8.25,7.9375,8.1875,709200
68,2000-04-10,8.0625,8.4375,8.0625,8.3125,716600
69,2000-04-11,8.1875,8.25,8.0,8.125,638000
70,2000-04-12,8.125,8.1875,8.0,8.0625,673600
71,2000-04-13,7.5625,7.875,7.5625,7.8125,720100
72,2000-04-14,7.75,7.75,7.125,7.125,636500
73,2000-04-17,7.125,7.375,7.0,7.1875,580500
74,2000-04-18,7.1875,7.5,7.0625,7.3125,417300
75,2000-04-19,7.5,8.0,7.5,7.875,494700
76,2000-04-20,7.875,8.0,7.6875,7.875,280600
