,Date,Open,High,Low,Close,Volume
0,2000-01-03,79.0,80.0,53.0,63.25,8592500
1,2000-01-04,56.5,63.0,51.0,55.0,4072600
2,2000-01-05,56.875,61.0,51.0,59.0,4346500
3,2000-01-06,58.9375,61.75,51.0,54.0,2306400
4,2000-01-07,55.875,57.5,49.5,52.0,3445500
5,2000-01-10,56.0,60.5,52.625,55.0,4717500
6,2000-01-11,54.0,54.0,34.0,34.0,6051500
7,2000-01-12,34.0,35.0,28.0,30.125,6610500
8,2000-01-13,32.625,39.0,31.0625,39.0,3288700
9,2000-01-14,40.0,44.5,37.125,39.0,3871000
10,2000-01-18,38.125,40.5,35.25,36.0,1681700
11,2000-01-19,35.0,35.75,32.3125,33.625,1992400
12,2000-01-20,32.0625,36.5,32.0625,35.0,1605200
13,2000-01-21,35.625,38.625,35.5,36.625,1333100
14,2000-01-24,38.875,39.25,35.0,36.0625,1334500
15,2000-01-25,37.0625,37.5,34.0,34.0,912700
16,2000-01-26,33.9375,34.6875,32.1875,32.5,1318400
17,2000-01-27,33.0625,34.5,30.5,32.5,1410700
18,2000-01-28,31.875,33.0,30.0,30.6875,1356600
19,2000-01-31,29.875,30.5,25.0,29.0,2250300
20,2000-02-01,28.5,31.25,27.5,31.25,1497300
21,2000-02-02,30.75,31.625,29.5,30.75,942300
22,2000-02-03,31.0,33.75,31.0,33.125,1250800
23,2000-02-04,34.25,34.875,33.5,33.625,902500
24,2000-02-07,33.6875,33.6875,31.0,31.25,715900
25,2000-02-08,31.0625,32.625,31.0625,32.1875,783700
26,2000-02-09,32.4375,32.4375,30.6875,31.125,696400
27,2000-02-10,31.625,46.5,31.375,46.5,4991700
28,2000-02-11,45.0,45.0,35.375,37.5,4305900
29,2000-02-14,36.9375,36.9375,32.375,33.5,1922100
30,2000-02-15,32.875,33.375,31.0,32.625,1205500
31,2000-02-16,32.0,33.0,31.5,32.625,885800
32,2000-02-17,32.125,34.5,31.5,34.5,1089800
33,2000-02-18,34.75,36.75,33.5,35.125,1950000
34,2000-02-22,35.625,35.625,32.25,33.6875,911500
35,2000-02-23,33.9375,34.75,33.6875,34.25,773900
36,2000-02-24,33.25,33.625,32.0625,33.25,742100
37,2000-02-25,32.75,33.25,31.5,32.25,836200
38,2000-02-28,31.1875,31.4375,30.5,30.75,887600
39,2000-02-29,31.25,32.875,31.125,31.9375,852200
40,2000-03-01,32.6875,32.6875,31.0625,31.125,644400
41,2000-03-02,31.875,32.0,31.0625,31.8125,507500
42,2000-03-03,31.9375,32.4375,31.5,32.0,576200
43,2000-03-06,31.1875,36.75,31.1875,33.75,1830200
44,2000-03-07,37.75,37.875,34.0,34.375,1019200
45,2000-03-08,34.4375,34.625,31.5,32.875,829700
46,2000-03-09,32.75,34.5,31.75,33.125,465400
47,2000-03-10,33.375,33.5,32.0,32.0,511200
48,2000-03-13,31.5,32.75,30.75,31.8125,702800
49,2000-03-14,32.1875,32.3125,30.125,30.125,699100
50,2000-03-15,30.1875,30.75,28.0625,28.5625,1160700
51,2000-03-16,28.3125,29.75,26.75,28.875,898800
52,2000-03-17,28.0,29.75,27.5,28.0,529500
53,2000-03-20,28.25,28.75,26.5,27.125,606600
54,2000-03-21,26.625,27.1875,24.0,26.5,904800
55,2000-03-22,26.875,28.625,26.0,27.8125,686600
56,2000-03-23,28.375,28.625,27.5,27.875,453200
57,2000-03-24,28.125,28.75,27.25,28.0,418700
58,2000-03-27,28.25,30.125,27.375,30.125,371200
59,2000-03-28,28.0,29.25,27.5,27.5625,350300
60,2000-03-29,27.0,27.9375,25.5625,26.1875,611000
61,2000-03-30,25.5,26.75,24.625,25.25,653200
62,2000-03-31,25.25,25.5,20.625,25.0,1469400
63,2000-04-03,24.0,24.25,21.75,22.125,588600
64,2000-04-04,21.25,21.625,16.125,20.5,1778300
65,2000-04-05,19.0,22.6875,19.0,21.5,826500
66,2000-04-06,22.375,23.875,22.0,22.625,484000
67,2000-04-07,24.0,24.0,22.75,23.125,378100
68,2000-04-10,23.0,23.375,21.125,21.3125,430100
69,2000-04-11,20.0,20.5,18.9375,19.0,715700
70,2000-04-12,18.9375,19.0,17.0,17.25,907900
71,2000-04-13,17.875,18.25,16.125,17.0,841200
72,2000-04-14,15.875,16.625,14.1875,14.8125,1393300
73,2000-04-17,14.75,16.875,12.9375,13.0,1704800
74,2000-04-18,13.25,18.0625,13.0,18.0,1403500
75,2000-04-19,19.0,20.375,18.125,18.5,1107000
76,2000-04-20,19.5,21.25,19.5,20.5,1190600
77,2000-04-24,20.25,20.375,17.8125,18.75,1051000
78,2000-04-25,20.0,21.5625,19.25,21.5,828700
79,2000-04-26,23.0,23.0,20.375,20.8125,950300
80,2000-04-27,19.125,20.75,18.0,20.1875,742300
81,2000-04-28,20.75,21.4375,20.375,20.6875,570100
82,2000-05-01,21.4375,22.9375,21.0,22.9375,862900
83,2000-05-02,23.25,27.5625,23.0625,25.5,1937900
84,2000-05-03,26.125,26.4375,23.5625,24.875,1125000
85,2000-05-04,24.9375,25.0,19.5,20.375,1954500
86,2000-05-05,19.0,21.0,18.75,20.5625,738600
87,2000-05-08,20.96875,22.5,20.5,21.375,604700
88,2000-05-09,21.9375,22.0,19.0,19.8125,619000
89,2000-05-10,18.90625,19.5,17.5,17.8125,845800
90,2000-05-11,19.25,19.375,18.0,18.75,605500
91,2000-05-12,19.1875,20.8125,19.125,19.75,496200
92,2000-05-15,19.625,19.875,18.25,19.0625,377800
93,2000-05-16,19.03125,20.375,19.0,19.5625,448800
94,2000-05-17,19.0625,19.125,18.25,19.0,311500
95,2000-05-18,18.5,18.875,17.75,18.125,380500
96,2000-05-19,17.5,17.625,15.8125,17.0,703000
97,2000-05-22,16.375,17.0,14.375,15.375,1043000
98,2000-05-23,15.6875,18.75,15.25,16.5625,832600
99,2000-05-24,17.0,17.125,14.0,15.25,964500
100,2000-05-25,15.6875,16.875,14.0,15.875,728500
101,2000-05-26,16.28125,16.3125,15.3125,16.125,553700
102,2000-05-30,16.5,16.625,15.8125,16.125,430000
103,2000-05-31,16.375,16.5,15.625,16.0625,399300
104,2000-06-01,16.0625,17.0,15.875,16.5,655200
105,2000-06-02,17.625,18.0,17.375,17.9375,704200
106,2000-06-05,17.8125,18.6875,17.6875,17.921875,508900
107,2000-06-06,18.125,20.0,17.875,19.125,788200
108,2000-06-07,19.125,19.75,18.875,19.5625,438000
109,2000-06-08,19.75,19.875,19.1875,19.3125,344100
110,2000-06-09,19.4375,19.8125,19.0,19.3125,266300
111,2000-06-12,19.5,19.5,17.75,18.25,275600
112,2000-06-13,17.625,18.0,16.875,17.5,499300
113,2000-06-14,17.5625,18.1875,17.25,17.5625,268100
114,2000-06-15,17.375,17.5,16.6875,16.8125,345000
115,2000-06-16,17.34375,17.6875,16.9375,17.125,498500
116,2000-06-19,16.875,17.125,16.6875,16.75,236100
117,2000-06-20,17.25,17.375,16.375,16.4375,355100
118,2000-06-21,16.4375,17.1875,16.4375,16.75,330800
119,2000-06-22,16.9375,18.6875,16.625,18.375,697800
120,2000-06-23,18.875,19.25,17.5,17.5625,479100
121,2000-06-26,17.8125,18.0,17.0,17.125,175100
122,2000-06-27,17.1875,17.5,16.5625,16.875,244500
123,2000-06-28,16.71875,17.375,16.5,17.078125,213000
124,2000-06-29,17.0625,17.125,16.125,16.625,302000
125,2000-06-30,16.6875,17.0,16.125,16.5625,280900
126,2000-07-03,16.375,17.0625,16.125,17.0,175600
127,2000-07-05,16.9375,17.0,16.375,16.4375,190000
128,2000-07-06,16.75,16.8125,16.0625,16.375,277200
129,2000-07-07,17.1875,21.75,17.0,21.75,2631200
130,2000-07-10,24.0625,25.0,21.0,22.8125,2253700
131,2000-07-11,22.9375,22.9375,19.75,21.25,1153100
132,2000-07-12,21.6875,22.0,20.5,21.375,511600
133,2000-07-13,21.5625,23.9375,20.8125,23.8125,1043300
134,2000-07-14,23.6875,24.6875,22.75,23.5,619000
135,2000-07-17,23.875,23.875,22.25,22.625,451900
136,2000-07-18,22.25,22.3125,20.5625,21.1875,500200
137,2000-07-19,19.65625,20.875,19.625,19.9375,342400
138,2000-07-20,20.0,22.0,19.875,20.375,614300
139,2000-07-21,20.3125,20.9375,19.875,20.0625,347500
140,2000-07-24,20.25,21.0,19.0,19.125,400400
141,2000-07-25,19.4375,20.0,18.875,19.375,234000
142,2000-07-26,19.0,19.75,18.3125,19.3125,285800
143,2000-07-27,18.625,18.8125,17.125,17.5,463200
144,2000-07-28,17.625,17.875,16.5,17.375,463600
145,2000-07-31,17.9375,18.125,16.75,18.0,416900
146,2000-08-01,18.125,18.25,16.875,17.0,272600
147,2000-08-02,16.96875,17.25,16.5,17.25,320800
148,2000-08-03,16.4375,17.0,16.0,16.875,368100
149,2000-08-04,16.78125,17.875,16.75,17.0625,344000
150,2000-08-07,17.0,18.375,16.875,17.75,238200
151,2000-08-08,18.0,18.25,16.9375,17.125,193800
152,2000-08-09,17.15625,17.875,16.75,16.8125,236000
153,2000-08-10,16.875,17.25,16.5,16.875,226700
154,2000-08-11,17.0,17.0625,16.25,16.4375,364900
155,2000-08-14,16.4375,16.5,16.0,16.34375,330200
