,Date,Open,High,Low,Close,Volume
0,2000-01-03,4.007813,4.0625,3.984375,4.015625,1220000
1,2000-01-04,3.953125,3.984375,3.625,3.65625,4204000
2,2000-01-05,3.75,3.8125,3.6875,3.765625,3565200
3,2000-01-06,3.765625,3.78125,3.71875,3.75,2865200
4,2000-01-07,3.757813,3.96875,3.6875,3.953125,2336000
5,2000-01-10,3.953125,4.109375,3.921875,4.09375,620400
6,2000-01-11,4.109375,4.453125,4.09375,4.4375,2500800
7,2000-01-12,4.34375,4.4375,4.296875,4.375,1569600
8,2000-01-13,4.421875,4.4375,4.3125,4.4375,1152400
9,2000-01-14,4.390625,4.546875,4.3125,4.421875,1019600
10,2000-01-18,4.390625,4.40625,4.28125,4.28125,3671600
11,2000-01-19,4.289063,4.296875,4.1875,4.21875,2106800
12,2000-01-20,4.1875,4.21875,3.96875,4.125,1270400
13,2000-01-21,4.125,4.171875,4.070313,4.09375,461600
14,2000-01-24,4.09375,4.109375,4.0,4.015625,758400
15,2000-01-25,4.007813,4.03125,3.765625,3.78125,5472800
16,2000-01-26,3.84375,4.125,3.796875,3.984375,2132400
17,2000-01-27,3.96875,4.0,3.90625,3.90625,740400
18,2000-01-28,4.015625,4.21875,3.890625,4.0,723600
19,2000-01-31,3.914063,3.9375,3.65625,3.765625,1909200
20,2000-02-01,3.84375,4.15625,3.734375,4.0625,1814000
21,2000-02-02,3.992188,4.15625,3.9375,4.109375,1836000
22,2000-02-03,4.171875,4.375,4.125,4.375,1960400
23,2000-02-04,4.320313,4.484375,4.3125,4.421875,1971200
24,2000-02-07,4.46875,4.5,4.4375,4.484375,1440400
25,2000-02-08,4.5,4.8125,4.46875,4.71875,1374400
26,2000-02-09,4.59375,4.640625,4.484375,4.484375,709600
27,2000-02-10,4.5625,4.5625,4.4375,4.5,1322000
28,2000-02-11,4.5,4.5625,4.46875,4.492188,762000
29,2000-02-14,4.484375,4.625,4.46875,4.578125,912400
30,2000-02-15,4.53125,4.71875,4.484375,4.53125,1932800
31,2000-02-16,4.625,5.1875,4.53125,5.0625,1170000
32,2000-02-17,4.96875,5.25,4.9375,5.15625,1514000
33,2000-02-18,5.21875,5.234375,4.875,4.96875,1434800
34,2000-02-22,4.96875,5.09375,4.96875,5.09375,845200
35,2000-02-23,5.03125,5.8125,5.03125,5.75,1756800
36,2000-02-24,5.765625,6.25,5.625,6.078125,1912400
37,2000-02-25,6.015625,7.609375,5.9375,7.046875,7387600
38,2000-02-28,7.015625,7.21875,6.75,7.140625,4328400
39,2000-02-29,7.09375,7.5,6.953125,7.390625,4144800
40,2000-03-01,7.375,7.484375,7.082031,7.28125,2490800
41,2000-03-02,7.179688,7.25,7.03125,7.171875,1358400
42,2000-03-03,7.125,7.25,7.125,7.25,830800
43,2000-03-06,7.171875,7.3125,7.03125,7.09375,3761200
44,2000-03-07,7.0,7.015625,6.75,6.921875,2091200
45,2000-03-08,6.796875,7.03125,6.40625,7.0,1628800
46,2000-03-09,6.9375,7.15625,6.875,7.125,1281600
47,2000-03-10,7.0625,7.46875,6.90625,6.984375,2014000
48,2000-03-13,6.929688,6.9375,6.625,6.625,855200
49,2000-03-14,6.625,6.8125,6.1875,6.390625,1654000
50,2000-03-15,6.390625,6.90625,6.28125,6.671875,1332800
51,2000-03-16,6.820313,7.046875,6.6875,7.046875,1070000
52,2000-03-17,6.945313,7.09375,6.234375,6.453125,702800
53,2000-03-20,6.40625,6.90625,6.28125,6.59375,1115600
54,2000-03-21,6.59375,6.765625,6.484375,6.765625,796800
55,2000-03-22,6.78125,6.8125,6.53125,6.765625,984400
56,2000-03-23,6.75,6.8125,6.703125,6.765625,429200
57,2000-03-24,6.742188,6.796875,6.6875,6.71875,794000
58,2000-03-27,6.625,6.78125,6.59375,6.695313,1518000
59,2000-03-28,6.6875,6.71875,6.53125,6.546875,1005200
60,2000-03-29,6.5,6.546875,6.375,6.375,781200
61,2000-03-30,6.390625,6.390625,5.4375,5.5,574400
62,2000-03-31,5.75,5.9375,5.125,5.828125,1414800
63,2000-04-03,5.84375,5.84375,5.46875,5.734375,414400
64,2000-04-04,5.78125,5.78125,5.421875,5.5,503200
65,2000-04-05,5.46875,5.75,5.40625,5.546875,950400
66,2000-04-06,5.53125,5.921875,5.53125,5.921875,258800
67,2000-04-07,5.875,5.953125,5.515625,5.734375,282800
68,2000-04-10,5.78125,5.96875,5.484375,5.484375,336000
69,2000-04-11,5.484375,5.59375,5.28125,5.328125,418400
70,2000-04-12,5.4375,5.5,5.3125,5.4375,944000
71,2000-04-13,5.46875,6.15625,5.3125,5.5625,1354800
72,2000-04-14,5.5625,6.125,5.53125,5.921875,1571200
73,2000-04-17,5.875,6.34375,5.875,6.34375,2034000
74,2000-04-18,6.25,6.3125,6.171875,6.203125,1342400
75,2000-04-19,6.21875,6.296875,6.15625,6.15625,1090800
76,2000-04-20,6.15625,6.453125,6.15625,6.4375,1204800
77,2000-04-24,6.21875,6.25,6.171875,6.21875,614000
78,2000-04-25,6.21875,6.625,6.21875,6.234375,1476400
79,2000-04-26,6.1875,6.34375,6.1875,6.3125,582800
80,2000-04-27,6.1875,6.34375,6.125,6.34375,393200
81,2000-04-28,6.28125,6.5625,6.28125,6.5625,1351200
82,2000-05-01,7.34375,7.4375,6.84375,7.03125,2441600
83,2000-05-02,7.007813,7.015625,6.609375,6.640625,420000
84,2000-05-03,6.695313,6.703125,6.15625,6.328125,726800
85,2000-05-04,6.265625,6.40625,6.265625,6.375,330400
86,2000-05-05,6.34375,6.828125,6.3125,6.46875,590000
87,2000-05-08,6.46875,6.78125,6.46875,6.75,281600
88,2000-05-09,6.75,6.757813,6.40625,6.71875,418000
89,2000-05-10,6.734375,6.734375,6.34375,6.453125,546000
90,2000-05-11,6.5,6.765625,6.4375,6.734375,677600
91,2000-05-12,6.671875,6.78125,6.625,6.6875,472400
92,2000-05-15,6.570313,6.875,6.53125,6.84375,660400
93,2000-05-16,6.75,6.921875,6.75,6.90625,450000
94,2000-05-17,6.78125,6.859375,6.65625,6.6875,601600
95,2000-05-18,6.6875,6.6875,6.40625,6.484375,1360400
96,2000-05-19,6.3125,6.53125,6.25,6.5,641600
97,2000-05-22,6.5,6.5,6.1875,6.3125,792000
98,2000-05-23,6.296875,6.40625,6.25,6.3125,909600
99,2000-05-24,6.3125,6.453125,6.25,6.375,400800
100,2000-05-25,6.429688,6.4375,6.25,6.25,374800
101,2000-05-26,6.25,6.5,6.03125,6.0625,554000
102,2000-05-30,5.90625,6.21875,5.875,6.1875,457200
103,2000-05-31,6.1875,6.390625,6.09375,6.203125,539600
104,2000-06-01,5.8125,6.296875,5.8125,6.125,1314000
105,2000-06-02,6.125,6.421875,6.125,6.34375,1023600
