,Date,Open,High,Low,Close,Volume
0,2000-06-01,160.0,170.0,142.5,165.0,3205
1,2000-06-02,165.0,180.0,152.5,160.0,4060
2,2000-06-05,155.0,172.5,152.5,170.0,2118
3,2000-06-06,162.5,162.5,152.5,160.0,2600
4,2000-06-07,157.5,160.0,130.0,135.0,3085
5,2000-06-08,137.5,147.5,125.0,130.0,1913
6,2000-06-09,135.0,147.5,127.5,135.0,1770
7,2000-06-12,142.5,147.5,120.0,130.0,2690
8,2000-06-13,136.25,137.5,120.0,120.0,1285
9,2000-06-14,127.5,137.5,110.0,122.5,4158
10,2000-06-15,122.5,127.5,115.0,125.0,1663
11,2000-06-16,121.25,135.0,112.5,112.5,938
12,2000-06-19,120.0,137.5,120.0,130.0,2925
13,2000-06-20,139.375,147.5,130.0,136.25,2318
14,2000-06-21,137.5,160.0,135.0,160.0,3558
15,2000-06-22,159.375,160.0,137.5,150.0,2640
16,2000-06-23,141.875,155.0,141.25,141.25,1788
17,2000-06-26,147.5,160.0,140.0,140.0,2413
18,2000-06-27,143.125,147.5,140.0,140.0,1688
19,2000-06-28,140.0,148.75,135.0,141.25,1415
20,2000-06-29,143.75,147.5,122.5,145.0,2025
21,2000-06-30,149.375,150.0,127.5,130.0,1548
22,2000-07-03,130.0,140.0,130.0,135.0,640
23,2000-07-05,134.375,137.5,120.0,125.0,2343
24,2000-07-06,130.0,132.5,110.0,117.5,3585
25,2000-07-07,118.75,127.5,117.5,120.0,5263
26,2000-07-10,120.0,120.0,110.0,110.0,10913
27,2000-07-11,119.375,130.0,115.0,125.0,7883
28,2000-07-12,126.25,140.0,125.0,130.0,4098
29,2000-07-13,130.0,135.0,121.25,127.5,3283
30,2000-07-14,127.5,138.75,120.0,125.0,15185
31,2000-07-17,133.75,140.0,122.5,127.5,7925
32,2000-07-18,120.0,131.25,115.0,122.5,8305
33,2000-07-19,125.0,127.5,112.5,115.0,6865
34,2000-07-20,118.125,122.5,111.25,115.0,9350
35,2000-07-21,125.0,145.0,120.0,135.0,22823
36,2000-07-24,140.0,167.5,135.0,140.0,11950
37,2000-07-25,155.0,165.0,142.5,150.0,57250
38,2000-07-26,156.875,165.0,150.0,160.0,15998
39,2000-07-27,160.0,160.0,140.0,160.0,3513
40,2000-07-28,143.75,155.0,137.5,147.5,3343
41,2000-07-31,160.0,160.0,122.5,137.5,1300
42,2000-08-01,142.5,190.0,141.875,169.375,19610
43,2000-08-02,169.6875,171.25,155.625,170.0,7300
44,2000-08-03,162.5,180.625,157.5,178.75,7530
45,2000-08-04,170.3125,178.75,165.0,168.75,13040
46,2000-08-07,174.0625,174.0625,157.5,163.75,9720
47,2000-08-08,163.75,163.75,153.75,153.75,13460
48,2000-08-09,156.25,158.125,137.5,146.25,8110
49,2000-08-10,148.75,148.75,136.875,140.0,2710
50,2000-08-11,137.5,146.25,136.25,142.5,7730
51,2000-08-14,143.75,145.0,130.0,130.625,4700
52,2000-08-15,132.5,138.75,130.0,132.5,3560
53,2000-08-16,127.5,136.25,127.5,128.125,6630
54,2000-08-17,134.375,135.0,125.625,127.5,13510
55,2000-08-18,127.5,131.25,126.25,127.5,2780
56,2000-08-21,131.25,138.75,128.75,130.0,22310
57,2000-08-22,130.0,140.0,129.375,135.0,3410
58,2000-08-23,135.625,153.75,135.0,153.75,4980
59,2000-08-24,154.0625,156.25,149.375,150.625,9530
60,2000-08-25,156.875,174.375,155.0,172.5,16500
61,2000-08-28,168.75,184.375,168.125,183.125,24990
62,2000-08-29,183.4375,199.375,181.25,193.75,23350
63,2000-08-30,196.25,199.375,178.75,195.0,40830
64,2000-08-31,195.0,195.0,185.0,194.375,17450
65,2000-09-01,190.0,195.0,178.75,186.25,10770
66,2000-09-05,186.875,190.0,175.0,177.5,8110
67,2000-09-06,175.9375,176.875,156.875,161.25,19080
68,2000-09-07,157.5,171.25,157.5,169.375,9290
69,2000-09-08,170.0,170.0,160.0,161.25,7780
70,2000-09-11,166.5625,166.875,160.0,160.0,4270
71,2000-09-12,160.0,165.0,156.25,160.0,5640
72,2000-09-13,150.625,156.875,142.5,142.5,24880
73,2000-09-14,149.375,150.0,137.5,145.625,6730
74,2000-09-15,147.5,150.0,145.0,146.25,12230
75,2000-09-18,144.0625,145.0,138.75,140.0,24670
76,2000-09-19,141.25,141.25,128.75,133.125,18600
77,2000-09-20,133.4375,133.75,130.0,133.75,10110
78,2000-09-21,128.75,140.625,128.75,140.0,16130
79,2000-09-22,132.5,141.25,130.625,141.25,98990
80,2000-09-25,147.5,158.75,141.25,150.0,25440
81,2000-09-26,150.625,152.5,129.375,130.0,6550
82,2000-09-27,130.0,140.0,129.375,130.0,17140
83,2000-09-28,129.375,131.25,128.125,130.0,3150
84,2000-09-29,130.3125,135.625,130.0,131.875,53850
85,2000-10-02,140.625,162.5,137.5,150.0,73700
86,2000-10-03,142.5,150.625,141.875,145.625,5370
87,2000-10-04,152.34375,161.25,143.125,160.0,33710
88,2000-10-05,159.84375,161.25,157.5,158.75,19060
89,2000-10-06,153.125,154.375,136.25,150.0,6020
90,2000-10-09,147.5,149.375,140.0,142.5,4160
91,2000-10-10,144.6875,146.25,138.75,140.0,2550
92,2000-10-11,138.90625,140.0,130.0,133.75,7200
93,2000-10-12,130.625,137.5,117.5,118.75,6020
94,2000-10-13,122.65625,130.0,120.0,126.875,8240
95,2000-10-16,130.0,135.0,125.0,133.75,11800
96,2000-10-17,120.0,132.5,120.0,129.375,8550
97,2000-10-18,129.21875,130.0,118.75,127.5,12860
98,2000-10-19,123.75,126.25,120.625,123.125,24120
99,2000-10-20,124.84375,124.84375,118.125,120.625,16820
100,2000-10-23,120.625,120.625,108.75,110.0,14740
101,2000-10-24,112.5,136.25,106.25,128.75,25290
102,2000-10-25,126.25,132.5,118.75,131.875,10920
103,2000-10-26,130.0,130.0,110.625,118.75,24800
104,2000-10-27,126.25,128.125,118.125,120.625,340600
105,2000-10-30,120.0,123.75,120.0,121.875,16490
106,2000-10-31,122.5,123.125,121.25,121.875,20760
107,2000-11-01,122.5,133.75,121.25,128.75,11380
108,2000-11-02,133.125,136.25,126.25,135.625,36830
109,2000-11-03,135.9375,138.75,133.125,135.625,27750
110,2000-11-06,136.25,136.875,126.25,128.125,7340
111,2000-11-07,127.5,131.25,125.625,126.25,5290
112,2000-11-08,128.4375,131.875,127.5,127.5,12940
113,2000-11-09,129.6875,132.5,126.25,127.5,22190
114,2000-11-10,127.5,128.75,115.625,119.375,27500
115,2000-11-13,117.8125,118.125,100.0,103.125,13920
116,2000-11-14,105.0,105.0,98.75,100.0,13440
117,2000-11-15,101.25,104.375,98.125,101.25,34380
118,2000-11-16,101.25,105.0,100.0,102.5,16440
119,2000-11-17,100.3125,105.0,100.0,101.25,36590
120,2000-11-20,101.25,101.875,91.25,96.25,18400
121,2000-11-21,95.3125,97.5,73.125,78.75,37810
122,2000-11-22,60.0,75.0,60.0,68.75,109150
123,2000-11-24,70.9375,71.875,49.375,51.875,93030
124,2000-11-27,45.0,45.625,28.75,30.0,381580
125,2000-11-28,30.625,34.6875,28.75,32.5,249400
126,2000-11-29,33.75,35.9375,30.0,31.40625,121020
127,2000-11-30,32.96875,33.4375,28.125,30.625,31890
128,2000-12-01,31.25,32.8125,29.0625,30.0,48920
129,2000-12-04,30.78125,30.9375,28.75,30.0,92220
130,2000-12-05,29.84375,30.625,28.75,28.75,51340
131,2000-12-06,28.75,30.3125,27.5,27.5,24070
132,2000-12-07,27.8125,29.6875,26.25,26.875,129400
133,2000-12-08,27.03125,31.875,25.625,31.5625,20010
134,2000-12-11,31.875,33.75,30.0,31.875,10570
135,2000-12-12,32.96875,33.125,30.0,30.0,14210
136,2000-12-13,31.09375,31.25,29.0625,29.0625,9110
137,2000-12-14,30.0,30.3125,28.75,28.75,8110
138,2000-12-15,28.90625,29.375,27.5,29.375,7690
139,2000-12-18,29.375,30.0,28.75,29.6875,11680
140,2000-12-19,29.6875,30.3125,29.0625,30.0,11890
141,2000-12-20,30.15625,31.875,29.6875,30.9375,30820
142,2000-12-21,31.09375,46.25,30.9375,40.0,26020
143,2000-12-22,38.125,41.25,36.25,40.0,15100
144,2000-12-26,40.9375,40.9375,35.0,36.25,11950
145,2000-12-27,34.53125,35.625,32.8125,34.6875,49620
146,2000-12-28,35.0,38.75,34.375,34.6875,43180
147,2000-12-29,34.84375,36.875,34.375,34.6875,57960
148,2001-01-02,34.6875,37.5,34.6875,37.5,5750
149,2001-01-03,37.1875,38.75,36.875,38.125,10190
150,2001-01-04,38.59375,42.5,37.1875,42.5,26370
151,2001-01-05,62.8125,66.875,56.25,61.25,274650
152,2001-01-08,59.6875,60.9375,48.125,52.5,30370
153,2001-01-09,52.5,53.75,43.75,46.25,20770
154,2001-01-10,46.40625,53.125,46.25,52.5,8890
155,2001-01-11,52.8125,60.625,52.8125,53.75,15670
156,2001-01-12,57.5,60.0,55.0,55.0,6350
157,2001-01-16,57.34375,57.34375,50.625,50.625,10770
158,2001-01-17,51.25,52.5,48.125,48.125,20110
159,2001-01-18,51.25,51.25,48.125,49.375,28750
160,2001-01-19,49.375,50.0,46.25,47.5,9180
161,2001-01-22,54.0625,56.25,51.875,52.5,49880
162,2001-01-23,53.59375,53.75,51.25,53.125,17070
163,2001-01-24,53.75,68.75,52.5,63.75,21420
164,2001-01-25,68.59375,70.0,62.1875,67.1875,19510
165,2001-01-26,65.46875,68.4375,60.625,67.8125,14950
166,2001-01-29,65.15625,69.375,62.5,67.5,16090
167,2001-01-30,68.59375,70.0,64.0625,66.25,8920
168,2001-01-31,67.34375,67.34375,61.875,61.875,10720
169,2001-02-01,62.5,64.375,59.6875,61.5625,6620
170,2001-02-02,62.34375,62.5,53.75,57.5,17050
171,2001-02-05,57.03125,58.125,53.75,56.25,3670
172,2001-02-06,56.875,59.0625,55.0,56.25,5320
173,2001-02-07,59.6875,62.5,55.0,56.25,3680
174,2001-02-08,58.4375,58.75,56.25,56.5625,3680
175,2001-02-09,57.5,58.75,55.3125,56.875,8580
176,2001-02-12,57.03125,57.5,51.5625,55.625,9520
177,2001-02-13,51.40625,55.625,51.25,51.875,4480
178,2001-02-14,52.03125,55.625,49.375,53.125,4970
179,2001-02-15,52.1875,55.0,50.0,52.5,3840
180,2001-02-16,54.21875,54.21875,50.0,51.875,2180
181,2001-02-20,51.875,51.875,47.5,47.5,5300
182,2001-02-21,48.75,49.375,46.875,46.875,2710
183,2001-02-22,45.3125,46.875,42.5,44.375,5610
184,2001-02-23,45.625,46.25,43.75,44.0625,4670
185,2001-02-26,43.75,45.3125,43.125,44.6875,3640
186,2001-02-27,45.9375,47.1875,40.625,42.5,9450
187,2001-02-28,49.0625,55.3125,46.5625,50.0,46700
188,2001-03-01,48.75,50.625,45.0,48.75,9540
189,2001-03-02,45.9375,48.75,45.625,47.5,3290
190,2001-03-05,50.625,50.625,45.625,45.625,7060
191,2001-03-06,45.3125,48.75,45.0,45.0,870
192,2001-03-07,45.0,45.9375,38.75,43.75,6790
193,2001-03-08,42.8125,44.375,42.8125,43.75,1810
194,2001-03-09,42.5,45.625,41.5625,45.625,7400
195,2001-03-12,45.46875,45.46875,40.0,40.0,17270
196,2001-03-13,40.0,41.25,37.5,39.6875,7080
197,2001-03-14,39.0625,40.0,37.8125,38.75,4810
198,2001-03-15,38.4375,40.0,34.6875,34.6875,11990
199,2001-03-16,35.46875,35.625,30.0,31.25,12540
200,2001-03-19,33.75,33.75,30.0,32.5,18890
201,2001-03-20,32.5,33.75,30.0,32.1875,58370
202,2001-03-21,33.75,38.75,32.5,33.75,24900
203,2001-03-22,29.0625,34.0625,28.75,30.3125,13580
204,2001-03-23,30.9375,35.0,30.46875,32.5,6590
205,2001-03-26,34.84375,35.625,30.625,31.875,12290
206,2001-03-27,32.03125,36.875,31.25,35.625,38950
207,2001-03-28,37.5,39.375,35.0,38.125,14320
208,2001-03-29,39.6875,40.0,35.0,35.0,17290
209,2001-03-30,35.9375,49.6875,34.375,44.6875,53930
210,2001-04-02,45.0,47.5,41.5625,43.4375,4660
211,2001-04-03,40.3125,41.25,37.5,38.125,5190
212,2001-04-04,40.0,40.0,35.0,35.3125,16930
213,2001-04-05,36.875,38.75,34.0625,35.9375,5200
214,2001-04-06,37.5,38.75,35.0,35.625,2160
215,2001-04-09,35.200001,37.200001,33.299999,35.5,1810
216,2001-04-10,35.900002,39.5,35.099998,35.599998,3160
217,2001-04-11,36.0,37.5,35.0,35.099998,2600
218,2001-04-12,36.0,36.5,35.0,35.299999,1640
219,2001-04-16,35.299999,39.0,35.0,38.299999,2990
220,2001-04-17,37.700001,46.700001,36.5,43.200001,3950
221,2001-04-18,48.5,49.299999,42.099998,42.099998,11350
222,2001-04-19,46.900002,47.0,37.099998,42.5,11420
223,2001-04-20,44.0,44.0,38.099998,40.900002,2530
224,2001-04-23,38.5,41.5,36.5,40.0,2240
225,2001-04-24,41.700001,41.799999,38.0,38.0,2480
226,2001-04-25,39.599998,40.400002,38.5,38.5,3770
227,2001-04-26,40.0,40.5,39.299999,39.900002,2230
228,2001-04-27,39.5,40.5,39.5,39.799999,880
229,2001-04-30,39.700001,41.5,39.700001,40.5,6400
230,2001-05-01,40.799999,42.0,39.5,41.299999,7320
231,2001-05-02,40.0,42.0,39.099998,41.0,5740
232,2001-05-03,40.700001,41.0,39.700001,39.900002,2760
233,2001-05-04,39.799999,40.900002,39.0,40.5,6610
234,2001-05-07,40.799999,41.400002,38.0,38.0,3770
235,2001-05-08,38.099998,40.5,38.0,40.0,3270
236,2001-05-09,39.299999,40.5,38.5,40.0,1000
237,2001-05-10,38.799999,40.400002,38.700001,40.0,1650
238,2001-05-11,38.799999,40.400002,38.700001,40.400002,1480
239,2001-05-14,39.0,40.0,37.700001,37.700001,1580
240,2001-05-15,38.700001,39.599998,36.700001,38.400002,1450
241,2001-05-16,39.700001,40.5,37.700001,39.700001,2100
242,2001-05-17,38.0,40.5,38.0,40.0,3650
243,2001-05-18,40.099998,40.599998,39.5,39.5,3320
244,2001-05-21,40.0,42.0,39.099998,40.5,11280
245,2001-05-22,40.5,49.900002,40.5,49.0,13350
246,2001-05-23,50.0,50.0,45.099998,45.200001,11320
247,2001-05-24,47.599998,50.0,47.5,49.700001,11040
248,2001-05-25,47.200001,51.900002,47.200001,49.299999,18030
249,2001-05-29,50.700001,62.0,50.200001,54.200001,8890
250,2001-05-30,59.0,59.5,54.0,58.0,7160
251,2001-05-31,55.099998,61.0,55.0,60.700001,12560
252,2001-06-01,61.0,61.299999,57.700001,58.599998,13210
253,2001-06-04,57.400002,59.200001,55.099998,58.0,6910
254,2001-06-05,56.5,60.599998,55.0,55.5,9650
255,2001-06-06,56.700001,59.900002,54.0,56.0,18860
256,2001-06-07,53.799999,58.900002,52.799999,58.900002,13640
257,2001-06-08,56.0,58.900002,55.900002,56.799999,5280
258,2001-06-11,56.5,56.900002,55.0,55.599998,6560
259,2001-06-12,55.599998,58.099998,55.099998,58.099998,6000
260,2001-06-13,59.299999,59.400002,55.299999,56.599998,3340
261,2001-06-14,55.599998,58.200001,55.5,57.299999,3760
262,2001-06-15,56.200001,62.400002,55.200001,62.099998,6140
263,2001-06-18,62.099998,62.599998,56.700001,60.200001,8330
264,2001-06-19,56.099998,60.0,56.099998,57.099998,8240
265,2001-06-20,57.299999,62.0,57.0,62.0,13100
266,2001-06-21,62.200001,62.200001,58.5,61.0,10960
267,2001-06-22,60.799999,61.0,57.799999,60.700001,5400
268,2001-06-25,60.900002,66.0,59.0,65.0,13550
269,2001-06-26,63.5,67.5,61.0,65.599998,12680
270,2001-06-27,66.599998,70.0,64.599998,69.300003,15680
271,2001-06-28,70.0,80.599998,69.5,77.5,31470
272,2001-06-29,80.400002,97.5,75.5,89.900002,166330
273,2001-07-02,81.300003,81.5,76.599998,79.0,60040
274,2001-07-03,78.5,79.0,69.900002,72.0,20840
275,2001-07-05,68.900002,70.0,62.0,62.5,18740
276,2001-07-06,61.700001,62.0,60.200001,60.200001,9510
277,2001-07-09,62.0,69.599998,60.0,67.5,13570
278,2001-07-10,68.0,68.5,65.0,66.900002,13100
279,2001-07-11,66.5,66.5,56.400002,59.5,23220
280,2001-07-12,64.900002,65.099998,60.5,62.900002,8330
281,2001-07-13,64.300003,67.0,60.099998,67.0,9050
282,2001-07-16,65.199997,67.900002,65.0,66.900002,6520
283,2001-07-17,66.0,68.0,64.099998,68.0,4770
284,2001-07-18,67.0,68.5,66.0,68.0,7360
285,2001-07-19,68.5,69.5,66.0,69.0,4000
286,2001-07-20,69.5,71.0,64.5,69.0,8110
287,2001-07-23,71.0,71.699997,67.5,68.0,5990
288,2001-07-24,68.599998,70.0,55.0,59.5,11530
289,2001-07-25,58.5,63.400002,57.5,62.700001,7790
290,2001-07-26,63.0,64.300003,56.700001,60.0,22070
291,2001-07-27,59.200001,64.5,59.200001,63.0,7410
292,2001-07-30,63.0,65.0,57.0,62.5,3150
293,2001-07-31,62.299999,62.299999,55.0,61.400002,11980
