,Date,Open,High,Low,Close,Volume
0,2000-01-03,53.232025,53.4655,51.831181,51.831181,2009112
1,2000-01-04,51.364235,52.473236,49.96339,50.547077,2038130
2,2000-01-05,50.488708,52.706707,50.080128,52.29813,2710583
3,2000-01-06,52.006287,53.698971,51.539337,53.348763,5865434
4,2000-01-07,54.16592,56.03371,53.815708,54.749603,6483811
5,2000-01-10,55.566761,55.566761,54.049183,54.632866,3018754
6,2000-01-11,54.632866,54.749603,52.006287,52.123024,2285160
7,2000-01-12,52.123024,52.99855,51.189129,51.247498,2943157
8,2000-01-13,51.014023,52.29813,50.605446,51.247498,2048196
9,2000-01-14,51.364235,52.706707,51.364235,52.181393,2331525
10,2000-01-18,51.364235,51.59771,48.620918,48.737656,3358621
11,2000-01-19,49.204601,50.255234,48.212337,49.029495,3454242
12,2000-01-20,49.26297,49.846653,46.986599,47.336811,2958790
13,2000-01-21,47.628654,48.037231,46.22781,46.811497,3364189
14,2000-01-24,47.103336,47.336811,44.126549,45.293915,3469768
15,2000-01-25,45.644127,45.935966,43.19265,44.593494,3418799
16,2000-01-26,44.593494,46.22781,44.36002,45.060444,3464415
17,2000-01-27,45.118809,46.169441,43.659599,44.651863,1902569
18,2000-01-28,45.177177,45.819233,44.418388,44.710232,1684343
19,2000-01-31,43.659599,44.651863,43.309387,44.476757,2368253
20,2000-02-01,43.717968,45.760864,43.717968,44.885338,1822689
21,2000-02-02,44.651863,44.826969,43.075912,44.535126,2231835
22,2000-02-03,44.826969,45.002071,42.317123,43.19265,2739280
23,2000-02-04,43.426125,43.776337,42.258755,42.608967,2266314
24,2000-02-07,43.19265,43.19265,41.149757,41.616703,1709614
25,2000-02-08,42.375492,43.017548,41.616703,42.025284,2292441
26,2000-02-09,42.025284,42.842442,40.215862,40.274227,2479615
27,2000-02-10,40.157494,40.857914,38.815018,40.857914,4322434
28,2000-02-11,41.091389,41.73344,38.756649,39.86565,4762633
29,2000-02-14,39.924019,40.566071,38.815018,39.632175,2867560
