,Date,Open,High,Low,Close,Volume
0,2000-01-03,15.5,16.625,15.0625,16.625,1006700
1,2000-01-04,16.0,16.125,15.25,15.375,631500
2,2000-01-05,15.3125,15.375,14.5625,14.75,470400
3,2000-01-06,14.875,14.875,14.3125,14.75,466400
4,2000-01-07,14.75,15.25,14.375,14.75,445700
5,2000-01-10,15.625,16.0,15.0,15.5,520800
6,2000-01-11,15.25,15.9375,15.0,15.875,704900
7,2000-01-12,15.9375,16.625,15.75,16.4375,667000
8,2000-01-13,16.5,16.5,15.75,16.5,362200
9,2000-01-14,16.125,16.375,15.9375,16.0,306300
10,2000-01-18,16.0,16.875,15.9375,16.25,350500
11,2000-01-19,16.5,17.125,16.3125,17.0,202300
12,2000-01-20,17.0,17.125,16.5,17.0625,335700
13,2000-01-21,17.5,17.5,16.875,17.0,262900
14,2000-01-24,17.0,17.125,16.5,16.625,347500
15,2000-01-25,16.75,16.75,16.125,16.125,381900
16,2000-01-26,16.25,16.5,15.625,15.6875,351700
17,2000-01-27,15.625,16.75,15.5,16.0625,281300
18,2000-01-28,16.0,16.25,15.6875,15.875,163800
19,2000-01-31,15.8125,15.875,15.375,15.5625,166800
20,2000-02-01,15.3125,15.875,15.25,15.8125,315000
21,2000-02-02,15.9375,15.9375,15.25,15.4375,223200
22,2000-02-03,15.4375,15.4375,15.0,15.25,192700
23,2000-02-04,15.0625,15.4375,15.0,15.1875,451400
24,2000-02-07,14.6875,14.875,14.5,14.8125,134500
25,2000-02-08,14.5,14.625,14.3125,14.5,247300
26,2000-02-09,14.4375,14.4375,13.875,14.125,276400
27,2000-02-10,14.25,14.4375,14.0,14.3125,308700
28,2000-02-11,14.1875,14.625,14.0,14.5625,284400
29,2000-02-14,14.5625,14.5625,14.0,14.25,523200
30,2000-02-15,14.25,14.375,13.875,14.0625,371500
31,2000-02-16,13.9375,14.0,13.5625,13.875,190700
32,2000-02-17,13.375,13.75,13.375,13.625,534100
33,2000-02-18,13.5,13.5,13.125,13.375,113400
34,2000-02-22,13.1875,13.625,13.1875,13.25,197200
35,2000-02-23,13.1875,13.5,13.0,13.4375,146900
36,2000-02-24,13.75,13.8125,13.3125,13.375,215200
37,2000-02-25,13.375,13.75,12.625,12.6875,650100
38,2000-02-28,12.9375,14.0,12.625,13.8125,309100
39,2000-02-29,14.0,14.375,13.75,14.3125,193300
40,2000-03-01,14.875,14.875,14.375,14.5625,435500
41,2000-03-02,14.625,14.75,14.1875,14.3125,185300
42,2000-03-03,14.4375,14.625,14.125,14.5625,833600
43,2000-03-06,14.875,14.875,14.0625,14.125,186100
44,2000-03-07,14.0625,14.625,14.0625,14.3125,134100
45,2000-03-08,13.9375,14.1875,13.9375,14.1875,90400
46,2000-03-09,14.25,14.5,14.0625,14.375,58200
47,2000-03-10,14.5,14.5,14.0625,14.0625,127200
48,2000-03-13,13.9375,14.4375,13.625,13.8125,147300
49,2000-03-14,13.6875,13.9375,13.375,13.5,109100
50,2000-03-15,13.625,13.75,13.25,13.75,114500
51,2000-03-16,13.625,14.6875,13.5625,14.5625,234000
52,2000-03-17,14.625,14.625,14.0625,14.0625,190900
53,2000-03-20,14.1875,14.875,14.125,14.25,180400
54,2000-03-21,14.125,15.5,13.75,15.5,982600
55,2000-03-22,18.5,22.25,18.125,22.1875,2932000
56,2000-03-23,19.75,20.875,19.625,20.0625,1730700
57,2000-03-24,19.8125,21.75,19.8125,21.0625,902300
58,2000-03-27,21.25,21.25,20.5,20.6875,722900
59,2000-03-28,20.5,20.5,18.75,19.0,635100
60,2000-03-29,19.0,19.0,18.0,18.1875,564100
61,2000-03-30,18.0625,18.3125,17.75,17.75,493800
62,2000-03-31,17.125,17.5,15.75,15.75,715700
63,2000-04-03,15.8125,16.4375,15.8125,16.0,306200
64,2000-04-04,16.125,16.8125,15.0,15.6875,527500
65,2000-04-05,15.6875,15.875,14.875,15.4375,718900
66,2000-04-06,15.375,15.625,15.25,15.375,679600
67,2000-04-07,15.4375,15.75,15.125,15.625,846000
68,2000-04-10,15.875,16.8125,15.875,16.4375,747800
69,2000-04-11,16.4375,17.0,15.625,16.5625,656700
70,2000-04-12,16.4375,16.4375,15.375,15.5625,588600
71,2000-04-13,15.75,15.75,14.8125,14.875,286100
72,2000-04-14,14.5625,14.5625,13.0,13.0,614100
73,2000-04-17,12.875,13.4375,12.75,12.8125,476600
74,2000-04-18,12.8125,13.0,12.5,12.75,677000
75,2000-04-19,13.125,13.3125,12.75,12.9375,481900
76,2000-04-20,12.875,13.0625,12.875,12.875,133900
77,2000-04-24,12.875,13.5,12.4375,13.0,412000
78,2000-04-25,13.75,14.125,13.5,14.0,227500
79,2000-04-26,14.25,14.25,13.6875,13.75,165700
80,2000-04-27,13.875,13.875,13.4375,13.625,230500
81,2000-04-28,13.625,13.75,13.375,13.5,117300
82,2000-05-01,13.5,14.625,13.5,14.5,314900
83,2000-05-02,14.5,14.75,14.125,14.1875,150300
84,2000-05-03,14.125,14.125,13.5,13.5,276300
85,2000-05-04,13.625,13.6875,13.1875,13.625,194900
86,2000-05-05,13.5,13.625,13.375,13.4375,102700
87,2000-05-08,13.4375,13.4375,12.75,12.75,222800
88,2000-05-09,13.0,13.0625,12.6875,12.9375,141600
89,2000-05-10,12.375,12.75,12.3125,12.5,178700
90,2000-05-11,12.75,12.75,12.4375,12.5,95200
91,2000-05-12,12.375,12.5,11.9375,12.125,243800
92,2000-05-15,12.0,12.375,11.875,12.375,467100
93,2000-05-16,12.75,12.75,12.125,12.3125,581200
94,2000-05-17,12.25,12.5625,12.1875,12.4375,57800
95,2000-05-18,12.5625,12.8125,12.3125,12.75,251500
96,2000-05-19,12.5625,12.5625,12.25,12.4375,124800
97,2000-05-22,12.375,12.5,11.75,11.75,161000
98,2000-05-23,11.8125,11.8125,11.375,11.625,177700
99,2000-05-24,11.6875,12.0625,11.5625,12.0,308500
100,2000-05-25,11.9375,12.1875,11.8125,11.9375,213900
101,2000-05-26,12.375,12.375,12.0,12.1875,156900
102,2000-05-30,12.0625,13.5625,12.0,13.5625,302100
103,2000-05-31,13.4375,14.0,13.25,13.3125,226300
104,2000-06-01,13.3125,14.0,13.0,13.75,136800
105,2000-06-02,13.75,14.5,13.75,13.9375,244000
106,2000-06-05,13.8125,14.25,13.5625,13.75,82200
107,2000-06-06,14.125,14.25,13.5,13.625,113100
108,2000-06-07,13.5,13.625,13.1875,13.625,123000
109,2000-06-08,13.625,13.625,13.125,13.3125,160700
110,2000-06-09,13.4375,13.4375,13.125,13.1875,125100
111,2000-06-12,12.9375,13.25,12.5625,12.875,54500
112,2000-06-13,12.8125,12.8125,12.4375,12.5,206400
113,2000-06-14,12.0,12.125,11.75,12.125,1337500
114,2000-06-15,12.0,12.5,11.9375,12.0,206600
115,2000-06-16,12.125,12.1875,11.5625,11.8125,177700
116,2000-06-19,11.8125,12.375,11.625,12.3125,162300
117,2000-06-20,12.375,12.375,11.9375,12.0,422200
118,2000-06-21,12.0,12.5,11.8125,12.5,135300
119,2000-06-22,13.25,13.25,12.0,12.125,158500
120,2000-06-23,11.75,12.0,11.625,11.75,468000
121,2000-06-26,11.625,11.75,11.375,11.625,369900
122,2000-06-27,11.6875,12.0,11.375,12.0,161500
123,2000-06-28,12.25,12.375,11.8125,12.1875,149200
124,2000-06-29,12.0,13.4375,12.0,12.8125,468800
125,2000-06-30,12.625,13.375,11.8125,12.0,1148900
126,2000-07-03,12.0,12.3125,11.8125,12.25,177300
127,2000-07-05,12.3125,13.0,12.0,13.0,418200
128,2000-07-06,12.625,12.6875,12.125,12.125,199900
129,2000-07-07,12.375,12.375,11.875,12.1875,403000
130,2000-07-10,12.4375,12.5625,12.1875,12.3125,121000
131,2000-07-11,12.3125,12.4375,12.125,12.1875,126300
132,2000-07-12,12.125,12.4375,12.125,12.4375,164500
133,2000-07-13,12.375,13.3125,12.375,13.3125,790600
134,2000-07-14,13.75,14.0,13.4375,14.0,596400
135,2000-07-17,14.5,15.25,14.375,15.0625,779100
136,2000-07-18,14.8125,15.0,14.625,14.75,377600
137,2000-07-19,14.75,14.8125,14.25,14.25,410300
138,2000-07-20,14.25,14.625,14.1875,14.3125,261200
139,2000-07-21,14.3125,14.5,14.0,14.125,268300
140,2000-07-24,14.125,14.125,14.0,14.0,173600
141,2000-07-25,14.125,14.125,13.75,14.0,62400
142,2000-07-26,14.0,14.0625,13.75,13.875,323000
143,2000-07-27,13.875,14.0,13.625,13.6875,274400
144,2000-07-28,13.6875,13.6875,13.25,13.3125,94100
145,2000-07-31,13.1875,14.125,13.1875,14.125,77100
146,2000-08-01,13.875,13.875,13.1875,13.3125,95200
147,2000-08-02,13.6875,13.6875,12.75,13.0,192400
148,2000-08-03,12.875,12.9375,12.75,12.9375,74100
149,2000-08-04,12.875,13.1875,12.625,13.1875,92700
150,2000-08-07,13.0625,14.0,13.0625,13.9375,122300
151,2000-08-08,13.375,14.375,13.375,14.0,185600
152,2000-08-09,14.0625,14.0625,13.5,13.9375,101900
153,2000-08-10,13.625,13.6875,13.125,13.1875,91300
154,2000-08-11,13.4375,13.75,13.375,13.5,131500
155,2000-08-14,13.375,14.1875,13.375,14.125,97300
156,2000-08-15,14.0,14.0625,13.625,13.6875,63700
157,2000-08-16,13.75,13.75,12.875,12.875,157200
158,2000-08-17,12.9375,14.1875,12.9375,14.0,126800
159,2000-08-18,14.0,14.125,13.75,14.0,122100
160,2000-08-21,13.875,13.9375,13.625,13.8125,97100
161,2000-08-22,13.3125,13.4375,13.1875,13.25,154800
162,2000-08-23,13.375,13.375,12.875,12.9375,49300
163,2000-08-24,12.8125,13.09375,12.8125,13.0,93300
164,2000-08-25,13.25,13.3125,12.9375,13.0625,63100
165,2000-08-28,13.0625,13.125,12.25,12.5625,124500
166,2000-08-29,12.6875,13.0625,12.6875,12.9375,129600
167,2000-08-30,12.875,13.0,12.625,12.6875,118500
168,2000-08-31,12.75,13.5625,12.6875,13.375,217300
169,2000-09-01,13.125,13.5625,13.125,13.3125,151200
170,2000-09-05,13.625,13.875,13.3125,13.625,142500
171,2000-09-06,13.625,13.625,13.1875,13.3125,38600
172,2000-09-07,13.1875,13.4375,13.0,13.25,184400
173,2000-09-08,13.375,13.375,13.125,13.1875,108500
174,2000-09-11,13.1875,13.71875,13.1875,13.5625,115600
175,2000-09-12,13.5,13.625,13.125,13.125,85800
176,2000-09-13,13.25,13.625,13.1875,13.3125,76600
177,2000-09-14,13.1875,14.0,13.1875,14.0,131000
178,2000-09-15,13.625,14.75,13.625,13.875,304700
179,2000-09-18,13.875,14.0625,13.75,14.0,64300
180,2000-09-19,13.625,13.6875,13.3125,13.6875,108200
181,2000-09-20,13.5625,13.6875,12.3125,12.75,214100
182,2000-09-21,12.6875,13.25,12.6875,12.6875,113900
183,2000-09-22,12.75,12.9375,12.625,12.8125,95700
184,2000-09-25,12.375,13.125,12.375,13.0625,82800
185,2000-09-26,13.0625,13.0625,12.4375,12.5625,155400
186,2000-09-27,12.4375,12.6875,12.4375,12.6875,95100
187,2000-09-28,12.5625,12.5625,11.875,12.0625,915000
188,2000-09-29,12.25,12.25,11.625,11.625,700900
189,2000-10-02,11.75,12.0625,11.75,11.9375,335900
190,2000-10-03,11.9375,12.375,11.9375,12.3125,496200
191,2000-10-04,12.1875,12.1875,11.875,12.0625,346100
192,2000-10-05,12.0625,12.125,12.0,12.0,158500
193,2000-10-06,12.0,12.0,11.1875,11.4375,196900
194,2000-10-09,11.5,11.5,11.1875,11.5,73900
195,2000-10-10,11.375,11.4375,10.875,10.9375,298100
196,2000-10-11,10.8125,10.9375,10.3125,10.9375,233100
197,2000-10-12,10.9375,11.1875,10.75,10.875,150000
198,2000-10-13,10.75,11.375,10.75,11.375,155400
199,2000-10-16,11.3125,11.4375,11.0,11.25,64700
200,2000-10-17,11.125,11.1875,10.4375,10.5,305100
201,2000-10-18,10.0,10.1875,10.0,10.1875,153500
202,2000-10-19,10.1875,10.5,10.125,10.25,230400
203,2000-10-20,10.1875,10.375,10.125,10.1875,97300
204,2000-10-23,10.1875,10.1875,9.4375,9.9375,301100
205,2000-10-24,9.9375,10.0,8.9375,9.0,607100
206,2000-10-25,9.0,9.0,8.5,8.5625,349800
207,2000-10-26,8.5625,8.8125,7.625,8.8125,946800
208,2000-10-27,8.625,10.1875,8.625,9.8125,368000
209,2000-10-30,9.8125,10.125,9.5625,10.0625,248700
210,2000-10-31,10.0,10.0625,9.3125,9.5,353100
211,2000-11-01,9.5,10.0,9.5,9.9375,100100
212,2000-11-02,10.0,10.6875,9.9375,10.625,91800
213,2000-11-03,10.625,10.9375,10.4375,10.4375,188900
214,2000-11-06,10.75,11.0,10.625,10.6875,202700
215,2000-11-07,10.625,10.875,10.625,10.875,76500
216,2000-11-08,10.8125,11.0625,10.75,10.75,96100
217,2000-11-09,10.875,10.875,10.125,10.5,69500
218,2000-11-10,10.375,10.375,10.0625,10.125,68600
219,2000-11-13,10.0,10.0,9.625,9.875,207100
220,2000-11-14,9.875,10.0,9.875,10.0,126300
221,2000-11-15,10.0,10.25,9.9375,9.9375,429600
222,2000-11-16,9.8125,10.25,9.8125,10.125,184700
223,2000-11-17,10.375,10.375,9.875,9.875,53300
224,2000-11-20,9.625,9.8125,9.5,9.75,116700
225,2000-11-21,9.625,9.875,9.625,9.75,103400
226,2000-11-22,9.375,9.5,9.1875,9.3125,180900
227,2000-11-24,9.375,9.375,9.25,9.3125,52700
228,2000-11-27,9.3125,9.6875,9.125,9.625,168100
229,2000-11-28,9.5,9.5625,9.125,9.25,104200
230,2000-11-29,9.25,9.25,8.5,8.875,80400
231,2000-11-30,8.9375,9.0,8.375,8.5,146700
232,2000-12-01,8.5625,8.8125,8.5,8.6875,80000
233,2000-12-04,8.59375,8.671875,8.34375,8.484375,114900
234,2000-12-05,8.59375,8.59375,8.375,8.59375,152200
235,2000-12-06,8.546875,8.546875,7.703125,7.953125,180300
236,2000-12-07,7.75,7.75,7.15625,7.5,321700
237,2000-12-08,7.40625,8.5,7.40625,8.5,713900
238,2000-12-11,8.25,8.34375,7.9375,7.953125,211400
239,2000-12-12,7.84375,7.9375,7.5,7.59375,278800
240,2000-12-13,7.34375,7.484375,7.125,7.15625,191300
241,2000-12-14,7.15625,7.203125,6.796875,6.90625,349200
242,2000-12-15,6.984375,7.078125,6.90625,7.0,431700
243,2000-12-18,6.90625,7.0,6.75,6.75,363400
244,2000-12-19,6.765625,6.8125,6.59375,6.75,137900
245,2000-12-20,6.65625,6.65625,6.5,6.515625,169300
246,2000-12-21,6.515625,6.546875,6.203125,6.515625,653300
247,2000-12-22,6.421875,6.515625,6.203125,6.5,237400
248,2000-12-26,6.5,6.5,5.65625,5.96875,526100
249,2000-12-27,6.0,6.65625,5.984375,6.65625,1481400
250,2000-12-28,6.40625,6.796875,6.40625,6.734375,296700
251,2000-12-29,6.734375,7.25,6.515625,6.90625,364300
252,2001-01-02,7.0,7.125,6.40625,6.65625,165000
253,2001-01-03,6.703125,7.484375,6.703125,7.484375,159000
254,2001-01-04,7.390625,7.546875,7.375,7.421875,341800
255,2001-01-05,7.484375,7.546875,7.296875,7.484375,355400
256,2001-01-08,7.40625,7.484375,7.125,7.15625,88400
