,Date,Open,High,Low,Close,Volume
0,2000-01-03,5.502488,5.6372,5.4714,5.523213,1078408
1,2000-01-04,5.481763,5.533575,5.295238,5.409225,1458987
2,2000-01-05,5.3885,5.450675,5.367775,5.398863,1407720
3,2000-01-06,5.409225,5.42995,5.34705,5.398863,991556
4,2000-01-07,5.440313,5.67865,5.42995,5.668288,1676116
5,2000-01-10,5.668288,5.792638,5.492125,5.76155,3928227
6,2000-01-11,5.740825,5.751188,5.4714,5.564663,2815440
7,2000-01-12,5.606113,5.626838,5.533575,5.606113,983112
8,2000-01-13,5.647563,5.709738,5.533575,5.668288,1260555
9,2000-01-14,5.6372,5.699375,5.59575,5.647563,1217732
10,2000-01-18,5.575025,5.782275,5.575025,5.76155,1509047
11,2000-01-19,5.67865,5.76155,5.4714,5.606113,2983715
12,2000-01-20,5.59575,5.6372,5.492125,5.5543,1085042
13,2000-01-21,5.5543,5.5543,5.3885,5.42995,1285283
14,2000-01-24,5.409225,5.461038,5.036175,5.077625,3929433
15,2000-01-25,5.09835,5.398863,5.09835,5.315963,2786490
16,2000-01-26,5.274513,5.274513,5.0569,5.1398,2513872
17,2000-01-27,5.119075,5.3056,5.119075,5.26415,1386610
18,2000-01-28,5.201975,5.253788,5.18125,5.201975,995175
19,2000-01-31,5.160525,5.295238,5.1398,5.243425,1198432
20,2000-02-01,5.243425,5.274513,5.1398,5.2227,987937
21,2000-02-02,5.2227,5.233063,5.18125,5.212338,1199035
22,2000-02-03,5.201975,5.243425,5.119075,5.201975,737033
23,2000-02-04,5.160525,5.212338,5.1398,5.160525,600724
24,2000-02-07,5.1398,5.160525,5.046538,5.09835,1029554
25,2000-02-08,5.1398,5.212338,5.09835,5.119075,807600
26,2000-02-09,5.1398,5.1398,5.005088,5.01545,1461399
27,2000-02-10,5.005088,5.119075,5.005088,5.0569,922799
28,2000-02-11,5.036175,5.077625,5.01545,5.046538,1450543
29,2000-02-14,5.036175,5.036175,4.870375,4.953275,1193004
30,2000-02-15,4.93255,5.005088,4.828925,4.994725,1516285
31,2000-02-16,4.953275,4.953275,4.7253,4.76675,2389023
32,2000-02-17,4.787475,4.860013,4.694213,4.7253,1453559
33,2000-02-18,4.6424,4.6424,4.497325,4.538775,2993969
34,2000-02-22,4.538775,4.538775,4.258988,4.43515,2778046
35,2000-02-23,4.362613,4.372975,4.124275,4.18645,1825694
36,2000-02-24,4.238263,4.3937,4.0621,4.217538,3088058
37,2000-02-25,4.207175,4.217538,3.709775,3.85485,2885404
38,2000-02-28,3.834125,4.072463,3.834125,4.041375,3415561
39,2000-02-29,3.999925,4.02065,3.844488,4.02065,3207479
40,2000-03-01,4.072463,4.072463,3.9792,4.010288,3636912
41,2000-03-02,4.051738,4.072463,3.968838,3.968838,2201448
42,2000-03-03,3.968838,4.176088,3.906663,4.10355,2915561
43,2000-03-06,4.10355,4.2279,3.999925,4.134638,1341375
44,2000-03-07,4.113913,4.207175,3.9792,4.010288,1738842
45,2000-03-08,3.9792,4.165725,3.93775,4.10355,1916767
46,2000-03-09,4.10355,4.145,3.999925,4.113913,1332328
47,2000-03-10,4.072463,4.082825,3.875575,4.031013,1692400
48,2000-03-13,4.031013,4.10355,3.968838,4.0621,1155609
49,2000-03-14,4.082825,4.165725,4.02065,4.093188,1574789
50,2000-03-15,4.093188,4.290075,4.093188,4.279713,2028347
51,2000-03-16,4.279713,4.580225,4.279713,4.5595,3833534
52,2000-03-17,4.549138,4.68385,4.538775,4.590588,1900483
53,2000-03-20,4.68385,4.714938,4.5595,4.611313,1823281
54,2000-03-21,4.5595,4.797838,4.5595,4.76675,2440290
55,2000-03-22,4.76675,4.76675,4.663125,4.746025,2094692
56,2000-03-23,4.746025,4.93255,4.7253,4.839288,1558504
57,2000-03-24,4.839288,4.880738,4.673488,4.756388,2053076
58,2000-03-27,4.746025,4.911825,4.714938,4.901463,1946321
59,2000-03-28,4.8911,5.0569,4.8911,5.025813,1920989
60,2000-03-29,5.01545,5.077625,4.984363,4.984363,1544029
61,2000-03-30,4.984363,5.326325,4.953275,5.2227,2831725
62,2000-03-31,5.201975,5.398863,5.108713,5.150163,3582630
63,2000-04-03,5.18125,5.26415,5.0569,5.26415,1773824
64,2000-04-04,5.284875,5.326325,4.84965,5.150163,2886610
65,2000-04-05,5.1398,5.315963,5.077625,5.18125,1492762
66,2000-04-06,5.18125,5.201975,5.036175,5.1398,1738239
67,2000-04-07,5.09835,5.150163,4.994725,5.067263,2638118
68,2000-04-10,5.077625,5.108713,4.942913,5.005088,2713510
69,2000-04-11,5.005088,5.18125,4.963638,5.170888,1634499
70,2000-04-12,5.119075,5.18125,5.046538,5.0569,7685163
71,2000-04-13,5.0569,5.243425,5.0569,5.119075,1440290
72,2000-04-14,5.077625,5.077625,4.8082,4.818563,1756333
73,2000-04-17,4.828925,4.953275,4.828925,4.93255,2086852
74,2000-04-18,4.911825,5.2227,4.870375,5.01545,1457780
75,2000-04-19,5.01545,5.367775,5.01545,5.2227,4466828
76,2000-04-20,5.3056,5.357413,5.160525,5.191613,3773221
77,2000-04-24,5.212338,5.34705,5.191613,5.26415,1617612
78,2000-04-25,5.2227,5.336688,5.2227,5.295238,2048251
79,2000-04-26,5.3056,5.357413,5.253788,5.295238,1491556
80,2000-04-27,5.243425,5.326325,5.243425,5.3056,1088058
81,2000-04-28,5.284875,5.3056,5.191613,5.233063,1684560
82,2000-05-01,5.2227,5.357413,5.212338,5.295238,1352232
83,2000-05-02,5.274513,5.326325,5.212338,5.212338,1288299
84,2000-05-03,5.212338,5.253788,5.1398,5.201975,1467431
85,2000-05-04,5.160525,5.201975,5.046538,5.077625,1718938
86,2000-05-05,5.09835,5.1398,5.046538,5.067263,2110374
87,2000-05-08,5.067263,5.067263,4.994725,5.025813,1362485
88,2000-05-09,5.0569,5.233063,5.0569,5.1398,10663450
89,2000-05-10,5.1398,5.253788,5.119075,5.1398,1451749
90,2000-05-11,5.1398,5.3056,5.108713,5.119075,2603739
91,2000-05-12,5.119075,5.284875,5.119075,5.150163,1065139
92,2000-05-15,5.18125,5.2227,5.1398,5.1398,828106
93,2000-05-16,5.18125,5.3885,5.170888,5.326325,1575995
94,2000-05-17,5.284875,5.42995,5.26415,5.367775,2482509
95,2000-05-18,5.367775,5.523213,5.367775,5.461038,1522919
96,2000-05-19,5.419588,5.481763,5.212338,5.243425,1600121
97,2000-05-22,5.284875,5.34705,5.18125,5.3056,957780
98,2000-05-23,5.326325,5.367775,5.243425,5.3056,1150784
99,2000-05-24,5.201975,5.59575,5.201975,5.543938,2752111
100,2000-05-25,5.543938,5.782275,5.523213,5.5543,2813028
101,2000-05-26,5.5543,5.616475,5.3885,5.450675,981303
102,2000-05-30,5.409225,5.59575,5.409225,5.481763,949940
103,2000-05-31,5.59575,5.9688,5.543938,5.730463,1652593
104,2000-06-01,5.689013,5.7201,5.533575,5.59575,2049457
105,2000-06-02,5.59575,5.84445,5.585388,5.771913,1137515
106,2000-06-05,5.771913,5.948075,5.771913,5.813363,2093486
107,2000-06-06,5.906625,5.999888,5.709738,5.771913,2265983
108,2000-06-07,5.792638,5.792638,5.657925,5.657925,699035
109,2000-06-08,5.699375,5.792638,5.585388,5.616475,1177925
110,2000-06-09,5.616475,5.699375,5.575025,5.626838,1124246
111,2000-06-12,5.616475,5.67865,5.450675,5.543938,907720
112,2000-06-13,5.51285,5.5543,5.409225,5.4714,2448733
113,2000-06-14,5.492125,5.51285,5.450675,5.461038,1085645
114,2000-06-15,5.440313,5.461038,5.336688,5.378138,1268999
115,2000-06-16,5.409225,5.42995,5.243425,5.357413,1594692
116,2000-06-19,5.336688,5.492125,5.2227,5.243425,1971653
117,2000-06-20,5.253788,5.253788,4.84965,4.870375,5316647
118,2000-06-21,4.870375,5.067263,4.870375,4.8911,3556092
119,2000-06-22,4.93255,4.994725,4.828925,4.870375,2876357
120,2000-06-23,4.8911,4.994725,4.860013,4.8911,2983112
121,2000-06-26,4.911825,5.01545,4.901463,4.901463,3185766
122,2000-06-27,4.911825,5.0569,4.818563,4.994725,2948733
123,2000-06-28,4.953275,5.036175,4.746025,4.927369,2448130
124,2000-06-29,4.922188,5.6372,4.922188,5.4714,4805790
125,2000-06-30,5.4714,5.4714,5.005088,5.036175,4841375
126,2000-07-03,5.036175,5.42995,5.036175,5.336688,961399
127,2000-07-05,5.51285,5.575025,5.284875,5.34705,2621230
128,2000-07-06,5.34705,5.626838,5.34705,5.564663,2787093
129,2000-07-07,5.564663,5.699375,5.492125,5.533575,1797346
130,2000-07-10,5.5543,5.5543,5.419588,5.481763,1007238
131,2000-07-11,5.492125,5.575025,5.284875,5.481763,2720145
132,2000-07-12,5.51285,5.523213,5.34705,5.440313,1203860
133,2000-07-13,5.398863,5.461038,5.398863,5.461038,1940893
134,2000-07-14,5.440313,5.461038,5.284875,5.34705,2282871
