,Date,Open,High,Low,Close,Volume
0,2000-01-03,22.5,22.5,22.299999,22.299999,11250
1,2000-01-04,22.4,22.625,21.924999,21.924999,40750
2,2000-01-05,20.9,21.0,20.6,21.0,28000
3,2000-01-06,21.049999,21.174999,20.700001,20.75,38750
4,2000-01-07,21.049999,21.525,21.0,21.525,33500
5,2000-01-10,21.525,22.049999,21.4,21.4,37250
6,2000-01-11,22.4,22.6,21.799999,21.950001,50500
7,2000-01-12,22.0,22.200001,21.975,22.200001,8500
8,2000-01-13,22.9,23.299999,22.9,23.200001,45250
9,2000-01-14,23.35,23.6,23.299999,23.375,34250
10,2000-01-18,24.700001,25.4,24.200001,24.200001,56250
11,2000-01-19,23.9,23.9,23.4,23.6,18750
12,2000-01-20,23.1,23.1,22.4,22.700001,9000
13,2000-01-21,22.6,22.700001,22.299999,22.625,33250
14,2000-01-24,22.9,23.174999,22.9,23.174999,33000
15,2000-01-25,22.85,22.85,22.4,22.775,25000
16,2000-01-26,22.200001,22.200001,21.6,21.775,25000
17,2000-01-27,21.75,21.75,21.35,21.6,29000
18,2000-01-28,21.5,21.5,21.4,21.4,4000
19,2000-01-31,21.299999,21.799999,21.299999,21.674999,18750
20,2000-02-01,21.6,22.0,21.549999,22.0,12750
21,2000-02-02,21.75,22.9,21.5,22.549999,70750
22,2000-02-03,22.15,22.299999,21.9,22.200001,45500
23,2000-02-04,22.299999,22.799999,22.299999,22.65,13750
24,2000-02-07,22.700001,23.299999,22.700001,23.15,22500
25,2000-02-08,23.25,24.1,23.25,23.9,44250
26,2000-02-09,24.299999,24.299999,23.825001,24.1,26000
27,2000-02-10,23.9,23.9,22.799999,22.875,43000
28,2000-02-11,22.825001,22.825001,22.5,22.5,5500
29,2000-02-14,22.4,22.450001,22.35,22.450001,26500
30,2000-02-15,21.6,21.6,20.9,21.5,31750
31,2000-02-16,22.25,22.799999,22.25,22.6,35750
32,2000-02-17,23.0,23.200001,23.0,23.200001,10750
33,2000-02-18,23.9,23.9,23.4,23.5,31000
34,2000-02-22,23.5,23.625,23.475,23.625,21000
35,2000-02-23,23.4,23.4,23.049999,23.1,28250
36,2000-02-24,23.1,23.4,23.1,23.4,14000
37,2000-02-25,23.4,23.4,23.299999,23.375,6000
38,2000-02-28,22.4,22.775,22.4,22.775,19750
39,2000-02-29,22.725,22.825001,22.549999,22.825001,10000
40,2000-03-01,22.825001,23.200001,22.700001,23.0,20250
41,2000-03-02,22.9,23.799999,22.9,23.6,11000
42,2000-03-03,24.200001,24.5,24.0,24.0,25250
43,2000-03-06,24.75,25.1,24.65,24.65,29250
44,2000-03-07,24.975,25.4,24.200001,24.200001,36250
45,2000-03-08,24.924999,25.1,24.775,24.799999,30250
46,2000-03-09,24.825001,25.700001,24.825001,25.450001,30250
47,2000-03-10,25.4,25.4,24.9,24.9,22500
48,2000-03-13,24.299999,24.299999,23.799999,23.799999,17000
49,2000-03-14,23.9,24.275,23.9,24.25,22500
50,2000-03-15,23.975,23.975,23.799999,23.950001,20500
51,2000-03-16,23.950001,24.799999,23.9,24.65,18000
52,2000-03-17,25.375,25.450001,25.0,25.0,35750
53,2000-03-20,25.275,25.6,25.125,25.125,28000
54,2000-03-21,25.75,27.75,25.75,27.5,139750
55,2000-03-22,27.5,27.5,27.1,27.4,20500
56,2000-03-23,27.15,27.15,26.799999,27.0,18500
57,2000-03-24,27.049999,27.5,27.049999,27.4,10500
58,2000-03-27,27.5,28.0,27.5,27.6,35750
59,2000-03-28,27.6,27.65,27.35,27.35,9750
60,2000-03-29,27.4,27.4,27.25,27.25,4250
61,2000-03-30,27.200001,27.35,26.85,27.0,15250
62,2000-03-31,27.1,29.299999,27.1,28.4,129500
63,2000-04-03,27.700001,28.799999,27.700001,28.5,44000
64,2000-04-04,28.0,28.0,26.875,27.025,79750
65,2000-04-05,26.85,27.200001,26.85,27.200001,8250
66,2000-04-06,27.0,27.0,26.75,26.75,9500
67,2000-04-07,26.775,26.799999,26.775,26.799999,2000
68,2000-04-10,27.0,27.200001,26.799999,26.799999,37250
69,2000-04-11,27.200001,27.799999,26.875,26.9,40000
70,2000-04-12,27.1,28.0,27.1,27.4,60250
71,2000-04-13,27.299999,27.299999,26.5,26.5,34750
72,2000-04-14,25.9,25.9,23.799999,23.799999,130750
73,2000-04-17,23.825001,23.825001,23.15,23.299999,23750
74,2000-04-18,23.299999,23.5,23.1,23.450001,26250
75,2000-04-19,25.200001,26.0,25.200001,25.225,65000
76,2000-04-20,25.9,26.1,25.9,25.975,15750
77,2000-04-24,25.9,26.0,25.85,25.924999,2250
78,2000-04-25,26.15,27.1,26.15,27.0,33750
79,2000-04-26,28.200001,28.4,27.799999,27.799999,51750
80,2000-04-27,27.700001,27.700001,27.575001,27.6,11000
81,2000-04-28,27.700001,28.799999,27.700001,28.5,22000
82,2000-05-01,28.65,28.825001,28.5,28.825001,18250
83,2000-05-02,29.85,29.975,29.049999,29.174999,39250
84,2000-05-03,29.299999,29.6,28.9,28.950001,15500
85,2000-05-04,28.85,28.85,28.424999,28.424999,13000
86,2000-05-05,28.5,28.924999,28.5,28.6,46500
87,2000-05-08,26.799999,27.200001,26.625,27.200001,14750
88,2000-05-09,27.200001,27.200001,26.299999,26.475,240250
89,2000-05-10,26.375,26.375,25.799999,25.9,61000
90,2000-05-11,25.825001,26.1,25.1,26.1,59250
91,2000-05-12,25.799999,25.799999,24.799999,24.9,54750
92,2000-05-15,25.0,25.924999,25.0,25.924999,36000
93,2000-05-16,25.825001,25.825001,24.950001,25.6,46500
94,2000-05-17,25.200001,25.200001,25.0,25.1,16000
95,2000-05-18,26.1,26.4,25.9,26.35,42250
96,2000-05-19,26.1,26.1,25.35,25.375,16000
97,2000-05-22,25.275,25.275,24.5,24.5,14000
98,2000-05-23,24.4,24.4,24.075001,24.275,18500
99,2000-05-24,24.0,24.700001,23.85,24.700001,44500
100,2000-05-25,24.4,24.549999,24.299999,24.424999,36500
101,2000-05-26,24.424999,25.0,24.424999,24.85,35500
102,2000-05-30,25.4,25.6,25.4,25.4,9500
103,2000-05-31,25.4,26.200001,25.4,26.0,40500
104,2000-06-01,26.1,26.174999,25.75,25.799999,55750
105,2000-06-02,26.200001,26.450001,26.200001,26.225,21750
106,2000-06-05,26.700001,26.9,26.6,26.6,41250
107,2000-06-06,26.85,27.0,26.85,26.950001,53750
108,2000-06-07,27.35,27.6,27.325001,27.325001,16750
109,2000-06-08,27.799999,27.825001,27.4,27.4,17000
110,2000-06-09,27.5,27.75,27.35,27.6,33750
111,2000-06-12,27.700001,28.200001,27.700001,27.700001,42750
112,2000-06-13,28.0,28.0,27.275,27.275,35500
113,2000-06-14,27.4,27.475,27.299999,27.325001,12250
114,2000-06-15,28.700001,29.0,28.6,28.775,58000
115,2000-06-16,29.4,30.049999,29.4,29.799999,51000
116,2000-06-19,29.5,29.5,29.35,29.4,10750
117,2000-06-20,29.5,29.6,29.4,29.525,12000
118,2000-06-21,29.6,29.85,29.6,29.674999,8500
119,2000-06-22,29.825001,30.1,29.825001,29.9,16250
120,2000-06-23,30.1,30.700001,30.1,30.325001,65250
121,2000-06-26,30.200001,30.6,30.200001,30.450001,25750
122,2000-06-27,30.799999,31.049999,30.75,30.975,47500
123,2000-06-28,30.5,30.799999,30.200001,30.775,32000
124,2000-06-29,30.799999,31.299999,30.700001,31.225,29500
125,2000-06-30,31.6,31.700001,31.0,31.35,115750
126,2000-07-03,31.450001,32.200001,31.450001,32.200001,27000
127,2000-07-05,31.9,31.9,31.5,31.625,39750
128,2000-07-06,31.625,31.700001,31.5,31.6,19250
129,2000-07-07,31.525,31.700001,31.525,31.700001,8250
130,2000-07-10,31.700001,32.599998,31.700001,32.125,45250
131,2000-07-11,32.599998,32.700001,32.099998,32.5,61000
132,2000-07-12,32.950001,32.950001,32.450001,32.525002,41500
133,2000-07-13,32.674999,33.549999,32.674999,33.549999,28000
134,2000-07-14,34.5,34.599998,34.5,34.5,16500
135,2000-07-17,36.150002,36.400002,35.349998,35.424999,146750
136,2000-07-18,35.599998,35.674999,34.0,34.0,103750
137,2000-07-19,33.900002,33.900002,32.599998,32.799999,54250
