,Date,Open,High,Low,Close,Volume
0,2000-01-03,6.989802,6.989802,6.400987,6.609922,509700
1,2000-01-04,6.400987,6.55294,6.400987,6.476963,312927
2,2000-01-05,6.476963,6.514951,6.381993,6.457969,320495
3,2000-01-06,6.533946,6.609922,6.514951,6.55294,119116
4,2000-01-07,6.609922,6.723886,6.590928,6.723886,130962
5,2000-01-10,6.685898,6.74288,6.64791,6.666904,170448
6,2000-01-11,6.628916,6.666904,6.571934,6.666904,195456
7,2000-01-12,6.666904,6.685898,6.590928,6.685898,203353
8,2000-01-13,6.685898,6.685898,6.609922,6.628916,98715
9,2000-01-14,6.666904,6.685898,6.55294,6.55294,239220
10,2000-01-18,6.533946,6.628916,6.514951,6.628916,190849
11,2000-01-19,6.628916,6.74288,6.628916,6.704892,85882
12,2000-01-20,6.704892,6.704892,6.476963,6.476963,439283
13,2000-01-21,6.419981,6.457969,6.381993,6.457969,166829
14,2000-01-24,6.400987,6.457969,6.381993,6.381993,186901
15,2000-01-25,6.362999,6.457969,6.362999,6.419981,1101333
16,2000-01-26,6.438975,6.590928,6.438975,6.476963,426779
17,2000-01-27,6.457969,6.533946,6.438975,6.476963,98057
18,2000-01-28,6.381993,6.571934,6.381993,6.438975,603150
19,2000-01-31,6.457969,6.571934,6.438975,6.457969,223425
20,2000-02-01,6.476963,6.609922,6.438975,6.533946,696930
21,2000-02-02,6.55294,6.55294,6.419981,6.457969,847635
22,2000-02-03,6.419981,6.628916,6.419981,6.609922,641649
23,2000-02-04,6.609922,6.93282,6.609922,6.93282,539972
24,2000-02-07,6.875838,6.913826,6.799862,6.799862,265215
25,2000-02-08,6.780868,6.780868,6.609922,6.64791,103322
26,2000-02-09,6.685898,6.685898,6.533946,6.590928,284300
27,2000-02-10,6.590928,6.609922,6.533946,6.55294,179004
28,2000-02-11,6.55294,6.571934,6.533946,6.55294,349781
29,2000-02-14,6.533946,6.590928,6.495957,6.590928,273112
30,2000-02-15,6.55294,6.571934,6.514951,6.533946,225729
31,2000-02-16,6.533946,6.571934,6.514951,6.571934,734441
32,2000-02-17,6.590928,6.590928,6.533946,6.571934,567284
33,2000-02-18,6.533946,6.571934,6.514951,6.533946,803542
34,2000-02-22,6.533946,6.609922,6.533946,6.571934,272783
35,2000-02-23,6.609922,6.609922,6.514951,6.55294,806833
36,2000-02-24,6.533946,6.590928,6.514951,6.533946,329709
37,2000-02-25,6.514951,6.514951,6.476963,6.514951,433360
38,2000-02-28,6.476963,6.514951,6.419981,6.457969,331354
39,2000-02-29,6.457969,6.495957,6.381993,6.495957,754513
40,2000-03-01,6.495957,6.514951,6.457969,6.514951,193482
41,2000-03-02,6.476963,6.533946,6.457969,6.514951,341884
42,2000-03-03,6.533946,6.533946,6.457969,6.533946,382357
43,2000-03-06,6.495957,6.571934,6.495957,6.495957,87857
44,2000-03-07,6.457969,6.495957,6.381993,6.457969,768992
45,2000-03-08,6.457969,6.476963,6.400987,6.438975,591633
46,2000-03-09,6.438975,6.438975,6.381993,6.438975,533391
47,2000-03-10,6.419981,6.457969,6.419981,6.438975,171106
48,2000-03-13,6.400987,6.419981,6.362999,6.419981,131949
49,2000-03-14,6.381993,6.571934,6.381993,6.514951,191837
50,2000-03-15,6.476963,6.514951,6.268029,6.495957,190520
51,2000-03-16,6.495957,6.93282,6.344005,6.894832,333658
52,2000-03-17,6.723886,6.74288,6.533946,6.609922,237904
53,2000-03-20,6.533946,6.590928,6.457969,6.55294,121091
54,2000-03-21,6.476963,6.533946,6.381993,6.533946,168145
55,2000-03-22,6.533946,6.609922,6.495957,6.609922,118458
56,2000-03-23,6.609922,6.609922,6.381993,6.609922,314244
57,2000-03-24,6.533946,6.799862,6.457969,6.74288,190849
58,2000-03-27,6.818856,6.818856,6.685898,6.761874,135898
59,2000-03-28,6.64791,6.856844,6.609922,6.818856,224742
60,2000-03-29,6.780868,6.83785,6.723886,6.83785,218161
61,2000-03-30,6.799862,6.989802,6.799862,6.856844,252053
62,2000-03-31,6.856844,7.350689,6.818856,7.217731,640333
63,2000-04-03,7.179742,7.179742,6.989802,7.065778,87198
64,2000-04-04,7.02779,7.02779,6.818856,6.894832,224084
65,2000-04-05,6.780868,6.913826,6.723886,6.856844,262253
66,2000-04-06,6.894832,6.913826,6.818856,6.875838,114839
67,2000-04-07,6.818856,6.913826,6.761874,6.913826,162880
68,2000-04-10,6.989802,7.046784,6.913826,6.913826,320495
69,2000-04-11,6.989802,7.293707,6.989802,7.293707,390912
70,2000-04-12,7.255719,7.426665,7.255719,7.426665,329709
71,2000-04-13,7.369683,7.483647,7.331695,7.388677,350768
72,2000-04-14,7.312701,7.369683,6.951814,6.970808,338264
73,2000-04-17,6.970808,7.160748,6.913826,7.160748,192166
74,2000-04-18,7.160748,7.198736,7.008796,7.198736,159919
75,2000-04-19,7.160748,7.160748,6.780868,6.894832,207960
76,2000-04-20,6.894832,7.293707,6.799862,7.236725,258634
77,2000-04-24,7.179742,7.179742,6.875838,6.970808,158273
78,2000-04-25,7.046784,7.350689,6.989802,7.350689,135898
79,2000-04-26,7.331695,7.331695,7.065778,7.141754,142479
80,2000-04-27,7.141754,7.141754,6.913826,7.02779,129317
81,2000-04-28,6.951814,7.12276,6.951814,7.084772,82592
82,2000-05-01,7.141754,7.274713,7.12276,7.179742,99373
83,2000-05-02,7.255719,7.255719,6.913826,7.02779,100360
84,2000-05-03,7.02779,7.02779,6.83785,6.913826,64165
85,2000-05-04,6.989802,7.255719,6.913826,7.236725,233297
86,2000-05-05,7.312701,7.312701,7.160748,7.293707,62849
87,2000-05-08,7.255719,7.255719,7.160748,7.160748,53635
88,2000-05-09,7.217731,7.217731,7.103766,7.12276,146757
89,2000-05-10,7.141754,7.217731,7.065778,7.160748,63178
90,2000-05-11,7.160748,7.293707,7.160748,7.274713,71075
91,2000-05-12,7.293707,7.293707,6.989802,7.008796,154983
92,2000-05-15,6.989802,7.065778,6.83785,7.065778,335961
93,2000-05-16,7.065778,7.12276,6.818856,6.93282,204999
94,2000-05-17,6.989802,7.02779,6.93282,6.93282,103651
95,2000-05-18,6.951814,6.951814,6.856844,6.894832,60216
96,2000-05-19,6.875838,6.93282,6.856844,6.875838,179991
97,2000-05-22,6.856844,6.989802,6.83785,6.875838,120762
98,2000-05-23,6.913826,7.065778,6.875838,6.894832,93121
99,2000-05-24,6.93282,7.141754,6.93282,7.02779,174726
100,2000-05-25,6.989802,7.141754,6.989802,7.008796,169461
101,2000-05-26,7.293707,8.01548,7.293707,7.882521,1199719
102,2000-05-30,7.901516,7.958498,7.559623,7.863527,1104624
103,2000-05-31,7.825539,7.977492,7.825539,7.92051,431057
104,2000-06-01,7.901516,7.939504,7.825539,7.939504,541947
105,2000-06-02,7.92051,8.129444,7.92051,8.091456,276074
106,2000-06-05,8.091456,8.091456,7.92051,7.92051,258305
107,2000-06-06,7.996486,8.091456,7.939504,7.977492,302398
108,2000-06-07,7.977492,8.034474,7.901516,8.01548,228032
109,2000-06-08,8.034474,8.034474,7.939504,7.977492,99044
110,2000-06-09,7.958498,8.053468,7.958498,8.034474,250408
111,2000-06-12,7.977492,8.053468,7.825539,7.825539,997682
112,2000-06-13,7.825539,7.996486,7.825539,7.996486,291539
113,2000-06-14,7.939504,8.053468,7.939504,7.958498,138859
114,2000-06-15,7.958498,7.958498,7.673587,7.939504,258634
115,2000-06-16,7.958498,7.958498,7.711575,7.787551,190520
116,2000-06-19,7.825539,7.825539,7.635599,7.768557,184597
117,2000-06-20,7.749563,7.749563,7.483647,7.616605,136227
118,2000-06-21,7.616605,7.616605,7.426665,7.426665,242181
119,2000-06-22,7.369683,7.369683,7.103766,7.103766,255014
120,2000-06-23,7.103766,7.293707,7.103766,7.12276,422830
121,2000-06-26,7.198736,7.331695,7.198736,7.293707,135240
122,2000-06-27,7.445659,7.673587,7.445659,7.559623,225729
123,2000-06-28,7.597611,7.597611,7.160748,7.236725,309308
124,2000-06-29,7.217731,7.331695,7.179742,7.255719,312927
125,2000-06-30,7.293707,7.331695,6.93282,6.93282,590975
126,2000-07-03,7.008796,7.217731,7.008796,7.217731,77656
127,2000-07-05,7.141754,7.312701,7.141754,7.274713,126026
128,2000-07-06,7.274713,7.369683,7.198736,7.369683,137543
129,2000-07-07,7.331695,7.407671,7.312701,7.388677,100690
130,2000-07-10,7.369683,7.445659,7.331695,7.369683,64494
131,2000-07-11,7.141754,7.274713,7.141754,7.236725,404403
132,2000-07-12,7.293707,7.483647,7.217731,7.483647,174726
133,2000-07-13,7.445659,7.483647,7.331695,7.350689,49029
134,2000-07-14,7.407671,7.607108,7.369683,7.445659,205986
135,2000-07-17,7.426665,7.673587,7.426665,7.597611,233626
136,2000-07-18,7.597611,7.730569,7.597611,7.673587,320166
137,2000-07-19,7.654593,7.654593,7.578617,7.616605,336619
138,2000-07-20,7.597611,7.730569,7.578617,7.654593,234284
139,2000-07-21,7.654593,7.692581,7.616605,7.616605,32576
140,2000-07-24,7.616605,7.635599,7.559623,7.597611,278377
141,2000-07-25,7.597611,7.597611,7.407671,7.578617,78314
142,2000-07-26,7.635599,7.844533,7.540629,7.844533,199734
143,2000-07-27,7.825539,7.901516,7.787551,7.806545,159590
144,2000-07-28,7.806545,7.901516,7.521635,7.597611,360640
145,2000-07-31,7.521635,8.11045,7.521635,8.11045,328722
146,2000-08-01,8.034474,8.547312,8.034474,8.452342,364259
147,2000-08-02,8.433348,8.433348,8.129444,8.186426,261595
148,2000-08-03,8.186426,8.39536,8.11045,8.319384,114510
149,2000-08-04,8.319384,8.319384,8.072462,8.129444,126685
150,2000-08-07,8.20542,8.30039,8.053468,8.167432,167158
151,2000-08-08,8.243408,8.243408,8.01548,8.129444,81605
152,2000-08-09,8.129444,8.129444,7.711575,7.730569,265873
153,2000-08-10,7.730569,8.167432,7.730569,8.091456,161564
154,2000-08-11,8.11045,8.148438,7.825539,8.148438,177358
155,2000-08-14,8.148438,8.338378,8.129444,8.30039,133266
156,2000-08-15,8.30039,8.357372,8.224414,8.224414,478769
157,2000-08-16,8.224414,8.357372,8.20542,8.20542,151034
158,2000-08-17,8.20542,8.20542,8.148438,8.186426,71404
159,2000-08-18,8.20542,8.20542,8.129444,8.129444,51003
160,2000-08-21,8.129444,8.167432,8.01548,8.01548,25008
161,2000-08-22,7.901516,8.034474,7.825539,8.034474,112535
162,2000-08-23,8.034474,8.034474,7.749563,7.863527,74365
163,2000-08-24,7.863527,7.863527,7.654593,7.863527,113193
164,2000-08-25,7.863527,7.863527,7.635599,7.768557,74036
165,2000-08-28,7.768557,7.806545,7.711575,7.749563,82921
166,2000-08-29,7.749563,7.787551,7.521635,7.597611,205986
167,2000-08-30,7.597611,7.597611,7.521635,7.597611,148073
168,2000-08-31,7.597611,8.01548,7.597611,7.939504,160248
169,2000-09-01,7.977492,7.977492,7.768557,7.844533,81276
170,2000-09-05,7.844533,7.844533,7.483647,7.616605,121420
171,2000-09-06,7.597611,7.597611,7.445659,7.502641,124052
172,2000-09-07,7.426665,7.635599,7.350689,7.635599,169132
173,2000-09-08,7.635599,7.863527,7.635599,7.787551,38499
174,2000-09-11,7.768557,7.825539,7.711575,7.806545,134911
175,2000-09-12,7.768557,7.806545,7.673587,7.730569,98715
176,2000-09-13,7.692581,7.730569,7.350689,7.559623,193153
177,2000-09-14,7.502641,7.559623,7.350689,7.464653,115497
178,2000-09-15,7.445659,7.502641,7.388677,7.464653,232310
179,2000-09-18,7.464653,7.521635,7.369683,7.483647,160248
180,2000-09-19,7.483647,7.483647,7.331695,7.445659,133595
181,2000-09-20,7.483647,7.483647,7.369683,7.407671,39157
182,2000-09-21,7.445659,7.445659,7.331695,7.350689,40473
183,2000-09-22,7.293707,7.407671,7.255719,7.407671,69430
184,2000-09-25,7.407671,7.521635,7.407671,7.426665,61203
185,2000-09-26,7.483647,7.597611,7.407671,7.426665,102664
186,2000-09-27,7.369683,7.654593,7.350689,7.635599,119445
187,2000-09-28,7.673587,8.053468,7.673587,8.034474,321483
188,2000-09-29,8.11045,8.338378,8.072462,8.129444,408352
189,2000-10-02,8.20542,8.20542,7.692581,7.730569,168474
190,2000-10-03,7.806545,7.958498,7.692581,7.692581,165184
191,2000-10-04,7.692581,7.768557,7.369683,7.483647,161235
192,2000-10-05,7.407671,7.559623,7.407671,7.502641,125368
193,2000-10-06,7.426665,7.445659,7.217731,7.312701,159590
194,2000-10-09,7.445659,7.445659,7.217731,7.236725,89502
195,2000-10-10,7.160748,7.293707,7.12276,7.12276,85224
196,2000-10-11,7.084772,7.331695,7.084772,7.160748,91805
197,2000-10-12,7.179742,7.179742,7.02779,7.084772,85882
