,Date,Open,High,Low,Close,Volume
0,2000-01-03,49.833332,50.25,48.083332,48.583332,12019200
1,2000-01-04,47.083332,47.458332,46.125,47.25,11723400
2,2000-01-05,46.833332,48.375,46.0,46.958332,8714550
3,2000-01-06,46.75,48.625,46.5,47.625,8369250
4,2000-01-07,48.416668,49.0,47.333332,48.5,6571950
5,2000-01-10,48.5,48.916668,47.666668,47.666668,4723500
6,2000-01-11,46.666668,46.958332,45.5,46.541668,8405550
7,2000-01-12,46.458332,47.25,46.333332,46.833332,7271850
8,2000-01-13,47.416668,48.333332,47.041668,47.541668,6918900
9,2000-01-14,49.291668,50.5,48.541668,49.25,9731850
10,2000-01-18,49.291668,49.666668,46.833332,47.333332,5296650
11,2000-01-19,48.166668,50.25,48.166668,49.416668,15734700
12,2000-01-20,50.25,50.666668,48.5,49.375,7770300
13,2000-01-21,49.25,49.333332,48.416668,48.625,5160600
14,2000-01-24,49.583332,49.708332,48.125,48.666668,6459150
15,2000-01-25,48.666668,50.5,48.666668,49.75,7579950
16,2000-01-26,50.25,52.666668,50.0,52.291668,8386650
17,2000-01-27,52.958332,54.333332,52.375,53.791668,8165850
18,2000-01-28,53.041668,53.041668,51.083332,51.125,7500000
19,2000-01-31,51.208332,54.333332,51.208332,53.791668,7160250
20,2000-02-01,54.958332,56.333332,54.208332,55.833332,9651000
21,2000-02-02,55.333332,56.125,54.25,54.916668,7126200
22,2000-02-03,55.666668,56.583332,53.5,55.458332,9200250
23,2000-02-04,55.0,55.541668,54.375,54.5,5115150
24,2000-02-07,54.791668,55.583332,54.5,54.791668,4684200
25,2000-02-08,56.041668,57.416668,56.0,56.708332,6318600
26,2000-02-09,56.625,57.583332,54.958332,55.25,9818550
27,2000-02-10,55.416668,55.833332,54.25,55.416668,6880500
28,2000-02-11,55.5,56.666668,54.666668,55.083332,7052550
29,2000-02-14,54.833332,55.625,52.708332,52.708332,5904750
30,2000-02-15,53.375,55.0,53.083332,54.041668,8965500
31,2000-02-16,54.0,54.791668,52.666668,53.0,4829700
32,2000-02-17,53.75,54.333332,51.875,52.25,5716200
33,2000-02-18,52.041668,52.375,49.708332,49.833332,8121300
34,2000-02-22,50.666668,52.583332,50.083332,51.5,7068600
35,2000-02-23,51.583332,52.791668,51.041668,51.583332,4452900
36,2000-02-24,51.5,51.708332,49.75,50.666668,5199900
37,2000-02-25,51.083332,52.5,49.916668,50.583332,4644300
38,2000-02-28,51.166668,53.5,50.916668,51.958332,6051000
39,2000-02-29,51.791668,54.0,51.791668,53.083332,6166950
40,2000-03-01,53.25,54.666668,52.583332,54.666668,4866300
41,2000-03-02,53.666668,54.083332,53.166668,53.708332,3583800
42,2000-03-03,54.666668,54.916668,52.916668,54.083332,5981400
43,2000-03-06,55.291668,56.25,54.833332,55.625,5691450
44,2000-03-07,55.625,56.125,54.0,54.541668,4566900
45,2000-03-08,53.833332,54.291668,52.416668,52.666668,5247750
46,2000-03-09,52.5,54.166668,52.041668,54.083332,3979500
47,2000-03-10,53.333332,54.375,51.833332,52.458332,5311350
48,2000-03-13,51.75,54.125,51.416668,53.375,4723350
49,2000-03-14,53.666668,53.958332,52.333332,52.666668,4129650
50,2000-03-15,51.916668,56.125,51.458332,55.416668,8861700
51,2000-03-16,56.625,60.25,56.125,60.083332,15634950
52,2000-03-17,59.5,61.5,59.0,60.666668,11889150
53,2000-03-20,60.0,60.333332,56.333332,57.708332,8076150
54,2000-03-21,57.625,61.666668,57.0,61.333332,8345550
55,2000-03-22,60.416668,61.416668,59.166668,61.041668,8604150
56,2000-03-23,60.666668,66.125,60.625,65.666664,10431450
57,2000-03-24,64.666664,67.166664,64.0,64.125,9489000
58,2000-03-27,64.0,64.583336,62.375,63.125,4828950
59,2000-03-28,62.5,63.833332,62.083332,62.833332,7325700
60,2000-03-29,62.833332,63.0,59.541668,60.25,9088350
61,2000-03-30,59.625,60.5,57.291668,58.0,8017200
62,2000-03-31,58.666668,58.916668,57.333332,58.125,6805050
63,2000-04-03,58.625,62.0,58.541668,61.666668,8509500
64,2000-04-04,61.0,61.25,55.333332,57.833332,12638700
65,2000-04-05,56.166668,57.958332,56.166668,57.583332,7310700
66,2000-04-06,58.0,58.833332,57.875,58.291668,4853400
67,2000-04-07,58.833332,58.833332,57.333332,57.583332,4914150
68,2000-04-10,57.0,59.375,56.75,58.75,7864950
69,2000-04-11,58.0,58.583332,56.666668,57.333332,8217150
70,2000-04-12,58.625,60.625,57.666668,57.875,9133350
71,2000-04-13,57.333332,57.833332,56.166668,56.333332,6781050
72,2000-04-14,54.666668,54.916668,50.5,52.583332,13084500
73,2000-04-17,51.666668,52.958332,49.958332,52.416668,8708700
74,2000-04-18,52.166668,53.958332,52.041668,53.666668,6833400
75,2000-04-19,53.833332,54.0,50.416668,52.0,9057150
76,2000-04-20,52.083332,52.125,50.833332,51.541668,4540650
77,2000-04-24,50.666668,50.958332,49.625,49.833332,7792800
78,2000-04-25,50.5,52.375,50.166668,52.041668,6327150
79,2000-04-26,52.5,52.5,50.791668,50.958332,5500500
80,2000-04-27,50.083332,50.333332,48.875,49.25,9298200
81,2000-04-28,49.5,49.791668,47.833332,48.083332,8603250
82,2000-05-01,48.333332,50.25,47.708332,49.166668,8439750
83,2000-05-02,49.208332,51.333332,48.916668,50.75,8411250
84,2000-05-03,50.125,51.166668,49.5,49.5,9320550
85,2000-05-04,50.083332,50.291668,48.583332,48.833332,6172200
86,2000-05-05,48.0,48.5,47.0,48.125,14505150
87,2000-05-08,47.75,48.791668,47.541668,48.0,5497650
88,2000-05-09,48.166668,48.458332,47.25,47.25,6378000
89,2000-05-10,47.125,47.125,45.833332,45.833332,6616050
