,Date,Open,High,Low,Close,Volume
0,2000-01-03,13.09375,13.1875,12.75,12.875,882200
1,2000-01-04,12.625,12.75,12.34375,12.375,696800
2,2000-01-05,12.34375,12.46875,12.09375,12.15625,556200
3,2000-01-06,12.3125,12.96875,12.15625,12.75,1264800
4,2000-01-07,13.125,13.1875,12.625,12.75,869800
5,2000-01-10,12.6875,12.71875,12.5,12.625,444600
6,2000-01-11,12.5625,12.625,12.34375,12.46875,1162800
7,2000-01-12,12.4375,12.46875,11.90625,11.96875,762800
8,2000-01-13,11.875,11.875,11.28125,11.4375,1588200
9,2000-01-14,11.5625,11.84375,11.46875,11.59375,954600
10,2000-01-18,11.34375,11.5,11.125,11.25,989800
11,2000-01-19,11.25,11.78125,11.15625,11.625,943000
12,2000-01-20,11.625,11.6875,11.3125,11.34375,785800
13,2000-01-21,11.5,11.625,11.125,11.15625,748600
14,2000-01-24,11.25,11.3125,10.9375,10.9375,828600
15,2000-01-25,10.875,11.15625,10.84375,10.96875,800000
16,2000-01-26,11.03125,11.53125,10.9375,11.4375,860400
17,2000-01-27,11.4375,11.5625,11.125,11.25,1138400
18,2000-01-28,11.125,11.1875,10.8125,10.90625,892200
19,2000-01-31,10.90625,11.0,10.65625,11.0,898200
20,2000-02-01,10.96875,11.15625,10.6875,11.03125,852000
21,2000-02-02,11.0,11.25,10.9375,11.0625,578000
22,2000-02-03,11.09375,11.6875,11.09375,11.25,1094000
23,2000-02-04,11.3125,11.5,11.1875,11.5,1251000
24,2000-02-07,11.46875,11.625,11.28125,11.3125,1569800
25,2000-02-08,11.3125,12.125,11.3125,11.875,1053000
26,2000-02-09,11.75,11.84375,11.4375,11.4375,1945400
27,2000-02-10,11.4375,11.65625,11.4375,11.46875,1234000
28,2000-02-11,11.46875,11.46875,11.0,11.0,1961600
29,2000-02-14,10.625,10.6875,9.5,10.5,4257000
30,2000-02-15,10.25,10.28125,10.125,10.21875,993200
31,2000-02-16,10.28125,10.28125,9.625,9.78125,1363200
32,2000-02-17,9.75,9.9375,9.125,9.9375,2174200
33,2000-02-18,10.34375,10.71875,10.03125,10.5,2130000
34,2000-02-22,10.53125,10.875,10.5,10.625,1613000
35,2000-02-23,10.5,10.625,10.5,10.5,865000
36,2000-02-24,10.5,10.5,9.9375,10.0,1776000
37,2000-02-25,10.03125,10.625,10.0,10.1875,1099400
38,2000-02-28,10.25,10.5,10.125,10.21875,960800
39,2000-02-29,10.125,10.875,10.0625,10.65625,1988200
40,2000-03-01,10.65625,10.78125,10.5,10.65625,464800
41,2000-03-02,10.78125,11.21875,10.5625,10.6875,1357200
42,2000-03-03,11.125,12.0,11.0,11.25,1637200
43,2000-03-06,11.25,11.25,10.8125,11.0,1032600
44,2000-03-07,10.78125,10.84375,10.5625,10.625,790600
45,2000-03-08,10.53125,11.0625,10.4375,10.90625,798800
46,2000-03-09,10.9375,11.46875,10.90625,11.15625,837600
47,2000-03-10,11.3125,11.3125,11.0,11.0625,648600
48,2000-03-13,10.96875,10.96875,10.65625,10.78125,678600
49,2000-03-14,10.875,10.9375,10.53125,10.625,1002000
50,2000-03-15,10.59375,11.625,10.59375,11.625,1186600
51,2000-03-16,11.6875,12.75,11.6875,12.4375,2197000
52,2000-03-17,12.4375,12.4375,11.8125,11.96875,1402400
53,2000-03-20,12.3125,12.4375,11.75,12.0625,1047200
54,2000-03-21,12.0625,12.5625,11.9375,12.46875,1177000
55,2000-03-22,12.21875,12.375,11.9375,12.3125,584600
56,2000-03-23,12.375,13.875,12.21875,13.78125,2851800
57,2000-03-24,13.8125,15.125,13.75,14.0,2583200
58,2000-03-27,14.125,14.75,14.0625,14.40625,1282200
59,2000-03-28,14.28125,14.46875,14.03125,14.03125,933400
60,2000-03-29,14.0,14.34375,13.59375,13.8125,1146400
61,2000-03-30,13.6875,14.1875,13.28125,14.09375,1573600
62,2000-03-31,14.40625,14.96875,14.09375,14.75,2177600
63,2000-04-03,14.96875,15.4375,14.59375,15.15625,1941600
64,2000-04-04,15.375,16.4375,14.71875,15.46875,3195200
65,2000-04-05,15.25,16.5,15.1875,16.28125,1828400
66,2000-04-06,16.25,16.375,15.8125,15.96875,1606400
67,2000-04-07,15.875,16.0,15.53125,15.84375,947400
68,2000-04-10,15.78125,16.34375,15.71875,16.0,673200
69,2000-04-11,16.0,16.15625,15.84375,16.09375,921000
70,2000-04-12,16.25,17.25,16.1875,16.875,1698200
71,2000-04-13,17.0625,17.1875,16.65625,16.78125,971200
72,2000-04-14,15.5,16.125,14.5,14.75,2118000
73,2000-04-17,14.625,14.75,13.75,13.96875,1409800
74,2000-04-18,14.09375,15.21875,14.0625,14.9375,932000
75,2000-04-19,14.84375,15.375,14.84375,15.25,539400
76,2000-04-20,15.0,15.0625,14.65625,14.8125,750800
77,2000-04-24,14.9375,15.5625,14.90625,15.5,2033000
78,2000-04-25,15.53125,16.375,15.5,16.28125,1715000
79,2000-04-26,16.34375,16.34375,15.40625,15.4375,2027000
80,2000-04-27,15.125,15.125,14.0,14.1875,1638000
81,2000-04-28,14.1875,14.25,13.75,13.90625,1235000
