,Date,Open,High,Low,Close,Volume
0,2000-01-03,35.625,35.9375,34.375,35.9375,2020
1,2000-01-04,35.3125,35.9375,35.0,35.9375,1680
2,2000-01-05,35.9375,35.9375,35.0,35.9375,1980
3,2000-01-06,35.9375,35.9375,35.3125,35.9375,320
4,2000-01-07,35.3125,35.3125,33.75,34.6875,3620
5,2000-01-10,34.375,35.0,33.75,35.0,2200
6,2000-01-11,34.375,35.0,33.125,35.0,2740
7,2000-01-12,35.0,35.0,34.0625,35.0,340
8,2000-01-13,34.375,35.3125,34.375,35.3125,480
9,2000-01-14,35.3125,35.3125,35.0,35.0,180
10,2000-01-18,35.0,35.625,35.0,35.3125,1240
11,2000-01-19,35.0,36.25,35.0,35.625,6180
12,2000-01-20,35.3125,36.25,35.3125,35.3125,3980
13,2000-01-21,35.0,35.625,35.0,35.625,1120
14,2000-01-24,35.625,36.875,35.3125,35.9375,12440
15,2000-01-25,35.625,36.25,35.0,35.625,3380
16,2000-01-26,35.3125,36.875,35.3125,36.5625,9300
17,2000-01-27,36.875,37.1875,36.25,36.5625,1140
18,2000-01-28,36.25,36.875,35.625,36.875,2340
19,2000-01-31,36.875,39.375,36.5625,37.5,7580
20,2000-02-01,37.8125,38.4375,36.875,37.8125,3360
21,2000-02-02,37.8125,37.8125,37.1875,37.8125,500
22,2000-02-03,36.875,38.75,36.875,38.75,2280
23,2000-02-04,38.75,41.25,38.75,40.0,9760
24,2000-02-07,40.9375,41.25,40.0,40.625,2200
25,2000-02-08,40.625,41.25,40.3125,40.9375,5200
26,2000-02-09,40.3125,41.25,40.3125,40.625,2360
27,2000-02-10,40.0,40.625,37.8125,39.6875,6900
28,2000-02-11,40.0,40.0,40.0,40.0,40
29,2000-02-14,38.75,40.0,38.125,38.4375,3040
30,2000-02-15,38.4375,38.75,37.5,38.75,1220
31,2000-02-16,38.75,38.75,38.125,38.4375,360
32,2000-02-17,38.125,38.75,38.125,38.4375,3540
33,2000-02-18,37.5,38.75,37.5,38.4375,1120
34,2000-02-22,38.125,38.125,37.5,38.125,720
35,2000-02-23,37.5,37.5,35.0,37.1875,12160
36,2000-02-24,36.5625,36.875,36.25,36.5625,1140
37,2000-02-25,37.5,37.5,35.9375,35.9375,440
38,2000-02-28,36.25,36.25,35.625,36.25,1800
39,2000-02-29,35.0,35.625,34.375,35.625,2080
40,2000-03-01,34.375,36.25,34.375,35.9375,980
41,2000-03-02,35.0,35.625,34.6875,34.6875,3260
42,2000-03-03,34.6875,36.25,34.6875,35.625,1100
43,2000-03-06,35.0,35.625,34.6875,35.3125,500
44,2000-03-07,35.0,35.625,34.6875,34.6875,2180
45,2000-03-08,34.6875,35.0,34.6875,34.6875,740
46,2000-03-09,34.6875,35.625,34.375,35.3125,2500
47,2000-03-10,35.0,35.625,35.0,35.0,4820
48,2000-03-13,34.375,35.0,34.375,35.0,1560
49,2000-03-14,34.6875,35.3125,34.375,34.6875,460
50,2000-03-15,34.375,35.0,33.75,34.0625,1100
51,2000-03-16,33.125,35.0,33.125,34.375,2300
52,2000-03-17,33.75,34.375,32.5,32.8125,3520
53,2000-03-20,32.8125,33.4375,31.25,32.1875,1820
54,2000-03-21,32.1875,32.5,31.875,32.1875,1060
55,2000-03-22,31.875,35.0,31.875,35.0,5280
56,2000-03-23,35.3125,35.3125,33.75,34.375,920
57,2000-03-24,33.4375,34.375,33.4375,33.75,4060
58,2000-03-27,33.125,34.6875,33.125,34.0625,4040
59,2000-03-28,33.4375,34.375,33.4375,34.0625,2560
60,2000-03-29,33.75,34.375,33.125,33.75,1600
