,Date,Open,High,Low,Close,Volume
0,2000-01-03,10.25,10.25,10.0,10.03125,37400
1,2000-01-04,10.0,10.03125,9.25,9.625,88000
2,2000-01-05,9.625,9.71875,9.5,9.5,262000
3,2000-01-06,9.5,9.59375,9.125,9.15625,170000
4,2000-01-07,9.125,9.125,8.9375,9.0,154000
5,2000-01-10,8.96875,9.0625,8.875,9.0,20400
6,2000-01-11,9.0,9.375,9.0,9.375,51000
7,2000-01-12,9.375,9.65625,9.15625,9.65625,37400
8,2000-01-13,9.6875,10.0,9.6875,9.84375,28800
9,2000-01-14,9.84375,9.84375,9.53125,9.53125,24200
10,2000-01-18,9.53125,9.59375,9.4375,9.59375,34600
11,2000-01-19,9.625,9.6875,9.59375,9.625,63800
12,2000-01-20,9.5625,9.59375,9.5,9.59375,52800
13,2000-01-21,9.46875,9.5,9.375,9.46875,40800
14,2000-01-24,9.75,10.125,9.75,9.84375,96600
15,2000-01-25,9.875,9.875,9.625,9.625,32600
16,2000-01-26,9.625,9.75,9.5625,9.65625,24600
17,2000-01-27,9.59375,9.625,9.40625,9.40625,38600
18,2000-01-28,9.40625,9.4375,9.28125,9.4375,21600
19,2000-01-31,9.40625,9.4375,9.3125,9.3125,28000
20,2000-02-01,9.34375,9.34375,8.96875,8.96875,26400
21,2000-02-02,9.03125,9.125,9.03125,9.0625,19400
22,2000-02-03,9.15625,9.4375,9.15625,9.3125,37000
23,2000-02-04,9.375,9.375,9.21875,9.375,35400
24,2000-02-07,9.3125,9.375,9.21875,9.28125,30000
25,2000-02-08,9.3125,9.375,9.125,9.1875,69000
26,2000-02-09,9.1875,9.25,9.03125,9.03125,55000
27,2000-02-10,9.03125,9.0625,9.0,9.03125,34000
28,2000-02-11,9.03125,9.03125,8.9375,8.96875,49400
29,2000-02-14,8.96875,9.0,8.9375,8.9375,85000
30,2000-02-15,9.0,9.0,8.9375,8.96875,550800
31,2000-02-16,8.9375,8.96875,8.8125,8.90625,475600
32,2000-02-17,8.96875,9.0,8.90625,8.96875,41400
33,2000-02-18,9.0,9.0,8.875,8.90625,35400
34,2000-02-22,8.90625,8.96875,8.8125,8.875,70800
35,2000-02-23,8.875,9.25,8.859375,9.125,478400
36,2000-02-24,9.125,9.40625,9.03125,9.34375,136800
37,2000-02-25,9.34375,9.34375,8.96875,8.96875,18800
38,2000-02-28,8.90625,9.28125,8.84375,9.28125,27400
39,2000-02-29,9.21875,9.6875,9.0,9.6875,41200
40,2000-03-01,9.6875,9.78125,9.6875,9.71875,54400
41,2000-03-02,9.75,9.75,9.65625,9.65625,17600
42,2000-03-03,9.59375,9.59375,9.46875,9.5,17600
43,2000-03-06,9.46875,9.46875,9.4375,9.46875,1000
44,2000-03-07,9.40625,9.4375,9.1875,9.1875,33200
45,2000-03-08,9.0625,9.15625,9.03125,9.15625,31200
46,2000-03-09,9.125,9.375,9.09375,9.375,14800
47,2000-03-10,9.4375,9.53125,9.375,9.375,24800
48,2000-03-13,9.34375,9.4375,9.34375,9.4375,15400
49,2000-03-14,9.375,9.4375,9.3125,9.4375,28200
50,2000-03-15,9.375,9.4375,9.28125,9.40625,45000
51,2000-03-16,9.40625,10.125,9.40625,10.125,136600
52,2000-03-17,10.0,10.0625,9.8125,10.0,116600
53,2000-03-20,9.9375,9.9375,9.78125,9.78125,60400
54,2000-03-21,9.75,9.78125,9.5625,9.5625,38600
55,2000-03-22,9.625,9.8125,9.59375,9.8125,31400
56,2000-03-23,9.8125,9.8125,9.6875,9.6875,54400
57,2000-03-24,9.6875,9.6875,9.5,9.53125,15400
58,2000-03-27,9.46875,9.5,9.25,9.5,59000
59,2000-03-28,9.5,9.5,9.40625,9.40625,23400
60,2000-03-29,9.40625,9.84375,9.40625,9.84375,88600
61,2000-03-30,9.875,10.125,9.875,10.0,111000
62,2000-03-31,10.0625,10.1875,9.875,9.875,196000
63,2000-04-03,9.96875,10.03125,9.90625,10.0,38000
64,2000-04-04,9.96875,10.0,9.8125,10.0,84800
65,2000-04-05,9.9375,10.375,9.9375,10.375,46000
66,2000-04-06,10.375,10.4375,10.25,10.28125,26400
67,2000-04-07,10.28125,10.375,10.25,10.375,140400
68,2000-04-10,10.375,10.375,10.09375,10.09375,21200
69,2000-04-11,10.0,10.03125,9.9375,10.03125,23600
70,2000-04-12,10.09375,10.21875,10.09375,10.1875,9600
71,2000-04-13,10.25,10.5,10.1875,10.4375,48000
72,2000-04-14,10.46875,10.46875,10.0625,10.1875,38600
73,2000-04-17,10.15625,10.25,10.0625,10.25,19400
74,2000-04-18,10.3125,10.5625,10.3125,10.5625,48400
75,2000-04-19,10.65625,10.78125,10.5625,10.71875,70200
76,2000-04-20,10.59375,10.59375,10.375,10.40625,70400
77,2000-04-24,10.375,10.40625,10.3125,10.375,10800
78,2000-04-25,10.375,10.5,10.3125,10.4375,22200
79,2000-04-26,10.4375,10.4375,10.15625,10.1875,29000
80,2000-04-27,10.1875,10.1875,10.0,10.1875,34400
81,2000-04-28,10.15625,10.34375,10.140625,10.34375,204600
82,2000-05-01,10.34375,10.5,10.3125,10.5,64200
83,2000-05-02,10.5,10.5,10.375,10.4375,21400
84,2000-05-03,10.4375,10.5,10.25,10.5,79200
85,2000-05-04,10.5,10.6875,10.5,10.6875,52000
86,2000-05-05,10.65625,10.9375,10.65625,10.9375,33400
87,2000-05-08,11.0,11.03125,10.96875,11.03125,245000
88,2000-05-09,11.03125,11.09375,11.0,11.09375,26400
89,2000-05-10,11.03125,11.15625,11.0,11.15625,101400
90,2000-05-11,11.1875,11.1875,11.0,11.15625,47400
91,2000-05-12,11.15625,11.625,11.125,11.59375,60800
92,2000-05-15,11.59375,12.25,11.59375,12.25,50800
93,2000-05-16,12.125,12.3125,12.125,12.3125,277800
94,2000-05-17,12.25,12.28125,12.0,12.0,106000
95,2000-05-18,12.0,12.0,11.625,11.625,73400
96,2000-05-19,11.625,11.65625,11.59375,11.59375,5600
97,2000-05-22,11.59375,11.59375,11.5,11.5,13600
98,2000-05-23,11.5,11.5,11.1875,11.25,29400
99,2000-05-24,11.1875,11.21875,10.9375,11.125,45400
100,2000-05-25,11.125,11.15625,11.0625,11.0625,300800
101,2000-05-26,11.125,11.125,10.9375,10.9375,15000
102,2000-05-30,10.875,10.875,10.75,10.8125,56600
103,2000-05-31,10.84375,11.0625,10.84375,11.0625,46600
104,2000-06-01,11.0625,11.0625,10.8125,10.84375,56000
105,2000-06-02,10.96875,11.03125,10.875,10.875,65000
106,2000-06-05,10.875,10.875,10.5625,10.5625,50600
107,2000-06-06,10.5625,10.59375,10.4375,10.4375,26200
108,2000-06-07,10.4375,10.5625,10.40625,10.5625,23800
109,2000-06-08,10.5,10.5,10.375,10.4375,23600
110,2000-06-09,10.375,10.5625,10.34375,10.5625,63600
111,2000-06-12,10.6875,10.875,10.6875,10.78125,48400
112,2000-06-13,10.78125,10.78125,10.65625,10.6875,81600
113,2000-06-14,10.6875,10.71875,10.375,10.40625,89200
114,2000-06-15,10.3125,10.375,10.03125,10.03125,67000
115,2000-06-16,10.09375,10.125,9.9375,10.0,93600
116,2000-06-19,10.0,10.125,10.0,10.125,22600
117,2000-06-20,10.125,10.1875,10.0625,10.15625,87200
118,2000-06-21,10.125,10.34375,10.0625,10.3125,88000
119,2000-06-22,10.3125,10.34375,10.21875,10.3125,45200
120,2000-06-23,10.25,10.34375,10.25,10.28125,22000
121,2000-06-26,10.21875,10.375,10.21875,10.375,26400
122,2000-06-27,10.3125,10.4375,10.25,10.3125,26800
123,2000-06-28,10.375,10.5,10.25,10.5,29600
124,2000-06-29,10.5,10.5,10.375,10.40625,23200
125,2000-06-30,10.375,10.625,10.375,10.617188,181800
126,2000-07-03,10.5,10.625,10.5,10.625,44400
127,2000-07-05,10.625,10.71875,10.5625,10.5625,34000
128,2000-07-06,10.5625,10.6875,10.5625,10.6875,98000
129,2000-07-07,10.6875,10.6875,10.53125,10.59375,97800
130,2000-07-10,10.5625,10.5625,10.5,10.53125,40200
131,2000-07-11,10.5,10.625,10.375,10.625,155200
132,2000-07-12,10.625,10.96875,10.625,10.90625,56800
133,2000-07-13,10.96875,11.25,10.875,11.25,72400
134,2000-07-14,11.25,11.4375,11.21875,11.375,58000
135,2000-07-17,11.40625,11.4375,11.25,11.28125,17200
136,2000-07-18,11.34375,11.34375,11.1875,11.1875,42000
137,2000-07-19,11.21875,11.25,11.125,11.1875,237200
138,2000-07-20,11.1875,11.46875,11.09375,11.40625,63200
139,2000-07-21,11.28125,11.46875,11.25,11.25,48600
140,2000-07-24,11.28125,11.28125,10.875,10.875,66000
141,2000-07-25,10.875,11.0625,10.8125,11.0625,47600
142,2000-07-26,11.03125,11.3125,11.03125,11.3125,30200
143,2000-07-27,11.28125,11.3125,11.15625,11.15625,44000
144,2000-07-28,11.125,11.125,11.0,11.0,20400
145,2000-07-31,11.0,11.15625,10.9375,11.15625,61400
146,2000-08-01,11.125,11.34375,11.0625,11.34375,128200
147,2000-08-02,11.28125,11.375,11.21875,11.375,38000
148,2000-08-03,11.3125,11.4375,11.3125,11.40625,163800
149,2000-08-04,11.421875,11.4375,11.375,11.40625,21400
150,2000-08-07,11.40625,11.5625,11.375,11.5,28400
151,2000-08-08,11.5625,11.5625,11.40625,11.5,14000
152,2000-08-09,11.46875,11.5,11.3125,11.46875,42400
153,2000-08-10,11.46875,11.5625,11.46875,11.5,26400
154,2000-08-11,11.5,11.84375,11.5,11.8125,32400
155,2000-08-14,11.75,11.75,11.625,11.75,44200
156,2000-08-15,11.75,11.75,11.59375,11.65625,8600
157,2000-08-16,11.59375,11.71875,11.5625,11.71875,41200
158,2000-08-17,11.65625,11.6875,11.625,11.6875,12000
159,2000-08-18,11.71875,11.75,11.53125,11.53125,28000
160,2000-08-21,11.65625,11.75,11.59375,11.59375,40600
161,2000-08-22,11.53125,11.6875,11.53125,11.65625,19800
162,2000-08-23,11.6875,11.75,11.625,11.6875,12200
163,2000-08-24,11.625,11.65625,11.59375,11.65625,7600
164,2000-08-25,11.6875,11.78125,11.6875,11.78125,9400
165,2000-08-28,11.78125,11.875,11.78125,11.875,12400
166,2000-08-29,11.875,11.96875,11.875,11.9375,28800
167,2000-08-30,11.875,11.875,11.625,11.75,17200
168,2000-08-31,11.75,11.78125,11.59375,11.78125,28200
169,2000-09-01,11.78125,12.0,11.6875,12.0,72800
170,2000-09-05,12.0,12.0,11.8125,11.875,18800
171,2000-09-06,11.8125,11.875,11.6875,11.8125,17200
172,2000-09-07,11.8125,11.96875,11.8125,11.96875,10800
173,2000-09-08,11.96875,11.96875,11.84375,11.84375,36000
174,2000-09-11,11.84375,11.875,11.6875,11.75,109400
175,2000-09-12,11.75,11.75,11.5625,11.5625,26600
176,2000-09-13,11.53125,11.53125,11.4375,11.5,11600
177,2000-09-14,11.5,11.5625,11.25,11.5625,277600
178,2000-09-15,11.5,11.6875,11.4375,11.6875,58600
179,2000-09-18,11.5625,11.5625,11.375,11.375,116000
180,2000-09-19,11.28125,11.3125,11.25,11.3125,72000
181,2000-09-20,11.28125,11.40625,11.25,11.34375,23600
182,2000-09-21,10.9375,10.9375,10.34375,10.34375,211800
183,2000-09-22,10.34375,10.5,10.34375,10.5,18800
184,2000-09-25,10.375,10.375,10.0,10.0,20400
185,2000-09-26,10.0,10.0,9.5,9.625,94800
186,2000-09-27,9.625,9.875,9.625,9.625,124200
187,2000-09-28,9.65625,9.96875,9.65625,9.96875,42600
188,2000-09-29,9.9375,9.9375,9.78125,9.8125,98200
189,2000-10-02,9.78125,9.84375,9.75,9.78125,74000
190,2000-10-03,9.78125,9.78125,9.78125,9.78125,40200
191,2000-10-04,9.78125,9.78125,9.5,9.625,90600
192,2000-10-05,9.625,9.625,9.40625,9.4375,24400
193,2000-10-06,9.375,9.4375,8.875,8.875,201000
194,2000-10-09,8.875,9.15625,8.875,9.125,298000
195,2000-10-10,9.125,9.34375,9.125,9.28125,239200
196,2000-10-11,9.28125,9.34375,9.25,9.25,220200
197,2000-10-12,9.25,9.28125,9.125,9.21875,98200
198,2000-10-13,9.21875,9.5,9.21875,9.5,79600
199,2000-10-16,9.5625,9.5625,9.28125,9.28125,302600
200,2000-10-17,9.28125,9.28125,9.03125,9.03125,67800
201,2000-10-18,8.96875,9.03125,8.78125,8.84375,118000
202,2000-10-19,8.8125,9.03125,8.8125,9.03125,32400
203,2000-10-20,9.03125,9.25,9.03125,9.21875,15600
204,2000-10-23,9.21875,9.375,9.21875,9.3125,59400
205,2000-10-24,9.3125,9.375,9.15625,9.1875,587800
206,2000-10-25,9.1875,9.25,9.125,9.25,204200
207,2000-10-26,9.25,9.25,8.9375,9.15625,63600
208,2000-10-27,9.1875,9.1875,8.96875,9.0625,49000
209,2000-10-30,9.125,9.125,8.9375,9.0,37200
210,2000-10-31,9.0,9.21875,9.0,9.21875,51000
211,2000-11-01,9.21875,9.21875,8.875,8.96875,596800
212,2000-11-02,9.0625,9.0625,8.9375,9.03125,34400
213,2000-11-03,9.0625,9.09375,8.84375,9.0,49800
214,2000-11-06,8.9375,8.9375,8.6875,8.8125,344800
215,2000-11-07,8.875,8.9375,8.8125,8.9375,26800
216,2000-11-08,8.96875,9.25,8.96875,9.1875,21400
217,2000-11-09,9.21875,9.21875,9.0625,9.125,350400
218,2000-11-10,9.125,9.15625,9.0,9.0,14600
219,2000-11-13,9.0625,9.0625,8.9375,9.03125,52800
220,2000-11-14,9.09375,9.125,9.03125,9.125,51600
221,2000-11-15,9.125,9.3125,9.125,9.3125,471600
222,2000-11-16,9.375,9.5625,9.34375,9.4375,133400
223,2000-11-17,9.5625,9.5625,9.25,9.40625,35400
224,2000-11-20,9.375,9.375,8.6875,8.71875,64400
225,2000-11-21,8.75,9.03125,8.71875,9.03125,24600
226,2000-11-22,9.0625,9.09375,9.0,9.09375,48000
227,2000-11-24,9.125,9.15625,9.03125,9.15625,15000
228,2000-11-27,9.1875,9.40625,9.125,9.375,27400
229,2000-11-28,9.3125,9.3125,8.90625,8.90625,41000
230,2000-11-29,8.96875,8.96875,8.8125,8.8125,31800
231,2000-11-30,8.8125,8.875,8.625,8.625,29800
232,2000-12-01,8.6875,8.8125,8.625,8.78125,52000
233,2000-12-04,8.75,8.75,8.65625,8.6875,22800
