,Date,Open,High,Low,Close,Volume
0,2000-01-03,36.375,36.6875,36.375,36.625,86100
1,2000-01-04,36.5,36.5625,35.8125,35.8125,33300
2,2000-01-05,36.0,36.0,34.375,34.625,60300
3,2000-01-06,34.625,34.625,33.625,34.0,61700
4,2000-01-07,33.875,33.9375,33.5,33.875,136900
5,2000-01-10,34.0,34.5,34.0,34.4375,64500
6,2000-01-11,34.25,34.25,33.6875,33.75,63000
7,2000-01-12,33.75,33.75,32.9375,33.0,32600
8,2000-01-13,33.0,33.0625,32.0,32.9375,107500
9,2000-01-14,32.9375,32.9375,32.6875,32.6875,85900
10,2000-01-18,32.6875,34.75,32.6875,34.0,126300
11,2000-01-19,34.1875,39.0,34.1875,37.3125,79300
12,2000-01-20,37.4375,37.8125,36.5,37.4375,38800
13,2000-01-21,37.6875,38.0,36.75,37.4375,71000
14,2000-01-24,37.625,37.875,37.0,37.0,21700
15,2000-01-25,36.75,36.9375,35.75,35.8125,19800
16,2000-01-26,35.5625,35.5625,34.9375,35.1875,36100
17,2000-01-27,35.1875,36.25,34.75,34.75,44400
18,2000-01-28,34.5,34.625,33.8125,34.125,31800
19,2000-01-31,34.0,34.625,33.5,34.4375,34200
20,2000-02-01,34.375,34.375,33.4375,33.4375,14200
21,2000-02-02,33.625,33.9375,33.375,33.375,40800
22,2000-02-03,33.625,33.75,33.4375,33.75,9700
23,2000-02-04,33.6875,35.25,33.5625,35.25,33800
24,2000-02-07,35.5,36.75,35.5,36.75,44000
25,2000-02-08,37.75,37.75,36.5625,36.5625,51500
26,2000-02-09,36.1875,36.5,35.75,36.5,19500
27,2000-02-10,35.5,35.5,32.375,34.0,493300
28,2000-02-11,33.875,34.25,33.875,34.0625,9900
29,2000-02-14,34.0625,34.375,33.875,34.375,44200
30,2000-02-15,34.625,34.6875,34.5625,34.5625,12200
31,2000-02-16,34.625,34.75,34.5625,34.75,14600
32,2000-02-17,34.875,34.9375,34.625,34.9375,25400
33,2000-02-18,34.9375,35.375,34.875,35.3125,26400
34,2000-02-22,35.25,35.25,33.9375,33.9375,22900
35,2000-02-23,34.0625,34.0625,32.8125,33.5,34700
36,2000-02-24,33.625,33.6875,33.375,33.625,22500
37,2000-02-25,33.625,33.875,33.5,33.5625,11900
38,2000-02-28,33.625,33.625,33.1875,33.375,36200
39,2000-02-29,33.5625,37.5,33.5625,37.5,37200
40,2000-03-01,38.5,42.875,38.25,42.0,116300
41,2000-03-02,42.25,42.25,40.8125,40.9375,82200
42,2000-03-03,42.6875,44.125,41.9375,42.4375,94800
43,2000-03-06,42.75,42.875,40.0,40.5,81700
44,2000-03-07,40.625,40.75,39.0,40.0,135300
45,2000-03-08,40.0,40.0,38.8125,38.9375,106700
46,2000-03-09,39.1875,40.0625,38.125,38.3125,321700
47,2000-03-10,38.375,38.375,34.0,34.5625,277200
48,2000-03-13,33.75,33.75,31.125,31.1875,228500
49,2000-03-14,31.3125,32.0625,31.3125,31.5625,164400
50,2000-03-15,31.375,31.375,30.75,30.9375,76800
51,2000-03-16,31.0,31.125,30.875,30.875,17600
52,2000-03-17,30.0,30.0,28.8125,28.875,95100
53,2000-03-20,28.75,29.875,28.625,29.625,172200
54,2000-03-21,29.625,29.8125,28.75,29.3125,231700
55,2000-03-22,29.5625,31.125,29.5625,30.8125,75900
56,2000-03-23,31.0625,31.25,30.9375,30.9375,40800
57,2000-03-24,31.4375,32.0,31.4375,31.5625,165900
58,2000-03-27,31.625,32.625,31.4375,32.5,60200
59,2000-03-28,32.5,32.75,32.375,32.75,27900
60,2000-03-29,32.6875,32.6875,31.875,32.0,43000
61,2000-03-30,31.5625,31.625,29.0,29.0,68800
62,2000-03-31,29.0,30.375,28.4375,29.75,66700
63,2000-04-03,29.75,29.75,27.875,28.25,70800
64,2000-04-04,28.125,28.375,24.625,25.375,112700
65,2000-04-05,25.25,25.5,24.375,25.1875,171900
66,2000-04-06,25.25,25.625,24.9375,25.25,54300
67,2000-04-07,25.25,25.625,24.375,24.375,38300
68,2000-04-10,24.5,24.5,23.75,23.75,78700
69,2000-04-11,23.9375,23.9375,22.5,22.75,108000
70,2000-04-12,22.75,23.1875,21.5,21.6875,111300
71,2000-04-13,21.9375,22.5625,21.75,22.0625,99600
72,2000-04-14,22.0,22.75,21.75,21.875,98000
73,2000-04-17,21.375,22.5,21.375,22.375,85100
74,2000-04-18,22.625,23.75,22.625,23.75,149000
75,2000-04-19,23.5625,26.25,23.5625,25.8125,252800
76,2000-04-20,25.8125,26.0,25.625,25.75,223500
77,2000-04-24,25.75,26.25,25.75,26.0625,29100
78,2000-04-25,25.8125,27.5,25.8125,27.3125,73200
79,2000-04-26,27.5625,28.125,26.75,26.8125,113000
80,2000-04-27,26.5625,26.9375,26.3125,26.75,51300
81,2000-04-28,26.5,26.5625,26.25,26.5,46700
82,2000-05-01,26.625,27.75,26.5,27.75,35600
83,2000-05-02,27.75,28.1875,27.5,28.0,22200
84,2000-05-03,27.9375,27.9375,26.75,26.9375,28700
85,2000-05-04,26.6875,26.75,26.25,26.75,37100
86,2000-05-05,26.75,27.75,26.75,27.125,29500
87,2000-05-08,26.875,26.875,25.875,26.125,27400
88,2000-05-09,26.0,26.0,24.75,24.8125,30700
89,2000-05-10,24.5625,24.5625,22.75,23.125,76200
90,2000-05-11,23.125,23.3125,22.625,23.1875,58800
91,2000-05-12,23.4375,23.4375,22.5,22.75,53800
92,2000-05-15,22.5,22.5,21.5,22.25,30200
93,2000-05-16,22.375,22.875,22.375,22.375,27400
94,2000-05-17,22.5,22.625,21.875,22.25,62600
95,2000-05-18,22.25,23.375,22.25,23.1875,27200
96,2000-05-19,23.0625,23.0625,22.625,22.625,6100
97,2000-05-22,22.25,22.5,22.25,22.5,41200
98,2000-05-23,22.4375,22.75,22.3125,22.5,21200
99,2000-05-24,22.25,22.25,21.75,21.9375,24600
100,2000-05-25,21.625,22.0,21.625,21.625,15400
101,2000-05-26,21.625,21.625,21.4375,21.4375,8500
102,2000-05-30,21.5,21.5,21.3125,21.5,7800
103,2000-05-31,21.5,22.0,21.5,21.625,73600
104,2000-06-01,21.75,21.75,21.3125,21.5,22400
105,2000-06-02,21.375,21.75,21.375,21.75,33700
106,2000-06-05,21.6875,22.125,21.625,22.125,32800
107,2000-06-06,22.0625,22.625,22.0625,22.4375,28200
108,2000-06-07,22.5,22.6875,22.5,22.6875,26400
109,2000-06-08,22.75,23.0625,22.75,23.0,91500
110,2000-06-09,23.0,23.3125,23.0,23.1875,28300
111,2000-06-12,23.3125,23.375,23.0,23.25,104500
112,2000-06-13,23.1875,23.9375,23.1875,23.8125,205200
113,2000-06-14,24.0,26.375,24.0,26.1875,91000
114,2000-06-15,26.4375,27.125,21.1875,21.375,563600
115,2000-06-16,21.25,22.6875,21.125,22.5,674200
116,2000-06-19,22.375,23.625,22.375,23.25,174600
117,2000-06-20,23.25,24.125,23.25,24.0625,115200
118,2000-06-21,24.0625,24.75,24.0625,24.6875,56100
119,2000-06-22,24.75,25.0,24.5625,24.75,115300
120,2000-06-23,24.75,24.875,24.0,24.1875,55800
121,2000-06-26,24.3125,24.875,24.3125,24.8125,45800
122,2000-06-27,24.75,26.5625,24.75,26.5,173200
123,2000-06-28,26.75,28.4375,26.6875,28.1875,122400
124,2000-06-29,28.4375,32.5,28.375,32.5,169800
125,2000-06-30,32.25,32.25,30.25,31.6875,297400
126,2000-07-03,31.6875,32.25,31.6875,32.1875,42300
127,2000-07-05,32.3125,33.625,32.3125,33.0,174400
128,2000-07-06,33.125,33.5,31.875,32.875,120500
129,2000-07-07,32.875,34.4375,32.875,34.125,91900
130,2000-07-10,34.125,34.125,33.5,33.6875,18000
131,2000-07-11,33.6875,33.6875,32.375,32.875,115200
132,2000-07-12,32.875,34.1875,32.875,33.9375,119100
133,2000-07-13,34.0,34.4375,33.75,33.8125,38900
134,2000-07-14,33.6875,34.0,33.6875,34.0,24600
135,2000-07-17,33.75,35.875,33.75,35.8125,120500
136,2000-07-18,35.8125,36.625,35.0625,35.5,66200
137,2000-07-19,35.625,35.8125,34.9375,35.5,63800
138,2000-07-20,35.5625,35.8125,35.375,35.5,22700
139,2000-07-21,35.375,35.5,35.0,35.0,19700
140,2000-07-24,34.875,35.0625,34.5,34.5,26000
141,2000-07-25,34.375,34.375,33.375,33.625,26500
142,2000-07-26,33.5,34.625,33.375,34.625,37200
143,2000-07-27,34.75,35.875,34.5,35.5625,73100
144,2000-07-28,35.5,35.5,33.8125,33.875,31500
145,2000-07-31,33.75,33.75,32.625,33.625,113200
146,2000-08-01,33.125,34.0,33.125,33.8125,51200
147,2000-08-02,33.8125,34.25,33.8125,34.0625,70700
148,2000-08-03,33.5,33.5,32.625,32.6875,41300
149,2000-08-04,32.5,32.625,32.0,32.375,36000
150,2000-08-07,32.5,32.625,32.1875,32.1875,17700
151,2000-08-08,32.1875,32.375,32.0,32.0,30000
152,2000-08-09,32.125,32.1875,31.3125,31.3125,17300
153,2000-08-10,31.3125,31.3125,30.375,30.5,30000
154,2000-08-11,30.5625,31.25,30.5625,31.0,79500
155,2000-08-14,31.0,31.4375,31.0,31.25,15400
156,2000-08-15,31.0,31.0625,30.625,30.6875,22300
157,2000-08-16,30.75,31.25,30.75,31.25,16900
158,2000-08-17,31.125,31.375,30.8125,31.125,8400
159,2000-08-18,31.125,31.4375,31.0,31.375,19300
160,2000-08-21,31.25,31.3125,30.875,30.875,6000
161,2000-08-22,30.9375,30.9375,30.75,30.75,3100
162,2000-08-23,30.875,30.875,30.5,30.5,61500
163,2000-08-24,30.75,30.75,29.9375,30.0625,25300
164,2000-08-25,30.0,30.25,30.0,30.125,14100
165,2000-08-28,30.1875,30.1875,29.6875,29.6875,13400
166,2000-08-29,29.8125,30.0,29.6875,30.0,41600
167,2000-08-30,29.9375,30.5,29.9375,30.25,36400
168,2000-08-31,30.25,30.6875,30.25,30.4375,24900
169,2000-09-01,30.625,31.125,30.625,31.125,22400
170,2000-09-05,31.0,31.5625,30.5,30.5625,50800
171,2000-09-06,30.5,31.375,30.5,31.0625,28600
172,2000-09-07,31.125,31.25,30.75,30.875,12800
173,2000-09-08,30.75,31.0,30.75,30.75,11100
174,2000-09-11,30.625,31.0,30.5,30.9375,8000
175,2000-09-12,30.875,31.75,30.875,31.625,13400
176,2000-09-13,31.75,31.875,30.875,31.875,31800
177,2000-09-14,32.75,35.1875,32.5625,35.0,213800
178,2000-09-15,34.5,35.375,34.5,34.75,83100
179,2000-09-18,34.75,35.5,34.75,35.375,47600
180,2000-09-19,35.1875,36.8125,35.1875,36.6875,35200
181,2000-09-20,36.625,36.75,36.375,36.5,112500
182,2000-09-21,36.5625,36.8125,36.5625,36.5625,75500
183,2000-09-22,36.4375,36.6875,36.4375,36.5625,24800
184,2000-09-25,36.5625,36.5625,36.3125,36.3125,33200
185,2000-09-26,36.3125,36.5,36.1875,36.1875,26400
186,2000-09-27,36.1875,36.5,36.1875,36.5,49700
187,2000-09-28,36.75,36.9375,36.5625,36.625,52400
188,2000-09-29,36.75,37.9375,36.5,37.8125,77600
189,2000-10-02,37.6875,37.75,36.25,36.25,42700
190,2000-10-03,36.375,36.375,35.625,35.625,111100
191,2000-10-04,39.25,39.25,37.125,37.8125,942000
192,2000-10-05,37.9375,39.9375,37.9375,39.9375,209300
193,2000-10-06,39.9375,40.4375,38.875,39.875,3056300
194,2000-10-09,39.625,40.0,39.25,39.4375,200600
195,2000-10-10,39.3125,39.3125,36.75,37.25,451500
196,2000-10-11,37.25,37.25,34.5,34.8125,215700
197,2000-10-12,34.9375,35.0625,30.5,31.875,210400
198,2000-10-13,31.75,35.5,31.625,35.5,174200
199,2000-10-16,35.5,35.6875,33.875,35.625,208200
200,2000-10-17,35.75,35.75,34.5625,34.875,82000
201,2000-10-18,34.75,34.875,34.0,34.5625,83100
202,2000-10-19,34.8125,35.25,34.8125,35.1875,66000
203,2000-10-20,35.1875,35.1875,34.375,34.8125,84900
204,2000-10-23,34.6875,34.6875,33.375,34.0,124000
205,2000-10-24,34.1875,35.125,34.0625,35.0625,77200
206,2000-10-25,34.9375,34.9375,34.4375,34.5,39300
207,2000-10-26,34.5,34.9375,33.375,34.9375,99500
208,2000-10-27,34.875,35.8125,34.1875,34.6875,33700
209,2000-10-30,34.5625,34.9375,34.0625,34.875,44600
210,2000-10-31,34.75,35.25,34.25,35.0,141800
211,2000-11-01,35.0625,35.125,34.4375,35.0625,82700
212,2000-11-02,35.0,38.0,35.0,38.0,76000
213,2000-11-03,38.0,38.0,37.625,37.9375,33100
214,2000-11-06,37.9375,37.9375,36.875,37.375,61000
215,2000-11-07,37.25,37.625,37.0,37.3125,57200
216,2000-11-08,37.4375,37.5,36.125,36.4375,128800
217,2000-11-09,36.5625,36.6875,35.5625,36.625,193300
218,2000-11-10,36.5,36.5,34.125,34.1875,172300
219,2000-11-13,34.1875,34.1875,31.375,32.9375,226500
220,2000-11-14,33.1875,34.875,33.1875,33.5,98200
