,Date,Open,High,Low,Close,Volume
0,2000-01-03,37.625,37.75,37.0,37.03125,273200
1,2000-01-04,34.78125,36.3125,34.75,36.125,45900
2,2000-01-05,35.8125,37.1875,35.625,37.015625,106400
3,2000-01-06,36.75,36.8125,36.625,36.8125,26500
4,2000-01-07,37.0,37.75,36.6875,37.65625,39100
5,2000-01-10,37.3125,37.375,36.375,36.4375,101800
6,2000-01-11,36.75,37.375,36.5,36.5,332800
7,2000-01-12,36.5,36.625,35.65625,35.65625,308400
8,2000-01-13,35.90625,36.6875,35.5625,36.0,283100
9,2000-01-14,36.5625,36.75,36.5,36.71875,467100
10,2000-01-18,36.5625,36.875,36.3125,36.8125,104400
11,2000-01-19,36.3125,38.0,36.3125,37.375,98900
12,2000-01-20,37.375,37.5,37.1875,37.1875,79100
13,2000-01-21,37.875,37.875,36.8125,37.21875,91000
14,2000-01-24,37.15625,37.25,35.4375,35.5,58400
15,2000-01-25,35.3125,35.875,34.8125,35.75,32300
16,2000-01-26,35.0,35.75,35.0,35.5,109100
17,2000-01-27,36.0,36.0,34.5625,35.125,59900
18,2000-01-28,35.1875,36.25,34.75,35.0,79400
19,2000-01-31,35.0,36.5,34.375,36.0,116500
20,2000-02-01,35.75,35.75,34.0625,34.5,86100
21,2000-02-02,35.25,36.0,34.25,34.5,38900
22,2000-02-03,35.625,36.375,34.375,36.0625,147700
23,2000-02-04,35.875,36.5,35.375,35.78125,29500
24,2000-02-07,35.8125,35.875,35.375,35.75,76400
25,2000-02-08,35.625,36.5,34.875,36.25,107800
26,2000-02-09,35.9375,36.125,34.5,35.5,147500
27,2000-02-10,35.0625,35.5,34.0625,34.875,69000
28,2000-02-11,34.9375,35.0,34.125,34.625,63100
29,2000-02-14,34.0625,34.625,33.9375,34.03125,34100
30,2000-02-15,33.46875,34.8125,33.25,34.8125,100100
31,2000-02-16,34.6875,34.875,34.375,34.5,46800
32,2000-02-17,34.5625,34.5625,34.0,34.5625,61300
33,2000-02-18,34.28125,34.5625,34.28125,34.4375,40200
34,2000-02-22,34.0,34.96875,33.875,34.625,80000
35,2000-02-23,34.5,34.875,34.375,34.8125,42800
36,2000-02-24,34.75,34.8125,33.875,34.125,95700
37,2000-02-25,33.875,35.125,33.4375,33.75,642800
38,2000-02-28,33.25,34.4375,33.25,34.125,70700
39,2000-02-29,34.25,34.375,33.75,33.9375,202500
40,2000-03-01,34.125,34.125,33.625,33.71875,50900
41,2000-03-02,33.6875,33.75,31.625,31.8125,154900
42,2000-03-03,31.875,32.0,31.1875,31.625,50400
43,2000-03-06,32.0,32.0,31.0,31.3125,428500
44,2000-03-07,30.9375,32.25,30.875,32.0,485000
45,2000-03-08,31.5625,32.125,30.6875,31.5625,70100
46,2000-03-09,31.0,32.25,31.0,32.1875,77100
47,2000-03-10,31.875,33.125,31.875,32.96875,86200
48,2000-03-13,32.1875,33.4375,32.0,33.125,74100
49,2000-03-14,33.125,33.25,32.5625,32.8125,92600
50,2000-03-15,32.5625,33.875,32.5625,33.0625,99600
51,2000-03-16,34.125,36.4375,34.0625,35.9375,99300
52,2000-03-17,33.0,35.0625,33.0,34.25,238100
53,2000-03-20,34.5,36.0,34.25,35.9375,52800
54,2000-03-21,35.375,37.0,35.375,36.75,284700
55,2000-03-22,36.75,37.0,36.5,36.625,111600
56,2000-03-23,37.0,37.25,36.625,37.1875,86300
57,2000-03-24,37.125,38.6875,37.125,38.5,106600
58,2000-03-27,38.875,39.0,37.0625,37.5,137400
59,2000-03-28,37.0,37.375,36.875,36.875,105000
60,2000-03-29,36.875,37.125,35.75,35.8125,328200
61,2000-03-30,36.25,38.0,35.8125,36.25,362700
62,2000-03-31,36.25,39.75,36.1875,39.75,664400
