,Date,Open,High,Low,Close,Volume
0,2000-01-03,29.0,29.0,27.625,28.1875,10997000
1,2000-01-04,28.1875,28.40625,27.8125,28.21875,7308000
2,2000-01-05,28.21875,28.71875,28.03125,28.46875,9457400
3,2000-01-06,28.46875,28.84375,28.28125,28.5,7129200
4,2000-01-07,28.9375,30.375,28.9375,30.375,11474000
5,2000-01-10,30.375,30.46875,29.375,29.40625,8723800
6,2000-01-11,30.0625,30.625,30.0625,30.40625,9398000
7,2000-01-12,30.40625,30.90625,30.21875,30.75,8389800
8,2000-01-13,30.71875,30.71875,30.21875,30.28125,6106000
9,2000-01-14,30.34375,30.96875,30.34375,30.53125,7513200
10,2000-01-18,30.53125,32.5,30.53125,32.5,18350800
11,2000-01-19,32.5,32.625,32.03125,32.625,12813400
12,2000-01-20,32.625,32.96875,32.5625,32.9375,11539800
13,2000-01-21,32.9375,33.4375,32.875,33.4375,11385800
14,2000-01-24,33.375,33.375,31.78125,32.4375,11306000
15,2000-01-25,32.4375,33.03125,31.4375,32.9375,9718600
16,2000-01-26,32.75,32.75,31.375,31.53125,23723800
17,2000-01-27,31.34375,31.34375,29.21875,29.75,17550800
18,2000-01-28,29.75,29.78125,28.46875,28.46875,10875200
19,2000-01-31,28.46875,29.375,28.28125,28.71875,10734600
20,2000-02-01,28.71875,29.1875,28.15625,29.0625,8114600
21,2000-02-02,28.9375,28.9375,28.03125,28.1875,7164000
22,2000-02-03,28.1875,28.375,27.53125,27.625,9464400
23,2000-02-04,27.625,28.875,27.53125,28.125,11501800
24,2000-02-07,28.125,28.8125,27.78125,28.4375,7742800
25,2000-02-08,28.4375,28.9375,28.375,28.59375,8261200
26,2000-02-09,28.59375,28.875,28.375,28.5,7948600
27,2000-02-10,28.5,28.6875,28.125,28.34375,8031000
28,2000-02-11,27.96875,27.96875,27.4375,27.78125,7688600
29,2000-02-14,27.625,27.625,26.90625,27.0625,7134000
30,2000-02-15,27.0625,27.875,26.625,27.84375,7850800
31,2000-02-16,27.71875,27.71875,26.625,26.78125,6869200
32,2000-02-17,26.78125,26.78125,25.59375,26.15625,11661000
33,2000-02-18,26.15625,26.15625,25.375,25.6875,11443400
34,2000-02-22,25.6875,26.3125,25.25,25.875,10543000
35,2000-02-23,25.71875,25.71875,25.0,25.625,11021600
36,2000-02-24,25.25,25.25,24.15625,24.90625,15451600
37,2000-02-25,24.90625,25.34375,24.03125,24.34375,10905200
38,2000-02-28,24.34375,24.84375,23.78125,24.65625,10790800
39,2000-02-29,24.40625,24.40625,23.8125,24.3125,10346200
40,2000-03-01,24.59375,25.6875,24.59375,25.5,15612200
41,2000-03-02,25.5,25.90625,24.6875,24.8125,11358600
42,2000-03-03,24.8125,25.1875,24.53125,25.0625,9010600
43,2000-03-06,24.75,24.75,24.15625,24.5,7866000
44,2000-03-07,24.5,24.5,22.40625,23.5625,23440200
45,2000-03-08,23.5625,24.03125,22.9375,23.75,14441600
46,2000-03-09,23.75,23.78125,22.9375,23.375,12389400
47,2000-03-10,23.3125,23.3125,22.03125,22.75,14059200
48,2000-03-13,22.15625,22.15625,21.5625,21.875,15646400
49,2000-03-14,21.875,22.15625,21.4375,21.65625,11162000
50,2000-03-15,21.75,23.90625,21.75,23.78125,22138200
51,2000-03-16,24.28125,24.9375,24.28125,24.875,17610200
52,2000-03-17,24.875,24.96875,24.375,24.5625,14530800
53,2000-03-20,24.5,24.5,24.03125,24.28125,6755200
54,2000-03-21,24.28125,24.84375,23.6875,24.71875,8575800
55,2000-03-22,24.5,24.5,23.09375,23.53125,11884200
56,2000-03-23,23.53125,24.1875,23.21875,23.5,10333800
57,2000-03-24,23.5,23.59375,23.1875,23.5,8769200
58,2000-03-27,23.5,23.5625,22.625,22.625,10535400
59,2000-03-28,22.625,23.25,22.4375,22.4375,13673000
60,2000-03-29,22.65625,23.53125,22.65625,23.4375,16292600
61,2000-03-30,23.5625,24.96875,23.5625,24.28125,18795200
62,2000-03-31,24.28125,24.34375,23.46875,23.46875,8857000
63,2000-04-03,23.625,24.96875,23.625,24.65625,14186800
64,2000-04-04,24.65625,26.1875,24.09375,26.1875,27390200
65,2000-04-05,25.46875,25.46875,23.6875,23.8125,20256600
66,2000-04-06,23.8125,23.96875,22.375,22.875,20675000
67,2000-04-07,22.875,23.21875,22.375,23.09375,12374000
68,2000-04-10,23.09375,23.59375,22.4375,22.5,12903000
69,2000-04-11,22.84375,23.875,22.84375,23.59375,12096400
70,2000-04-12,23.84375,24.96875,23.84375,24.25,15586400
71,2000-04-13,24.25,24.3125,23.5625,23.625,8892800
72,2000-04-14,23.625,23.78125,23.03125,23.5,9488200
73,2000-04-17,23.5,24.3125,23.125,24.25,10710200
74,2000-04-18,24.25,24.5625,23.1875,24.3125,13001000
75,2000-04-19,24.3125,24.84375,23.96875,24.59375,10073200
76,2000-04-20,24.59375,24.71875,24.0,24.71875,8278600
77,2000-04-24,24.71875,25.21875,24.5,24.8125,9377600
78,2000-04-25,24.8125,25.25,24.09375,25.25,8711600
79,2000-04-26,25.0625,25.0625,24.4375,24.71875,9536200
80,2000-04-27,24.5625,24.5625,23.71875,24.125,9023200
81,2000-04-28,24.125,24.1875,23.375,23.625,7568800
82,2000-05-01,23.5,23.5,23.125,23.125,7754000
83,2000-05-02,23.125,23.78125,22.96875,23.125,9209400
84,2000-05-03,23.125,24.40625,23.0625,24.25,14397400
85,2000-05-04,24.25,24.59375,23.65625,24.25,6842400
86,2000-05-05,24.0,24.0,23.375,23.53125,5999200
87,2000-05-08,23.8125,24.25,23.8125,24.25,6013000
88,2000-05-09,24.96875,25.625,24.96875,25.25,22386000
89,2000-05-10,25.25,26.5,25.25,26.40625,21062000
90,2000-05-11,26.5,26.90625,26.5,26.78125,15919400
91,2000-05-12,26.5,26.5,25.75,26.125,7498200
92,2000-05-15,26.125,26.375,25.5,25.875,8056600
93,2000-05-16,25.375,25.375,24.3125,24.46875,16476600
94,2000-05-17,24.46875,24.59375,24.0,24.125,8448600
95,2000-05-18,24.125,24.9375,24.09375,24.71875,8098600
96,2000-05-19,24.71875,25.15625,24.53125,25.03125,10053600
97,2000-05-22,25.03125,25.34375,24.71875,25.34375,9716400
98,2000-05-23,25.09375,25.09375,24.84375,25.0,7210000
99,2000-05-24,25.09375,26.53125,25.09375,26.34375,10788000
100,2000-05-25,26.34375,26.46875,26.0,26.34375,7731800
101,2000-05-26,26.625,27.5,26.625,27.28125,12380200
102,2000-05-30,27.28125,27.5,26.53125,26.9375,7451200
103,2000-05-31,26.9375,26.9375,26.375,26.6875,5541000
104,2000-06-01,26.6875,27.3125,26.53125,26.625,5993800
105,2000-06-02,26.625,26.625,26.0625,26.28125,6324800
106,2000-06-05,26.28125,26.4375,25.875,26.0,4837400
107,2000-06-06,25.96875,25.96875,25.53125,25.90625,6609200
108,2000-06-07,25.9375,26.625,25.9375,26.5,6865200
109,2000-06-08,26.5,26.5,25.9375,26.40625,7779000
110,2000-06-09,26.40625,26.6875,26.0625,26.15625,4966000
111,2000-06-12,26.15625,26.71875,26.125,26.3125,4122600
112,2000-06-13,26.40625,27.0,26.40625,26.6875,5626200
113,2000-06-14,26.6875,27.0625,26.1875,26.5,10165800
114,2000-06-15,26.90625,28.0625,26.90625,27.9375,20672400
115,2000-06-16,27.9375,28.09375,27.5625,27.75,14330400
116,2000-06-19,27.4375,27.4375,27.0,27.21875,6989800
117,2000-06-20,26.8125,26.8125,26.34375,26.46875,6947800
118,2000-06-21,26.5,27.15625,26.5,26.75,8780600
119,2000-06-22,26.75,28.25,26.5,28.0625,11664600
120,2000-06-23,28.0625,29.15625,27.8125,28.9375,15346000
121,2000-06-26,28.9375,29.625,28.75,29.5,9900400
122,2000-06-27,29.4375,29.4375,28.75,28.9375,10429600
123,2000-06-28,29.1875,30.4375,29.1875,30.023438,18989000
124,2000-06-29,30.023438,30.09375,29.375,29.53125,12743200
125,2000-06-30,29.40625,29.40625,28.125,28.71875,19122800
126,2000-07-03,28.90625,29.25,28.90625,29.09375,7707200
127,2000-07-05,29.125,29.59375,29.125,29.375,6960400
128,2000-07-06,29.375,29.46875,28.90625,29.46875,5041200
129,2000-07-07,29.46875,29.625,29.1875,29.375,5043200
130,2000-07-10,29.34375,29.34375,28.625,28.78125,6447200
131,2000-07-11,28.75,28.75,27.90625,28.09375,8134200
132,2000-07-12,28.09375,28.25,27.625,28.0625,7153800
133,2000-07-13,28.21875,29.0625,28.21875,28.96875,8450600
134,2000-07-14,28.96875,29.21875,28.5,28.8125,4648000
135,2000-07-17,28.8125,28.8125,28.28125,28.671875,7003000
136,2000-07-18,28.671875,29.375,28.3125,29.09375,7595200
137,2000-07-19,29.375,30.3125,29.375,30.25,16435400
138,2000-07-20,30.25,30.34375,29.9375,30.25,9225600
139,2000-07-21,30.25,30.625,30.179688,30.429688,8141200
140,2000-07-24,30.0,30.0,29.53125,29.625,6808200
141,2000-07-25,29.625,29.65625,29.40625,29.625,4664400
142,2000-07-26,29.625,30.0,29.3125,29.40625,10162400
143,2000-07-27,29.84375,30.59375,29.84375,30.21875,9117200
144,2000-07-28,30.21875,31.5,30.03125,31.34375,13619000
145,2000-07-31,31.1875,31.1875,30.625,30.65625,8017000
146,2000-08-01,30.65625,32.0,30.65625,31.5,9321400
147,2000-08-02,31.5,31.53125,31.125,31.46875,6662400
148,2000-08-03,31.46875,31.875,31.03125,31.5,6653400
149,2000-08-04,31.3125,31.3125,30.5625,31.0625,6006600
150,2000-08-07,30.875,30.875,30.5625,30.6875,4263600
151,2000-08-08,30.6875,31.1875,30.25,30.46875,6135800
152,2000-08-09,30.21875,30.21875,29.84375,29.90625,7111600
153,2000-08-10,30.03125,30.875,30.03125,30.5,6214800
154,2000-08-11,30.5,31.375,30.5,31.125,6165400
155,2000-08-14,31.125,31.625,31.125,31.53125,5329400
156,2000-08-15,31.28125,31.28125,30.8125,31.0,4402600
157,2000-08-16,30.6875,30.6875,29.75,30.34375,11729200
158,2000-08-17,30.3125,30.3125,29.78125,29.84375,5834000
159,2000-08-18,29.84375,30.15625,29.75,30.15625,5274600
160,2000-08-21,29.96875,29.96875,29.5625,29.90625,5735000
161,2000-08-22,29.90625,29.96875,29.0,29.0,4243400
162,2000-08-23,29.0,29.59375,28.96875,29.398438,7007400
163,2000-08-24,29.398438,29.5,28.9375,28.96875,4619200
164,2000-08-25,28.71875,28.71875,27.5,28.0,13902000
165,2000-08-28,28.34375,28.875,28.34375,28.5,12625800
166,2000-08-29,28.4375,28.4375,28.03125,28.15625,5934600
167,2000-08-30,28.0,28.0,26.90625,27.125,9392800
168,2000-08-31,27.09375,27.09375,25.75,26.320313,16123800
169,2000-09-01,26.6875,27.25,26.6875,27.125,10053000
170,2000-09-05,27.125,28.53125,26.75,28.15625,11223000
171,2000-09-06,27.46875,27.46875,27.03125,27.15625,9854000
172,2000-09-07,27.15625,27.28125,26.625,27.0,7458200
173,2000-09-08,27.0,27.59375,26.90625,27.28125,5253600
174,2000-09-11,27.28125,27.34375,26.15625,26.5,7846000
175,2000-09-12,26.5,26.9375,26.09375,26.75,8248000
176,2000-09-13,26.75,26.84375,26.03125,26.25,6986400
177,2000-09-14,25.9375,25.9375,24.96875,25.5,11181600
178,2000-09-15,25.5,26.0625,25.25,25.40625,12373800
179,2000-09-18,25.40625,26.75,25.375,26.5625,8759800
180,2000-09-19,26.5625,26.75,26.03125,26.4375,7630400
181,2000-09-20,26.34375,26.34375,24.71875,25.125,14690200
182,2000-09-21,25.125,25.40625,24.59375,24.78125,10247200
183,2000-09-22,25.4375,26.46875,25.4375,26.4375,16349000
184,2000-09-25,26.4375,27.125,26.3125,26.78125,8079600
185,2000-09-26,26.78125,27.5625,26.625,27.46875,10269400
186,2000-09-27,27.46875,27.9375,27.0,27.8125,10414600
187,2000-09-28,27.8125,27.8125,27.0625,27.71875,8353200
188,2000-09-29,27.71875,28.3125,27.5,27.5625,11962600
189,2000-10-02,27.625,28.5,27.625,28.5,9516000
190,2000-10-03,28.5,28.6875,28.0625,28.15625,7380800
191,2000-10-04,28.15625,28.625,28.0,28.625,8279000
192,2000-10-05,28.65625,29.6875,28.65625,29.5625,10596400
193,2000-10-06,29.5625,29.59375,28.875,29.21875,9617400
194,2000-10-09,29.21875,29.40625,28.90625,28.90625,4073000
195,2000-10-10,28.90625,29.65625,28.53125,29.09375,6280600
196,2000-10-11,29.09375,29.78125,28.875,29.28125,7904000
197,2000-10-12,29.28125,29.375,28.1875,28.625,8552800
198,2000-10-13,28.625,28.84375,28.1875,28.59375,7312400
199,2000-10-16,28.59375,29.625,28.5,29.3125,7054600
200,2000-10-17,29.3125,29.46875,28.5,28.96875,6069800
201,2000-10-18,28.96875,29.4375,28.40625,29.09375,7339400
202,2000-10-19,28.71875,28.71875,28.0625,28.5625,5797600
203,2000-10-20,27.875,27.875,26.875,27.40625,14655200
204,2000-10-23,27.40625,27.96875,26.9375,27.65625,7077800
205,2000-10-24,27.65625,28.09375,27.21875,28.0625,6334800
206,2000-10-25,28.0625,29.21875,27.8125,28.96875,9350200
207,2000-10-26,28.96875,29.65625,28.21875,29.34375,9351000
208,2000-10-27,29.34375,29.65625,28.8125,29.46875,7562200
209,2000-10-30,29.46875,30.25,29.4375,29.9375,10526800
210,2000-10-31,29.9375,30.46875,29.34375,30.1875,9830000
211,2000-11-01,30.1875,30.71875,30.15625,30.4375,8289000
212,2000-11-02,30.4375,30.71875,30.03125,30.375,9108400
213,2000-11-03,30.25,30.25,29.5625,29.65625,6068400
214,2000-11-06,29.65625,30.5,29.40625,30.25,5558200
215,2000-11-07,30.25,30.4375,29.90625,30.03125,4236000
216,2000-11-08,30.03125,30.3125,29.53125,30.09375,5048200
217,2000-11-09,30.09375,31.34375,29.9375,31.15625,11855000
218,2000-11-10,31.15625,31.53125,30.9375,30.9375,10323400
219,2000-11-13,30.8125,30.8125,30.1875,30.53125,8175800
220,2000-11-14,30.53125,30.65625,29.8125,30.28125,7423400
221,2000-11-15,30.28125,30.75,30.125,30.65625,7506600
222,2000-11-16,30.65625,31.15625,30.53125,30.96875,7607400
223,2000-11-17,30.96875,31.40625,30.5625,30.71875,12093800
224,2000-11-20,29.4375,29.4375,27.96875,28.28125,19313200
225,2000-11-21,28.28125,28.75,27.625,27.625,13995800
226,2000-11-22,29.125,30.15625,29.125,29.78125,13403800
227,2000-11-24,29.75,29.75,29.3125,29.5,3905000
228,2000-11-27,29.5,30.03125,29.03125,29.78125,6476800
229,2000-11-28,29.9375,30.375,29.9375,30.21875,5817800
230,2000-11-29,30.21875,31.25,29.875,31.0625,9692000
231,2000-11-30,31.0625,31.3125,30.71875,31.3125,12816400
232,2000-12-01,31.1875,31.1875,30.65625,31.09375,8201200
233,2000-12-04,31.09375,31.6875,30.9375,31.375,8572200
234,2000-12-05,31.375,31.40625,30.34375,30.71875,9266800
235,2000-12-06,30.71875,30.90625,30.1875,30.4375,7761200
236,2000-12-07,30.4375,31.53125,30.28125,31.1875,7895200
237,2000-12-08,30.992188,30.992188,30.3125,30.4375,8300800
238,2000-12-11,30.09375,30.09375,29.09375,29.15625,11578000
239,2000-12-12,29.15625,29.34375,28.8125,29.0,8008200
240,2000-12-13,29.0,29.15625,28.625,28.90625,7409800
241,2000-12-14,28.71875,28.71875,27.875,28.5,10047600
242,2000-12-15,28.34375,28.34375,26.75,26.75,27540400
243,2000-12-18,26.8125,27.78125,26.8125,27.4375,10304600
244,2000-12-19,27.4375,28.96875,27.34375,28.375,11688200
245,2000-12-20,28.375,29.0,27.78125,28.125,13344200
246,2000-12-21,28.125,29.8125,28.0625,29.6875,11930800
247,2000-12-22,29.5,29.5,28.75,29.4375,7483600
