,Date,Open,High,Low,Close,Volume
0,2000-01-03,21.875,21.875,21.0,21.0,34300
1,2000-01-04,21.0,21.0625,20.5625,20.8125,125400
2,2000-01-05,20.75,21.3125,20.625,20.875,133000
3,2000-01-06,20.125,21.1875,20.125,21.125,76400
4,2000-01-07,21.3125,22.0,21.25,21.5,122200
5,2000-01-10,21.375,21.75,21.375,21.5625,75800
6,2000-01-11,21.5625,21.625,21.3125,21.375,59600
7,2000-01-12,21.25,21.375,21.125,21.1875,42500
8,2000-01-13,21.1875,21.4375,21.125,21.375,19300
9,2000-01-14,21.375,21.375,21.125,21.1875,42200
10,2000-01-18,21.0625,21.3125,20.5,21.3125,46000
11,2000-01-19,21.3125,21.3125,20.875,21.1875,36700
12,2000-01-20,21.125,21.375,21.0625,21.1875,24000
13,2000-01-21,21.0,21.125,20.75,20.8125,41300
14,2000-01-24,20.8125,20.8125,20.25,20.25,67900
15,2000-01-25,20.375,20.375,19.8125,19.875,79800
16,2000-01-26,19.875,20.0,19.8125,19.8125,69900
17,2000-01-27,19.5,19.625,19.4375,19.625,155000
18,2000-01-28,19.5625,19.625,19.4375,19.4375,86600
19,2000-01-31,19.5,19.5,19.1875,19.4375,116200
20,2000-02-01,19.375,19.75,19.3125,19.75,99200
21,2000-02-02,19.625,20.1875,19.625,19.875,127300
22,2000-02-03,19.875,20.125,19.75,19.8125,205400
23,2000-02-04,19.8125,19.9375,19.8125,19.8125,96700
24,2000-02-07,19.875,20.0,19.8125,19.9375,111100
25,2000-02-08,19.875,20.0,19.875,19.9375,128900
26,2000-02-09,20.0,20.1875,19.9375,20.0,88700
27,2000-02-10,20.125,20.1875,19.875,19.875,90000
28,2000-02-11,19.875,20.25,19.875,20.25,58200
29,2000-02-14,20.25,20.4375,20.25,20.4375,88100
30,2000-02-15,20.3125,20.4375,20.25,20.4375,351100
31,2000-02-16,20.3125,20.625,20.3125,20.3125,89900
32,2000-02-17,20.5,20.6875,20.375,20.6875,173300
33,2000-02-18,20.6875,20.8125,20.625,20.75,174100
34,2000-02-22,20.875,20.875,20.75,20.8125,63500
35,2000-02-23,20.75,20.875,20.625,20.8125,147600
36,2000-02-24,20.8125,20.875,20.4375,20.6875,154000
37,2000-02-25,20.6875,20.8125,20.625,20.75,1207500
38,2000-02-28,20.75,20.8125,20.625,20.6875,43900
39,2000-02-29,20.6875,21.375,20.6875,21.375,121900
40,2000-03-01,21.375,21.375,20.625,20.875,128400
41,2000-03-02,20.875,20.875,20.8125,20.8125,58300
42,2000-03-03,20.75,20.8125,20.5625,20.75,202100
43,2000-03-06,20.375,20.625,20.3125,20.625,68400
44,2000-03-07,20.625,20.75,20.0625,20.0625,83400
45,2000-03-08,20.0625,20.5625,20.0,20.25,73100
46,2000-03-09,20.25,20.25,19.8125,19.9375,53200
47,2000-03-10,19.9375,20.125,19.875,20.0,127300
48,2000-03-13,19.75,19.9375,19.625,19.75,43800
49,2000-03-14,19.75,20.0,19.75,19.75,94700
50,2000-03-15,19.5,20.8125,19.5,20.75,124600
51,2000-03-16,20.75,21.4375,20.75,21.4375,48600
52,2000-03-17,21.1875,21.4375,21.0625,21.4375,51100
53,2000-03-20,21.4375,21.5,21.0625,21.5,25500
54,2000-03-21,21.3125,21.3125,20.9375,21.1875,69800
55,2000-03-22,20.75,21.125,20.75,20.9375,50700
56,2000-03-23,21.1875,21.1875,20.8125,21.0,24500
57,2000-03-24,21.125,21.25,20.8125,21.25,39100
58,2000-03-27,21.0625,21.125,20.875,21.0,62200
59,2000-03-28,21.0,21.0625,20.5,20.5625,78700
60,2000-03-29,20.1875,20.5,20.1875,20.4375,218300
61,2000-03-30,20.625,20.9375,20.5,20.875,85700
62,2000-03-31,20.875,21.375,20.6875,21.0625,97500
63,2000-04-03,21.0625,21.5,21.0625,21.25,71800
64,2000-04-04,21.25,21.3125,21.0,21.1875,42800
65,2000-04-05,21.0625,21.5625,21.0625,21.4375,62300
66,2000-04-06,21.5,22.125,21.5,21.9375,58900
67,2000-04-07,21.875,22.375,21.875,22.375,24300
68,2000-04-10,22.375,23.0,22.375,22.5625,73000
69,2000-04-11,22.5625,23.125,22.5625,22.9375,54000
70,2000-04-12,23.125,23.5,23.0,23.4375,76100
71,2000-04-13,23.4375,23.625,23.1875,23.5625,64500
72,2000-04-14,23.4375,23.5,22.6875,22.8125,124500
73,2000-04-17,22.75,22.9375,22.0,22.125,47800
74,2000-04-18,22.125,22.625,22.0,22.5,71000
75,2000-04-19,22.5,22.875,22.375,22.8125,25000
76,2000-04-20,22.875,22.9375,22.6875,22.9375,25800
77,2000-04-24,23.0,23.125,22.5625,22.5625,81500
78,2000-04-25,22.5625,22.9375,22.5625,22.5625,50900
79,2000-04-26,22.6875,23.0,22.625,22.875,18200
80,2000-04-27,22.9375,23.1875,22.75,23.125,24300
81,2000-04-28,23.0625,24.125,22.875,24.125,84600
82,2000-05-01,24.0,24.1875,23.25,24.1875,116800
83,2000-05-02,24.1875,25.75,24.125,24.75,484600
84,2000-05-03,24.75,24.9375,24.125,24.125,83200
85,2000-05-04,24.25,24.3125,24.0,24.125,25900
86,2000-05-05,24.0625,24.375,24.0625,24.375,46800
87,2000-05-08,24.375,24.375,23.9375,23.9375,45800
88,2000-05-09,24.0625,24.1875,23.8125,23.9375,33200
89,2000-05-10,23.9375,24.25,23.9375,24.1875,141200
90,2000-05-11,24.3125,24.3125,24.125,24.25,78400
91,2000-05-12,24.25,24.3125,24.0625,24.25,22400
92,2000-05-15,24.0,24.375,23.9375,24.375,50300
93,2000-05-16,24.375,24.625,24.375,24.4375,49500
94,2000-05-17,24.4375,24.4375,24.1875,24.4375,18300
95,2000-05-18,24.4375,24.4375,24.0,24.0625,71000
96,2000-05-19,23.8125,24.0,23.75,23.8125,25800
97,2000-05-22,23.875,23.875,23.4375,23.5,51900
98,2000-05-23,23.375,23.75,23.0625,23.125,80800
99,2000-05-24,22.625,23.0,22.625,23.0,129900
100,2000-05-25,22.3125,22.875,22.3125,22.5,84500
101,2000-05-26,22.6875,22.9375,22.5625,22.9375,56000
102,2000-05-30,22.6875,22.875,22.625,22.875,47300
103,2000-05-31,22.8125,22.9375,22.625,22.875,61800
104,2000-06-01,23.0,23.0,22.8125,23.0,51600
105,2000-06-02,22.875,23.4375,22.8125,23.4375,83700
106,2000-06-05,23.3125,23.375,22.875,23.0625,83500
107,2000-06-06,23.1875,23.25,23.0,23.125,23900
108,2000-06-07,23.125,23.25,22.875,23.0625,52300
109,2000-06-08,23.1875,23.4375,23.125,23.4375,54500
110,2000-06-09,23.3125,23.4375,23.1875,23.375,51500
111,2000-06-12,23.4375,23.5,23.3125,23.3125,78300
112,2000-06-13,23.4375,23.875,23.1875,23.875,65900
113,2000-06-14,23.875,24.4375,23.6875,24.3125,95300
114,2000-06-15,24.3125,24.5625,24.25,24.5,123500
115,2000-06-16,24.5,24.5,23.9375,24.0625,44300
116,2000-06-19,23.9375,24.5,23.9375,24.4375,29300
117,2000-06-20,24.4375,24.9375,24.4375,24.8125,103300
118,2000-06-21,24.875,25.125,24.6875,25.125,154600
119,2000-06-22,25.375,25.75,25.125,25.5,158600
120,2000-06-23,25.5,25.5,24.875,24.9375,48200
121,2000-06-26,24.9375,25.3125,24.75,25.3125,82300
122,2000-06-27,25.125,25.5,25.125,25.5,79900
123,2000-06-28,25.625,26.375,25.0625,26.375,242500
124,2000-06-29,26.375,26.5625,26.0,26.5,120900
125,2000-06-30,26.375,26.8125,25.875,25.953125,292100
126,2000-07-03,26.0,26.375,26.0,26.375,42400
127,2000-07-05,26.625,26.75,26.5,26.6875,61800
128,2000-07-06,26.3125,27.0,26.3125,26.9375,104000
129,2000-07-07,26.9375,26.9375,26.6875,26.9375,15500
130,2000-07-10,26.8125,26.875,26.375,26.5,44000
131,2000-07-11,26.625,26.625,26.125,26.1875,31500
132,2000-07-12,26.4375,26.4375,26.125,26.25,54300
133,2000-07-13,26.125,26.375,26.0625,26.125,77800
134,2000-07-14,26.0625,26.125,25.875,25.875,68700
135,2000-07-17,25.75,25.9375,25.625,25.9375,33200
136,2000-07-18,26.0,26.0,25.25,25.25,95300
137,2000-07-19,25.4375,25.6875,25.375,25.4375,59400
138,2000-07-20,25.25,25.9375,25.25,25.9375,121000
139,2000-07-21,25.125,26.125,25.125,26.0625,102300
140,2000-07-24,26.125,26.4375,25.9375,26.375,50800
141,2000-07-25,26.5625,26.5625,25.875,26.3125,147500
142,2000-07-26,26.3125,26.875,26.0625,26.875,61400
143,2000-07-27,26.8125,26.8125,26.375,26.6875,156400
144,2000-07-28,26.75,26.8125,26.5,26.625,155200
145,2000-07-31,26.625,26.625,26.25,26.5,195300
146,2000-08-01,26.375,27.25,26.375,26.9375,138800
147,2000-08-02,26.9375,27.0625,25.25,25.625,228300
148,2000-08-03,25.5625,26.0,24.8125,25.4375,440600
149,2000-08-04,25.5625,25.875,25.3125,25.5625,92800
150,2000-08-07,25.375,25.75,25.125,25.375,62600
151,2000-08-08,25.625,25.625,25.375,25.5,37000
152,2000-08-09,25.625,25.625,25.375,25.5625,35800
153,2000-08-10,25.5625,25.875,25.4375,25.8125,276100
154,2000-08-11,25.5625,26.125,25.5625,26.125,23900
155,2000-08-14,25.9375,26.5625,25.9375,26.5625,27400
