,Date,Open,High,Low,Close,Volume
0,2000-01-03,14.9375,15.0,14.875,14.9375,17300
1,2000-01-04,14.875,14.875,14.875,14.875,1300
2,2000-01-05,15.0,15.1875,14.9375,14.9375,14600
3,2000-01-06,14.9375,14.9375,14.625,14.9375,11900
4,2000-01-07,14.9375,15.125,14.9375,15.125,10900
5,2000-01-10,15.0,15.6875,15.0,15.625,10300
6,2000-01-11,15.5625,15.5625,15.3125,15.4375,6400
7,2000-01-12,15.125,15.125,14.75,14.75,2900
8,2000-01-13,14.75,15.125,14.75,14.875,8200
9,2000-01-14,14.9375,15.125,14.75,14.75,12900
10,2000-01-18,14.875,14.9375,14.5,14.5625,78400
11,2000-01-19,14.4375,14.5,14.4375,14.5,54100
12,2000-01-20,14.375,14.4375,14.0,14.125,12900
13,2000-01-21,14.0,14.4375,14.0,14.25,18400
14,2000-01-24,14.3125,14.4375,14.3125,14.375,37200
15,2000-01-25,14.4375,14.4375,14.0625,14.3125,50900
16,2000-01-26,14.3125,14.3125,14.1875,14.1875,800
17,2000-01-27,14.3125,14.4375,14.3125,14.4375,7200
18,2000-01-28,14.3125,14.375,14.25,14.375,1800
19,2000-01-31,14.375,14.625,14.25,14.4375,24800
20,2000-02-01,14.4375,14.5,14.1875,14.1875,28200
21,2000-02-02,14.375,14.5,14.375,14.5,6200
22,2000-02-03,14.4375,14.4375,14.3125,14.4375,3700
23,2000-02-04,14.25,14.4375,14.1875,14.375,6600
24,2000-02-07,14.25,14.3125,14.0625,14.0625,25200
25,2000-02-08,14.1875,14.4375,14.125,14.1875,6300
26,2000-02-09,14.3125,14.375,14.1875,14.25,41300
27,2000-02-10,14.4375,14.4375,14.3125,14.3125,11300
28,2000-02-11,14.4375,14.4375,14.0,14.0,26500
29,2000-02-14,14.25,14.4375,14.1875,14.1875,23200
30,2000-02-15,14.125,14.25,14.125,14.1875,4900
31,2000-02-16,14.0625,14.3125,13.8125,14.0,11700
32,2000-02-17,13.875,14.25,13.875,14.125,11900
33,2000-02-18,14.0,14.0,13.75,13.75,78400
34,2000-02-22,13.625,13.75,13.625,13.625,9800
35,2000-02-23,13.5,13.875,13.375,13.6875,76300
36,2000-02-24,13.8125,14.125,13.625,13.625,9500
37,2000-02-25,13.5625,14.0,13.5625,13.875,8700
38,2000-02-28,14.0,14.25,13.875,13.875,4300
39,2000-02-29,13.9375,14.375,13.875,14.0,11400
40,2000-03-01,14.125,14.5,14.0625,14.0625,9000
41,2000-03-02,14.0625,14.0625,14.0625,14.0625,4800
42,2000-03-03,14.1875,14.5,14.1875,14.5,6600
43,2000-03-06,14.5,14.5625,14.3125,14.3125,6000
44,2000-03-07,14.4375,14.75,14.1875,14.4375,13200
45,2000-03-08,14.4375,15.1875,14.4375,15.0625,35700
46,2000-03-09,15.0,15.1875,15.0,15.1875,11800
47,2000-03-10,15.125,15.375,15.0625,15.125,4400
48,2000-03-13,15.125,15.125,15.0,15.0,5600
49,2000-03-14,15.0,15.5,15.0,15.1875,21500
50,2000-03-15,15.0625,15.3125,15.0,15.1875,3200
51,2000-03-16,15.25,15.4375,15.125,15.4375,9100
52,2000-03-17,15.25,15.4375,15.25,15.375,4900
53,2000-03-20,15.4375,15.4375,15.1875,15.1875,3700
54,2000-03-21,15.4375,15.5,15.4375,15.5,5900
55,2000-03-22,15.5,16.0,15.5,16.0,16600
56,2000-03-23,16.0,16.4375,15.875,16.4375,15100
57,2000-03-24,16.5625,16.5625,15.875,16.0,12600
58,2000-03-27,15.875,16.0,15.875,15.9375,6300
59,2000-03-28,15.9375,16.125,15.9375,16.0,1800
60,2000-03-29,16.25,16.5,16.125,16.3125,4700
61,2000-03-30,16.1875,16.1875,16.1875,16.1875,1500
62,2000-03-31,16.375,17.0,16.375,17.0,23500
63,2000-04-03,16.875,16.9375,16.5,16.625,10500
64,2000-04-04,16.75,17.0,16.625,16.6875,16700
65,2000-04-05,16.75,16.9375,16.625,16.625,2800
66,2000-04-06,16.375,16.9375,16.25,16.75,4400
67,2000-04-07,16.6875,16.75,16.4375,16.4375,4200
68,2000-04-10,16.4375,16.46875,16.4375,16.4375,3500
69,2000-04-11,16.4375,16.5625,16.375,16.5,4400
70,2000-04-12,16.375,16.875,16.375,16.75,2100
71,2000-04-13,16.8125,16.8125,16.3125,16.3125,6700
72,2000-04-14,16.1875,16.1875,15.75,15.875,14100
73,2000-04-17,15.75,16.0,15.75,15.8125,13200
74,2000-04-18,15.875,15.9375,15.75,15.8125,2200
75,2000-04-19,15.6875,16.1875,15.6875,16.0625,14300
76,2000-04-20,16.25,16.5625,16.1875,16.5625,7900
77,2000-04-24,16.6875,16.6875,16.5,16.5,24600
78,2000-04-25,16.375,16.5625,16.25,16.5,24200
79,2000-04-26,16.5,16.625,16.4375,16.4375,8600
80,2000-04-27,16.375,16.5,16.125,16.3125,6200
81,2000-04-28,16.1875,16.8125,16.125,16.8125,10400
82,2000-05-01,16.8125,16.9375,16.5625,16.75,13300
83,2000-05-02,16.75,16.875,16.5,16.5,5800
84,2000-05-03,16.5,16.5,16.5,16.5,1400
85,2000-05-04,16.5625,16.625,16.5,16.625,5100
86,2000-05-05,16.625,16.75,16.5,16.75,10200
87,2000-05-08,16.75,16.9375,16.625,16.9375,7900
88,2000-05-09,16.9375,17.0,16.625,16.9375,10900
89,2000-05-10,17.375,17.375,17.1875,17.375,29500
90,2000-05-11,17.375,17.4375,17.25,17.375,6600
91,2000-05-12,17.25,17.4375,17.0,17.1875,17400
