,Date,Open,High,Low,Close,Volume
0,2000-01-03,33.125,33.5,32.75,32.875,189300
1,2000-01-04,32.625,33.0,32.0,32.5625,70400
2,2000-01-05,32.4375,32.625,31.75,31.75,75300
3,2000-01-06,32.5,32.5,31.75,31.8125,54000
4,2000-01-07,32.125,32.125,31.75,32.0,219900
5,2000-01-10,31.9375,32.25,31.9375,32.0625,235000
6,2000-01-11,32.25,32.25,31.0,31.5,153700
7,2000-01-12,31.375,34.5,31.265625,31.84375,238700
8,2000-01-13,31.75,33.1875,31.6875,33.1875,45500
9,2000-01-14,32.71875,34.75,32.4375,34.3125,167900
10,2000-01-18,34.15625,34.4375,33.0,33.625,59700
11,2000-01-19,33.125,34.25,33.0,33.5,134500
12,2000-01-20,33.25,33.6875,32.5625,32.8125,126900
13,2000-01-21,33.75,33.75,31.75,32.5,66700
14,2000-01-24,33.0,33.25,30.25,30.875,94400
15,2000-01-25,30.75,30.75,29.75,30.0625,148400
16,2000-01-26,30.25,30.4375,30.09375,30.25,85000
17,2000-01-27,30.4375,30.875,30.25,30.75,556200
18,2000-01-28,30.6875,31.0,30.0,30.96875,100100
19,2000-01-31,30.75,32.1875,30.75,31.75,94500
20,2000-02-01,31.4375,34.0,30.25,33.125,184600
21,2000-02-02,33.5,34.125,33.0,33.6875,202300
22,2000-02-03,33.75,34.125,33.25,34.125,233700
23,2000-02-04,34.25,34.25,32.6875,32.6875,45000
24,2000-02-07,32.625,32.71875,31.0,31.9375,58700
25,2000-02-08,31.625,32.25,31.25,31.625,75200
26,2000-02-09,32.0,32.0,31.0,31.125,82400
27,2000-02-10,31.25,31.875,31.0,31.1875,203000
28,2000-02-11,31.25,32.5,30.9375,32.5,88700
29,2000-02-14,32.375,32.5625,30.0,30.203125,156400
30,2000-02-15,30.125,31.75,30.125,31.375,172100
31,2000-02-16,31.6875,33.984375,31.6875,32.25,135600
32,2000-02-17,32.0,32.0625,31.5,31.90625,182100
33,2000-02-18,31.9375,32.25,31.25,31.25,40200
34,2000-02-22,31.6875,31.75,30.625,30.75,155100
35,2000-02-23,31.25,31.25,29.5625,29.625,322400
36,2000-02-24,30.0,31.75,29.75,30.3125,229000
37,2000-02-25,30.375,30.4375,29.0,29.1875,67000
38,2000-02-28,29.1875,29.875,29.0,29.53125,74800
39,2000-02-29,29.40625,30.75,29.0,29.75,85200
40,2000-03-01,29.0,30.25,29.0,29.625,119300
41,2000-03-02,29.75,31.0,28.4375,28.6875,363300
42,2000-03-03,28.8125,29.25,28.5625,28.8125,115800
43,2000-03-06,28.625,29.3125,28.5625,28.5625,64900
44,2000-03-07,28.5625,28.625,27.0,28.125,143400
45,2000-03-08,28.0,28.5,27.25,28.5,155200
46,2000-03-09,27.75,29.25,27.4375,27.875,150100
47,2000-03-10,28.125,28.25,27.125,27.875,36400
48,2000-03-13,27.0625,27.75,27.0,27.21875,27600
49,2000-03-14,27.5,27.5,26.625,26.625,132900
50,2000-03-15,26.625,27.75,26.5625,27.09375,94900
51,2000-03-16,27.25,30.625,27.0625,29.0,80900
52,2000-03-17,28.25,29.9375,28.25,29.1875,102400
53,2000-03-20,29.0,29.6875,28.5,29.1875,134400
54,2000-03-21,29.3125,29.5,28.25,28.375,62000
55,2000-03-22,28.625,29.25,28.5,28.9375,37600
56,2000-03-23,29.1875,29.375,28.5625,29.25,115500
57,2000-03-24,28.75,28.875,28.25,28.625,48700
58,2000-03-27,28.25,28.75,28.25,28.375,131500
59,2000-03-28,28.375,28.5,28.0625,28.125,205000
60,2000-03-29,28.25,28.375,27.25,28.0625,153100
61,2000-03-30,28.0,30.1875,28.0,29.75,160200
62,2000-03-31,29.9375,32.5,29.6875,30.5625,385100
63,2000-04-03,31.3125,31.3125,29.78125,31.0625,107700
64,2000-04-04,31.0,31.25,29.75,30.5,130000
65,2000-04-05,30.5625,31.0625,30.0,30.25,117500
