,Date,Open,High,Low,Close,Volume
0,2000-01-03,10.03125,10.0625,9.84375,10.0,109800
1,2000-01-04,9.75,10.0,9.25,9.28125,102000
2,2000-01-05,9.34375,9.5625,9.15625,9.375,79000
3,2000-01-06,9.40625,9.4375,9.3125,9.3125,343600
4,2000-01-07,9.1875,9.4375,9.1875,9.3125,132800
5,2000-01-10,9.25,9.757813,9.25,9.75,152400
6,2000-01-11,9.59375,9.71875,9.28125,9.28125,465600
7,2000-01-12,9.5,9.625,9.375,9.5,57800
8,2000-01-13,9.328125,9.8125,9.328125,9.75,383200
9,2000-01-14,9.78125,9.78125,9.59375,9.65625,368600
10,2000-01-18,9.625,9.6875,9.59375,9.625,145400
11,2000-01-19,9.4375,9.6875,9.375,9.5625,113200
12,2000-01-20,9.5,9.6875,9.5,9.65625,170000
13,2000-01-21,9.625,9.96875,9.625,9.90625,97400
14,2000-01-24,9.875,10.0625,9.78125,9.96875,366800
15,2000-01-25,9.828125,9.828125,9.75,9.8125,286200
16,2000-01-26,9.796875,9.8125,9.75,9.8125,75200
17,2000-01-27,9.8125,10.0,9.78125,9.8125,74200
18,2000-01-28,9.78125,9.9375,9.78125,9.90625,172600
19,2000-01-31,9.75,9.875,9.75,9.78125,170000
20,2000-02-01,9.78125,9.78125,9.3125,9.5,108000
21,2000-02-02,9.875,9.875,9.75,9.8125,282200
22,2000-02-03,9.875,10.03125,9.875,10.0,193000
23,2000-02-04,9.96875,10.03125,9.875,9.90625,56000
24,2000-02-07,9.875,9.9375,9.4375,9.53125,163800
25,2000-02-08,9.5625,9.75,9.5625,9.75,108400
26,2000-02-09,9.71875,10.0625,9.71875,10.0,591000
27,2000-02-10,10.0,10.03125,9.9375,10.03125,56400
28,2000-02-11,10.03125,10.0625,9.90625,9.9375,309400
29,2000-02-14,10.0,10.0625,9.96875,10.0,351200
30,2000-02-15,9.9375,9.96875,9.5,9.90625,679000
31,2000-02-16,9.625,9.9375,9.625,9.6875,252600
32,2000-02-17,9.6875,9.78125,9.6875,9.6875,354400
33,2000-02-18,9.71875,9.75,9.5625,9.59375,92800
34,2000-02-22,9.71875,9.78125,9.625,9.78125,109000
35,2000-02-23,9.75,10.0,9.6875,10.0,167000
36,2000-02-24,9.96875,9.96875,9.71875,9.75,61400
37,2000-02-25,9.6875,9.75,9.65625,9.664063,169400
38,2000-02-28,9.65625,9.6875,9.625,9.625,430200
39,2000-02-29,9.625,9.8125,9.625,9.75,589800
40,2000-03-01,9.75,10.0625,9.6875,10.0625,222600
41,2000-03-02,10.0625,10.0625,9.78125,9.78125,370600
42,2000-03-03,9.78125,9.96875,9.6875,9.6875,765200
43,2000-03-06,9.6875,9.875,9.5625,9.875,448200
44,2000-03-07,9.6875,9.75,9.5,9.625,360600
45,2000-03-08,9.625,9.625,9.1875,9.34375,266000
46,2000-03-09,9.21875,9.59375,9.21875,9.5,572800
47,2000-03-10,9.34375,9.5,9.25,9.25,275200
48,2000-03-13,9.3125,9.5,9.0625,9.0625,230000
