,Date,Open,High,Low,Close,Volume
0,2000-01-03,7.927729,8.019912,7.743363,7.835546,387070
1,2000-01-04,7.712635,7.866273,7.712635,7.77409,548163
2,2000-01-05,7.77409,7.897001,7.77409,7.804818,222723
3,2000-01-06,7.77409,7.835546,7.712635,7.804818,511144
4,2000-01-07,7.804818,8.019912,7.77409,7.958456,914283
5,2000-01-10,7.958456,8.112094,7.866273,8.019912,2106004
6,2000-01-11,8.050639,8.050639,7.866273,7.866273,580504
7,2000-01-12,7.989184,8.142822,7.743363,7.927729,908588
8,2000-01-13,8.050639,8.235005,8.050639,8.112094,312016
9,2000-01-14,8.17355,8.357915,8.142822,8.142822,401308
10,2000-01-18,8.17355,8.204277,8.081367,8.081367,681593
11,2000-01-19,7.897001,8.17355,7.897001,8.019912,449514
12,2000-01-20,8.019912,8.112094,7.989184,8.081367,677322
13,2000-01-21,8.050639,8.112094,7.927729,8.019912,1111378
14,2000-01-24,8.019912,8.112094,7.989184,8.019912,1095512
15,2000-01-25,8.050639,8.081367,7.927729,7.958456,1067647
16,2000-01-26,8.019912,8.019912,7.897001,7.927729,1342033
17,2000-01-27,7.927729,8.050639,7.897001,7.958456,817668
18,2000-01-28,8.019912,8.019912,7.743363,7.743363,649253
19,2000-01-31,7.866273,7.927729,7.804818,7.835546,455209
20,2000-02-01,7.866273,7.927729,7.835546,7.866273,639693
21,2000-02-02,7.866273,7.897001,7.835546,7.866273,311812
22,2000-02-03,7.897001,8.357915,7.866273,8.050639,642744
23,2000-02-04,8.081367,8.235005,8.019912,8.17355,2411510
24,2000-02-07,8.112094,8.235005,7.989184,8.019912,1357085
25,2000-02-08,7.958456,8.480826,7.927729,7.927729,475142
26,2000-02-09,8.050639,8.17355,8.050639,8.142822,359815
27,2000-02-10,8.112094,8.112094,7.897001,7.958456,538400
28,2000-02-11,7.897001,7.927729,7.77409,7.77409,303676
29,2000-02-14,7.866273,7.866273,7.743363,7.804818,243470
30,2000-02-15,7.804818,8.17355,7.804818,8.17355,582538
31,2000-02-16,8.050639,8.081367,7.866273,7.866273,217638
32,2000-02-17,7.897001,9.156834,7.897001,8.327188,2888280
33,2000-02-18,8.419371,8.603736,8.050639,8.17355,939505
34,2000-02-22,8.235005,8.29646,8.019912,8.019912,529450
35,2000-02-23,8.019912,8.050639,7.743363,7.835546,1203111
36,2000-02-24,7.958456,7.958456,7.497542,7.743363,829872
37,2000-02-25,7.743363,7.743363,7.65118,7.681908,265844
38,2000-02-28,7.65118,7.835546,7.589725,7.835546,236351
39,2000-02-29,7.712635,8.112094,7.712635,8.112094,278861
40,2000-03-01,8.081367,8.29646,8.019912,8.29646,319541
41,2000-03-02,8.29646,8.419371,8.265733,8.29646,262996
42,2000-03-03,8.419371,8.603736,8.357915,8.388643,333373
43,2000-03-06,8.388643,8.542281,8.17355,8.327188,320965
44,2000-03-07,8.204277,8.388643,7.989184,7.989184,192010
45,2000-03-08,8.050639,8.204277,8.050639,8.142822,340492
46,2000-03-09,7.989184,8.29646,7.989184,8.29646,233300
47,2000-03-10,8.29646,8.419371,8.17355,8.29646,361442
48,2000-03-13,8.112094,8.388643,8.112094,8.265733,242453
49,2000-03-14,8.204277,8.450098,8.204277,8.29646,206248
50,2000-03-15,8.29646,9.064651,8.204277,8.849558,772310
51,2000-03-16,8.880285,9.771386,8.880285,9.402655,1270233
52,2000-03-17,9.709931,10.201573,9.648476,10.201573,1285691
53,2000-03-20,10.140118,10.447394,9.98648,10.447394,706408
54,2000-03-21,10.478122,10.478122,10.078663,10.263029,953539
55,2000-03-22,10.232301,10.293756,10.047935,10.078663,778005
56,2000-03-23,10.078663,10.416667,10.078663,10.385939,970421
57,2000-03-24,10.385939,10.416667,10.017207,10.355211,787361
