,Date,Open,High,Low,Close,Volume
0,2000-01-03,25.0,25.5,24.5,24.5,94600
1,2000-01-04,24.375,24.5,23.25,23.96875,301100
2,2000-01-05,23.25,23.75,22.625,22.6875,64700
3,2000-01-06,22.5,23.25,21.5,22.0625,94000
4,2000-01-07,21.5,23.125,21.5,23.125,65400
5,2000-01-10,22.84375,25.5,22.84375,25.0,39800
6,2000-01-11,24.875,26.5,24.875,25.625,290700
7,2000-01-12,25.625,25.625,23.875,24.125,150200
8,2000-01-13,23.875,25.0,23.875,24.875,76100
9,2000-01-14,25.0,25.625,25.0,25.3125,75200
10,2000-01-18,25.3125,25.5,25.25,25.5,134900
11,2000-01-19,25.40625,26.25,25.375,26.25,39200
12,2000-01-20,26.125,27.25,25.75,26.75,91400
13,2000-01-21,26.59375,27.0,26.0,26.25,103100
14,2000-01-24,26.75,26.75,25.75,26.203125,256900
15,2000-01-25,26.5625,26.625,25.25,25.875,231800
16,2000-01-26,26.125,26.125,25.0,26.0,80500
17,2000-01-27,25.875,26.0,25.375,25.5,48300
18,2000-01-28,25.5,26.0,25.25,25.875,23400
19,2000-01-31,25.25,25.5,23.0,25.0625,168400
20,2000-02-01,25.0,25.125,24.75,25.0,41100
21,2000-02-02,25.125,25.375,24.5,24.875,33000
22,2000-02-03,24.625,25.4375,24.375,25.4375,36000
23,2000-02-04,24.8125,26.125,24.5625,25.5625,39700
24,2000-02-07,25.125,26.234375,25.125,26.0,76500
25,2000-02-08,26.25,26.25,25.375,26.015625,272900
26,2000-02-09,25.625,26.625,25.625,26.1875,128000
27,2000-02-10,26.375,26.75,26.0,26.5,69900
28,2000-02-11,26.5,26.5,26.0625,26.4375,29700
29,2000-02-14,26.3125,28.1875,26.0,28.1875,146900
30,2000-02-15,27.375,29.0,27.375,28.375,361800
31,2000-02-16,27.875,28.375,27.5,27.5,397300
32,2000-02-17,27.4375,28.4375,26.875,28.4375,194100
33,2000-02-18,28.0625,28.5,27.25,27.375,39300
34,2000-02-22,27.375,27.625,26.4375,27.0,35700
35,2000-02-23,26.75,28.0,26.75,27.6875,47600
36,2000-02-24,27.5,29.0,27.375,28.625,160500
37,2000-02-25,27.875,28.875,27.875,28.625,226300
38,2000-02-28,28.625,29.75,28.5,29.375,209100
39,2000-02-29,28.75,29.875,28.75,29.875,240600
40,2000-03-01,29.6875,33.0,29.6875,32.875,408300
41,2000-03-02,32.59375,32.875,31.75,32.25,351900
42,2000-03-03,32.59375,36.625,32.375,35.0,424400
43,2000-03-06,34.75,35.0,32.5,34.0,287700
44,2000-03-07,33.875,34.25,31.75,31.75,176500
45,2000-03-08,31.875,33.125,31.8125,31.9375,296500
46,2000-03-09,31.90625,33.125,31.8125,32.75,103600
47,2000-03-10,38.0,39.5,35.875,35.875,455400
48,2000-03-13,35.875,35.875,33.5,34.3125,154500
49,2000-03-14,34.3125,35.0,33.875,34.0,81900
50,2000-03-15,34.0,34.0,33.625,33.625,41000
51,2000-03-16,33.625,35.0,33.3125,35.0,67200
52,2000-03-17,34.5625,35.5,34.5,35.5,51000
53,2000-03-20,35.0,35.75,34.5,34.9375,57700
54,2000-03-21,35.5,35.5,34.25,35.0,216500
55,2000-03-22,35.0,38.0,35.0,36.8125,181100
56,2000-03-23,36.625,36.875,35.875,36.5,98500
57,2000-03-24,36.375,37.4375,36.0,36.1875,71700
58,2000-03-27,36.125,36.25,35.75,36.0,91800
59,2000-03-28,35.75,36.0,35.25,35.5625,96000
60,2000-03-29,35.25,37.484375,35.25,37.0625,184200
61,2000-03-30,36.8125,37.375,35.875,35.9375,105700
62,2000-03-31,36.5,37.125,35.0625,36.6875,124600
63,2000-04-03,36.25,37.5,36.1875,36.75,265600
64,2000-04-04,36.5,36.6875,32.25,33.5,258200
65,2000-04-05,32.015625,35.25,32.0,35.125,133300
66,2000-04-06,34.25,37.0,34.25,36.625,153600
67,2000-04-07,37.25,37.5,35.875,36.0,88600
68,2000-04-10,36.0625,36.25,35.25,35.3125,188300
69,2000-04-11,35.5,36.625,34.625,35.1875,67800
70,2000-04-12,35.0,35.5,33.75,33.75,85400
71,2000-04-13,34.0,35.0,33.3125,33.3125,71400
72,2000-04-14,33.3125,34.125,32.625,32.625,205300
73,2000-04-17,32.625,33.125,32.0625,32.25,289900
74,2000-04-18,33.0,33.0,30.5,31.25,298300
75,2000-04-19,30.6875,31.75,30.5,30.75,123700
76,2000-04-20,33.0,34.0,31.75,32.3125,146500
77,2000-04-24,32.0625,33.0,31.0,32.375,166000
78,2000-04-25,32.375,33.5,31.6875,33.5,84500
79,2000-04-26,32.390625,34.5,31.5,33.75,95800
80,2000-04-27,33.46875,34.5,32.0625,34.1875,82100
81,2000-04-28,34.625,35.5,34.5,35.5,88400
82,2000-05-01,36.0,38.0,36.0,36.5,71500
83,2000-05-02,36.75,36.9375,34.125,34.1875,101200
84,2000-05-03,35.375,35.8125,34.125,35.0625,131200
85,2000-05-04,34.5,35.0,34.25,34.9375,34500
86,2000-05-05,35.125,35.125,34.625,34.625,48900
87,2000-05-08,34.625,35.125,34.375,34.625,198700
88,2000-05-09,34.875,34.875,32.6875,33.3125,54800
89,2000-05-10,32.875,33.375,32.5625,32.875,121100
90,2000-05-11,32.5625,35.75,32.5625,35.1875,85700
91,2000-05-12,35.1875,35.1875,31.0,31.5,51400
92,2000-05-15,32.0625,33.625,31.75,33.4375,145600
93,2000-05-16,33.5,34.5625,33.5,34.5,109500
94,2000-05-17,34.625,34.8125,33.375,34.0625,59700
95,2000-05-18,34.5,36.25,34.0,35.6875,145600
96,2000-05-19,35.4375,35.4375,34.0,34.25,50300
97,2000-05-22,34.125,34.625,33.5625,34.5,239000
98,2000-05-23,34.75,35.625,33.0,33.0,145400
99,2000-05-24,34.25,36.75,33.125,36.625,121300
100,2000-05-25,35.8125,36.875,35.8125,36.0,197500
101,2000-05-26,35.625,36.3125,35.5,35.5,102600
102,2000-05-30,35.75,39.0,35.5,39.0,296000
103,2000-05-31,39.0,41.5,38.25,40.125,355900
104,2000-06-01,40.375,41.625,40.125,40.375,322000
105,2000-06-02,41.375,44.0,41.3125,43.5,372200
106,2000-06-05,43.3125,43.5,42.75,43.0625,240400
107,2000-06-06,43.0,45.25,42.5,43.5,693900
108,2000-06-07,44.5,44.625,41.5,42.4375,245500
109,2000-06-08,42.3125,42.625,40.5,42.125,155500
110,2000-06-09,42.375,43.375,42.25,43.0,114700
111,2000-06-12,42.3125,46.0,42.3125,43.375,171300
112,2000-06-13,41.625,43.25,41.125,43.09375,184700
113,2000-06-14,42.0,45.25,41.5,42.0,882400
114,2000-06-15,44.21875,45.0,42.0,44.3125,491900
115,2000-06-16,43.9375,44.25,42.125,43.75,287400
116,2000-06-19,44.0,45.0,43.375,44.875,328000
117,2000-06-20,44.875,45.0,43.75,44.125,205200
118,2000-06-21,43.75,44.875,43.75,44.875,164600
119,2000-06-22,44.875,45.375,42.4375,42.4375,149200
120,2000-06-23,42.5,44.1875,40.75,42.0,135000
121,2000-06-26,41.9375,42.5,40.375,42.1875,193500
122,2000-06-27,42.6875,47.0,42.4375,46.9375,347400
123,2000-06-28,46.75,49.0,45.0,49.0,174900
124,2000-06-29,47.5,50.625,47.5,50.5,265200
125,2000-06-30,50.0,50.25,48.8125,49.0,254200
126,2000-07-03,49.15625,49.15625,48.0,48.375,117900
127,2000-07-05,48.625,48.625,46.0,48.1875,965200
128,2000-07-06,48.0,48.875,47.75,48.125,598300
