,Date,Open,High,Low,Close,Volume
0,2000-01-03,38.875,39.3125,38.25,39.0625,512000
1,2000-01-04,38.875,39.0625,37.5625,37.9375,729300
2,2000-01-05,37.9375,39.0625,36.5625,36.625,520000
3,2000-01-06,37.0,37.5,36.1875,37.0,518400
4,2000-01-07,37.75,39.0625,37.1875,37.9375,279700
5,2000-01-10,38.5,38.6875,36.375,38.0,624700
6,2000-01-11,37.125,37.625,37.125,37.4375,330800
7,2000-01-12,37.5,37.5,35.5,37.25,794700
8,2000-01-13,38.0,39.625,37.875,39.5,786600
9,2000-01-14,41.375,41.375,38.4375,38.875,470600
10,2000-01-18,38.0,38.4375,37.625,37.9375,335500
11,2000-01-19,37.0,37.625,35.625,36.625,603200
12,2000-01-20,36.625,36.625,34.375,34.75,702600
13,2000-01-21,35.0,36.5,33.625,35.8125,999500
14,2000-01-24,36.5,36.75,34.5625,34.9375,710600
15,2000-01-25,34.625,36.0,34.5,35.875,1016700
16,2000-01-26,35.625,36.3125,34.375,36.25,504900
17,2000-01-27,35.75,36.5625,35.6875,36.0625,586400
18,2000-01-28,34.875,36.8125,34.875,35.8125,607200
19,2000-01-31,35.9375,36.9375,35.8125,36.9375,347100
20,2000-02-01,38.0,39.375,37.5,37.6875,964500
21,2000-02-02,37.25,38.8125,37.0,38.4375,911400
22,2000-02-03,37.375,38.125,36.25,37.5,610800
23,2000-02-04,36.75,37.625,35.9375,36.1875,592000
24,2000-02-07,36.75,36.875,34.125,34.25,1175400
25,2000-02-08,34.6875,35.5625,34.375,35.25,776800
26,2000-02-09,34.4375,35.125,33.5625,33.5625,511100
27,2000-02-10,33.0625,33.875,32.5,33.0625,483800
28,2000-02-11,32.8125,33.875,32.25,32.25,387900
29,2000-02-14,32.75,32.75,31.75,32.25,355100
30,2000-02-15,32.4375,33.0625,32.125,32.625,503500
31,2000-02-16,30.75,31.9375,30.75,31.5,551900
32,2000-02-17,31.625,32.0,30.875,30.9375,489700
33,2000-02-18,30.875,31.6875,30.3125,30.375,537500
34,2000-02-22,29.5,30.6875,28.375,29.75,834700
35,2000-02-23,30.0,30.0625,28.75,29.6875,721600
36,2000-02-24,29.5,29.9375,28.5,29.5625,853200
37,2000-02-25,29.5625,29.6875,28.0,28.375,1324600
38,2000-02-28,27.5,28.6875,27.125,28.25,1265700
39,2000-02-29,28.125,28.1875,27.625,27.625,532800
40,2000-03-01,27.8125,29.375,27.1875,28.5,774200
41,2000-03-02,28.5,28.5,26.8125,27.125,3139500
42,2000-03-03,27.625,27.625,27.0,27.0625,899800
43,2000-03-06,27.25,27.375,25.9375,26.5,790100
44,2000-03-07,26.25,26.5,24.5,24.5625,944400
45,2000-03-08,25.0,25.4375,24.0,24.1875,859600
46,2000-03-09,25.0,25.9375,24.0625,25.0,818500
47,2000-03-10,25.25,25.6875,24.625,25.0625,545400
48,2000-03-13,25.25,25.25,23.625,24.25,625000
49,2000-03-14,24.25,24.3125,22.625,23.1875,1081200
50,2000-03-15,23.3125,25.5,23.3125,25.0625,1759600
51,2000-03-16,26.375,28.8125,26.0,28.25,2460500
52,2000-03-17,28.25,29.625,28.0,28.0,1251200
53,2000-03-20,28.3125,28.9375,27.8125,28.25,846900
54,2000-03-21,28.625,30.0,27.5,29.3125,939900
55,2000-03-22,29.0,29.1875,28.6875,29.125,798400
56,2000-03-23,29.5,31.375,29.5,31.125,947200
57,2000-03-24,31.0625,33.0,30.625,32.0625,1343000
58,2000-03-27,32.3125,32.6875,30.125,30.5,855800
59,2000-03-28,30.0,30.625,29.375,30.1875,1092600
60,2000-03-29,31.0,31.875,30.75,31.3125,816500
61,2000-03-30,32.25,35.875,32.25,35.0,1344000
62,2000-03-31,35.0,35.0,33.375,33.5,1436400
63,2000-04-03,33.6875,33.6875,32.125,33.0625,838000
64,2000-04-04,34.25,34.25,32.5,33.125,1257400
65,2000-04-05,33.0625,33.375,31.875,32.875,953300
66,2000-04-06,32.125,32.3125,30.8125,31.4375,802500
67,2000-04-07,32.0,32.0625,30.6875,30.8125,520800
68,2000-04-10,31.0625,31.125,29.0,30.9375,1065200
69,2000-04-11,31.75,31.9375,30.6875,31.6875,547200
70,2000-04-12,31.625,33.4375,31.625,32.875,660500
71,2000-04-13,34.625,35.3125,33.625,34.6875,1298500
72,2000-04-14,33.75,33.75,31.0,31.4375,608900
73,2000-04-17,31.75,32.3125,30.5,31.4375,503400
74,2000-04-18,31.5,32.0625,30.6875,31.8125,461900
75,2000-04-19,32.375,32.75,31.25,32.1875,731000
76,2000-04-20,32.75,33.5625,31.75,33.25,475100
77,2000-04-24,32.8125,34.625,32.5,34.5625,645600
78,2000-04-25,34.625,35.125,32.4375,33.4375,937100
79,2000-04-26,34.5,34.5625,31.5625,31.8125,761500
80,2000-04-27,31.0,31.625,30.6875,31.0,864300
81,2000-04-28,31.25,38.5,30.6875,34.8125,1582500
82,2000-05-01,35.8125,37.5,34.625,34.9375,1297100
83,2000-05-02,33.0,35.3125,33.0,35.125,817000
84,2000-05-03,34.0625,34.5625,32.5625,32.9375,734000
85,2000-05-04,32.9375,33.625,32.5,33.125,483300
86,2000-05-05,32.625,34.3125,32.5625,33.5,448000
87,2000-05-08,32.5,35.75,32.5,33.375,941500
88,2000-05-09,33.375,34.0625,33.0,33.4375,841900
89,2000-05-10,33.375,34.375,33.0,33.75,349400
90,2000-05-11,33.625,34.4375,33.5,33.875,521600
91,2000-05-12,33.625,35.8125,33.625,35.25,534800
92,2000-05-15,35.0625,36.5,34.875,36.375,833100
93,2000-05-16,36.5,36.5,35.5625,35.5625,447100
94,2000-05-17,35.3125,35.3125,33.875,35.1875,293600
95,2000-05-18,35.1875,36.375,35.125,35.25,651300
96,2000-05-19,34.25,35.125,33.4375,34.0,975600
97,2000-05-22,34.5,35.375,34.25,35.25,540600
98,2000-05-23,35.0,36.875,34.875,36.375,571300
99,2000-05-24,37.5,38.25,37.0625,37.8125,1030800
100,2000-05-25,38.0,38.9375,37.6875,37.8125,925500
101,2000-05-26,37.9375,38.0625,37.5625,37.6875,582800
102,2000-05-30,37.625,38.5625,37.375,38.375,500900
103,2000-05-31,38.375,39.3125,38.0,38.75,578500
104,2000-06-01,38.5,39.75,38.5,39.625,431400
105,2000-06-02,39.6875,40.0625,38.4375,39.0,520300
106,2000-06-05,38.75,38.875,37.25,37.9375,452500
107,2000-06-06,37.75,38.0625,37.25,37.578125,636600
108,2000-06-07,37.5625,39.5,37.4375,39.4375,536600
109,2000-06-08,39.4375,39.4375,37.5625,38.375,516100
110,2000-06-09,38.375,38.6875,37.6875,38.0625,356600
111,2000-06-12,38.3125,38.9375,38.0625,38.0625,209400
112,2000-06-13,38.125,39.5,37.75,38.9375,350000
113,2000-06-14,38.5,39.3125,38.4375,39.0625,423400
114,2000-06-15,39.25,39.4375,37.875,38.0,472300
115,2000-06-16,37.5625,37.8125,36.3125,36.4375,569900
116,2000-06-19,35.9375,37.5,35.75,37.1875,544400
117,2000-06-20,36.875,36.9375,35.4375,35.5625,738800
118,2000-06-21,35.875,36.3125,35.6875,36.25,524800
119,2000-06-22,36.5,36.75,35.625,36.5625,507600
120,2000-06-23,38.0,39.5,37.75,38.4375,710900
121,2000-06-26,38.4375,38.4375,37.5,38.0625,405500
122,2000-06-27,38.0625,39.0,37.75,38.25,632700
123,2000-06-28,38.25,38.9375,36.5625,36.71875,1293600
124,2000-06-29,35.75,36.5625,35.75,36.375,1116400
125,2000-06-30,36.125,37.3125,35.8125,36.125,986600
126,2000-07-03,36.125,36.9375,35.625,36.9375,241700
127,2000-07-05,36.875,37.9375,36.375,37.1875,408000
128,2000-07-06,37.9375,38.1875,36.3125,38.0,574800
129,2000-07-07,38.5,41.375,38.1875,41.0,1549300
130,2000-07-10,40.5,40.5,37.8125,39.875,1202400
131,2000-07-11,39.125,41.6875,38.625,41.5,1046200
132,2000-07-12,44.0,44.0,43.0,43.375,1540300
133,2000-07-13,43.5,43.5,42.0625,42.5,1476100
134,2000-07-14,42.5,43.8125,42.4375,43.3125,677700
135,2000-07-17,42.5,42.625,41.875,42.28125,825200
136,2000-07-18,42.1875,42.6875,41.6875,42.375,827300
137,2000-07-19,41.9375,43.625,41.9375,42.6875,580900
138,2000-07-20,42.6875,45.3125,42.625,45.0,1190800
139,2000-07-21,44.25,44.5625,42.875,43.3125,1213400
140,2000-07-24,42.875,45.0,42.875,43.5625,726800
141,2000-07-25,43.75,45.375,43.625,45.3125,741400
142,2000-07-26,45.25,45.875,44.1875,44.9375,1535600
143,2000-07-27,46.0,46.25,45.125,45.5625,871500
144,2000-07-28,45.375,45.6875,43.75,44.75,606300
145,2000-07-31,44.9375,45.5625,43.5,43.625,595000
146,2000-08-01,43.625,44.625,43.5625,44.375,557500
147,2000-08-02,43.375,44.6875,43.25,44.4375,441300
148,2000-08-03,44.625,45.25,44.25,44.8125,374100
149,2000-08-04,45.25,45.875,44.625,45.75,586700
150,2000-08-07,45.5,46.375,45.0625,46.0,697500
151,2000-08-08,45.9375,46.1875,45.4375,46.0625,696900
152,2000-08-09,45.5,46.0,44.3125,45.8125,1138700
153,2000-08-10,45.875,45.875,45.125,45.5,483900
154,2000-08-11,45.5,48.25,45.5,47.9375,755200
155,2000-08-14,47.6875,48.4375,46.6875,48.4375,668500
156,2000-08-15,48.125,48.125,47.3125,48.0,699600
157,2000-08-16,47.5,48.0,46.625,46.9375,574400
158,2000-08-17,47.25,49.25,47.0625,48.875,694500
159,2000-08-18,48.9375,48.9375,47.8125,48.625,476500
160,2000-08-21,48.5625,49.0,48.0,48.5625,381300
161,2000-08-22,48.4375,49.4375,48.125,49.1875,686000
162,2000-08-23,48.5,49.25,48.5,49.0625,718600
163,2000-08-24,49.0,49.0,47.75,47.9375,532100
164,2000-08-25,47.375,47.75,46.4375,46.75,349200
165,2000-08-28,46.1875,46.8125,46.0,46.5,525100
166,2000-08-29,46.5,47.375,45.375,47.3125,654900
167,2000-08-30,47.375,52.3125,47.375,52.125,3347300
168,2000-08-31,51.5,54.5,51.25,54.015625,1635000
169,2000-09-01,54.0,54.0,51.1875,51.875,1219900
170,2000-09-05,51.25,51.8125,50.875,51.0,1290000
171,2000-09-06,53.5,54.0625,52.75,53.0,1214900
172,2000-09-07,52.5,52.875,52.0,52.875,605900
173,2000-09-08,52.75,55.0,52.5625,55.0,919600
174,2000-09-11,54.375,56.125,54.375,56.125,715600
175,2000-09-12,55.5,56.375,53.5,54.5625,1266300
176,2000-09-13,55.25,55.625,53.125,53.4375,700000
177,2000-09-14,53.125,54.8125,53.125,53.8125,464500
178,2000-09-15,52.875,53.5,51.6875,52.25,856500
179,2000-09-18,51.5,51.5,49.375,49.9375,938100
180,2000-09-19,50.1875,52.5,49.8125,51.875,715700
181,2000-09-20,51.0,51.375,50.625,51.0625,543700
182,2000-09-21,51.125,51.25,49.8125,50.1875,565600
183,2000-09-22,50.1875,52.625,49.75,52.1875,625400
184,2000-09-25,52.25,52.6875,51.5625,51.6875,692600
185,2000-09-26,51.25,51.5625,50.1875,50.6875,739200
186,2000-09-27,50.6875,50.6875,49.125,50.0625,866700
187,2000-09-28,48.5,49.0,47.6875,48.875,2047400
188,2000-09-29,49.25,49.8125,48.0,48.125,557200
189,2000-10-02,48.5,48.5,45.125,47.875,1694300
190,2000-10-03,48.0,48.0625,46.5,47.5,833000
191,2000-10-04,47.75,48.25,46.5,47.0,1138100
192,2000-10-05,46.6875,48.5,46.6875,48.375,2163200
193,2000-10-06,48.125,49.0,45.375,46.625,942200
194,2000-10-09,47.375,47.375,45.75,46.125,411400
195,2000-10-10,46.0625,47.0,44.875,45.0625,486100
196,2000-10-11,45.3125,46.4375,44.375,46.375,817400
197,2000-10-12,46.375,46.4375,41.375,42.0,1303900
198,2000-10-13,42.5625,45.5,42.5,45.1875,1035100
199,2000-10-16,44.5,45.0,43.75,44.625,516000
200,2000-10-17,44.5625,44.5625,43.0625,43.375,621600
201,2000-10-18,42.5,42.6875,40.875,42.375,1178100
202,2000-10-19,42.5,44.4375,42.5,44.25,474200
203,2000-10-20,44.0,44.875,43.8125,44.5,582200
204,2000-10-23,44.0,46.0,41.625,44.25,1659200
205,2000-10-24,45.0,46.875,45.0,46.3125,1149600
206,2000-10-25,45.5,48.4375,45.4375,47.0,1215100
207,2000-10-26,47.0,47.25,44.3125,45.625,595200
208,2000-10-27,45.625,46.75,45.5,46.4375,550000
209,2000-10-30,46.875,49.875,46.875,48.25,768000
210,2000-10-31,48.3125,48.75,47.25,48.375,578500
211,2000-11-01,48.375,48.6875,47.6875,48.0,434300
212,2000-11-02,47.875,49.0625,47.875,48.625,720400
213,2000-11-03,48.375,48.375,45.9375,46.3125,681800
214,2000-11-06,46.0,47.25,45.625,46.125,585900
215,2000-11-07,46.1875,48.875,46.1875,48.125,807900
216,2000-11-08,48.0,49.75,47.78125,48.1875,538800
217,2000-11-09,48.25,49.5,47.0625,47.875,717300
218,2000-11-10,47.875,48.75,47.0625,48.3125,923300
219,2000-11-13,48.3125,48.5,46.0,46.375,453200
220,2000-11-14,47.375,48.625,46.875,48.3125,1111100
221,2000-11-15,48.0625,48.4375,46.4375,47.25,469500
222,2000-11-16,47.375,48.4375,47.125,47.75,587600
223,2000-11-17,48.125,48.6875,45.9375,46.8125,546700
224,2000-11-20,46.875,46.9375,45.625,46.1875,310100
225,2000-11-21,45.75,45.8125,43.625,44.875,634800
226,2000-11-22,44.625,44.625,42.375,42.6875,822400
227,2000-11-24,42.6875,44.0625,42.6875,43.6875,267200
