,Date,Open,High,Low,Close,Volume
0,2000-01-03,23.9375,24.4375,22.46875,24.296875,904600
1,2000-01-04,22.8125,23.9375,22.375,22.46875,1223000
2,2000-01-05,22.5,22.9375,21.375,21.890625,1177800
3,2000-01-06,22.0,22.375,20.4375,20.8125,1321000
4,2000-01-07,21.21875,21.96875,20.5,21.671875,1383800
5,2000-01-10,22.34375,24.0,22.25,23.71875,871600
6,2000-01-11,24.125,24.25,22.6875,22.96875,1157800
7,2000-01-12,23.0,24.109375,22.5625,23.4375,1314400
8,2000-01-13,24.0,24.90625,23.8125,24.8125,1086000
9,2000-01-14,25.0,26.625,25.0,26.5,2133000
10,2000-01-18,26.28125,27.0625,25.0,26.578125,1820400
11,2000-01-19,26.6875,26.96875,25.84375,26.71875,1910400
12,2000-01-20,27.5,30.375,27.5,29.96875,5470000
13,2000-01-21,29.78125,30.125,29.125,29.5625,1437400
14,2000-01-24,29.75,30.0625,29.28125,29.5,1392600
15,2000-01-25,29.53125,30.78125,28.75,29.796875,1365200
16,2000-01-26,29.8125,29.8125,27.1875,28.09375,1477000
17,2000-01-27,28.25,29.125,26.0,26.875,1387400
18,2000-01-28,26.75,27.75,25.8125,26.28125,1444000
19,2000-01-31,26.375,27.0,25.0,25.65625,1327800
20,2000-02-01,26.0625,26.875,25.65625,26.6875,1105600
21,2000-02-02,27.1875,29.0,27.0625,28.421875,1945600
22,2000-02-03,28.875,29.625,28.125,29.5,879800
23,2000-02-04,29.875,30.0,28.375,29.375,1478800
24,2000-02-07,29.5,31.625,29.3125,31.609375,1886400
25,2000-02-08,31.8125,32.875,31.3125,32.53125,1907400
26,2000-02-09,32.5,32.5,31.0625,31.71875,1478800
27,2000-02-10,31.5,33.25,30.6875,33.078125,1244200
28,2000-02-11,33.28125,33.28125,32.1875,32.71875,1196200
29,2000-02-14,32.75,32.875,31.75,32.4375,1733000
30,2000-02-15,32.15625,32.5,30.625,31.6875,1090400
31,2000-02-16,31.625,33.1875,31.625,32.0625,1561600
32,2000-02-17,32.125,32.625,31.0,31.1875,1127600
33,2000-02-18,31.0,31.0,28.8125,29.0625,1718800
34,2000-02-22,29.125,30.0625,29.125,29.828125,1020600
35,2000-02-23,29.875,31.625,29.875,31.375,1343200
36,2000-02-24,31.375,33.0625,31.375,32.5625,1543600
37,2000-02-25,32.78125,33.125,31.78125,32.484375,835200
38,2000-02-28,32.5,34.125,31.0625,33.34375,2651000
39,2000-02-29,35.21875,35.8125,34.125,35.125,1845200
40,2000-03-01,35.375,37.6875,35.25,36.046875,1993600
41,2000-03-02,36.03125,36.5,33.0,34.34375,1425200
42,2000-03-03,35.125,37.8125,35.125,36.6875,1076400
43,2000-03-06,36.75,40.25,36.75,39.03125,3486600
44,2000-03-07,41.0625,41.3125,38.0,39.25,2327200
45,2000-03-08,39.375,39.875,36.5,37.1875,2095200
46,2000-03-09,36.875,39.03125,35.875,38.84375,1240800
47,2000-03-10,39.125,39.875,37.875,39.53125,911400
48,2000-03-13,38.375,38.6875,35.96875,37.3125,1105200
49,2000-03-14,38.25,38.65625,34.1875,34.6875,1143400
50,2000-03-15,34.75,35.0,31.625,32.0625,1784800
51,2000-03-16,34.75,35.5,31.0,34.03125,2759600
52,2000-03-17,33.0,35.0625,32.8125,35.0,1492400
53,2000-03-20,35.1875,35.65625,33.1875,33.5625,917800
54,2000-03-21,33.625,35.875,32.1875,35.734375,1579400
55,2000-03-22,35.9375,38.125,35.8125,37.5,1745400
56,2000-03-23,37.875,38.25,37.125,37.84375,1208800
57,2000-03-24,38.0625,38.9375,36.125,37.0,1145200
58,2000-03-27,37.125,38.65625,36.90625,38.40625,1244200
59,2000-03-28,38.46875,38.46875,35.4375,36.09375,1235000
60,2000-03-29,36.375,36.5,33.375,34.6875,2083200
61,2000-03-30,34.4375,35.625,32.25,33.375,1435600
62,2000-03-31,33.75,36.0,33.5625,33.84375,3599600
63,2000-04-03,34.0625,34.0625,30.25,31.5625,2353200
64,2000-04-04,32.0625,32.25,25.84375,30.4375,3557600
65,2000-04-05,29.0625,33.875,28.34375,32.375,1962600
66,2000-04-06,33.34375,34.25,32.34375,33.1875,1434600
67,2000-04-07,34.1875,36.6875,34.03125,35.5625,1528000
68,2000-04-10,35.96875,36.90625,33.90625,34.25,1698000
69,2000-04-11,33.8125,34.6875,29.96875,33.375,3224000
70,2000-04-12,33.375,34.25,30.4375,30.875,1533400
71,2000-04-13,32.15625,33.75,29.75,30.75,2277600
72,2000-04-14,30.5625,30.71875,25.875,26.898438,2309400
73,2000-04-17,26.0,30.9375,25.875,30.53125,2401800
74,2000-04-18,30.46875,33.5625,28.78125,31.875,3750800
75,2000-04-19,32.0625,32.75,30.0,32.0,2979400
76,2000-04-20,32.1875,32.4375,29.875,31.46875,2326600
77,2000-04-24,30.125,31.1875,27.0,28.53125,2104600
78,2000-04-25,29.5,31.5,29.125,31.5,1751000
79,2000-04-26,31.625,32.375,29.375,29.5625,2416600
80,2000-04-27,29.03125,32.0,28.625,31.8125,2196600
81,2000-04-28,32.40625,33.6875,31.25,33.6875,1218600
82,2000-05-01,33.3125,34.90625,33.3125,34.0625,2300000
83,2000-05-02,33.5,34.6875,32.21875,32.25,1350800
84,2000-05-03,32.25,33.0625,29.625,30.3125,1576000
85,2000-05-04,30.625,31.5,29.75,30.59375,1650200
86,2000-05-05,30.53125,32.5625,30.375,31.9375,1219600
87,2000-05-08,31.8125,32.3125,30.125,30.125,1332200
88,2000-05-09,30.625,31.0,28.625,29.1875,1126400
89,2000-05-10,29.125,29.40625,26.3125,26.6875,1184400
90,2000-05-11,28.0,29.375,27.0,29.328125,1223400
91,2000-05-12,29.5,31.3125,28.8125,28.9375,1252400
92,2000-05-15,29.6875,30.0,27.8125,29.75,1021200
93,2000-05-16,30.03125,30.8125,28.9375,30.625,1128000
94,2000-05-17,30.15625,31.4375,29.4375,30.21875,710800
95,2000-05-18,30.96875,31.125,29.5625,29.71875,1264400
96,2000-05-19,29.625,30.0625,27.6875,27.6875,1080800
97,2000-05-22,28.0,28.125,25.8125,27.9375,944800
98,2000-05-23,27.78125,28.5625,25.75,25.75,893000
99,2000-05-24,25.8125,27.0625,22.78125,27.0,2038200
100,2000-05-25,28.1875,28.1875,26.1875,26.25,1173200
101,2000-05-26,26.25,27.0,25.875,26.625,408200
102,2000-05-30,26.875,29.375,26.875,29.15625,1250200
103,2000-05-31,28.90625,31.125,28.90625,29.65625,1643800
104,2000-06-01,30.0625,32.4375,29.9375,31.34375,1875800
105,2000-06-02,33.3125,35.21875,33.03125,33.96875,2131000
106,2000-06-05,33.84375,35.5625,33.125,34.53125,1993600
107,2000-06-06,35.640625,37.28125,34.6875,34.78125,2435800
108,2000-06-07,34.59375,35.21875,33.28125,34.40625,1236000
109,2000-06-08,34.5,35.1875,34.125,34.5,856400
110,2000-06-09,35.25,38.0625,35.0625,38.0,2327600
111,2000-06-12,38.0,38.0,34.75,35.0625,1887800
112,2000-06-13,34.28125,36.625,34.28125,36.46875,1108200
113,2000-06-14,36.625,37.96875,36.625,37.4375,2464800
114,2000-06-15,37.0625,38.0,36.875,37.90625,1196000
115,2000-06-16,38.8125,38.96875,37.125,38.5,2279000
116,2000-06-19,37.6875,40.0,37.625,39.90625,1506200
117,2000-06-20,40.0,41.0625,39.4375,40.875,1808600
118,2000-06-21,39.8125,41.625,39.3125,41.34375,2343600
119,2000-06-22,41.5,41.6875,39.15625,39.1875,1478200
120,2000-06-23,39.75,40.0,37.0625,37.8125,993800
121,2000-06-26,38.34375,38.75,36.8125,38.0,1316800
122,2000-06-27,37.8125,37.90625,36.0,36.78125,2220400
123,2000-06-28,36.75,38.125,36.5,37.46875,1978400
124,2000-06-29,37.125,37.1875,34.8125,35.3125,2838600
125,2000-06-30,35.1875,35.75,32.25,34.5625,3757600
126,2000-07-03,34.75,36.25,34.65625,36.25,499200
127,2000-07-05,35.3125,35.375,31.1875,31.625,2685400
128,2000-07-06,31.9375,34.25,30.53125,32.90625,2427200
129,2000-07-07,33.6875,34.742188,33.25,34.21875,897800
130,2000-07-10,34.15625,35.25,33.21875,34.59375,1288000
