,Date,Open,High,Low,Close,Volume
0,2000-01-03,1.929688,1.96875,1.859375,1.921875,299600
1,2000-01-04,1.921875,1.984375,1.875,1.875,228800
2,2000-01-05,1.984375,1.984375,1.8125,1.875,130800
3,2000-01-06,1.84375,2.0,1.828125,1.84375,253600
4,2000-01-07,1.875,2.046875,1.875,2.0,233600
5,2000-01-10,2.015625,2.40625,2.0,2.40625,416000
6,2000-01-11,2.34375,2.375,2.09375,2.15625,486000
7,2000-01-12,2.15625,2.234375,2.0,2.203125,191200
8,2000-01-13,2.234375,2.25,2.0625,2.15625,299600
9,2000-01-14,2.125,2.15625,1.9375,1.984375,822000
10,2000-01-18,1.96875,2.359375,1.9375,2.28125,935600
11,2000-01-19,2.28125,2.359375,2.21875,2.25,735200
12,2000-01-20,2.25,2.375,2.25,2.3125,175600
13,2000-01-21,2.3125,2.375,2.28125,2.367188,220400
14,2000-01-24,2.328125,2.328125,2.28125,2.28125,406800
15,2000-01-25,2.3125,2.453125,2.28125,2.421875,658800
16,2000-01-26,2.421875,2.890625,2.40625,2.65625,1688800
17,2000-01-27,2.65625,2.6875,2.5,2.5625,851200
18,2000-01-28,2.5625,2.59375,2.28125,2.375,140400
19,2000-01-31,2.375,2.375,2.15625,2.21875,330400
20,2000-02-01,2.25,2.28125,2.21875,2.234375,181600
21,2000-02-02,2.226563,2.421875,2.164063,2.421875,110000
22,2000-02-03,2.390625,2.609375,2.390625,2.609375,483600
23,2000-02-04,2.5,2.6875,2.484375,2.6875,788000
24,2000-02-07,2.6875,2.90625,2.671875,2.859375,706000
25,2000-02-08,2.875,3.125,2.84375,3.0625,1537600
26,2000-02-09,3.6875,4.65625,3.65625,4.625,7879200
27,2000-02-10,4.359375,4.453125,4.203125,4.40625,3623200
28,2000-02-11,4.25,4.34375,3.96875,3.96875,2720400
29,2000-02-14,4.0,4.0625,3.953125,3.953125,396400
30,2000-02-15,3.953125,4.03125,3.9375,4.03125,334000
31,2000-02-16,4.015625,4.15625,3.96875,3.96875,799600
32,2000-02-17,3.984375,4.0,3.84375,3.84375,464000
33,2000-02-18,3.875,4.03125,3.8125,4.015625,2560400
34,2000-02-22,4.046875,4.0625,3.859375,4.03125,424800
35,2000-02-23,4.03125,4.03125,3.75,3.890625,307200
36,2000-02-24,3.875,4.046875,3.8125,3.984375,226800
37,2000-02-25,4.0,4.0625,3.984375,4.0,1046800
38,2000-02-28,4.0,4.0625,4.0,4.0625,302800
39,2000-02-29,4.0625,4.34375,4.054688,4.234375,469600
40,2000-03-01,4.21875,4.71875,4.21875,4.6875,1316800
41,2000-03-02,4.71875,5.09375,4.71875,4.90625,1980800
42,2000-03-03,4.96875,5.09375,4.78125,5.03125,1229600
43,2000-03-06,5.03125,5.8125,5.0,5.59375,2595600
44,2000-03-07,5.578125,6.0625,5.4375,5.875,2757600
45,2000-03-08,5.90625,6.0,5.75,5.96875,2113600
46,2000-03-09,6.09375,6.375,5.84375,6.0,780800
47,2000-03-10,6.15625,6.1875,5.1875,5.4375,551600
48,2000-03-13,5.4375,5.46875,4.8125,5.0,969200
49,2000-03-14,4.984375,5.046875,4.0,4.0625,1130800
50,2000-03-15,4.078125,4.625,4.03125,4.53125,1385200
51,2000-03-16,5.0,5.40625,4.734375,4.96875,978400
52,2000-03-17,4.96875,5.25,4.960938,5.125,167600
53,2000-03-20,5.75,6.5,5.75,6.265625,3844400
54,2000-03-21,6.0,6.234375,5.546875,6.09375,452800
55,2000-03-22,6.09375,6.109375,5.546875,6.03125,353600
56,2000-03-23,5.96875,6.0625,5.6875,5.90625,262400
57,2000-03-24,5.90625,6.40625,5.90625,6.25,534400
58,2000-03-27,6.5,7.0,6.4375,6.75,775600
59,2000-03-28,6.84375,7.75,6.828125,7.53125,2782400
60,2000-03-29,7.59375,8.5625,7.59375,7.96875,3145200
61,2000-03-30,7.953125,8.28125,7.84375,8.109375,1352400
62,2000-03-31,8.25,8.75,8.125,8.5625,930000
63,2000-04-03,8.515625,8.625,7.5,7.9375,1436000
64,2000-04-04,7.859375,7.953125,5.65625,6.28125,932800
65,2000-04-05,6.21875,8.0,6.21875,7.734375,865600
66,2000-04-06,7.734375,7.734375,7.171875,7.1875,673600
67,2000-04-07,7.265625,7.5,7.125,7.4375,564000
68,2000-04-10,7.46875,7.53125,7.125,7.25,172800
69,2000-04-11,7.09375,7.21875,5.90625,6.453125,1050800
70,2000-04-12,6.484375,6.59375,6.375,6.453125,302800
71,2000-04-13,6.453125,6.46875,5.875,6.0,635200
72,2000-04-14,5.828125,6.28125,5.03125,5.1875,346400
73,2000-04-17,5.140625,5.375,4.21875,4.9375,711200
74,2000-04-18,5.03125,5.9375,4.84375,5.765625,1256000
75,2000-04-19,6.21875,6.75,5.875,6.25,1140400
76,2000-04-20,6.28125,6.5625,5.421875,5.515625,721200
77,2000-04-24,5.65625,6.34375,5.1875,6.21875,380800
78,2000-04-25,6.1875,6.25,5.9375,6.0625,455200
79,2000-04-26,6.09375,6.125,5.78125,5.78125,902800
80,2000-04-27,5.4375,6.0,5.25,6.0,749600
81,2000-04-28,5.953125,6.0625,5.90625,6.0,427200
82,2000-05-01,5.953125,5.984375,5.609375,5.8125,1438000
83,2000-05-02,5.640625,6.25,4.78125,4.78125,691600
84,2000-05-03,5.25,5.71875,5.0,5.71875,839600
85,2000-05-04,5.6875,5.84375,5.59375,5.65625,82000
86,2000-05-05,5.6875,5.8125,5.65625,5.6875,25600
87,2000-05-08,5.6875,5.9375,5.5625,5.734375,717600
88,2000-05-09,5.75,5.921875,5.75,5.78125,1802800
89,2000-05-10,5.78125,5.8125,5.703125,5.78125,233600
90,2000-05-11,5.640625,6.0625,5.640625,5.875,230400
91,2000-05-12,5.875,5.9375,5.125,5.140625,330800
92,2000-05-15,5.203125,5.96875,5.0,5.90625,436800
93,2000-05-16,5.78125,5.78125,5.53125,5.625,539200
94,2000-05-17,5.53125,5.65625,5.40625,5.40625,28000
95,2000-05-18,5.40625,5.40625,4.828125,4.828125,341200
96,2000-05-19,4.84375,5.40625,4.828125,5.234375,276800
97,2000-05-22,5.125,5.46875,4.78125,5.46875,349200
98,2000-05-23,5.3125,5.75,4.75,4.90625,355600
99,2000-05-24,4.953125,5.28125,4.5625,5.28125,362400
100,2000-05-25,5.21875,5.3125,4.59375,4.828125,649200
101,2000-05-26,4.84375,4.90625,4.78125,4.90625,45200
102,2000-05-30,4.921875,4.984375,4.671875,4.75,316400
103,2000-05-31,4.84375,4.90625,4.65625,4.671875,74800
