,Date,Open,High,Low,Close,Volume
0,2000-01-03,11.0625,11.0625,10.8125,10.8125,1356800
1,2000-01-04,10.8125,10.875,10.4375,10.5,1126600
2,2000-01-05,10.5,10.5,10.1875,10.3125,1278800
3,2000-01-06,10.3125,10.4375,10.3125,10.3125,2142800
4,2000-01-07,10.5,10.625,10.5,10.5625,2784200
5,2000-01-10,10.5625,10.625,10.5,10.5625,964200
6,2000-01-11,10.5625,10.75,10.5625,10.6875,1656400
7,2000-01-12,10.6875,10.75,10.625,10.625,1719400
8,2000-01-13,10.6875,10.9375,10.6875,10.8125,947800
9,2000-01-14,10.8125,10.875,10.6875,10.6875,739400
10,2000-01-18,10.625,10.625,10.4375,10.4375,802800
11,2000-01-19,10.4375,10.9375,10.4375,10.625,1146000
12,2000-01-20,10.625,10.625,10.5,10.5,1032800
13,2000-01-21,10.5,10.6875,10.5,10.5625,1961400
14,2000-01-24,10.5625,10.625,10.4375,10.4375,1661000
15,2000-01-25,10.4375,10.5,10.125,10.1875,2578600
16,2000-01-26,10.125,10.125,9.6875,9.6875,2074600
17,2000-01-27,9.6875,9.875,9.5625,9.8125,1875800
18,2000-01-28,9.75,9.75,9.5625,9.5625,1590000
19,2000-01-31,9.5625,9.5625,9.4375,9.4375,1802800
20,2000-02-01,9.4375,9.8125,9.4375,9.75,1504600
21,2000-02-02,9.75,9.8125,9.6875,9.75,955200
22,2000-02-03,9.75,10.0,9.6875,9.8125,1320200
23,2000-02-04,9.8125,9.8125,9.75,9.75,2108000
24,2000-02-07,9.75,9.875,9.75,9.8125,760800
25,2000-02-08,9.8125,10.0625,9.8125,9.9375,1197000
26,2000-02-09,9.9375,9.9375,9.8125,9.8125,1901400
27,2000-02-10,9.8125,9.875,9.4375,9.625,1941800
28,2000-02-11,9.5625,9.5625,9.25,9.4375,4416200
29,2000-02-14,9.4375,9.875,9.4375,9.875,2297400
30,2000-02-15,10.0625,10.6875,10.0625,10.1875,2778000
31,2000-02-16,10.1875,10.1875,9.9375,10.0625,2960800
32,2000-02-17,10.0625,10.3125,10.0,10.25,4666200
33,2000-02-18,10.25,10.5,10.125,10.1875,2250000
34,2000-02-22,10.1875,10.375,10.0,10.3125,1162000
35,2000-02-23,10.3125,10.5,10.1875,10.25,5380600
36,2000-02-24,10.25,10.25,10.125,10.1875,1238200
37,2000-02-25,10.1875,10.3125,10.0,10.0625,1841200
38,2000-02-28,10.0625,10.0625,9.875,10.0,1085600
39,2000-02-29,9.875,9.875,9.6875,9.8125,2504000
40,2000-03-01,9.8125,9.9375,9.75,9.9375,1148000
41,2000-03-02,9.9375,9.9375,9.75,9.8125,1337200
42,2000-03-03,9.8125,10.0625,9.75,9.9375,996200
43,2000-03-06,9.9375,10.0625,9.75,9.8125,728000
44,2000-03-07,9.8125,9.8125,9.5625,9.625,841600
45,2000-03-08,9.625,9.875,9.5625,9.6875,1077000
46,2000-03-09,9.6875,10.0,9.6875,10.0,1225400
47,2000-03-10,10.0,10.0625,9.75,9.875,802600
48,2000-03-13,9.875,10.5,9.875,10.0625,1546200
49,2000-03-14,10.1875,10.5,10.1875,10.3125,1142200
50,2000-03-15,10.3125,10.875,10.125,10.8125,1365000
51,2000-03-16,10.8125,11.0,10.75,10.9375,2816600
52,2000-03-17,10.9375,10.9375,10.625,10.75,1599400
53,2000-03-20,10.75,10.9375,10.625,10.75,1223000
54,2000-03-21,10.75,10.875,10.6875,10.75,1369600
55,2000-03-22,10.8125,11.125,10.8125,11.125,2129400
56,2000-03-23,11.125,11.4375,11.125,11.25,1188200
57,2000-03-24,11.25,11.4375,11.1875,11.25,2409600
58,2000-03-27,11.25,11.375,11.25,11.25,783200
59,2000-03-28,11.25,11.3125,11.0,11.0625,765600
60,2000-03-29,11.0625,11.125,10.5625,10.75,1100000
61,2000-03-30,10.75,10.75,10.625,10.6875,1426400
62,2000-03-31,10.6875,10.875,10.5,10.75,1061000
63,2000-04-03,10.75,10.75,10.5,10.5625,831800
64,2000-04-04,10.5625,10.9375,10.25,10.375,1216400
65,2000-04-05,10.375,10.4375,9.9375,10.1875,1189800
66,2000-04-06,10.1875,10.6875,10.1875,10.5625,1026400
67,2000-04-07,10.5625,10.625,10.4375,10.5,631400
68,2000-04-10,10.5625,10.6875,10.5625,10.5625,768600
69,2000-04-11,10.5625,10.75,10.4375,10.5,2690400
70,2000-04-12,10.5,10.6875,10.375,10.5,1724800
71,2000-04-13,10.5,10.625,10.125,10.125,1125000
72,2000-04-14,10.125,10.3125,10.0625,10.1875,1554000
73,2000-04-17,10.25,10.6875,10.25,10.625,1029400
74,2000-04-18,10.625,10.75,10.3125,10.4375,2104800
75,2000-04-19,10.5,10.75,10.5,10.6875,2048200
76,2000-04-20,10.6875,10.875,10.625,10.8125,1061000
77,2000-04-24,10.8125,11.0625,10.5625,10.8125,751600
78,2000-04-25,10.8125,11.3125,10.6875,11.125,1075600
79,2000-04-26,11.125,11.25,11.0625,11.125,1090400
80,2000-04-27,11.125,11.4375,11.125,11.375,967800
81,2000-04-28,11.375,11.4375,10.8125,11.3125,890400
82,2000-05-01,11.3125,11.6875,11.3125,11.6875,1428200
83,2000-05-02,11.6875,11.875,10.9375,11.25,1448200
84,2000-05-03,11.25,11.4375,10.875,11.375,890200
85,2000-05-04,11.375,11.8125,11.3125,11.6875,1884000
86,2000-05-05,11.625,11.625,11.4375,11.4375,546400
87,2000-05-08,11.4375,11.4375,11.0625,11.375,1355800
88,2000-05-09,11.375,11.375,11.0625,11.375,347000
89,2000-05-10,11.375,11.4375,11.0,11.1875,631800
90,2000-05-11,11.1875,11.25,11.0,11.25,774600
91,2000-05-12,11.25,11.375,11.1875,11.375,1837800
92,2000-05-15,11.375,11.5,11.1875,11.3125,1755000
93,2000-05-16,11.375,11.875,11.375,11.8125,1803800
94,2000-05-17,11.8125,11.875,11.625,11.6875,1008400
95,2000-05-18,11.6875,11.8125,11.6875,11.6875,891200
96,2000-05-19,11.625,11.625,11.1875,11.3125,709800
97,2000-05-22,11.3125,11.5,11.1875,11.375,727200
98,2000-05-23,11.375,11.6875,11.375,11.5625,1163800
99,2000-05-24,11.5625,11.5625,11.25,11.5625,1389200
100,2000-05-25,11.5625,11.875,11.5,11.6875,802200
101,2000-05-26,11.6875,11.8125,11.3125,11.4375,579600
102,2000-05-30,11.4375,11.5625,11.3125,11.4375,1051200
103,2000-05-31,11.5625,11.5625,11.5625,11.5625,1308600
104,2000-06-01,11.5625,11.9375,11.5,11.875,2012800
105,2000-06-02,11.875,12.25,11.875,12.125,2205200
106,2000-06-05,12.125,12.6875,12.125,12.375,1871600
107,2000-06-06,12.375,12.375,12.125,12.25,1274200
