,Date,Open,High,Low,Close,Volume
0,2000-01-03,7.066301,7.066301,6.869233,6.953691,237989
1,2000-01-04,6.925538,6.925538,6.756623,6.897385,23088
2,2000-01-05,6.84108,7.009996,6.812928,6.953691,27751
3,2000-01-06,6.925538,6.925538,6.756623,6.925538,76814
4,2000-01-07,7.038148,7.150759,6.981843,7.038148,55723
5,2000-01-10,6.953691,7.038148,6.925538,6.981843,37297
6,2000-01-11,6.925538,7.066301,6.812928,6.897385,40849
7,2000-01-12,6.84108,6.981843,6.812928,6.953691,89468
8,2000-01-13,6.953691,7.178911,6.953691,7.150759,17760
9,2000-01-14,7.094454,7.150759,7.066301,7.150759,96794
10,2000-01-18,7.207064,7.207064,7.038148,7.207064,47287
11,2000-01-19,7.319674,7.37598,7.291522,7.319674,34411
12,2000-01-20,7.37598,7.404132,6.981843,6.981843,181378
13,2000-01-21,6.981843,7.009996,6.784775,6.784775,155625
14,2000-01-24,6.756623,6.869233,6.644012,6.672165,173385
15,2000-01-25,6.700317,6.700317,6.362486,6.418791,164061
16,2000-01-26,6.475097,6.700317,6.418791,6.475097,338113
17,2000-01-27,6.503249,6.531402,6.362486,6.531402,42181
18,2000-01-28,6.446944,6.700317,6.418791,6.700317,233327
19,2000-01-31,6.587707,6.587707,6.278028,6.362486,310584
20,2000-02-01,6.418791,6.418791,6.137265,6.221723,136755
21,2000-02-02,6.165418,6.221723,6.109113,6.193571,153849
22,2000-02-03,6.08096,6.362486,6.08096,6.362486,277062
23,2000-02-04,6.334334,6.390639,6.306181,6.362486,276840
24,2000-02-07,6.418791,6.559554,6.334334,6.446944,576989
25,2000-02-08,6.446944,6.475097,6.390639,6.418791,55501
26,2000-02-09,6.475097,6.475097,6.306181,6.306181,146967
27,2000-02-10,6.221723,6.334334,6.193571,6.278028,82808
28,2000-02-11,6.334334,6.334334,6.165418,6.249876,605184
29,2000-02-14,6.193571,6.390639,6.109113,6.306181,51061
30,2000-02-15,6.362486,6.362486,6.193571,6.193571,32857
31,2000-02-16,6.193571,6.193571,6.08096,6.08096,170721
32,2000-02-17,6.08096,6.249876,6.08096,6.193571,244205
33,2000-02-18,6.306181,6.306181,6.08096,6.109113,108560
34,2000-02-22,6.137265,6.390639,6.137265,6.390639,101678
35,2000-02-23,6.249876,6.756623,6.193571,6.756623,254861
36,2000-02-24,6.897385,7.066301,6.869233,6.953691,114332
37,2000-02-25,6.897385,7.024072,6.503249,6.503249,41515
38,2000-02-28,6.559554,6.700317,6.390639,6.644012,116108
39,2000-02-29,6.644012,6.84108,6.418791,6.84108,38407
40,2000-03-01,6.672165,6.925538,6.672165,6.812928,87692
41,2000-03-02,6.644012,6.644012,6.418791,6.644012,203800
42,2000-03-03,6.644012,6.72847,6.531402,6.672165,12432
43,2000-03-06,6.61586,6.784775,6.587707,6.644012,17316
44,2000-03-07,6.644012,6.700317,6.475097,6.672165,51061
45,2000-03-08,6.61586,6.756623,6.418791,6.756623,89690
46,2000-03-09,6.700317,6.756623,6.531402,6.644012,98570
47,2000-03-10,6.587707,6.72847,6.531402,6.587707,898674
48,2000-03-13,6.531402,6.531402,6.306181,6.334334,146301
49,2000-03-14,6.334334,6.362486,6.221723,6.306181,47287
50,2000-03-15,6.249876,6.446944,6.165418,6.446944,160953
51,2000-03-16,6.418791,6.756623,6.418791,6.756623,447561
52,2000-03-17,6.700317,6.953691,6.700317,6.812928,109448
53,2000-03-20,6.897385,6.897385,6.503249,6.869233,56611
54,2000-03-21,6.784775,6.897385,6.644012,6.869233,37297
55,2000-03-22,6.869233,7.038148,6.72847,6.869233,51061
56,2000-03-23,6.925538,7.207064,6.756623,7.122606,56389
57,2000-03-24,7.347827,7.629353,7.235217,7.235217,156069
58,2000-03-27,7.263369,7.404132,7.150759,7.347827,177382
59,2000-03-28,7.235217,7.291522,7.207064,7.235217,64381
60,2000-03-29,7.291522,7.573048,7.291522,7.516743,105452
61,2000-03-30,7.460437,7.685658,7.432285,7.432285,57499
62,2000-03-31,7.544895,8.079794,7.48859,8.079794,106784
63,2000-04-03,8.051642,8.051642,7.573048,7.882726,142971
64,2000-04-04,7.882726,7.939031,7.657506,7.882726,57499
65,2000-04-05,7.939031,8.333168,7.910879,8.276863,34633
66,2000-04-06,8.276863,8.445778,8.220557,8.276863,56167
67,2000-04-07,8.333168,8.558389,8.333168,8.445778,63715
68,2000-04-10,8.445778,8.445778,7.939031,7.967184,45955
69,2000-04-11,7.882726,8.051642,7.882726,8.023489,19092
70,2000-04-12,8.079794,8.333168,8.079794,8.276863,10656
71,2000-04-13,8.333168,8.333168,8.023489,8.023489,110114
72,2000-04-14,8.023489,8.023489,7.432285,7.544895,141195
73,2000-04-17,7.263369,7.544895,7.207064,7.432285,65713
74,2000-04-18,7.37598,7.544895,7.178911,7.347827,48619
75,2000-04-19,7.291522,7.629353,7.291522,7.629353,75704
76,2000-04-20,7.629353,7.741963,7.432285,7.741963,57055
77,2000-04-24,7.544895,7.629353,7.404132,7.629353,33967
78,2000-04-25,7.629353,7.741963,7.516743,7.741963,31969
79,2000-04-26,7.741963,8.023489,7.741963,7.939031,21090
80,2000-04-27,7.882726,8.079794,7.770116,8.079794,23310
81,2000-04-28,8.079794,8.586541,7.995337,8.586541,75704
82,2000-05-01,8.558389,8.670999,8.445778,8.670999,87914
