,Date,Open,High,Low,Close,Volume
0,2000-01-03,154.0,154.0,148.0,148.875,9700
1,2000-01-04,148.0,148.0,144.6875,144.6875,10800
2,2000-01-05,144.75,147.0,144.75,147.0,7800
3,2000-01-06,146.0,146.125,145.25,146.125,7300
4,2000-01-07,146.875,150.5,146.875,150.0,44300
5,2000-01-10,153.0,155.5,151.0,151.0,23000
6,2000-01-11,151.0625,153.5,151.0625,152.5,14800
7,2000-01-12,152.5625,155.0,152.5,154.625,14200
8,2000-01-13,154.625,154.625,152.125,152.125,9100
9,2000-01-14,151.375,151.375,150.0,151.0,4100
10,2000-01-18,150.0,150.0,147.0,148.625,5200
11,2000-01-19,149.625,151.0,145.5625,147.5,17900
12,2000-01-20,148.0,148.0,142.25,142.25,9200
13,2000-01-21,142.0,142.0,139.75,141.5,15400
14,2000-01-24,141.5,142.0,136.5,137.5,51400
15,2000-01-25,137.5,137.5,134.0,134.6875,18200
16,2000-01-26,150.0,158.5,150.0,155.0,123600
17,2000-01-27,154.5,155.875,153.0,155.625,31600
18,2000-01-28,155.0,160.0,154.625,155.0,29300
19,2000-01-31,154.9375,165.0,154.5,164.0,46700
20,2000-02-01,163.0,163.125,161.5,162.25,28100
21,2000-02-02,163.0,171.0,162.5,164.0,34100
22,2000-02-03,164.25,167.5,164.25,167.0625,22100
23,2000-02-04,168.0,168.0,165.0,165.0,18600
24,2000-02-07,164.0,164.0,161.0,161.875,20400
25,2000-02-08,160.75,160.75,158.0,158.1875,5700
26,2000-02-09,158.1875,158.1875,153.25,155.0,13300
27,2000-02-10,154.0,154.0,147.5,147.5625,19500
28,2000-02-11,145.75,147.0,144.0,145.5,21500
29,2000-02-14,144.0,144.0,139.5,140.125,23500
30,2000-02-15,141.5,142.75,137.5,137.5,16800
31,2000-02-16,137.5,142.0,137.5,140.5625,20000
32,2000-02-17,141.0,143.0,136.0,138.875,11200
33,2000-02-18,138.875,139.75,137.0,137.0,7600
34,2000-02-22,137.5,137.5,134.0,134.4375,15100
35,2000-02-23,135.0,135.0,134.25,134.3125,9000
36,2000-02-24,134.3125,134.3125,132.0,133.0,9300
37,2000-02-25,132.25,132.625,131.5,131.9375,11400
38,2000-02-28,131.125,131.1875,127.625,130.375,28100
39,2000-02-29,130.75,131.0,130.0,130.75,10800
40,2000-03-01,130.0,130.0625,128.5,128.75,9600
41,2000-03-02,129.0,129.5,128.0,129.5,12800
42,2000-03-03,129.5,129.5,127.8125,128.125,10000
43,2000-03-06,126.5,126.75,121.625,122.25,27800
44,2000-03-07,119.0,119.0,113.5,113.5,26400
45,2000-03-08,113.5,117.5,111.5,117.125,65600
46,2000-03-09,117.125,117.125,114.5,115.5,24500
47,2000-03-10,115.5,117.5,115.5,116.0,30400
48,2000-03-13,115.0,116.25,114.5,116.0,22500
49,2000-03-14,116.0,118.5,115.5,118.0,16100
50,2000-03-15,118.0,119.25,118.0,119.25,14300
51,2000-03-16,120.0,131.9375,120.0,131.9375,29900
52,2000-03-17,131.0,132.5,126.5,127.5,25800
53,2000-03-20,127.5,127.5,124.625,125.0,8200
54,2000-03-21,124.0,126.125,124.0,126.0625,11200
55,2000-03-22,126.3125,133.0,126.3125,131.5,16200
56,2000-03-23,131.5625,132.125,130.0,132.0,9300
57,2000-03-24,132.0625,133.0,130.9375,131.75,20600
58,2000-03-27,130.0,130.0,129.5,129.5,8800
59,2000-03-28,129.5,132.5,129.4375,131.4375,18200
60,2000-03-29,131.75,135.75,131.75,135.75,90900
61,2000-03-30,135.75,146.5,135.75,145.75,28400
62,2000-03-31,145.5,148.75,145.125,145.5,29100
63,2000-04-03,144.5,144.5,141.875,142.875,14200
64,2000-04-04,142.5,145.5,142.5,145.5,11000
65,2000-04-05,144.5,150.0,144.0,149.375,37100
66,2000-04-06,149.375,152.0,148.5,151.25,24900
67,2000-04-07,151.25,154.5,150.875,154.25,14700
68,2000-04-10,154.0,154.0,151.375,151.375,28600
69,2000-04-11,151.375,152.3125,150.0,152.1875,13200
70,2000-04-12,152.0,152.6875,149.5,149.75,11700
71,2000-04-13,149.875,150.75,149.25,149.3125,12200
72,2000-04-14,147.5,147.5,144.0,144.875,23600
73,2000-04-17,144.0,144.0,141.75,142.75,26400
74,2000-04-18,143.75,144.0,141.71875,143.5,14100
75,2000-04-19,141.625,142.875,141.5,142.875,19600
76,2000-04-20,141.875,141.875,139.75,140.25,15900
77,2000-04-24,139.0,139.4375,139.0,139.125,8500
78,2000-04-25,139.125,143.0,139.125,142.5,19100
79,2000-04-26,142.0,142.0,140.25,141.5,12200
80,2000-04-27,139.625,142.0,139.625,142.0,36300
81,2000-04-28,142.0,145.0,141.9375,145.0,4600
82,2000-05-01,145.0,150.625,145.0,148.0,17700
83,2000-05-02,148.0,148.5,145.0,145.0,13600
84,2000-05-03,144.0,145.5,140.125,140.125,15300
85,2000-05-04,139.0,141.0,139.0,139.25,11100
86,2000-05-05,139.5,140.25,139.0,139.6875,13300
87,2000-05-08,139.625,139.625,138.75,139.25,6300
88,2000-05-09,139.25,140.0,137.5,137.5,18900
89,2000-05-10,137.5,138.0625,137.0,137.25,12900
90,2000-05-11,137.4375,139.5,137.4375,139.5,9600
91,2000-05-12,139.0,140.0,138.0,138.125,14200
92,2000-05-15,139.125,143.0,138.75,142.0,17100
93,2000-05-16,141.75,141.75,139.5,141.25,17500
94,2000-05-17,139.75,140.0625,137.5,137.5,13700
95,2000-05-18,138.25,138.3125,136.0,138.0625,12400
96,2000-05-19,138.0,141.0,137.875,139.625,5500
97,2000-05-22,139.5,140.75,139.0,140.6875,16900
98,2000-05-23,140.6875,141.0,140.125,140.875,17500
99,2000-05-24,140.875,145.25,140.25,145.25,24500
100,2000-05-25,146.0,146.5,141.9375,143.25,24100
101,2000-05-26,142.75,143.75,142.25,143.0,9600
102,2000-05-30,141.25,147.5,141.0,147.5,9500
103,2000-05-31,146.0,146.0,143.75,143.9375,11600
104,2000-06-01,144.0625,149.5,144.0625,148.25,23600
105,2000-06-02,147.25,149.75,146.5,149.75,57000
106,2000-06-05,149.6875,149.6875,147.25,149.0625,24800
107,2000-06-06,150.0,150.25,148.0,148.0,21200
108,2000-06-07,148.0,149.0,147.1875,149.0,10200
109,2000-06-08,149.0625,149.0625,147.25,147.875,9000
110,2000-06-09,147.875,149.5,147.875,148.5,6400
111,2000-06-12,148.5,148.5,145.25,145.75,18300
112,2000-06-13,145.9375,146.75,145.0,145.5,15100
113,2000-06-14,145.25,145.875,143.0,145.4375,9200
114,2000-06-15,145.0,148.0,145.0,147.6875,8200
115,2000-06-16,148.0,149.75,147.75,149.75,18000
116,2000-06-19,149.0,150.0,148.375,150.0,15400
117,2000-06-20,149.5,151.5,149.0,150.0,37500
118,2000-06-21,149.5,149.5,149.0,149.125,2700
119,2000-06-22,149.125,149.125,147.25,147.25,10500
120,2000-06-23,147.25,147.25,145.125,145.625,5600
121,2000-06-26,145.375,145.375,139.0,139.9375,55300
122,2000-06-27,140.25,140.5,139.0,139.375,17100
123,2000-06-28,139.375,143.75,139.0,143.75,20800
124,2000-06-29,143.75,143.875,143.0,143.0,1300
125,2000-06-30,143.375,144.0,141.25,141.625,14300
126,2000-07-03,141.125,142.1875,141.0625,142.1875,6200
127,2000-07-05,142.5,144.75,142.0,143.25,8500
128,2000-07-06,143.28125,143.28125,140.0,141.125,12500
129,2000-07-07,141.75,144.0,141.375,143.875,6800
130,2000-07-10,143.625,147.0,143.625,146.75,8200
131,2000-07-11,146.75,147.375,146.5,147.25,5200
132,2000-07-12,147.0,148.0,146.5625,147.125,8600
133,2000-07-13,146.75,148.0,146.25,147.75,10500
134,2000-07-14,148.25,150.875,148.1875,150.625,12400
135,2000-07-17,150.5,151.5,148.25,149.0,7600
136,2000-07-18,150.0,150.25,148.5,148.5,9000
137,2000-07-19,148.75,148.75,147.5,147.5,1700
138,2000-07-20,148.25,151.375,148.1875,151.0,7400
139,2000-07-21,150.5,150.5,148.0,148.0,12500
140,2000-07-24,147.0,147.0,144.5,145.125,12900
141,2000-07-25,145.125,146.125,145.0,145.9375,10600
142,2000-07-26,145.5,148.875,145.25,148.875,15900
143,2000-07-27,149.125,152.5,149.125,152.25,11500
144,2000-07-28,152.375,152.375,150.25,151.0,10000
145,2000-07-31,151.0,154.625,151.0,154.625,7000
146,2000-08-01,155.0,155.5,153.0,153.0,7500
147,2000-08-02,152.0,152.0,146.25,147.1875,19400
148,2000-08-03,146.0,147.875,145.75,147.875,15800
149,2000-08-04,147.375,149.375,145.875,149.375,16300
150,2000-08-07,149.375,154.125,149.375,154.0625,45300
151,2000-08-08,154.0625,154.875,153.0,153.0,7300
152,2000-08-09,152.0,152.0,149.0,150.25,9000
153,2000-08-10,150.0,150.0625,149.125,149.125,3200
154,2000-08-11,149.0,153.75,149.0,153.0,9500
155,2000-08-14,153.0,153.375,152.625,153.375,5700
156,2000-08-15,153.375,153.375,149.0,149.8125,17800
157,2000-08-16,149.5,150.1875,149.3125,149.5625,16500
158,2000-08-17,149.125,150.75,149.125,150.0,11000
159,2000-08-18,149.75,150.0,149.5,149.5,23600
160,2000-08-21,149.375,149.375,147.75,147.75,11400
161,2000-08-22,148.125,149.5,148.125,148.875,19100
162,2000-08-23,148.75,149.875,148.75,149.1875,9400
163,2000-08-24,149.0,150.25,149.0,150.0625,3700
164,2000-08-25,148.5,148.75,146.125,146.1875,24800
165,2000-08-28,146.0,146.0,144.125,144.1875,6900
166,2000-08-29,144.125,144.25,143.4375,144.25,5100
167,2000-08-30,144.25,145.625,144.0625,145.625,3200
168,2000-08-31,145.5,146.0,144.75,145.875,7200
169,2000-09-01,145.0,145.375,143.0625,145.375,12300
170,2000-09-05,145.125,145.125,144.625,144.6875,4400
171,2000-09-06,144.6875,144.9375,144.5,144.75,5900
172,2000-09-07,144.8125,147.125,144.75,147.125,20700
173,2000-09-08,147.0,147.0,144.0,144.125,15200
174,2000-09-11,145.0,147.0625,145.0,147.0,19400
175,2000-09-12,147.5,151.0,147.5,149.5,20900
