,Date,Open,High,Low,Close,Volume
0,2000-01-03,34.75,35.875,32.875,33.625,92600
1,2000-01-04,33.125,33.25,31.5,32.0,31400
2,2000-01-05,32.0,34.25,32.0,34.25,65100
3,2000-01-06,33.5,34.0,32.5,33.0,111600
4,2000-01-07,32.5,32.5,31.5,32.125,78500
5,2000-01-10,32.25,32.25,31.375,31.375,16800
6,2000-01-11,31.25,32.25,30.5,31.0,54200
7,2000-01-12,31.375,32.25,31.125,32.125,201900
8,2000-01-13,32.125,34.25,31.75,33.875,169500
9,2000-01-14,34.25,37.75,34.25,36.0,177300
10,2000-01-18,36.375,36.375,35.625,36.0,32400
11,2000-01-19,35.75,37.0,35.75,36.75,148700
12,2000-01-20,37.125,41.5,37.125,38.75,236700
13,2000-01-21,38.8125,45.0,38.0,43.25,130700
14,2000-01-24,43.0,46.1875,38.625,38.625,202400
15,2000-01-25,39.0,40.3125,35.6875,38.0,130900
16,2000-01-26,37.375,39.25,36.75,37.5,84000
17,2000-01-27,37.375,37.875,30.625,34.5,50900
18,2000-01-28,34.25,36.75,33.5,35.0,18600
19,2000-01-31,34.75,35.3125,32.25,32.5625,185500
20,2000-02-01,32.8125,34.0,32.75,33.875,126300
21,2000-02-02,33.875,36.5,33.5,36.25,404400
22,2000-02-03,37.75,38.0,33.5,34.875,321300
23,2000-02-04,36.625,38.125,36.5,37.5,242700
24,2000-02-07,37.875,38.625,37.5,38.625,147500
25,2000-02-08,38.28125,44.25,36.375,43.375,260000
26,2000-02-09,42.25,46.75,42.0,44.5,204000
27,2000-02-10,44.5,44.5,39.625,40.1875,68700
28,2000-02-11,40.875,40.875,37.25,38.0,60200
29,2000-02-14,39.3125,43.375,39.25,42.125,552100
30,2000-02-15,43.09375,44.25,42.75,42.875,160700
31,2000-02-16,43.5,44.375,43.234375,44.0,492000
32,2000-02-17,44.09375,44.25,40.625,43.25,107900
33,2000-02-18,42.5625,43.375,41.0,41.625,113100
34,2000-02-22,41.625,41.625,37.875,39.6875,71500
35,2000-02-23,40.25,43.0,39.5,42.875,234200
36,2000-02-24,42.5,44.75,42.375,44.625,241900
37,2000-02-25,44.625,45.125,44.375,45.0,285500
38,2000-02-28,45.09375,45.125,40.5,42.25,77900
39,2000-02-29,44.5,45.875,44.5,45.5,192600
40,2000-03-01,45.75,50.625,45.5,49.0,499700
41,2000-03-02,50.0,53.625,48.0,48.375,216600
42,2000-03-03,50.125,50.5,47.125,47.125,79200
43,2000-03-06,48.625,52.0,47.5,51.75,166600
44,2000-03-07,55.75,58.125,54.5,57.0,322300
45,2000-03-08,58.375,59.125,52.0,56.125,165600
46,2000-03-09,54.875,57.5,53.25,57.125,100800
47,2000-03-10,56.1875,62.25,56.0,61.5,199500
48,2000-03-13,59.0,60.8125,57.125,59.375,129000
49,2000-03-14,61.6875,62.0,59.375,59.4375,95700
50,2000-03-15,59.625,60.125,56.0,57.5625,150300
51,2000-03-16,56.75,59.0,55.5,58.8125,44200
52,2000-03-17,58.75,58.75,53.75,55.25,103600
53,2000-03-20,54.875,55.25,48.75,50.3125,99900
54,2000-03-21,48.25,48.3125,42.5,45.125,162900
55,2000-03-22,45.5,50.875,45.5,50.0,219800
56,2000-03-23,51.5,52.125,50.75,51.25,72600
57,2000-03-24,51.6875,52.9375,50.0,52.0,116800
58,2000-03-27,51.96875,52.6875,50.875,52.25,58600
59,2000-03-28,52.0,54.625,51.03125,52.5,59400
60,2000-03-29,52.5,52.625,48.25,49.75,99700
61,2000-03-30,48.0,48.125,47.0,48.125,101700
62,2000-03-31,51.75,52.25,48.0625,50.5,64600
63,2000-04-03,49.625,49.9375,48.75,49.0,56300
64,2000-04-04,49.0,50.125,44.75,49.8125,135300
65,2000-04-05,48.25,50.5,48.25,49.5,39600
66,2000-04-06,51.375,51.375,48.75,51.125,57000
67,2000-04-07,51.5,55.25,50.75,55.25,104000
68,2000-04-10,55.25,57.0,51.125,51.75,59700
69,2000-04-11,50.875,50.875,44.0,44.0,107000
70,2000-04-12,45.875,45.875,40.75,41.5,163400
71,2000-04-13,41.5,42.4375,38.5,38.5,123700
72,2000-04-14,37.0,38.125,35.625,37.375,160600
73,2000-04-17,37.125,41.0,36.5,40.75,89900
74,2000-04-18,40.75,49.3125,40.625,46.75,83700
75,2000-04-19,48.0,48.5,46.0,46.5625,165000
76,2000-04-20,46.5625,47.1875,42.375,42.375,138100
77,2000-04-24,40.9375,42.5,40.46875,41.875,34600
78,2000-04-25,42.5,44.3125,42.1875,43.9375,41100
79,2000-04-26,43.75,44.5,43.0,43.875,117500
80,2000-04-27,42.78125,49.0,42.625,48.25,39600
81,2000-04-28,49.75,50.6875,46.0,47.0,48700
82,2000-05-01,45.875,52.1875,45.875,50.8125,84600
83,2000-05-02,50.75,51.5,46.0,46.3125,82400
84,2000-05-03,46.9375,46.9375,44.375,45.25,55500
85,2000-05-04,45.1875,46.25,45.1875,46.0,27900
86,2000-05-05,46.0,49.0625,45.625,48.625,15900
87,2000-05-08,48.5,49.5,48.0,48.25,27500
88,2000-05-09,47.9375,47.9375,44.125,44.625,55500
89,2000-05-10,42.984375,43.0,40.0,41.4375,160900
90,2000-05-11,41.875,47.0,41.5625,47.0,172400
91,2000-05-12,47.25,47.25,45.5625,45.5625,143700
92,2000-05-15,45.375,46.0,44.375,45.875,49200
93,2000-05-16,45.625,47.5,45.625,47.0,49800
94,2000-05-17,46.125,46.75,43.625,44.875,59200
95,2000-05-18,44.0,44.0,40.0,40.5,44800
96,2000-05-19,41.96875,42.0,37.5,38.5,114100
97,2000-05-22,38.28125,47.0,37.53125,46.5,103700
98,2000-05-23,45.34375,45.9375,37.0,39.0,78500
99,2000-05-24,39.5,39.5,31.875,38.25,160900
100,2000-05-25,38.625,39.9375,35.875,35.875,99100
101,2000-05-26,36.5625,36.75,33.875,34.5,42400
102,2000-05-30,34.6875,41.5,34.25,41.5,57200
103,2000-05-31,39.5,40.375,39.25,39.375,82600
104,2000-06-01,39.0,40.125,38.4375,40.125,137000
105,2000-06-02,40.125,43.375,40.0625,41.0625,158900
106,2000-06-05,42.0,42.0,38.25,39.0,34900
107,2000-06-06,38.5,39.75,34.5,34.75,75600
108,2000-06-07,35.46875,39.75,35.4375,39.75,62900
109,2000-06-08,40.125,44.125,40.0,43.25,68300
110,2000-06-09,43.375,43.875,41.9375,42.0,16600
111,2000-06-12,42.25,42.25,37.5,39.375,34600
112,2000-06-13,37.5,39.25,36.5,39.0,74500
113,2000-06-14,38.6875,40.25,38.25,38.75,27900
114,2000-06-15,39.125,40.75,38.125,40.75,16600
115,2000-06-16,40.34375,42.75,40.125,41.0,39000
116,2000-06-19,40.125,41.375,38.5,38.875,37400
117,2000-06-20,38.5625,39.5,37.375,37.5,112800
118,2000-06-21,37.4375,37.5,35.875,36.5625,125200
119,2000-06-22,36.625,37.125,35.125,35.125,111900
120,2000-06-23,35.125,35.5,32.0,33.125,129200
121,2000-06-26,33.3125,33.375,32.75,33.0,163400
122,2000-06-27,32.875,33.5,32.75,32.875,622900
123,2000-06-28,33.15625,37.25,33.15625,36.375,82200
124,2000-06-29,36.125,37.5,35.75,36.75,50600
125,2000-06-30,36.8125,39.125,36.625,39.125,270200
126,2000-07-03,38.84375,39.125,38.0,39.0,17000
127,2000-07-05,38.375,38.6875,32.75,33.75,115400
128,2000-07-06,34.375,34.625,33.0,34.0,28100
129,2000-07-07,34.0,34.0,33.0625,33.375,70000
130,2000-07-10,33.0,33.75,30.0,30.4375,158500
131,2000-07-11,30.75,31.0,26.25,28.0,362100
132,2000-07-12,29.125,32.4375,27.75,30.4375,684200
133,2000-07-13,31.125,33.0,31.0,32.375,278200
134,2000-07-14,32.5,35.25,31.875,35.0,243400
135,2000-07-17,35.8125,40.0,35.8125,38.5,524400
136,2000-07-18,40.4375,40.75,35.625,36.875,465500
137,2000-07-19,37.84375,38.0,33.125,35.125,436600
138,2000-07-20,34.9375,35.375,33.5,34.5,119100
139,2000-07-21,34.25,34.25,31.0,32.25,132900
140,2000-07-24,32.0,32.5625,30.875,31.5,95500
141,2000-07-25,31.0625,32.0,29.5625,30.125,134300
142,2000-07-26,30.0,30.125,27.0,28.0625,262200
143,2000-07-27,27.96875,28.25,25.75,26.125,141500
144,2000-07-28,27.0625,27.25,22.625,24.0625,256300
145,2000-07-31,24.625,26.0,24.375,25.1875,441300
146,2000-08-01,25.375,26.5,25.375,25.5625,281200
147,2000-08-02,25.5625,25.6875,24.125,24.75,98700
148,2000-08-03,23.1875,24.75,18.75,20.0625,535800
149,2000-08-04,20.875,22.125,19.25,19.75,411200
150,2000-08-07,20.875,21.125,19.25,20.0,316400
151,2000-08-08,20.46875,20.625,17.75,18.515625,222000
152,2000-08-09,19.4375,19.5,18.25,18.375,236200
153,2000-08-10,18.5,19.0,16.8125,16.8125,380500
154,2000-08-11,17.03125,19.5,17.0,18.625,254800
155,2000-08-14,19.40625,21.171875,18.6875,21.03125,598700
156,2000-08-15,21.34375,23.5,21.3125,22.6875,477000
157,2000-08-16,23.125,23.25,22.625,23.0,326400
158,2000-08-17,22.875,23.25,22.75,23.0,206100
159,2000-08-18,23.34375,27.75,23.3125,26.125,719300
160,2000-08-21,27.4375,29.375,27.375,28.5,397900
161,2000-08-22,28.375,28.625,25.3125,27.0625,196200
162,2000-08-23,26.25,29.9375,25.875,29.8125,322500
163,2000-08-24,29.875,32.0,29.875,31.375,210000
164,2000-08-25,33.0,34.875,32.375,34.875,222000
165,2000-08-28,34.96875,36.0,33.25,34.375,401600
166,2000-08-29,34.3125,35.0,34.125,34.875,356900
167,2000-08-30,34.75,34.875,34.4375,34.6875,181200
168,2000-08-31,34.75,35.125,34.0,35.125,436700
169,2000-09-01,35.125,35.375,34.375,35.125,84000
170,2000-09-05,35.125,35.125,34.5,34.875,90500
171,2000-09-06,34.75,34.875,29.125,29.5,606700
172,2000-09-07,28.84375,33.875,28.25,33.75,292400
173,2000-09-08,33.375,33.375,31.5,31.5,93500
174,2000-09-11,31.46875,31.875,30.25,31.625,73900
175,2000-09-12,31.5,31.6875,30.25,30.875,179000
176,2000-09-13,30.75,31.375,30.25,31.1875,226200
177,2000-09-14,31.3125,34.25,31.25,33.0625,171300
178,2000-09-15,32.9375,34.0,31.4375,33.75,101500
179,2000-09-18,33.78125,33.8125,29.0625,31.3125,105000
180,2000-09-19,31.03125,32.5,31.0,31.875,107300
181,2000-09-20,32.0,32.6875,31.8125,32.0625,127000
182,2000-09-21,32.1875,32.1875,30.75,31.125,116300
183,2000-09-22,29.0,29.6875,27.5625,29.4375,158400
184,2000-09-25,29.6875,29.75,29.0625,29.25,118600
185,2000-09-26,29.28125,31.625,28.25,30.4375,162000
186,2000-09-27,30.4375,30.4375,26.5625,28.75,158200
187,2000-09-28,28.84375,31.5625,28.0,30.1875,109000
188,2000-09-29,30.09375,30.25,27.25,27.375,44700
189,2000-10-02,25.8125,25.8125,22.5625,23.0,1700300
190,2000-10-03,23.46875,23.5,21.75,22.25,260800
191,2000-10-04,22.5,24.375,22.25,24.1875,381500
192,2000-10-05,23.875,24.0625,22.4375,23.625,303100
193,2000-10-06,23.4375,23.5,21.0,21.5625,104600
194,2000-10-09,21.59375,21.875,20.0,21.0,60900
195,2000-10-10,20.875,21.125,19.75,19.9375,77400
196,2000-10-11,19.8125,20.125,19.25,19.25,157200
197,2000-10-12,19.5,19.5,18.25,18.4375,200700
198,2000-10-13,18.265625,19.375,18.25,19.375,393500
199,2000-10-16,20.0,20.625,18.625,19.0,157000
200,2000-10-17,19.1875,19.625,17.125,17.6875,143000
201,2000-10-18,17.25,18.25,16.6875,17.9375,577000
202,2000-10-19,18.4375,19.0,18.375,18.75,360300
203,2000-10-20,18.875,19.0,18.625,18.75,348000
204,2000-10-23,18.875,21.875,18.75,19.75,465800
205,2000-10-24,20.25,20.25,18.875,18.875,275900
206,2000-10-25,18.75,18.875,17.75,18.0625,312800
207,2000-10-26,17.828125,18.5,17.5,18.4375,337300
208,2000-10-27,18.796875,19.3125,17.875,17.875,220500
209,2000-10-30,17.875,18.5,17.875,18.0,325400
210,2000-10-31,18.375,18.6875,17.9375,18.375,630000
211,2000-11-01,18.4375,18.5,16.75,17.3125,349300
212,2000-11-02,17.6875,18.1875,17.25,18.0,259700
213,2000-11-03,18.0625,18.125,17.5625,17.625,177200
214,2000-11-06,17.8125,18.25,17.125,17.375,246900
215,2000-11-07,17.734375,18.4375,17.25,18.125,328900
216,2000-11-08,18.375,18.375,17.5,17.75,337700
217,2000-11-09,17.3125,17.375,15.984375,16.1875,256000
218,2000-11-10,15.9375,16.75,15.8125,16.5,279900
219,2000-11-13,16.3125,18.1875,16.0,17.75,399500
220,2000-11-14,18.0,18.5625,17.625,18.5625,283600
221,2000-11-15,18.5,18.9375,17.875,18.75,219800
