,Date,Open,High,Low,Close,Volume
0,2000-01-03,35.25,35.875,31.5,32.5,239400
1,2000-01-04,31.25,31.5,27.875,29.5,312900
2,2000-01-05,29.75,31.0,29.125,30.5625,293700
3,2000-01-06,30.5,30.75,29.375,29.5625,190000
4,2000-01-07,29.75,32.0,29.625,31.5,234300
5,2000-01-10,31.875,32.25,31.375,31.9375,335000
6,2000-01-11,32.375,32.5,31.0,31.5,181100
7,2000-01-12,31.75,32.625,29.3125,32.5,96900
8,2000-01-13,32.125,33.0,31.0,31.375,92300
9,2000-01-14,31.96875,32.0,30.25,30.25,204000
10,2000-01-18,30.8125,33.375,30.375,33.125,358500
11,2000-01-19,34.1875,35.8125,33.75,34.8125,251700
12,2000-01-20,35.5,37.375,35.25,36.75,479200
13,2000-01-21,35.875,36.125,31.0,33.75,563100
14,2000-01-24,33.4375,33.5625,29.6875,31.0,411600
15,2000-01-25,33.8125,39.125,33.0,37.9375,1078200
16,2000-01-26,39.25,40.375,37.3125,39.375,553400
17,2000-01-27,39.6875,40.125,37.75,38.25,453600
18,2000-01-28,37.75,38.0,33.5,36.625,276200
19,2000-01-31,35.875,38.25,33.5,38.0625,1133900
20,2000-02-01,37.9375,38.25,37.1875,37.9375,335500
21,2000-02-02,38.0,38.0625,37.0,37.625,264300
22,2000-02-03,38.125,38.5,37.5625,37.9375,168500
23,2000-02-04,38.1875,39.25,37.75,39.0625,349500
24,2000-02-07,40.5,41.0,39.25,40.5625,625500
25,2000-02-08,41.5,45.375,41.5,45.0,565800
26,2000-02-09,46.625,48.25,44.5,48.125,605800
27,2000-02-10,48.25,48.4375,44.4375,46.125,374700
28,2000-02-11,46.9375,47.125,45.625,46.125,143300
29,2000-02-14,46.375,46.9375,42.5,42.875,158700
30,2000-02-15,43.125,45.125,42.375,44.375,364400
31,2000-02-16,44.84375,45.125,41.125,41.875,243800
32,2000-02-17,41.6875,43.375,39.625,41.5,331900
33,2000-02-18,41.8125,41.9375,39.875,40.0,182700
34,2000-02-22,40.4375,40.5,35.5,36.5625,479600
35,2000-02-23,37.625,40.75,37.625,40.0,381200
36,2000-02-24,42.6875,44.5,40.75,43.4375,301700
37,2000-02-25,44.375,46.25,43.875,45.03125,193000
38,2000-02-28,46.0625,48.5,43.25,47.59375,315900
39,2000-02-29,47.625,49.0,45.25,48.1875,230200
40,2000-03-01,49.0,49.125,47.125,48.21875,211100
41,2000-03-02,48.5,48.625,43.0,45.59375,192300
42,2000-03-03,46.0,46.375,42.875,45.375,190900
43,2000-03-06,45.375,45.375,43.0,43.75,146200
44,2000-03-07,43.5,47.5,43.0,46.0,240800
45,2000-03-08,46.375,46.625,45.25,46.0625,163400
46,2000-03-09,46.25,49.875,46.0,49.0,268400
47,2000-03-10,49.375,51.3125,49.0,49.625,435300
48,2000-03-13,48.875,48.875,44.5,48.0,200900
49,2000-03-14,49.0,51.5,46.5,47.8125,151500
50,2000-03-15,47.75,48.375,44.125,44.9375,158700
51,2000-03-16,45.6875,48.875,44.5,48.375,205700
52,2000-03-17,47.9375,50.25,47.875,50.125,202600
53,2000-03-20,51.5625,56.3125,51.0,53.75,467600
54,2000-03-21,56.375,56.375,47.875,55.65625,256400
55,2000-03-22,56.25,59.8125,54.0625,59.375,397500
56,2000-03-23,61.0,63.5,58.25,63.0,404700
57,2000-03-24,67.0,68.125,65.25,67.125,400700
58,2000-03-27,67.6875,67.75,61.5,61.5625,395600
59,2000-03-28,60.25,60.25,55.9375,56.5,409600
60,2000-03-29,57.125,59.0,55.5,55.875,435000
61,2000-03-30,51.0,56.875,48.625,53.375,375700
62,2000-03-31,53.25,55.0,44.875,48.875,709200
63,2000-04-03,48.5625,48.875,40.0,41.9375,541700
64,2000-04-04,39.375,40.625,30.875,40.0,1000600
65,2000-04-05,38.875,44.5,36.0,42.9375,474200
66,2000-04-06,44.9375,45.5,43.375,44.8125,142000
67,2000-04-07,45.375,47.0,45.125,46.625,181500
68,2000-04-10,48.1875,48.25,38.0,38.125,585400
69,2000-04-11,38.25,41.0,37.125,39.90625,301800
70,2000-04-12,39.625,39.8125,34.0,35.0,544100
71,2000-04-13,34.625,39.0,33.625,35.0625,348600
72,2000-04-14,34.125,35.375,29.875,31.0,505100
73,2000-04-17,30.625,39.875,30.0,39.625,399200
74,2000-04-18,40.0,43.75,40.0,42.375,448400
75,2000-04-19,42.875,44.3125,41.5,43.875,338400
76,2000-04-20,41.0625,41.125,35.9375,37.625,1338800
77,2000-04-24,36.4375,37.625,33.5,37.625,267200
78,2000-04-25,37.90625,38.75,36.625,37.375,649800
79,2000-04-26,37.75,40.5,37.625,39.875,238900
80,2000-04-27,35.90625,40.0,35.625,39.8125,150300
81,2000-04-28,39.875,40.0,38.25,38.4375,149500
82,2000-05-01,38.375,39.25,35.25,37.875,289600
83,2000-05-02,36.0,38.625,35.8125,37.875,287000
84,2000-05-03,35.875,36.75,34.5,35.4375,334700
85,2000-05-04,35.25,37.5,35.1875,35.5625,279700
86,2000-05-05,35.125,36.75,35.125,36.25,195700
87,2000-05-08,35.75,36.125,34.125,34.4375,325900
88,2000-05-09,34.5,34.625,32.25,33.1875,166700
89,2000-05-10,31.375,32.0,30.1875,30.5,261200
90,2000-05-11,31.0625,32.0625,30.125,30.6875,329200
91,2000-05-12,30.75,36.5,30.75,35.875,503600
92,2000-05-15,35.78125,35.9375,32.75,33.5625,273000
93,2000-05-16,34.4375,36.625,33.125,34.625,211900
94,2000-05-17,33.4375,34.25,32.875,33.25,98000
95,2000-05-18,33.0,33.0,31.625,31.625,142400
96,2000-05-19,31.4375,31.625,28.9375,30.125,222000
97,2000-05-22,30.0,30.25,27.0,29.75,247400
98,2000-05-23,29.6875,31.5,28.0,28.25,160200
99,2000-05-24,28.25,28.75,24.25,26.59375,286900
100,2000-05-25,27.875,33.21875,27.625,29.25,393200
101,2000-05-26,29.125,29.6875,27.5,29.125,86600
102,2000-05-30,29.5,31.5,29.25,31.0,101600
103,2000-05-31,29.75,31.625,29.75,31.375,117600
104,2000-06-01,31.0,34.75,31.0,34.3125,136400
105,2000-06-02,35.5,36.375,34.0,34.625,259000
106,2000-06-05,34.5625,34.625,31.5,32.5,137400
107,2000-06-06,33.25,33.375,31.3125,31.3125,157600
108,2000-06-07,31.0,33.625,31.0,33.5,218200
109,2000-06-08,33.875,35.25,31.5,31.875,150400
110,2000-06-09,32.625,34.0,31.25,31.625,246100
111,2000-06-12,31.5,32.5,31.375,32.0,173400
112,2000-06-13,31.65625,32.375,30.25,32.375,230500
113,2000-06-14,32.40625,33.375,32.375,32.5625,189200
114,2000-06-15,32.5,33.5,31.625,32.75,89700
115,2000-06-16,33.0,35.375,32.0,34.6875,252700
116,2000-06-19,35.25,36.375,34.625,36.0625,184000
117,2000-06-20,36.125,38.875,35.9375,38.875,203100
118,2000-06-21,38.875,39.0,37.0,38.25,100800
119,2000-06-22,34.875,35.125,26.125,27.59375,1585000
120,2000-06-23,28.4375,30.75,28.0,29.375,675000
121,2000-06-26,30.0,30.625,29.5625,30.0625,184900
122,2000-06-27,30.5,32.25,30.0625,30.625,321000
123,2000-06-28,31.25,32.5625,30.5625,32.3125,171100
124,2000-06-29,32.90625,33.0,31.0,32.0625,110400
125,2000-06-30,31.75,33.0,30.5,32.3125,227800
126,2000-07-03,32.25,32.875,31.125,31.8125,60300
127,2000-07-05,31.625,31.875,28.75,29.125,327000
128,2000-07-06,30.5,30.9375,29.5625,30.75,307000
129,2000-07-07,30.8125,32.5,30.625,31.375,244300
130,2000-07-10,30.0,31.25,30.0,30.1875,154600
131,2000-07-11,30.375,30.75,28.5,28.5625,196600
132,2000-07-12,29.0625,30.0,29.0,29.1875,216600
133,2000-07-13,29.34375,29.875,28.0,28.5,183900
