,Date,Open,High,Low,Close,Volume
0,2000-01-03,68.625,69.0,66.0625,67.5,5309000
1,2000-01-04,66.0,66.125,61.5,62.5,6234400
2,2000-01-05,62.0,62.09375,58.625,60.21875,7744200
3,2000-01-06,60.1875,62.46875,60.125,61.375,6586000
4,2000-01-07,60.25,63.46875,59.71875,63.28125,6324800
5,2000-01-10,63.4375,65.5,63.28125,65.3125,4610200
6,2000-01-11,66.0,66.0625,64.75,65.3125,3945600
7,2000-01-12,65.4375,67.3125,65.25,65.8125,4291600
8,2000-01-13,66.0,66.59375,65.0,66.21875,3319200
9,2000-01-14,67.625,68.8125,66.71875,68.65625,3635800
10,2000-01-18,68.65625,69.375,66.84375,66.875,3460400
11,2000-01-19,67.3125,68.59375,67.25,67.84375,3452200
12,2000-01-20,67.0625,68.625,66.625,67.40625,4481000
13,2000-01-21,67.375,67.375,65.75,66.25,3965000
14,2000-01-24,66.75,67.25,62.71875,64.0,4191000
15,2000-01-25,63.875,65.6875,63.5,64.71875,4061400
16,2000-01-26,65.25,66.4375,64.125,66.4375,5503200
17,2000-01-27,66.0,68.375,65.625,67.5625,3009900
18,2000-01-28,66.0,67.6875,62.875,63.3125,3565800
19,2000-01-31,63.5,66.25,62.5,66.25,2606800
20,2000-02-01,65.625,65.875,63.5625,64.0,3177500
21,2000-02-02,63.75,67.25,62.625,65.125,3001000
22,2000-02-03,66.0,66.625,64.25,66.0,4021700
23,2000-02-04,65.625,65.875,64.0625,65.6875,2411100
24,2000-02-07,64.5,65.375,64.0,65.125,2611500
25,2000-02-08,67.0,68.6875,66.5,67.8125,2829000
26,2000-02-09,68.8125,68.9375,66.5,67.1875,3247900
27,2000-02-10,67.25,68.0,65.8125,66.8125,2029600
28,2000-02-11,66.875,69.0625,66.375,66.75,2970400
29,2000-02-14,67.5,67.75,65.75,66.0,1858800
30,2000-02-15,64.8125,65.6875,64.5,65.5625,2999100
31,2000-02-16,65.5625,66.4375,64.25,65.5625,2455100
32,2000-02-17,65.1875,65.5,62.875,63.25,2658800
33,2000-02-18,63.25,64.25,60.125,61.25,3347800
34,2000-02-22,62.25,62.6875,60.5,62.3125,3025700
35,2000-02-23,62.0625,67.25,61.625,65.75,3966300
36,2000-02-24,67.5,70.25,66.125,69.0625,5636000
37,2000-02-25,69.125,71.1875,67.75,69.875,4249800
