,Date,Open,High,Low,Close,Volume
0,2000-01-03,7.111111,7.111111,7.111111,7.111111,0
1,2000-01-04,6.652778,6.652778,6.569444,6.569444,5400
2,2000-01-05,6.777778,6.888889,6.777778,6.777778,7200
3,2000-01-06,6.666667,6.75,6.555556,6.555556,16200
4,2000-01-07,6.555556,6.555556,6.555556,6.555556,0
5,2000-01-10,6.541667,6.541667,6.416667,6.416667,10800
6,2000-01-11,6.333333,6.416667,6.333333,6.416667,2700
7,2000-01-12,6.277778,6.652778,6.277778,6.652778,20700
8,2000-01-13,6.333333,6.666667,6.333333,6.375,57600
9,2000-01-14,6.611111,6.666667,6.611111,6.666667,16200
10,2000-01-18,6.333333,6.888889,6.326389,6.888889,29700
11,2000-01-19,6.944444,7.055556,6.944444,7.041667,21600
12,2000-01-20,7.055556,7.111111,7.055556,7.111111,37800
13,2000-01-21,7.111111,7.111111,7.027778,7.027778,12600
14,2000-01-24,7.0,7.0,6.902778,6.902778,9000
15,2000-01-25,6.916667,6.916667,6.881944,6.881944,5400
16,2000-01-26,6.868056,6.868056,6.819444,6.819444,4500
17,2000-01-27,6.791667,6.930556,6.791667,6.902778,45000
18,2000-01-28,6.902778,6.902778,6.902778,6.902778,0
19,2000-01-31,6.916667,6.916667,6.895833,6.895833,4500
20,2000-02-01,6.888889,6.888889,6.833333,6.833333,25200
21,2000-02-02,6.819444,6.819444,6.819444,6.819444,900
22,2000-02-03,6.819444,6.819444,6.75,6.75,13500
23,2000-02-04,6.75,6.75,6.75,6.75,0
24,2000-02-07,6.75,6.75,6.75,6.75,3600
25,2000-02-08,6.777778,6.777778,6.770833,6.770833,3600
26,2000-02-09,6.770833,6.770833,6.770833,6.770833,0
27,2000-02-10,6.743056,6.743056,6.743056,6.743056,1800
28,2000-02-11,6.666667,6.666667,6.569444,6.569444,24300
29,2000-02-14,6.597222,6.597222,6.597222,6.597222,3600
30,2000-02-15,6.611111,6.666667,6.611111,6.666667,32400
31,2000-02-16,6.666667,6.722222,6.666667,6.722222,60300
32,2000-02-17,6.722222,6.888889,6.722222,6.888889,90900
33,2000-02-18,6.888889,6.888889,6.888889,6.888889,1800
34,2000-02-22,6.944444,7.027778,6.944444,7.027778,9000
35,2000-02-23,7.027778,7.055556,6.972222,6.986111,14400
36,2000-02-24,6.986111,6.986111,6.986111,6.986111,0
37,2000-02-25,6.986111,6.986111,6.986111,6.986111,2700
38,2000-02-28,7.013889,7.041667,6.972222,7.0,18000
39,2000-02-29,7.027778,7.055556,7.027778,7.055556,6300
40,2000-03-01,7.083333,7.083333,7.083333,7.083333,3600
41,2000-03-02,7.083333,7.083333,7.083333,7.083333,0
42,2000-03-03,7.055556,7.055556,7.055556,7.055556,3600
43,2000-03-06,7.111111,7.111111,7.111111,7.111111,4500
44,2000-03-07,7.100694,7.100694,7.083333,7.083333,5400
45,2000-03-08,7.055556,7.055556,7.013889,7.013889,11700
46,2000-03-09,7.0,7.0,6.930556,6.930556,9900
47,2000-03-10,6.902778,6.902778,6.888889,6.888889,7200
48,2000-03-13,6.861111,6.861111,6.861111,6.861111,900
49,2000-03-14,6.888889,6.888889,6.847222,6.861111,9000
50,2000-03-15,6.861111,6.861111,6.854167,6.854167,6300
51,2000-03-16,6.805556,6.854167,6.805556,6.854167,20700
52,2000-03-17,6.819444,6.972222,6.805556,6.944444,48600
53,2000-03-20,6.916667,7.013889,6.916667,6.958333,26100
54,2000-03-21,6.958333,7.208333,6.958333,7.208333,33300
55,2000-03-22,7.222222,7.333333,7.222222,7.333333,31500
56,2000-03-23,7.388889,7.388889,7.333333,7.347222,12600
57,2000-03-24,7.333333,7.444444,7.333333,7.416667,11700
58,2000-03-27,7.444444,7.5,7.444444,7.5,11700
59,2000-03-28,7.5,7.555556,7.5,7.555556,8100
60,2000-03-29,7.555556,7.555556,7.458333,7.493056,24300
61,2000-03-30,7.541667,7.638889,7.486111,7.638889,18000
62,2000-03-31,7.694444,7.722222,7.694444,7.694444,10800
63,2000-04-03,7.722222,7.75,7.722222,7.722222,8100
64,2000-04-04,7.694444,7.694444,7.569444,7.597222,14400
65,2000-04-05,7.569444,7.569444,7.541667,7.541667,5400
66,2000-04-06,7.534722,7.534722,7.527778,7.527778,2700
67,2000-04-07,7.527778,7.527778,7.472222,7.472222,13500
68,2000-04-10,7.5,7.5,7.479167,7.479167,3600
69,2000-04-11,7.486111,7.486111,7.444444,7.444444,9900
70,2000-04-12,7.430556,7.430556,7.388889,7.388889,7200
71,2000-04-13,7.388889,7.388889,7.152778,7.277778,28800
72,2000-04-14,7.25,7.263889,7.222222,7.222222,7200
73,2000-04-17,7.208333,7.25,7.208333,7.222222,14400
74,2000-04-18,7.194444,7.236111,7.194444,7.236111,5400
75,2000-04-19,7.236111,7.236111,7.236111,7.236111,0
76,2000-04-20,7.236111,7.236111,7.222222,7.236111,4500
77,2000-04-24,7.222222,7.222222,7.222222,7.222222,900
78,2000-04-25,7.1875,7.1875,7.152778,7.152778,163800
79,2000-04-26,7.166667,7.194444,7.166667,7.180556,6300
80,2000-04-27,7.194444,7.194444,7.125,7.125,9000
81,2000-04-28,7.138889,7.222222,7.138889,7.222222,22500
82,2000-05-01,7.222222,7.222222,7.222222,7.222222,2700
83,2000-05-02,7.222222,7.305556,7.222222,7.277778,37800
84,2000-05-03,7.284722,7.319444,7.25,7.277778,18900
85,2000-05-04,7.388889,7.388889,7.305556,7.333333,18000
86,2000-05-05,7.354167,7.444444,7.354167,7.444444,6300
87,2000-05-08,7.444444,7.444444,7.444444,7.444444,0
88,2000-05-09,7.388889,7.416667,7.388889,7.416667,7200
89,2000-05-10,7.444444,7.666667,7.444444,7.625,36900
90,2000-05-11,7.597222,7.597222,7.569444,7.590278,26100
91,2000-05-12,7.604167,7.611111,7.583333,7.611111,10800
92,2000-05-15,7.611111,7.638889,7.611111,7.638889,6300
93,2000-05-16,7.618056,7.902778,7.618056,7.805556,27000
94,2000-05-17,7.791667,7.805556,7.791667,7.805556,6300
95,2000-05-18,7.791667,7.861111,7.791667,7.861111,15300
96,2000-05-19,7.847222,7.875,7.847222,7.875,8100
97,2000-05-22,7.875,7.875,7.833333,7.861111,14400
98,2000-05-23,7.847222,7.861111,7.833333,7.833333,19800
99,2000-05-24,7.805556,7.833333,7.75,7.791667,25200
100,2000-05-25,7.833333,8.208333,7.791667,7.875,24900
101,2000-05-26,7.833333,7.833333,7.75,7.770833,9000
102,2000-05-30,7.833333,7.833333,7.75,7.833333,12900
103,2000-05-31,7.916667,7.916667,7.75,7.75,7200
104,2000-06-01,7.833333,7.833333,7.833333,7.833333,300
105,2000-06-02,7.916667,7.958333,7.875,7.958333,6600
106,2000-06-05,8.0,8.0,7.875,7.875,5400
107,2000-06-06,7.916667,8.229167,7.916667,8.229167,24900
108,2000-06-07,8.229167,8.416667,8.229167,8.375,69900
109,2000-06-08,8.416667,8.4375,8.375,8.375,15900
110,2000-06-09,8.333333,8.5625,8.333333,8.5625,20700
111,2000-06-12,8.541667,8.666667,8.541667,8.625,21900
112,2000-06-13,8.666667,8.833333,8.583333,8.666667,21900
113,2000-06-14,8.666667,8.666667,8.625,8.625,18600
114,2000-06-15,8.625,8.666667,8.5,8.5,13200
115,2000-06-16,8.583333,8.583333,8.583333,8.583333,22200
116,2000-06-19,8.541667,8.583333,8.333333,8.333333,6900
117,2000-06-20,8.333333,8.354167,8.229167,8.229167,10500
118,2000-06-21,8.1875,8.1875,7.958333,8.0,22500
119,2000-06-22,7.958333,7.958333,7.958333,7.958333,2400
120,2000-06-23,7.916667,8.0,7.875,8.0,17700
121,2000-06-26,8.0,8.083333,7.916667,7.916667,23700
122,2000-06-27,7.958333,8.083333,7.875,7.875,12900
123,2000-06-28,7.916667,8.083333,7.916667,8.083333,17700
124,2000-06-29,8.083333,8.083333,8.0,8.0,6300
125,2000-06-30,8.0,8.083333,8.0,8.0,18300
126,2000-07-03,8.041667,8.083333,8.041667,8.083333,2100
127,2000-07-05,8.0,8.083333,8.0,8.083333,5400
128,2000-07-06,8.0,8.083333,7.916667,7.958333,3300
129,2000-07-07,8.0,8.0,7.979167,8.0,9600
130,2000-07-10,8.0,8.0,8.0,8.0,5700
131,2000-07-11,8.0,8.0,7.9375,7.979167,6000
132,2000-07-12,8.0,8.020833,7.958333,7.958333,5100
133,2000-07-13,7.958333,7.979167,7.875,7.875,6300
134,2000-07-14,7.958333,7.958333,7.875,7.916667,6300
135,2000-07-17,7.833333,7.833333,7.791667,7.791667,6000
136,2000-07-18,7.708333,7.979167,7.708333,7.979167,9000
137,2000-07-19,7.958333,7.958333,7.875,7.875,6000
138,2000-07-20,7.916667,7.916667,7.791667,7.833333,7200
139,2000-07-21,7.854167,7.895833,7.791667,7.791667,4500
140,2000-07-24,7.729167,7.729167,7.333333,7.375,21300
141,2000-07-25,7.354167,7.354167,7.333333,7.333333,2700
142,2000-07-26,7.333333,7.333333,7.25,7.25,15900
143,2000-07-27,7.25,7.291667,7.25,7.291667,3000
144,2000-07-28,7.270833,7.270833,7.208333,7.25,8100
145,2000-07-31,7.25,7.395833,7.229167,7.395833,12000
146,2000-08-01,7.395833,7.395833,7.395833,7.395833,9600
147,2000-08-02,7.375,7.5,7.229167,7.5,22800
148,2000-08-03,7.458333,7.458333,7.229167,7.25,15000
149,2000-08-04,7.208333,7.208333,7.208333,7.208333,900
150,2000-08-07,7.270833,7.291667,7.041667,7.270833,15300
151,2000-08-08,7.291667,7.291667,7.125,7.145833,13800
152,2000-08-09,7.166667,7.166667,7.0625,7.166667,19200
153,2000-08-10,7.166667,7.291667,7.145833,7.270833,6000
154,2000-08-11,7.270833,7.270833,7.083333,7.083333,9600
155,2000-08-14,7.083333,7.083333,7.0625,7.0625,8400
156,2000-08-15,7.041667,7.041667,6.833333,6.833333,11700
157,2000-08-16,6.8125,6.8125,6.729167,6.729167,3300
158,2000-08-17,6.666667,6.666667,6.625,6.645833,21600
159,2000-08-18,6.666667,6.666667,6.333333,6.375,22800
160,2000-08-21,6.375,6.416667,6.375,6.416667,2100
161,2000-08-22,6.416667,6.5,6.208333,6.5,31500
162,2000-08-23,6.458333,6.458333,6.395833,6.395833,5100
163,2000-08-24,6.416667,6.416667,6.354167,6.375,21600
164,2000-08-25,6.375,6.375,6.25,6.375,20100
165,2000-08-28,6.375,6.375,6.333333,6.333333,2700
166,2000-08-29,6.375,6.541667,6.354167,6.541667,18300
167,2000-08-30,6.520833,6.5625,6.375,6.375,167700
168,2000-08-31,6.541667,6.833333,6.541667,6.833333,59700
169,2000-09-01,6.875,6.875,6.833333,6.833333,7200
170,2000-09-05,6.875,6.875,6.75,6.75,21600
171,2000-09-06,6.75,7.0,6.75,7.0,18900
172,2000-09-07,6.958333,7.083333,6.958333,7.083333,14400
173,2000-09-08,7.166667,7.333333,7.166667,7.333333,7500
174,2000-09-11,7.333333,7.333333,7.333333,7.333333,0
175,2000-09-12,7.375,7.416667,7.375,7.416667,6300
176,2000-09-13,7.416667,7.458333,7.333333,7.458333,11700
177,2000-09-14,7.5,7.541667,7.458333,7.541667,15900
178,2000-09-15,7.416667,7.416667,7.395833,7.395833,7800
179,2000-09-18,7.375,7.375,7.333333,7.333333,900
180,2000-09-19,7.291667,7.291667,7.208333,7.229167,900
181,2000-09-20,7.1875,7.25,7.1875,7.25,3600
182,2000-09-21,7.25,7.541667,7.25,7.5,21000
183,2000-09-22,7.458333,7.479167,7.458333,7.479167,600
184,2000-09-25,7.458333,7.458333,7.4375,7.458333,2400
185,2000-09-26,7.416667,7.416667,7.083333,7.083333,19800
186,2000-09-27,7.125,7.145833,7.083333,7.145833,9900
187,2000-09-28,7.1875,7.270833,7.166667,7.229167,12900
188,2000-09-29,7.229167,7.375,7.229167,7.354167,14100
189,2000-10-02,7.333333,7.333333,7.166667,7.291667,13800
190,2000-10-03,7.291667,7.333333,7.25,7.333333,13800
191,2000-10-04,7.25,7.333333,7.166667,7.333333,25500
192,2000-10-05,7.395833,7.395833,7.25,7.291667,12300
193,2000-10-06,7.333333,7.333333,7.125,7.125,17100
194,2000-10-09,7.083333,7.083333,6.916667,6.916667,9300
195,2000-10-10,6.958333,7.333333,6.958333,7.25,21300
196,2000-10-11,7.25,7.25,7.083333,7.083333,10800
197,2000-10-12,7.041667,7.041667,6.958333,6.979167,5100
198,2000-10-13,6.916667,7.208333,6.916667,7.208333,14400
199,2000-10-16,7.145833,7.145833,7.125,7.125,1500
200,2000-10-17,7.125,7.125,6.770833,7.0,29100
201,2000-10-18,6.916667,6.916667,6.875,6.875,2100
202,2000-10-19,6.875,6.875,6.645833,6.666667,10500
203,2000-10-20,6.708333,6.708333,6.666667,6.6875,4200
204,2000-10-23,6.666667,6.666667,6.541667,6.625,29400
205,2000-10-24,6.666667,7.0,6.666667,7.0,15900
206,2000-10-25,6.958333,6.958333,6.375,6.5,56100
207,2000-10-26,6.5,6.5,6.5,6.5,300
208,2000-10-27,6.5,6.833333,6.5,6.833333,21000
209,2000-10-30,6.833333,7.041667,6.833333,7.041667,16200
210,2000-10-31,7.041667,7.041667,6.875,7.0,11700
211,2000-11-01,7.020833,7.416667,7.020833,7.416667,22500
212,2000-11-02,7.541667,7.958333,7.541667,7.875,13200
213,2000-11-03,7.958333,8.0,7.958333,8.0,600
214,2000-11-06,8.083333,8.333333,8.083333,8.270833,10500
215,2000-11-07,8.458333,8.583333,8.416667,8.583333,24600
216,2000-11-08,8.5625,8.5625,8.333333,8.333333,10500
217,2000-11-09,8.333333,8.5,8.333333,8.458333,13200
218,2000-11-10,8.4375,8.4375,8.145833,8.145833,15900
219,2000-11-13,8.125,8.125,8.0,8.0,25500
220,2000-11-14,8.0,8.0,7.708333,7.708333,9600
221,2000-11-15,7.666667,7.666667,7.666667,7.666667,7800
222,2000-11-16,7.6875,8.0,7.6875,8.0,45600
223,2000-11-17,8.0,8.041667,8.0,8.0,31800
224,2000-11-20,7.979167,7.979167,7.75,7.75,13800
225,2000-11-21,7.75,7.875,7.75,7.875,6300
226,2000-11-22,7.833333,7.833333,7.770833,7.770833,1500
227,2000-11-24,7.854167,7.854167,7.854167,7.854167,1200
228,2000-11-27,7.854167,7.854167,7.791667,7.791667,3300
229,2000-11-28,7.833333,7.916667,7.833333,7.875,6900
230,2000-11-29,7.833333,7.979167,7.833333,7.916667,15300
231,2000-11-30,7.9375,7.958333,7.916667,7.9375,17400
232,2000-12-01,8.0,8.104167,7.958333,8.0,72900
233,2000-12-04,7.9375,7.9375,7.833333,7.833333,4200
234,2000-12-05,7.833333,8.0,7.833333,8.0,6300
235,2000-12-06,8.020833,8.166667,8.020833,8.083333,27900
236,2000-12-07,8.083333,8.104167,8.083333,8.104167,3300
237,2000-12-08,8.041667,8.1875,8.041667,8.166667,5700
238,2000-12-11,8.25,8.291667,8.208333,8.291667,7200
239,2000-12-12,8.333333,8.333333,8.166667,8.25,20700
240,2000-12-13,8.125,8.375,8.125,8.375,44400
241,2000-12-14,8.375,8.375,8.375,8.375,900
242,2000-12-15,8.291667,8.541667,8.291667,8.541667,44400
243,2000-12-18,8.5,8.5625,8.4375,8.5,18000
244,2000-12-19,8.5,8.625,8.5,8.625,16200
245,2000-12-20,8.5,8.5,8.166667,8.166667,20100
246,2000-12-21,8.125,8.125,7.833333,7.875,17400
247,2000-12-22,7.875,8.0,7.875,8.0,4800
248,2000-12-26,7.958333,8.0,7.875,7.916667,11400
249,2000-12-27,7.916667,7.916667,7.583333,7.583333,10200
