,Date,Open,High,Low,Close,Volume
0,2000-01-03,13.0,13.625,12.8125,13.5,75900
1,2000-01-04,13.25,13.375,11.625,11.625,179800
2,2000-01-05,12.0,12.875,11.75,12.5,69300
3,2000-01-06,12.5,12.8125,12.0,12.8125,45700
4,2000-01-07,12.75,12.8125,11.3125,11.9375,417800
5,2000-01-10,12.0625,13.5625,12.0625,13.375,352100
6,2000-01-11,15.25,16.6875,15.0625,16.1875,1375800
7,2000-01-12,16.5,18.5625,16.4375,18.3125,1800900
8,2000-01-13,18.375,19.5,17.375,17.625,908500
9,2000-01-14,17.875,18.375,17.5625,18.375,485600
10,2000-01-18,18.25,18.3125,15.75,18.25,281400
11,2000-01-19,18.125,18.75,18.0,18.5625,454900
12,2000-01-20,18.5625,18.9375,18.5,18.625,185300
13,2000-01-21,18.625,18.6875,17.875,17.9375,325500
14,2000-01-24,17.9375,18.25,17.25,17.4375,351300
15,2000-01-25,17.5625,17.5625,16.125,16.6875,254700
16,2000-01-26,16.5625,17.25,16.5,17.125,691600
17,2000-01-27,17.25,17.6875,16.75,16.9375,167000
18,2000-01-28,17.0,17.0,14.75,14.875,279200
19,2000-01-31,15.25,15.5625,15.25,15.5,131300
20,2000-02-01,15.4375,15.8125,15.4375,15.8125,39200
21,2000-02-02,15.8125,16.5625,15.625,16.25,100100
22,2000-02-03,16.25,16.25,15.0,15.0,249900
23,2000-02-04,15.625,16.0,15.4375,15.4375,224400
24,2000-02-07,15.5,16.0,15.3125,15.3125,345700
25,2000-02-08,15.1875,15.5,14.625,15.0,173700
26,2000-02-09,15.0,15.0,14.4375,14.4375,135700
27,2000-02-10,14.5625,14.75,13.875,14.1875,132900
28,2000-02-11,14.0625,14.0625,13.125,13.875,136800
29,2000-02-14,13.9375,14.0,13.875,14.0,139300
30,2000-02-15,13.9375,13.9375,13.25,13.4375,768300
31,2000-02-16,13.5,13.5,13.25,13.4375,95100
32,2000-02-17,13.5,13.625,13.0,13.5,682500
33,2000-02-18,13.625,13.625,13.0,13.0625,902200
34,2000-02-22,13.25,13.6875,13.0,13.6875,289800
35,2000-02-23,13.375,13.4375,13.0,13.0,155100
36,2000-02-24,13.0,13.0,12.5625,12.875,84000
37,2000-02-25,12.75,15.0,12.75,14.5,215600
38,2000-02-28,14.5,15.0,14.375,14.5625,71100
39,2000-02-29,14.5625,15.875,14.4375,15.625,104300
40,2000-03-01,16.0,16.8125,16.0,16.375,100300
41,2000-03-02,16.25,16.25,15.5,15.5,57600
42,2000-03-03,15.5,15.5,14.8125,14.8125,76900
43,2000-03-06,14.8125,14.8125,13.75,14.375,81700
44,2000-03-07,14.5,14.5,13.5,14.1875,161600
45,2000-03-08,14.3125,14.3125,13.5,13.9375,65700
46,2000-03-09,14.0625,14.625,14.0,14.375,16500
47,2000-03-10,14.375,14.375,14.25,14.3125,27900
48,2000-03-13,14.375,14.375,13.9375,13.9375,576800
49,2000-03-14,14.0,14.0,13.625,13.6875,162900
50,2000-03-15,13.8125,14.25,13.6875,14.0,295900
51,2000-03-16,14.0,15.125,14.0,15.125,128700
52,2000-03-17,15.0,17.0,15.0,16.5,134500
53,2000-03-20,16.375,16.5,16.0625,16.4375,145200
54,2000-03-21,16.375,16.375,15.8125,15.875,44600
55,2000-03-22,15.8125,15.875,15.625,15.875,61200
56,2000-03-23,15.875,16.375,15.75,16.0,47200
57,2000-03-24,15.875,16.1875,15.875,16.125,50800
58,2000-03-27,16.0,16.0,14.625,15.0,312200
59,2000-03-28,15.125,15.4375,15.125,15.125,109400
60,2000-03-29,15.25,15.875,15.1875,15.625,87100
61,2000-03-30,15.875,16.375,15.875,16.125,161500
62,2000-03-31,16.0,18.0,16.0,18.0,276700
63,2000-04-03,17.75,17.875,17.4375,17.8125,245400
64,2000-04-04,17.75,17.875,17.125,17.3125,178400
65,2000-04-05,17.25,17.375,17.0,17.25,116200
66,2000-04-06,17.25,17.75,17.25,17.625,79900
67,2000-04-07,17.6875,17.8125,17.0,17.3125,214700
68,2000-04-10,17.375,17.5,17.0,17.375,370700
69,2000-04-11,17.0625,17.125,16.75,17.125,256900
70,2000-04-12,17.125,17.25,16.875,17.1875,336200
71,2000-04-13,17.25,17.5,17.0625,17.1875,270300
72,2000-04-14,16.75,16.8125,16.0,16.1875,79800
73,2000-04-17,15.9375,15.9375,13.25,13.75,310800
74,2000-04-18,13.875,14.0,13.625,13.9375,125700
75,2000-04-19,13.875,14.0625,13.5,13.6875,146500
76,2000-04-20,13.75,14.0,13.75,14.0,72900
77,2000-04-24,14.0,14.125,13.875,13.875,56900
78,2000-04-25,13.75,14.25,13.5,14.25,250500
79,2000-04-26,14.125,14.5,13.75,13.75,34000
