,Date,Open,High,Low,Close,Volume
0,2000-01-03,7.492464,7.544374,6.85223,7.527071,6276869
1,2000-01-04,7.466508,7.613589,6.886837,6.921444,4952001
2,2000-01-05,6.834926,6.921444,6.488854,6.66189,7600292
3,2000-01-06,6.584024,7.04257,6.471551,6.938748,10764372
4,2000-01-07,6.912793,7.059873,6.817623,6.904141,4478111
5,2000-01-10,7.129088,8.046179,7.129088,7.717411,22740195
6,2000-01-11,7.509767,7.509767,7.059873,7.206954,9349205
7,2000-01-12,7.094481,7.293472,6.731105,6.817623,14879120
8,2000-01-13,6.938748,7.509767,6.904141,7.47516,11210810
9,2000-01-14,7.587634,7.630893,7.007963,7.016614,7113400
10,2000-01-18,7.016614,7.302124,6.999311,7.206954,4559742
11,2000-01-19,7.215606,7.258865,6.999311,7.206954,3198032
12,2000-01-20,7.232909,7.752018,7.180999,7.414597,11165299
13,2000-01-21,7.47516,7.717411,7.250213,7.656848,6977590
14,2000-01-24,7.734714,7.90775,6.886837,6.990659,9729905
15,2000-01-25,7.04257,7.648196,6.973355,7.466508,10312154
16,2000-01-26,7.449205,7.700107,7.111784,7.129088,3556339
17,2000-01-27,7.13774,7.405946,7.094481,7.345383,3929816
18,2000-01-28,7.302124,7.354035,6.999311,7.120436,5958294
19,2000-01-31,7.120436,7.180999,6.402336,6.869534,16224937
20,2000-02-01,6.869534,6.9474,6.826275,6.912793,7816287
21,2000-02-02,6.999311,7.630893,6.9474,7.183162,14735363
22,2000-02-03,7.336731,7.630893,7.13774,7.574656,15235259
23,2000-02-04,7.648196,7.959661,7.648196,7.777973,10108439
24,2000-02-07,7.803929,7.890447,7.544374,7.847188,5024963
25,2000-02-08,7.90775,7.968313,7.578982,7.639544,7330840
26,2000-02-09,7.639544,7.803929,7.371338,7.388642,5499575
27,2000-02-10,7.457856,7.578982,7.405946,7.553026,3471819
28,2000-02-11,7.578982,7.596285,7.059873,7.085829,5355096
29,2000-02-14,7.198302,7.215606,6.748408,6.912793,7067166
30,2000-02-15,6.869534,7.094481,6.783016,6.921444,11923089
31,2000-02-16,6.912793,6.990659,6.506158,6.722453,5480792
32,2000-02-17,6.817623,6.938748,6.488854,6.66189,8759732
33,2000-02-18,6.696498,6.713801,6.090871,6.255255,9638884
34,2000-02-22,6.315818,6.385033,5.935139,6.272559,11194918
35,2000-02-23,6.376381,6.834926,6.367729,6.644587,9916283
36,2000-02-24,6.722453,6.783016,6.160086,6.51481,16563739
37,2000-02-25,6.817623,6.817623,6.454247,6.609979,10517674
38,2000-02-28,6.506158,6.523461,5.900531,5.987049,6168871
39,2000-02-29,6.160086,6.367729,5.969746,6.211996,12885677
40,2000-03-01,6.246604,6.333122,5.969746,6.108175,8775264
41,2000-03-02,6.056264,6.056264,5.779406,5.848621,13389907
42,2000-03-03,5.900531,6.142782,5.779406,6.073568,12944552
43,2000-03-06,6.125478,6.281211,5.848621,5.987049,11476651
44,2000-03-07,5.969746,6.056264,5.294905,5.433334,13314417
45,2000-03-08,5.554459,6.073568,5.467941,5.969746,12093935
46,2000-03-09,5.969746,6.108175,5.779406,6.056264,11439447
47,2000-03-10,6.004353,6.713801,6.004353,6.41964,13952290
48,2000-03-13,6.298514,6.298514,5.814013,5.865924,10640120
49,2000-03-14,5.917835,5.987049,5.485245,5.537156,7157827
50,2000-03-15,5.571763,5.814013,5.433334,5.60637,15668695
51,2000-03-16,5.554459,6.506158,5.537156,6.281211,11302554
52,2000-03-17,6.073568,6.367729,5.987049,6.004353,6061235
53,2000-03-20,5.969746,6.090871,5.589066,5.623674,6524650
54,2000-03-21,5.640977,5.900531,5.519852,5.831317,6091214
55,2000-03-22,5.814013,6.333122,5.79671,6.263907,15084279
56,2000-03-23,6.125478,6.471551,6.073568,6.315818,6466858
57,2000-03-24,6.41964,6.506158,6.315818,6.402336,7306278
58,2000-03-27,6.402336,6.575372,6.333122,6.41964,5261907
59,2000-03-28,6.436943,6.488854,6.246604,6.385033,4387451
60,2000-03-29,6.41964,6.41964,5.952442,6.108175,4617172
61,2000-03-30,5.952442,6.402336,5.779406,5.883228,5699677
62,2000-03-31,5.878902,6.350425,5.814013,6.246604,12602499
63,2000-04-03,6.25093,6.367729,5.900531,6.073568,5937344
64,2000-04-04,6.073568,6.263907,5.502548,5.727495,9741464
65,2000-04-05,5.744799,5.935139,5.60637,5.640977,3679145
66,2000-04-06,5.831317,6.160086,5.710192,6.108175,6044620
67,2000-04-07,6.021657,6.2293,5.987049,6.160086,4736367
68,2000-04-10,6.151434,6.402336,6.125478,6.350425,9756273
69,2000-04-11,6.194693,6.263907,5.640977,6.03896,13710650
70,2000-04-12,6.047612,6.142782,5.744799,5.779406,4393953
71,2000-04-13,5.831317,5.848621,5.156476,5.277601,11557197
72,2000-04-14,5.208387,5.225691,4.723886,4.775797,10876704
73,2000-04-17,4.706582,5.191083,4.671975,5.191083,14412815
74,2000-04-18,5.087262,5.294905,4.879618,5.069958,8523510
75,2000-04-19,5.121869,5.191083,4.879618,4.948833,9794921
76,2000-04-20,4.98344,5.069958,4.862315,5.018047,8584191
77,2000-04-24,4.98344,5.052654,4.845011,5.000744,10766900
78,2000-04-25,5.191083,5.467941,5.139173,5.467941,10954000
79,2000-04-26,5.41603,5.883228,5.41603,5.640977,15474732
80,2000-04-27,5.675584,6.246604,5.502548,6.246604,19063217
81,2000-04-28,6.194693,6.644587,6.177389,6.367729,18107492
82,2000-05-01,6.367729,6.402336,6.281211,6.333122,7917422
83,2000-05-02,6.333122,6.402336,6.160086,6.263907,11330005
84,2000-05-03,6.298514,6.298514,5.744799,6.03896,12106938
85,2000-05-04,6.03896,6.2293,5.952442,6.177389,8545904
86,2000-05-05,6.125478,6.402336,6.112501,6.385033,11832790
87,2000-05-08,6.2293,6.39801,5.952442,6.090871,4222746
88,2000-05-09,6.142782,6.281211,5.865924,6.004353,6230636
89,2000-05-10,6.021657,6.367729,5.987049,6.090871,11018293
90,2000-05-11,6.2293,6.246604,5.917835,6.194693,4335439
91,2000-05-12,6.263907,6.402336,6.056264,6.367729,8657875
92,2000-05-15,6.315818,6.385033,6.142782,6.350425,5092145
93,2000-05-16,6.367729,6.454247,6.194693,6.350425,9859575
94,2000-05-17,6.160086,6.177389,5.883228,5.952442,6679964
95,2000-05-18,6.021657,6.056264,5.60637,5.640977,6516342
96,2000-05-19,5.467941,6.03896,5.433334,5.692888,14163951
97,2000-05-22,5.675584,5.710192,5.329512,5.571763,6638426
98,2000-05-23,5.554459,5.554459,5.208387,5.208387,9331506
99,2000-05-24,5.199735,5.485245,5.156476,5.450638,7863965
100,2000-05-25,5.41603,5.519852,5.156476,5.242994,10067985
101,2000-05-26,5.277601,5.294905,5.000744,5.052654,9259628
102,2000-05-30,5.156476,5.277601,5.139173,5.242994,17934840
103,2000-05-31,5.225691,5.364119,5.191083,5.242994,10079905
104,2000-06-01,5.41603,5.571763,5.398727,5.502548,10381142
105,2000-06-02,5.753451,5.831317,5.692888,5.831317,7322532
106,2000-06-05,5.710192,5.848621,5.571763,5.658281,3549115
107,2000-06-06,5.675584,5.762103,5.398727,5.519852,3900559
108,2000-06-07,5.537156,5.60637,5.433334,5.554459,6400398
109,2000-06-08,5.537156,5.571763,5.364119,5.41603,8988008
110,2000-06-09,5.537156,5.60637,5.381423,5.450638,7496629
111,2000-06-12,5.485245,5.498222,5.052654,5.069958,7889249
112,2000-06-13,5.113217,5.381423,5.104565,5.277601,8449103
113,2000-06-14,5.640977,5.900531,5.519852,5.883228,54846572
114,2000-06-15,6.333122,6.523461,6.2293,6.298514,56351676
115,2000-06-16,6.592676,6.592676,6.263907,6.315818,16788403
116,2000-06-19,6.298514,6.506158,6.090871,6.385033,10886817
117,2000-06-20,6.402336,6.575372,6.333122,6.488854,12309208
118,2000-06-21,6.454247,6.540765,6.246604,6.471551,13522828
119,2000-06-22,6.506158,6.523461,6.211996,6.367729,12362304
120,2000-06-23,6.488854,6.540765,6.402336,6.454247,14880564
121,2000-06-26,6.51481,6.523461,6.333122,6.385033,11726598
122,2000-06-27,6.385033,6.385033,6.160086,6.2293,11026600
123,2000-06-28,6.064916,6.2293,5.883228,6.160086,12613335
124,2000-06-29,6.082219,6.125478,5.883228,6.03896,6726197
125,2000-06-30,6.056264,6.190367,5.935139,5.987049,11527940
126,2000-07-03,5.987049,6.194693,5.969746,6.125478,4153396
