,Date,Open,High,Low,Close,Volume
0,2000-01-03,2.6875,2.71875,2.5,2.5625,61200
1,2000-01-04,2.46875,2.46875,2.4375,2.4375,14800
2,2000-01-05,2.4375,2.5,2.34375,2.484375,35200
3,2000-01-06,2.421875,2.5,2.421875,2.46875,16000
4,2000-01-07,2.46875,2.46875,2.4375,2.453125,8000
5,2000-01-10,2.484375,2.484375,2.453125,2.46875,12800
6,2000-01-11,2.46875,2.46875,2.34375,2.34375,14800
7,2000-01-12,2.40625,2.53125,2.375,2.5,26000
8,2000-01-13,2.5,2.5,2.46875,2.46875,5600
9,2000-01-14,2.453125,2.484375,2.4375,2.46875,32800
10,2000-01-18,2.4375,2.453125,2.4375,2.4375,1600
11,2000-01-19,2.40625,2.40625,2.359375,2.359375,24400
12,2000-01-20,2.34375,2.375,2.21875,2.25,49600
13,2000-01-21,2.25,2.25,2.21875,2.21875,34400
14,2000-01-24,2.1875,2.34375,2.1875,2.34375,113600
15,2000-01-25,2.375,2.5,2.375,2.5,22400
16,2000-01-26,2.5,2.5,2.375,2.46875,36400
17,2000-01-27,2.5,2.5,2.453125,2.453125,16800
18,2000-01-28,2.421875,2.5,2.421875,2.5,4000
19,2000-01-31,2.5,2.578125,2.375,2.546875,32800
20,2000-02-01,2.5625,2.625,2.5625,2.625,10000
21,2000-02-02,2.59375,2.65625,2.59375,2.625,42800
22,2000-02-03,2.6875,2.6875,2.625,2.625,36400
23,2000-02-04,2.65625,2.6875,2.625,2.6875,4400
24,2000-02-07,2.65625,2.75,2.65625,2.75,11200
25,2000-02-08,2.78125,2.875,2.75,2.78125,30000
26,2000-02-09,2.859375,2.859375,2.734375,2.78125,25200
27,2000-02-10,2.75,2.765625,2.734375,2.734375,51600
28,2000-02-11,2.734375,2.734375,2.71875,2.71875,8800
29,2000-02-14,2.765625,2.765625,2.75,2.75,23200
30,2000-02-15,2.78125,2.78125,2.75,2.75,28800
31,2000-02-16,2.75,2.75,2.71875,2.75,12000
32,2000-02-17,2.75,2.859375,2.75,2.78125,58000
33,2000-02-18,2.78125,2.8125,2.75,2.75,17600
34,2000-02-22,2.75,2.796875,2.71875,2.796875,54400
35,2000-02-23,2.765625,2.78125,2.734375,2.75,43600
36,2000-02-24,2.78125,2.796875,2.78125,2.78125,12800
37,2000-02-25,2.8125,2.8125,2.75,2.75,41200
38,2000-02-28,2.75,2.84375,2.75,2.828125,10800
39,2000-02-29,2.796875,2.84375,2.796875,2.828125,29600
40,2000-03-01,2.796875,2.859375,2.734375,2.734375,150000
41,2000-03-02,2.734375,2.84375,2.6875,2.75,56000
42,2000-03-03,2.78125,2.84375,2.5625,2.84375,91200
43,2000-03-06,2.8125,2.8125,2.6875,2.75,12800
44,2000-03-07,2.75,2.75,2.75,2.75,0
45,2000-03-08,2.75,2.75,2.75,2.75,0
46,2000-03-09,2.71875,2.71875,2.6875,2.6875,22000
47,2000-03-10,2.6875,2.734375,2.6875,2.703125,23600
48,2000-03-13,2.734375,2.75,2.71875,2.71875,12000
49,2000-03-14,2.71875,2.71875,2.71875,2.71875,800
50,2000-03-15,2.703125,2.796875,2.703125,2.703125,147200
51,2000-03-16,2.71875,2.796875,2.546875,2.71875,145200
52,2000-03-17,2.6875,2.78125,2.6875,2.78125,44000
53,2000-03-20,2.796875,2.84375,2.75,2.84375,36800
54,2000-03-21,2.75,2.75,2.65625,2.71875,18800
55,2000-03-22,2.75,2.78125,2.75,2.78125,10800
56,2000-03-23,2.75,2.8125,2.71875,2.78125,16800
57,2000-03-24,2.796875,2.796875,2.734375,2.765625,14800
58,2000-03-27,2.75,2.75,2.75,2.75,2400
59,2000-03-28,2.75,2.75,2.6875,2.75,16400
60,2000-03-29,2.75,2.75,2.65625,2.71875,33200
61,2000-03-30,2.71875,2.71875,2.59375,2.71875,14400
