,Date,Open,High,Low,Close,Volume
0,2000-01-03,17.9375,17.9375,17.5,17.625,36800
1,2000-01-04,17.375,17.375,16.0,16.25,163900
2,2000-01-05,16.5,17.375,16.5,17.1875,105100
3,2000-01-06,17.0,17.5,16.625,17.3125,135400
4,2000-01-07,17.25,17.375,17.0625,17.25,42800
5,2000-01-10,17.0,17.25,16.9375,17.1875,55400
6,2000-01-11,17.3125,17.875,17.1875,17.6875,45100
7,2000-01-12,17.625,17.625,16.875,16.9375,17400
8,2000-01-13,16.875,17.5,16.875,16.9375,69300
9,2000-01-14,16.0,16.0,15.0625,15.6875,269800
10,2000-01-18,15.9375,16.75,15.625,16.75,133100
11,2000-01-19,16.9375,17.1875,16.625,17.125,27500
12,2000-01-20,17.125,18.8125,17.0625,18.8125,107400
13,2000-01-21,18.5625,18.5625,17.875,18.5,35900
14,2000-01-24,18.75,18.75,18.25,18.375,32500
15,2000-01-25,18.125,18.125,17.9375,18.0,89500
16,2000-01-26,18.0,18.0,17.6875,17.75,29300
17,2000-01-27,17.5,17.5,16.5625,16.8125,27700
18,2000-01-28,16.8125,16.9375,16.75,16.8125,16300
19,2000-01-31,16.9375,16.9375,16.3125,16.3125,19500
20,2000-02-01,16.3125,16.75,16.1875,16.1875,80800
21,2000-02-02,16.4375,16.5,16.25,16.375,63600
22,2000-02-03,16.25,16.3125,16.1875,16.25,27800
23,2000-02-04,16.25,16.25,16.1875,16.25,32800
24,2000-02-07,16.25,16.25,16.1875,16.25,12600
25,2000-02-08,16.25,16.25,15.8125,16.0,49500
26,2000-02-09,16.0,16.0,15.875,16.0,40900
27,2000-02-10,16.0,16.0,15.875,16.0,55200
28,2000-02-11,15.8125,16.0,15.5,15.5625,44300
29,2000-02-14,15.5625,16.0,15.5625,16.0,51100
30,2000-02-15,15.9375,16.0,15.9375,15.9375,28100
31,2000-02-16,16.0,16.0,15.9375,15.9375,38200
32,2000-02-17,15.9375,16.5,15.875,15.9375,74900
33,2000-02-18,16.0,16.0,15.4375,15.8125,39900
34,2000-02-22,15.9375,16.625,15.75,16.625,74500
35,2000-02-23,16.5,16.6875,16.0625,16.6875,14800
36,2000-02-24,16.6875,16.75,16.375,16.625,38600
37,2000-02-25,16.5,16.75,16.25,16.25,20300
38,2000-02-28,16.25,16.3125,15.5625,16.0,16600
39,2000-02-29,15.4375,16.0,15.375,16.0,37100
40,2000-03-01,16.125,16.125,15.625,15.75,10100
41,2000-03-02,15.625,15.625,15.0,15.625,92500
42,2000-03-03,15.625,16.0625,15.25,15.9375,60000
43,2000-03-06,15.8125,16.1875,15.8125,16.0,30600
44,2000-03-07,15.625,16.25,15.625,16.0625,46100
45,2000-03-08,15.9375,16.625,15.9375,16.625,9900
46,2000-03-09,16.375,17.3125,15.875,17.0,34200
47,2000-03-10,17.25,17.625,17.0,17.375,18700
48,2000-03-13,16.875,18.0625,16.875,17.9375,53200
49,2000-03-14,17.8125,18.0,17.5625,17.75,41900
50,2000-03-15,17.5,18.125,17.125,18.125,28600
51,2000-03-16,18.125,18.4375,17.8125,18.4375,64800
52,2000-03-17,18.1875,19.375,18.1875,19.0,121900
53,2000-03-20,19.125,19.375,19.0,19.1875,46000
54,2000-03-21,19.0,19.0,18.8125,18.875,21400
55,2000-03-22,18.875,19.4375,18.875,19.375,34300
56,2000-03-23,19.375,19.625,19.25,19.4375,35700
57,2000-03-24,19.1875,19.40625,18.5,18.5625,35800
58,2000-03-27,18.375,18.9375,18.375,18.9375,5400
59,2000-03-28,18.8125,19.0,18.8125,18.8125,34400
