,Date,Open,High,Low,Close,Volume
0,2000-01-03,29.833332,29.916668,28.041668,28.583332,108900
1,2000-01-04,28.416668,28.458332,27.166668,27.666668,137400
2,2000-01-05,27.625,28.166668,27.625,28.083332,95850
3,2000-01-06,28.125,28.291668,28.0,28.25,71400
4,2000-01-07,28.416668,29.166668,28.416668,28.791668,251250
5,2000-01-10,28.875,28.958332,28.0,28.416668,88200
6,2000-01-11,28.416668,28.5,28.166668,28.333332,77400
7,2000-01-12,28.333332,28.916668,28.291668,28.791668,187050
8,2000-01-13,28.833332,29.166668,28.75,29.041668,103950
9,2000-01-14,29.166668,29.583332,28.708332,28.708332,80400
10,2000-01-18,28.583332,29.333332,28.083332,29.333332,125850
11,2000-01-19,29.416668,31.333332,29.375,31.25,209700
12,2000-01-20,31.666668,32.375,31.166668,31.583332,181650
13,2000-01-21,31.583332,33.166668,31.333332,33.125,339000
14,2000-01-24,33.125,33.291668,32.791668,33.25,147450
15,2000-01-25,33.083332,33.125,32.333332,32.458332,111900
16,2000-01-26,32.333332,32.458332,31.416668,31.5,155850
17,2000-01-27,32.166668,33.166668,32.0,32.041668,404700
18,2000-01-28,32.333332,32.458332,31.0,31.208332,175800
19,2000-01-31,31.083332,31.916668,30.791668,30.791668,109950
20,2000-02-01,30.833332,31.916668,30.833332,31.625,130050
21,2000-02-02,31.541668,32.583332,31.541668,32.291668,56700
22,2000-02-03,32.166668,32.333332,31.833332,32.208332,80100
23,2000-02-04,32.333332,33.333332,32.333332,33.333332,284100
24,2000-02-07,33.5,34.5,33.083332,33.416668,203400
25,2000-02-08,33.5,34.125,33.333332,33.625,112500
26,2000-02-09,33.541668,33.583332,30.666668,31.625,280500
27,2000-02-10,31.791668,32.416668,31.75,31.958332,159450
28,2000-02-11,32.083332,32.416668,32.0,32.375,78450
29,2000-02-14,32.541668,33.875,32.25,33.791668,129900
30,2000-02-15,33.958332,35.75,33.625,35.666668,273600
31,2000-02-16,35.708332,37.583332,35.625,37.25,308700
32,2000-02-17,37.75,38.458332,37.666668,38.125,425250
33,2000-02-18,37.833332,37.833332,37.333332,37.583332,69900
34,2000-02-22,37.416668,38.166668,37.416668,38.041668,292500
35,2000-02-23,38.0,38.0,36.833332,37.583332,54750
36,2000-02-24,37.75,38.0,37.416668,37.541668,154800
37,2000-02-25,36.666668,37.333332,36.083332,36.5,2073450
38,2000-02-28,36.5,37.25,36.5,37.166668,301500
39,2000-02-29,37.333332,38.583332,37.333332,38.416668,304350
40,2000-03-01,43.333332,44.416668,42.416668,44.25,1413450
41,2000-03-02,45.333332,47.333332,43.25,43.875,759150
42,2000-03-03,45.166668,45.333332,44.333332,44.5,350400
43,2000-03-06,44.75,45.5,44.416668,44.958332,318750
44,2000-03-07,45.0,46.416668,44.875,45.125,220800
45,2000-03-08,45.291668,45.333332,42.416668,43.25,213000
46,2000-03-09,43.666668,45.333332,43.666668,44.583332,207150
47,2000-03-10,44.708332,45.666668,44.041668,44.875,177600
48,2000-03-13,44.75,45.25,44.041668,44.583332,165150
49,2000-03-14,45.0,45.375,42.083332,43.083332,272250
50,2000-03-15,43.208332,43.208332,41.416668,42.666668,184950
51,2000-03-16,42.833332,44.333332,42.833332,44.333332,177150
52,2000-03-17,44.166668,44.75,44.0,44.416668,92850
53,2000-03-20,44.5,46.25,43.916668,45.583332,227400
54,2000-03-21,46.666668,47.333332,46.416668,46.583332,495300
55,2000-03-22,46.625,46.916668,46.083332,46.625,489750
56,2000-03-23,46.833332,50.666668,46.833332,50.416668,386100
57,2000-03-24,50.333332,52.5,50.0,52.333332,418500
58,2000-03-27,52.291668,55.083332,52.25,54.833332,363900
