,Date,Open,High,Low,Close,Volume
0,2000-01-03,5.296875,5.296875,5.132813,5.15625,4096800
1,2000-01-04,5.125,5.265625,5.125,5.25,5487200
2,2000-01-05,5.203125,5.53125,5.203125,5.421875,5488800
3,2000-01-06,5.429688,5.476563,5.375,5.421875,2960000
4,2000-01-07,5.453125,5.601563,5.40625,5.578125,7999200
5,2000-01-10,5.5,5.570313,5.476563,5.53125,4168000
6,2000-01-11,5.484375,5.515625,5.445313,5.46875,4122400
7,2000-01-12,5.46875,5.617188,5.46875,5.585938,6193600
8,2000-01-13,5.601563,5.601563,5.5,5.53125,3674400
9,2000-01-14,5.515625,5.546875,5.390625,5.429688,4070400
10,2000-01-18,5.398438,5.398438,5.25,5.296875,5408000
11,2000-01-19,5.304688,5.5,5.304688,5.421875,3433600
12,2000-01-20,5.359375,5.390625,5.273438,5.359375,5560000
13,2000-01-21,5.390625,5.523438,5.335938,5.5,4039200
14,2000-01-24,5.539063,5.648438,5.453125,5.46875,6968800
15,2000-01-25,5.492188,5.523438,5.234375,5.28125,6890400
16,2000-01-26,5.3125,5.320313,5.203125,5.296875,4121600
17,2000-01-27,5.25,5.3125,5.15625,5.1875,3752800
18,2000-01-28,5.1875,5.242188,5.132813,5.164063,4688000
19,2000-01-31,5.195313,5.273438,5.164063,5.273438,2659200
20,2000-02-01,5.226563,5.25,5.164063,5.164063,2516000
21,2000-02-02,5.195313,5.234375,5.164063,5.195313,5120000
22,2000-02-03,5.195313,5.398438,5.171875,5.359375,7605600
23,2000-02-04,5.359375,5.359375,5.132813,5.203125,4384800
24,2000-02-07,5.203125,5.257813,5.203125,5.210938,4015200
25,2000-02-08,5.25,5.289063,5.203125,5.226563,3130400
26,2000-02-09,5.195313,5.242188,5.125,5.15625,5622400
27,2000-02-10,5.148438,5.195313,5.015625,5.039063,3177600
28,2000-02-11,5.070313,5.109375,5.03125,5.109375,2848800
29,2000-02-14,5.078125,5.171875,5.0625,5.09375,2068800
30,2000-02-15,5.070313,5.132813,5.0625,5.109375,3612800
31,2000-02-16,5.109375,5.171875,5.085938,5.117188,7360000
32,2000-02-17,5.132813,5.140625,5.070313,5.125,5864000
33,2000-02-18,5.109375,5.132813,5.015625,5.039063,10255200
34,2000-02-22,5.0625,5.148438,5.0625,5.109375,4006400
35,2000-02-23,5.007813,5.0625,4.90625,5.023438,18380000
36,2000-02-24,4.960938,4.96875,4.671875,4.75,6168000
37,2000-02-25,4.75,4.765625,4.546875,4.601563,5560800
38,2000-02-28,4.601563,4.765625,4.601563,4.765625,5476000
39,2000-02-29,4.765625,4.851563,4.710938,4.828125,9773600
40,2000-03-01,4.828125,4.898438,4.757813,4.820313,12016000
41,2000-03-02,4.789063,4.875,4.789063,4.851563,4716800
42,2000-03-03,4.890625,4.9375,4.851563,4.875,9020800
43,2000-03-06,4.90625,4.90625,4.710938,4.742188,5432800
44,2000-03-07,4.75,4.929688,4.742188,4.914063,9948800
45,2000-03-08,4.90625,5.195313,4.851563,5.164063,7708000
46,2000-03-09,5.171875,5.351563,5.164063,5.351563,8442400
47,2000-03-10,5.351563,5.546875,5.34375,5.46875,9176000
48,2000-03-13,5.4375,5.445313,5.203125,5.265625,7949600
49,2000-03-14,5.28125,5.351563,5.21875,5.234375,5797600
50,2000-03-15,5.242188,5.617188,5.234375,5.546875,7091200
51,2000-03-16,5.585938,5.726563,5.445313,5.625,7689600
52,2000-03-17,5.609375,5.617188,5.46875,5.484375,10521600
53,2000-03-20,5.453125,5.554688,5.328125,5.382813,6745600
54,2000-03-21,5.304688,5.367188,5.148438,5.171875,8244800
55,2000-03-22,5.179688,5.179688,4.945313,5.09375,5840000
56,2000-03-23,5.21875,5.367188,5.195313,5.3125,7215200
57,2000-03-24,5.4375,5.445313,5.3125,5.414063,9632000
58,2000-03-27,6.0,6.03125,5.8125,5.828125,10875200
59,2000-03-28,5.796875,5.835938,5.585938,5.679688,6492800
60,2000-03-29,5.648438,5.796875,5.507813,5.578125,6240000
61,2000-03-30,5.601563,5.75,5.59375,5.75,4350400
62,2000-03-31,5.75,5.820313,5.609375,5.757813,7694400
63,2000-04-03,5.742188,5.75,5.601563,5.664063,6110400
64,2000-04-04,5.632813,5.78125,5.632813,5.773438,7833600
65,2000-04-05,5.75,5.921875,5.75,5.757813,7571200
66,2000-04-06,5.804688,5.828125,5.671875,5.71875,5753600
67,2000-04-07,5.75,5.867188,5.671875,5.820313,6335200
68,2000-04-10,5.820313,5.898438,5.71875,5.898438,6317600
69,2000-04-11,5.890625,5.890625,5.773438,5.84375,3804800
70,2000-04-12,5.828125,6.007813,5.828125,5.90625,7702400
71,2000-04-13,5.929688,5.945313,5.859375,5.882813,3380800
72,2000-04-14,5.835938,5.875,5.59375,5.6875,7104800
73,2000-04-17,5.523438,5.5625,5.242188,5.445313,6863200
74,2000-04-18,5.398438,5.429688,5.226563,5.414063,6824000
75,2000-04-19,5.390625,5.625,5.351563,5.609375,8913600
76,2000-04-20,5.515625,5.648438,5.507813,5.648438,5198400
77,2000-04-24,5.601563,5.679688,5.59375,5.679688,4993600
78,2000-04-25,5.710938,5.945313,5.664063,5.890625,5890400
79,2000-04-26,5.859375,5.929688,5.820313,5.882813,4828800
80,2000-04-27,5.84375,5.882813,5.632813,5.6875,6790400
81,2000-04-28,5.65625,5.679688,5.59375,5.65625,6540800
82,2000-05-01,5.75,5.75,5.617188,5.671875,5548000
83,2000-05-02,5.65625,5.710938,5.59375,5.648438,6198400
84,2000-05-03,5.640625,5.71875,5.640625,5.6875,5279200
85,2000-05-04,5.65625,5.835938,5.601563,5.726563,4792000
86,2000-05-05,5.703125,5.710938,5.625,5.664063,4509600
87,2000-05-08,5.671875,5.984375,5.671875,5.875,7367200
88,2000-05-09,5.84375,5.914063,5.765625,5.835938,4941600
89,2000-05-10,5.867188,5.992188,5.867188,5.90625,2488000
90,2000-05-11,5.96875,6.117188,5.921875,6.085938,6208000
91,2000-05-12,6.070313,6.085938,5.914063,5.945313,4776800
92,2000-05-15,5.945313,6.140625,5.945313,6.078125,6464000
93,2000-05-16,6.046875,6.046875,5.859375,5.898438,4908800
94,2000-05-17,5.882813,5.929688,5.742188,5.84375,6268800
95,2000-05-18,5.875,6.0625,5.875,5.953125,4024000
96,2000-05-19,5.921875,6.0,5.890625,5.976563,3089600
97,2000-05-22,5.96875,6.03125,5.9375,5.953125,4304000
98,2000-05-23,5.96875,6.054688,5.921875,6.015625,6583200
99,2000-05-24,5.976563,6.210938,5.976563,6.085938,20843200
100,2000-05-25,6.03125,6.117188,5.976563,6.109375,5025600
101,2000-05-26,6.078125,6.25,6.0625,6.21875,6811200
102,2000-05-30,6.21875,6.21875,6.101563,6.140625,4888000
103,2000-05-31,6.148438,6.25,6.109375,6.210938,3460800
104,2000-06-01,6.1875,6.25,6.132813,6.195313,4449600
105,2000-06-02,6.148438,6.195313,6.125,6.179688,7083200
106,2000-06-05,6.15625,6.164063,5.929688,5.9375,7558400
107,2000-06-06,5.945313,6.171875,5.945313,6.078125,7020000
108,2000-06-07,6.09375,6.101563,5.96875,6.023438,5506400
109,2000-06-08,6.023438,6.054688,5.890625,6.039063,5392800
110,2000-06-09,6.054688,6.171875,6.03125,6.09375,6099200
111,2000-06-12,6.109375,6.140625,6.078125,6.101563,2933600
112,2000-06-13,6.125,6.171875,6.03125,6.046875,3352800
113,2000-06-14,6.039063,6.039063,5.953125,5.960938,3475200
114,2000-06-15,5.953125,6.15625,5.945313,6.101563,6412800
115,2000-06-16,6.078125,6.125,6.054688,6.0625,4767200
116,2000-06-19,6.0625,6.09375,5.90625,5.921875,3824000
117,2000-06-20,5.929688,5.976563,5.882813,5.96875,3094400
118,2000-06-21,5.992188,6.179688,5.976563,6.09375,7198400
119,2000-06-22,6.109375,6.210938,6.085938,6.132813,9305600
120,2000-06-23,6.117188,6.21875,6.078125,6.21875,6100800
121,2000-06-26,6.1875,6.34375,6.1875,6.226563,6510400
122,2000-06-27,6.195313,6.265625,6.164063,6.1875,7796000
123,2000-06-28,6.1875,6.34375,6.125,6.294922,7436000
124,2000-06-29,6.257813,6.296875,6.125,6.140625,3196000
125,2000-06-30,6.1875,6.351563,6.125,6.1875,12791200
126,2000-07-03,6.15625,6.289063,6.148438,6.226563,2287200
127,2000-07-05,6.296875,6.34375,6.179688,6.203125,3245600
128,2000-07-06,6.242188,6.289063,6.226563,6.28125,5271200
129,2000-07-07,6.265625,6.421875,6.25,6.375,7332000
130,2000-07-10,6.4375,6.6875,6.4375,6.625,11259200
131,2000-07-11,6.570313,6.6875,6.539063,6.640625,7276000
132,2000-07-12,6.625,6.679688,6.5625,6.679688,3852800
133,2000-07-13,6.648438,6.796875,6.578125,6.765625,8071200
134,2000-07-14,6.765625,6.851563,6.65625,6.765625,4012800
135,2000-07-17,6.734375,6.75,6.6875,6.730469,2633600
136,2000-07-18,6.734375,6.773438,6.546875,6.601563,5557600
137,2000-07-19,6.632813,6.804688,6.617188,6.6875,5786400
138,2000-07-20,6.734375,6.734375,6.601563,6.648438,3036800
139,2000-07-21,6.695313,6.710938,6.554688,6.59375,3466400
140,2000-07-24,6.5625,6.664063,6.53125,6.609375,3456800
141,2000-07-25,6.640625,6.703125,6.601563,6.679688,3693600
142,2000-07-26,6.648438,6.65625,6.515625,6.611328,3442400
143,2000-07-27,6.625,6.71875,6.570313,6.609375,6120000
144,2000-07-28,6.609375,6.609375,6.5625,6.601563,3916000
145,2000-07-31,5.890625,6.1875,5.890625,6.03125,30663200
146,2000-08-01,6.09375,6.351563,6.0625,6.289063,24144000
147,2000-08-02,6.375,6.53125,6.320313,6.53125,20782400
148,2000-08-03,6.609375,6.859375,6.59375,6.650391,30168000
149,2000-08-04,6.65625,6.703125,6.421875,6.625,8628800
150,2000-08-07,6.625,6.742188,6.578125,6.720703,6781600
151,2000-08-08,6.828125,6.828125,6.625,6.742188,5965600
152,2000-08-09,6.773438,6.773438,6.5625,6.578125,6627200
153,2000-08-10,6.5625,6.601563,6.515625,6.525391,5880800
154,2000-08-11,6.53125,6.726563,6.53125,6.673828,6572800
155,2000-08-14,6.578125,6.6875,6.5625,6.671875,6000000
156,2000-08-15,6.679688,6.75,6.679688,6.703125,5081600
157,2000-08-16,6.734375,6.859375,6.703125,6.798828,10162400
158,2000-08-17,6.859375,6.875,6.773438,6.84375,9898400
159,2000-08-18,6.8125,6.898438,6.8125,6.875,6234400
160,2000-08-21,6.828125,6.84375,6.78125,6.796875,5870400
161,2000-08-22,6.804688,6.851563,6.773438,6.804688,4597600
162,2000-08-23,6.734375,6.84375,6.734375,6.835938,12884000
163,2000-08-24,6.828125,6.828125,6.710938,6.757813,5611200
164,2000-08-25,6.757813,6.757813,6.679688,6.695313,6348800
165,2000-08-28,6.65625,6.734375,6.617188,6.648438,4028000
166,2000-08-29,6.617188,6.65625,6.601563,6.625,3166400
167,2000-08-30,6.59375,6.710938,6.59375,6.6875,5157600
168,2000-08-31,6.65625,6.765625,6.632813,6.671875,5037600
169,2000-09-01,6.703125,6.828125,6.679688,6.773438,3537600
170,2000-09-05,6.820313,6.890625,6.804688,6.851563,8782400
171,2000-09-06,6.820313,7.109375,6.820313,7.03125,4619200
172,2000-09-07,7.054688,7.203125,7.054688,7.1875,3836000
173,2000-09-08,7.148438,7.273438,7.132813,7.246094,5186400
174,2000-09-11,7.25,7.585938,7.25,7.369141,8708000
175,2000-09-12,7.703125,7.71875,7.5,7.539063,20801600
176,2000-09-13,7.648438,7.734375,7.585938,7.625,9944800
177,2000-09-14,7.71875,7.71875,7.523438,7.644531,11683200
178,2000-09-15,7.695313,7.775391,7.671875,7.775391,11518400
179,2000-09-18,7.820313,7.875,7.640625,7.820313,8042400
180,2000-09-19,7.820313,7.898438,7.570313,7.585938,11522400
181,2000-09-20,7.609375,7.617188,7.414063,7.601563,10881600
182,2000-09-21,7.578125,7.671875,7.476563,7.578125,5800800
183,2000-09-22,7.59375,7.710938,7.570313,7.625,6042400
184,2000-09-25,7.664063,7.71875,7.539063,7.710938,6222400
185,2000-09-26,7.710938,7.976563,7.695313,7.914063,7112800
186,2000-09-27,7.914063,8.015625,7.804688,7.994141,5140000
187,2000-09-28,8.015625,8.21875,7.96875,7.992188,7386400
188,2000-09-29,8.015625,8.390625,8.015625,8.220703,10021600
189,2000-10-02,8.226563,8.5625,8.140625,8.53125,7348000
190,2000-10-03,8.484375,8.585938,7.945313,8.03125,9042400
191,2000-10-04,8.078125,8.15625,7.421875,7.984375,16766400
192,2000-10-05,7.921875,8.039063,7.664063,7.796875,8700000
