,Date,Open,High,Low,Close,Volume
0,2000-01-03,23.25,23.25,22.625,23.03125,122600
1,2000-01-04,22.90625,22.96875,22.71875,22.75,89000
2,2000-01-05,22.84375,23.1875,22.75,22.75,185400
3,2000-01-06,22.96875,23.15625,22.96875,23.0625,211600
4,2000-01-07,23.0,23.375,22.84375,23.09375,185000
5,2000-01-10,23.0,23.0625,22.90625,23.0625,310400
6,2000-01-11,23.0,23.0,22.90625,23.0,120000
7,2000-01-12,23.0,23.0,22.8125,22.96875,146600
8,2000-01-13,23.0,23.0625,22.78125,23.03125,162800
9,2000-01-14,22.9375,22.9375,22.4375,22.4375,281200
10,2000-01-18,22.53125,22.71875,22.34375,22.5,224400
11,2000-01-19,22.625,22.6875,22.25,22.4375,168800
12,2000-01-20,22.375,22.46875,22.1875,22.46875,144800
13,2000-01-21,22.46875,22.5625,22.34375,22.5,285600
14,2000-01-24,22.375,22.59375,21.875,22.0,183800
15,2000-01-25,22.09375,22.875,22.09375,22.3125,364200
16,2000-01-26,22.1875,22.59375,22.03125,22.125,176600
17,2000-01-27,22.1875,22.21875,21.5625,21.75,295600
18,2000-01-28,21.84375,22.40625,21.65625,21.9375,159000
19,2000-01-31,21.9375,22.375,21.9375,22.28125,132600
20,2000-02-01,22.28125,22.40625,21.9375,22.3125,71800
21,2000-02-02,22.25,22.4375,22.0,22.0,124800
22,2000-02-03,22.125,22.5625,22.125,22.53125,286000
23,2000-02-04,22.4375,22.5625,21.625,21.875,129400
24,2000-02-07,21.9375,22.15625,21.53125,21.75,90400
25,2000-02-08,21.8125,22.15625,21.59375,21.78125,146200
26,2000-02-09,21.65625,21.65625,20.8125,21.03125,229000
27,2000-02-10,21.03125,21.53125,21.0,21.28125,204800
28,2000-02-11,21.28125,21.53125,20.875,21.0,100400
29,2000-02-14,21.1875,21.5,21.125,21.375,100000
30,2000-02-15,21.375,21.875,21.34375,21.59375,215200
31,2000-02-16,21.5625,21.5625,21.0625,21.4375,100200
32,2000-02-17,21.34375,21.5,21.15625,21.34375,58600
33,2000-02-18,21.25,21.25,20.6875,20.75,108200
34,2000-02-22,20.75,20.75,19.75,20.21875,237400
35,2000-02-23,20.25,20.46875,20.15625,20.21875,235800
36,2000-02-24,20.375,20.375,19.6875,19.84375,110600
37,2000-02-25,20.1875,20.1875,19.6875,19.96875,96600
38,2000-02-28,19.8125,20.1875,19.8125,19.9375,156200
39,2000-02-29,19.9375,20.5,19.90625,20.46875,310800
40,2000-03-01,20.5,20.78125,20.46875,20.59375,203400
41,2000-03-02,20.46875,20.65625,20.09375,20.65625,147400
42,2000-03-03,20.65625,20.9375,20.46875,20.71875,173000
