,Date,Open,High,Low,Close,Volume
0,2000-01-03,6.164063,6.195313,5.96875,6.015625,8014400
1,2000-01-04,5.875,5.914063,5.671875,5.6875,9810400
2,2000-01-05,5.71875,6.046875,5.71875,6.015625,6542400
3,2000-01-06,5.984375,5.984375,5.820313,5.984375,4891200
4,2000-01-07,5.960938,6.0,5.875,5.984375,3993600
5,2000-01-10,6.015625,6.117188,6.0,6.085938,3946400
6,2000-01-11,6.171875,6.53125,6.15625,6.390625,10976000
7,2000-01-12,6.359375,6.375,6.140625,6.171875,10050400
8,2000-01-13,6.132813,6.304688,6.054688,6.25,5144800
9,2000-01-14,6.328125,6.484375,6.296875,6.414063,7680800
10,2000-01-18,6.34375,6.453125,6.257813,6.328125,8356000
11,2000-01-19,6.46875,6.6875,6.429688,6.601563,10299200
12,2000-01-20,6.65625,6.671875,6.40625,6.445313,5103200
13,2000-01-21,6.445313,6.445313,6.3125,6.335938,10265600
14,2000-01-24,6.203125,6.28125,6.15625,6.210938,5733600
15,2000-01-25,6.195313,6.265625,6.0625,6.109375,3823200
16,2000-01-26,5.765625,6.21875,5.765625,6.1875,12886400
17,2000-01-27,6.0,6.078125,5.796875,5.90625,6304000
18,2000-01-28,5.875,5.875,5.75,5.859375,3556000
19,2000-01-31,5.75,5.773438,5.679688,5.6875,4627200
20,2000-02-01,5.679688,5.890625,5.65625,5.835938,5971200
21,2000-02-02,5.828125,6.0625,5.773438,5.929688,5572800
22,2000-02-03,5.914063,5.984375,5.820313,5.984375,3973600
23,2000-02-04,5.984375,5.984375,5.828125,5.835938,12485600
24,2000-02-07,5.828125,5.828125,5.585938,5.65625,6455200
25,2000-02-08,5.625,5.625,4.515625,4.625,65707200
26,2000-02-09,4.5625,4.5625,4.046875,4.21875,62571200
27,2000-02-10,4.171875,4.351563,4.109375,4.21875,25032800
28,2000-02-11,4.265625,4.3125,4.140625,4.25,12644800
29,2000-02-14,4.1875,4.257813,4.015625,4.039063,17859200
30,2000-02-15,4.007813,4.015625,3.78125,3.804688,30056000
31,2000-02-16,3.804688,3.84375,3.65625,3.6875,22678400
32,2000-02-17,3.664063,3.734375,3.601563,3.625,14977600
33,2000-02-18,3.609375,3.640625,3.421875,3.5,26087200
34,2000-02-22,3.578125,3.59375,3.375,3.375,12847200
35,2000-02-23,3.53125,3.5625,3.492188,3.507813,12624800
36,2000-02-24,3.5,3.507813,3.328125,3.382813,16156800
37,2000-02-25,3.375,3.382813,3.3125,3.320313,14830400
38,2000-02-28,3.367188,3.53125,3.351563,3.484375,16385600
39,2000-02-29,3.484375,3.640625,3.484375,3.554688,12575200
40,2000-03-01,3.554688,3.585938,3.492188,3.515625,9884800
41,2000-03-02,3.546875,3.742188,3.515625,3.679688,11260800
42,2000-03-03,3.757813,3.78125,3.640625,3.671875,6912800
43,2000-03-06,3.6875,3.703125,3.523438,3.5625,7684800
44,2000-03-07,3.59375,3.601563,3.460938,3.484375,9532000
45,2000-03-08,3.40625,3.453125,3.375,3.40625,10000000
46,2000-03-09,3.390625,3.40625,3.226563,3.34375,14059200
47,2000-03-10,3.367188,3.429688,3.351563,3.359375,12566400
48,2000-03-13,3.390625,3.65625,3.3125,3.59375,20965600
49,2000-03-14,3.625,3.765625,3.53125,3.609375,18244000
50,2000-03-15,3.578125,4.1875,3.570313,4.125,25912800
51,2000-03-16,4.117188,4.75,3.921875,4.46875,17427200
52,2000-03-17,4.328125,4.515625,4.015625,4.25,30021600
53,2000-03-20,4.039063,4.171875,4.039063,4.125,14386400
54,2000-03-21,4.140625,4.179688,4.03125,4.140625,13809600
55,2000-03-22,4.28125,4.3125,4.179688,4.21875,11780000
56,2000-03-23,4.203125,4.328125,4.15625,4.25,12538400
57,2000-03-24,4.25,4.3125,4.210938,4.234375,7305600
58,2000-03-27,4.5,4.53125,4.375,4.492188,16704800
59,2000-03-28,4.523438,4.601563,4.46875,4.601563,9060800
60,2000-03-29,4.601563,4.90625,4.601563,4.875,17080800
61,2000-03-30,4.882813,4.890625,4.710938,4.835938,13088800
62,2000-03-31,4.84375,5.0,4.804688,4.953125,15036800
63,2000-04-03,5.125,5.125,5.0,5.0,14220800
64,2000-04-04,5.0,5.015625,4.546875,4.867188,12149600
65,2000-04-05,4.9375,5.0625,4.859375,4.898438,5654400
66,2000-04-06,4.914063,5.21875,4.914063,5.195313,11058400
67,2000-04-07,5.3125,5.367188,5.226563,5.367188,12285600
68,2000-04-10,5.351563,5.398438,5.25,5.375,6696800
69,2000-04-11,5.484375,5.71875,5.484375,5.640625,18799200
70,2000-04-12,5.632813,5.664063,5.492188,5.554688,9212800
71,2000-04-13,5.5625,5.648438,5.46875,5.492188,9680000
72,2000-04-14,5.3125,5.40625,5.109375,5.328125,17863200
73,2000-04-17,5.359375,5.375,5.109375,5.25,12481600
74,2000-04-18,5.226563,5.4375,5.117188,5.296875,11352000
75,2000-04-19,5.421875,5.734375,5.375,5.507813,9402400
76,2000-04-20,5.515625,5.546875,5.46875,5.492188,6341600
77,2000-04-24,5.507813,5.671875,5.382813,5.398438,7215200
78,2000-04-25,5.390625,5.726563,5.359375,5.703125,6885600
79,2000-04-26,5.65625,5.65625,5.398438,5.484375,4333600
80,2000-04-27,5.375,5.445313,5.328125,5.414063,3830400
81,2000-04-28,5.5625,5.617188,5.390625,5.429688,7720000
82,2000-05-01,5.429688,5.890625,5.421875,5.820313,8130400
83,2000-05-02,5.789063,5.789063,5.578125,5.65625,4469600
84,2000-05-03,5.40625,5.460938,5.203125,5.296875,8126400
85,2000-05-04,5.375,5.5,5.3125,5.34375,6128800
86,2000-05-05,5.34375,5.414063,5.21875,5.34375,4955200
87,2000-05-08,5.34375,5.484375,5.328125,5.382813,6868000
88,2000-05-09,5.351563,5.429688,5.28125,5.398438,6644000
89,2000-05-10,5.3125,5.328125,5.195313,5.28125,4293600
90,2000-05-11,5.28125,5.34375,5.257813,5.335938,2653600
91,2000-05-12,5.25,5.351563,5.21875,5.351563,2688000
92,2000-05-15,5.359375,5.554688,5.28125,5.515625,5956000
93,2000-05-16,5.484375,5.59375,5.453125,5.523438,3246400
94,2000-05-17,5.453125,5.460938,5.140625,5.164063,5001600
95,2000-05-18,5.171875,5.257813,5.03125,5.09375,7704000
96,2000-05-19,4.976563,5.023438,4.796875,5.0,9682400
97,2000-05-22,5.0,5.140625,4.890625,4.953125,5794400
98,2000-05-23,4.96875,5.210938,4.734375,5.164063,11746400
99,2000-05-24,5.25,5.59375,5.25,5.4375,13967200
100,2000-05-25,5.46875,5.492188,5.390625,5.421875,8943200
101,2000-05-26,5.4375,5.53125,5.390625,5.445313,4872000
102,2000-05-30,5.4375,5.546875,5.210938,5.53125,5676800
103,2000-05-31,5.515625,5.515625,5.078125,5.359375,7727200
104,2000-06-01,5.390625,5.429688,5.335938,5.40625,4212800
105,2000-06-02,5.546875,5.59375,5.484375,5.53125,4600000
106,2000-06-05,5.53125,5.609375,5.445313,5.523438,3837600
107,2000-06-06,5.5,5.5,5.1875,5.25,3589600
108,2000-06-07,5.25,5.5,5.179688,5.492188,4171200
109,2000-06-08,5.3125,5.375,5.25,5.367188,2794400
110,2000-06-09,5.335938,5.375,5.125,5.195313,5871200
111,2000-06-12,4.890625,5.078125,4.625,5.050781,15022400
112,2000-06-13,5.054688,5.0625,4.75,4.875,6928800
113,2000-06-14,4.875,4.976563,4.867188,4.945313,5578400
114,2000-06-15,4.9375,4.9375,4.703125,4.789063,6023200
115,2000-06-16,4.757813,4.765625,4.625,4.65625,8535200
116,2000-06-19,4.734375,4.78125,4.515625,4.570313,5864000
117,2000-06-20,4.5625,4.5625,4.398438,4.460938,8980000
118,2000-06-21,4.429688,4.507813,4.40625,4.445313,5191200
119,2000-06-22,4.421875,4.429688,4.351563,4.398438,4257600
120,2000-06-23,4.429688,4.679688,4.421875,4.632813,7271200
121,2000-06-26,4.75,5.0,4.71875,4.875,11592000
122,2000-06-27,5.007813,5.03125,4.921875,4.992188,7790400
123,2000-06-28,5.007813,5.125,4.84375,4.886719,8188000
124,2000-06-29,4.875,5.28125,4.726563,4.9375,8083200
125,2000-06-30,4.953125,4.990234,4.804688,4.976563,10526400
126,2000-07-03,5.125,5.140625,4.976563,5.125,7405600
127,2000-07-05,5.054688,5.117188,4.992188,5.03125,3610400
128,2000-07-06,5.0625,5.140625,4.96875,5.0625,3177600
129,2000-07-07,5.117188,5.3125,5.0625,5.257813,5385600
130,2000-07-10,5.289063,5.304688,5.171875,5.210938,4084000
131,2000-07-11,5.25,5.453125,5.171875,5.382813,5830400
132,2000-07-12,5.382813,5.40625,5.28125,5.304688,4732800
133,2000-07-13,5.335938,5.578125,5.320313,5.492188,8097600
134,2000-07-14,5.523438,5.546875,5.351563,5.484375,8752800
