,Date,Open,High,Low,Close,Volume
0,2000-01-03,8.6875,8.6875,8.1875,8.375,37100
1,2000-01-04,8.3125,8.4375,8.25,8.3125,42400
2,2000-01-05,8.375,8.4375,8.25,8.25,17100
3,2000-01-06,8.375,8.4375,8.1875,8.1875,16000
4,2000-01-07,8.3125,8.5,8.3125,8.5,27400
5,2000-01-10,8.5,8.5625,8.4375,8.5,10300
6,2000-01-11,8.4375,8.5,8.3125,8.375,24100
7,2000-01-12,8.3125,8.375,8.3125,8.375,10100
8,2000-01-13,8.375,8.5,8.3125,8.4375,13500
9,2000-01-14,8.4375,8.625,8.3125,8.375,31600
10,2000-01-18,8.5,8.5,8.3125,8.3125,18100
11,2000-01-19,8.3125,8.375,8.3125,8.3125,17700
12,2000-01-20,8.375,8.375,8.3125,8.3125,24000
13,2000-01-21,8.375,8.375,8.25,8.25,19000
14,2000-01-24,8.3125,8.375,8.25,8.25,29900
15,2000-01-25,8.375,8.375,8.25,8.375,32000
16,2000-01-26,8.5,8.5625,8.375,8.5,23300
17,2000-01-27,8.5625,8.75,8.375,8.75,26600
18,2000-01-28,8.75,8.8125,8.625,8.8125,29100
19,2000-01-31,8.875,8.875,8.5,8.625,43600
20,2000-02-01,8.625,8.625,8.1875,8.25,69200
21,2000-02-02,8.25,8.4375,8.25,8.4375,76700
22,2000-02-03,8.375,8.375,8.0,8.0625,75400
23,2000-02-04,8.0,8.1875,8.0,8.0,85200
24,2000-02-07,8.125,8.125,7.8125,7.9375,52800
25,2000-02-08,7.8125,7.8125,7.625,7.75,51500
26,2000-02-09,7.75,7.75,7.5625,7.75,66800
27,2000-02-10,7.75,7.75,7.625,7.75,61900
28,2000-02-11,7.75,8.0,7.5,7.625,127400
29,2000-02-14,7.625,7.625,7.1875,7.25,55100
30,2000-02-15,7.25,7.75,7.25,7.75,52400
31,2000-02-16,7.75,8.0625,7.75,7.9375,20900
32,2000-02-17,7.8125,8.25,7.8125,8.0625,16900
33,2000-02-18,8.125,8.125,7.9375,8.0,38100
34,2000-02-22,8.0,8.125,7.875,7.9375,50500
35,2000-02-23,8.0625,8.0625,8.0,8.0,10600
36,2000-02-24,8.0625,8.0625,8.0,8.0625,11500
37,2000-02-25,8.0,8.125,8.0,8.125,15500
38,2000-02-28,8.0625,8.0625,7.875,7.9375,24700
39,2000-02-29,7.9375,8.0,7.875,8.0,57200
40,2000-03-01,8.0,8.0625,7.9375,8.0,10400
41,2000-03-02,8.0625,8.0625,7.9375,8.0625,57900
42,2000-03-03,8.0625,8.4375,8.0,8.375,53500
43,2000-03-06,8.25,8.5625,8.25,8.5,34900
44,2000-03-07,8.5,8.5,8.1875,8.1875,52400
45,2000-03-08,8.1875,8.5,7.9375,8.25,82200
46,2000-03-09,8.125,8.3125,7.9375,8.125,40200
47,2000-03-10,8.25,8.25,8.0,8.0625,18500
48,2000-03-13,8.1875,8.5,8.125,8.375,27600
49,2000-03-14,8.375,8.5,8.25,8.25,20700
50,2000-03-15,8.25,8.375,8.125,8.25,30400
51,2000-03-16,8.3125,8.3125,8.25,8.25,31100
52,2000-03-17,8.3125,8.4375,8.3125,8.375,11800
53,2000-03-20,8.375,8.6875,8.375,8.625,66200
54,2000-03-21,8.625,8.625,8.375,8.5,94100
55,2000-03-22,8.5,8.5,8.4375,8.5,41500
56,2000-03-23,8.5625,8.5625,8.5,8.5625,47400
