,Date,Open,High,Low,Close,Volume
0,2000-01-03,26.625,27.9375,25.875,27.1875,27767
1,2000-01-04,25.875,27.1875,25.125,25.875,19267
2,2000-01-05,25.59375,27.9375,24.75,27.75,35667
3,2000-01-06,27.09375,27.9375,27.0,27.1875,24300
4,2000-01-07,27.375,28.3125,27.375,28.125,15300
5,2000-01-10,28.40625,31.3125,28.40625,30.75,21767
6,2000-01-11,30.1875,30.5625,29.25,29.625,21733
7,2000-01-12,29.625,30.375,29.25,29.25,3933
8,2000-01-13,30.09375,33.0,28.875,29.625,28867
9,2000-01-14,31.3125,32.25,30.1875,31.3125,41367
10,2000-01-18,31.6875,33.0,31.5,32.8125,46200
11,2000-01-19,34.125,35.625,33.375,35.25,85800
12,2000-01-20,36.1875,38.625,36.0,36.375,249900
13,2000-01-21,37.3125,41.625,36.75,38.4375,286867
14,2000-01-24,40.3125,43.3125,39.0,39.0,274367
15,2000-01-25,42.0,42.375,37.6875,38.625,89533
16,2000-01-26,39.375,39.5625,37.5,37.875,39100
17,2000-01-27,37.78125,38.625,36.0,36.75,40867
18,2000-01-28,36.9375,37.125,32.25,32.625,53467
19,2000-01-31,31.59375,35.0625,31.5,34.3125,49667
20,2000-02-01,34.3125,35.625,34.125,35.25,30467
21,2000-02-02,35.8125,38.25,35.25,37.5,49800
22,2000-02-03,38.0625,39.0,37.3125,38.25,29800
23,2000-02-04,38.625,39.0,37.3125,38.8125,31200
24,2000-02-07,39.0,39.1875,38.25,39.0,73067
25,2000-02-08,39.5625,40.5,38.25,39.0,64533
26,2000-02-09,38.53125,39.75,37.125,37.3125,44233
27,2000-02-10,39.0,39.0,36.375,37.125,32267
28,2000-02-11,36.75,37.3125,35.4375,36.5625,25767
29,2000-02-14,35.71875,37.6875,35.625,36.75,33000
30,2000-02-15,36.75,37.3125,35.4375,37.125,54700
31,2000-02-16,37.5,37.875,36.5625,37.875,31767
32,2000-02-17,37.125,41.25,37.125,40.6875,104133
33,2000-02-18,41.625,53.4375,41.25,46.875,357667
34,2000-02-22,50.8125,52.125,47.625,51.75,243367
35,2000-02-23,52.875,53.25,48.75,50.25,199300
36,2000-02-24,50.4375,51.375,46.875,51.375,123400
37,2000-02-25,57.375,68.0625,56.625,66.1875,1373033
38,2000-02-28,74.8125,86.8125,74.8125,78.9375,1348900
39,2000-02-29,88.125,88.125,70.875,75.375,816467
40,2000-03-01,76.125,76.5,69.75,71.0625,311633
41,2000-03-02,71.8125,78.0,69.0,72.0,365333
42,2000-03-03,76.5,77.25,73.125,76.875,297933
43,2000-03-06,80.25,81.5625,73.6875,74.8125,352267
44,2000-03-07,74.0625,77.25,64.875,65.625,269500
45,2000-03-08,66.84375,68.625,59.25,67.5,384000
46,2000-03-09,69.0,71.625,66.5625,70.125,160067
47,2000-03-10,69.0,70.3125,66.0,66.0,174567
48,2000-03-13,64.5,68.25,60.0,62.4375,169767
49,2000-03-14,61.875,64.875,57.375,57.375,144833
50,2000-03-15,57.1875,57.375,49.5,51.5625,390400
51,2000-03-16,52.5,54.375,51.1875,52.875,373767
52,2000-03-17,46.875,54.375,46.875,52.3125,228933
53,2000-03-20,52.5,60.0,52.5,55.3125,209267
54,2000-03-21,55.3125,59.0625,52.5,57.375,210033
55,2000-03-22,57.0,62.25,52.875,59.625,273367
56,2000-03-23,63.0,65.0625,61.3125,62.625,198700
57,2000-03-24,63.9375,64.125,58.5,58.875,122467
58,2000-03-27,59.0625,59.8125,55.5,58.3125,116933
59,2000-03-28,57.9375,59.625,55.875,56.4375,97367
60,2000-03-29,55.21875,57.75,52.5,55.125,140033
61,2000-03-30,53.25,54.0,43.5,46.5,209500
62,2000-03-31,48.1875,54.0,47.25,51.375,341500
63,2000-04-03,50.53125,52.125,48.375,49.3125,168867
64,2000-04-04,48.375,51.0,42.75,47.8125,322900
65,2000-04-05,46.6875,49.5,43.5,47.4375,97200
66,2000-04-06,48.1875,56.25,46.875,56.25,178833
67,2000-04-07,57.65625,59.0625,56.25,58.5,175533
68,2000-04-10,58.5,65.25,53.625,55.125,544533
69,2000-04-11,55.125,56.625,51.0,54.375,168500
70,2000-04-12,51.0,51.75,50.25,51.0,593733
71,2000-04-13,51.75,52.5,49.5,50.25,197200
72,2000-04-14,49.5,49.5,42.0,43.125,258733
73,2000-04-17,42.0,43.5,35.25,42.375,249367
74,2000-04-18,42.375,48.0,42.375,47.4375,90400
75,2000-04-19,48.375,51.75,47.625,51.1875,169433
76,2000-04-20,50.8125,51.9375,50.25,50.8125,101567
77,2000-04-24,50.625,51.0,45.75,47.8125,124133
78,2000-04-25,49.40625,51.1875,48.75,50.4375,76533
79,2000-04-26,52.125,53.0625,50.0625,52.875,203467
80,2000-04-27,50.25,54.1875,49.875,54.1875,166667
81,2000-04-28,55.125,57.375,54.1875,56.4375,138300
82,2000-05-01,57.375,61.875,57.375,60.0,117467
83,2000-05-02,58.5,62.625,58.125,60.9375,104800
84,2000-05-03,60.0,60.0,55.875,56.625,72633
85,2000-05-04,58.125,58.125,51.9375,56.25,149700
86,2000-05-05,57.0,57.75,53.8125,57.0,129733
87,2000-05-08,56.0625,60.75,54.375,59.625,141633
88,2000-05-09,59.8125,61.5,58.5,60.75,160833
89,2000-05-10,60.1875,60.375,57.9375,58.875,308167
90,2000-05-11,60.75,61.5,59.4375,60.9375,345800
91,2000-05-12,61.5,63.0,60.5625,61.6875,278467
92,2000-05-15,62.15625,72.9375,61.6875,71.0625,534000
93,2000-05-16,71.8125,71.8125,69.75,70.3125,417733
94,2000-05-17,67.125,70.3125,66.9375,69.75,173767
95,2000-05-18,69.09375,70.5,68.25,69.375,148400
96,2000-05-19,68.625,69.1875,62.25,63.75,168133
97,2000-05-22,63.65625,63.75,56.625,61.6875,173367
98,2000-05-23,60.0,63.375,58.5,59.0625,68600
99,2000-05-24,57.75,59.625,51.0,56.625,170000
100,2000-05-25,58.125,58.5,53.4375,54.375,149033
101,2000-05-26,53.4375,55.5,51.9375,54.5625,39367
102,2000-05-30,55.78125,59.0625,55.125,58.3125,91767
103,2000-05-31,57.75,64.875,57.375,64.125,157500
104,2000-06-01,64.3125,65.25,62.25,63.5625,122667
105,2000-06-02,65.25,70.5,64.3125,69.1875,294267
106,2000-06-05,68.25,69.0,63.75,67.125,119333
107,2000-06-06,66.0,70.5,64.125,68.625,117533
108,2000-06-07,69.0,69.0,65.4375,68.4375,129133
109,2000-06-08,69.28125,75.375,68.8125,73.6875,561800
110,2000-06-09,75.9375,78.75,72.375,77.25,432033
111,2000-06-12,78.0,82.5,77.8125,81.75,392433
112,2000-06-13,81.0,86.8125,75.0,86.671875,252600
113,2000-06-14,89.25,90.75,75.75,78.0,438333
114,2000-06-15,75.9375,85.5,75.375,82.5,289567
115,2000-06-16,83.15625,84.1875,79.6875,84.0,81667
116,2000-06-19,83.90625,85.3125,82.875,84.5625,141900
117,2000-06-20,85.03125,90.0,84.75,88.5,434367
118,2000-06-21,87.5625,87.75,83.625,85.6875,101300
119,2000-06-22,86.0625,90.75,84.1875,84.75,425400
120,2000-06-23,82.875,87.375,77.625,85.5,296000
121,2000-06-26,85.21875,85.5,78.0,81.5625,396133
122,2000-06-27,80.25,88.875,79.125,87.1875,277067
123,2000-06-28,87.375,90.0,83.4375,87.75,134933
124,2000-06-29,84.1875,101.25,84.1875,96.5625,839500
125,2000-06-30,103.6875,108.0,99.75,105.375,847367
126,2000-07-03,106.125,125.4375,105.0,119.625,529067
127,2000-07-05,117.5625,123.0,108.1875,111.375,450700
128,2000-07-06,106.875,115.5,106.5,109.6875,386467
129,2000-07-07,110.625,112.5,109.5,111.75,209867
130,2000-07-10,119.0625,122.625,107.8125,110.625,459800
131,2000-07-11,111.75,112.3125,93.0,99.796875,348467
132,2000-07-12,100.78125,111.9375,100.3125,111.1875,372467
133,2000-07-13,112.875,115.125,106.875,108.75,317467
134,2000-07-14,107.8125,114.0,101.25,112.5,206733
135,2000-07-17,112.875,121.125,108.5625,119.4375,257667
136,2000-07-18,119.625,126.375,113.625,123.0,486567
137,2000-07-19,123.5625,124.5,115.875,119.25,217167
138,2000-07-20,119.8125,130.5,119.25,127.5,411267
139,2000-07-21,127.21875,130.3125,114.0,118.125,408533
140,2000-07-24,119.625,121.6875,103.125,109.5,282333
141,2000-07-25,114.0,114.75,99.0,104.25,291867
142,2000-07-26,100.5,101.8125,92.25,96.1875,301033
143,2000-07-27,93.0,96.0,81.375,83.625,546333
144,2000-07-28,78.9375,81.375,60.375,72.1875,788967
145,2000-07-31,71.625,88.5,70.125,82.125,483567
146,2000-08-01,82.3125,87.0,75.375,79.875,189333
147,2000-08-02,78.1875,79.125,70.6875,72.0,285533
148,2000-08-03,66.0,66.75,55.6875,63.75,1268167
149,2000-08-04,66.28125,70.6875,65.25,69.75,350667
150,2000-08-07,69.375,69.375,65.0625,67.5,250833
151,2000-08-08,65.53125,75.1875,65.4375,73.6875,411533
152,2000-08-09,75.5625,77.25,69.75,70.5,256200
153,2000-08-10,71.8125,72.0,67.125,67.875,251900
154,2000-08-11,66.75,71.625,66.0,70.5,189767
155,2000-08-14,69.09375,71.625,69.0,71.0625,81900
156,2000-08-15,70.78125,74.25,69.5625,72.375,238267
157,2000-08-16,72.65625,76.125,72.5625,73.3125,236867
158,2000-08-17,72.75,75.9375,72.375,74.625,76133
159,2000-08-18,75.75,78.0,72.375,74.4375,975367
160,2000-08-21,78.5625,78.75,73.875,78.375,209067
161,2000-08-22,78.9375,79.875,75.0,77.4375,140933
162,2000-08-23,76.875,76.875,74.625,76.125,80267
163,2000-08-24,75.5625,80.0625,75.375,79.6875,95567
164,2000-08-25,78.46875,80.25,77.25,79.125,50133
165,2000-08-28,78.9375,80.4375,78.0,79.3125,91400
166,2000-08-29,78.75,79.5,77.0625,77.8125,94133
167,2000-08-30,77.625,79.5,76.5,79.5,85433
168,2000-08-31,79.125,82.3125,78.0,78.5625,114867
169,2000-09-01,80.25,84.0,80.25,82.125,142733
170,2000-09-05,80.8125,85.875,78.9375,79.5,81033
171,2000-09-06,78.28125,80.0625,71.25,72.5625,175433
172,2000-09-07,72.0,75.5625,71.625,74.25,145433
173,2000-09-08,75.375,75.46875,66.9375,68.4375,145033
174,2000-09-11,67.5,68.8125,66.0,66.0,116133
175,2000-09-12,67.5,68.25,65.4375,66.75,81867
176,2000-09-13,64.5,70.875,61.5,70.125,93533
177,2000-09-14,67.125,72.0,67.125,68.0625,82467
178,2000-09-15,68.625,68.625,63.0,64.6875,107233
179,2000-09-18,60.1875,66.5625,60.0,63.0,98067
180,2000-09-19,62.71875,67.5,61.5,65.25,107733
181,2000-09-20,66.5625,66.75,62.25,65.25,69133
182,2000-09-21,63.9375,64.125,60.0,61.5,226867
183,2000-09-22,60.5625,60.5625,55.875,58.125,133567
184,2000-09-25,57.5625,59.625,54.0,54.0,187733
185,2000-09-26,56.15625,56.625,50.625,51.0,163800
186,2000-09-27,50.625,54.375,49.875,49.875,230533
187,2000-09-28,49.21875,54.0,48.75,51.375,159900
188,2000-09-29,51.1875,51.5625,48.75,49.5,82333
189,2000-10-02,50.34375,51.0,44.8125,45.1875,208367
190,2000-10-03,46.3125,49.5,46.125,49.171875,153633
191,2000-10-04,47.90625,51.1875,47.8125,51.1875,167467
192,2000-10-05,50.34375,50.8125,47.25,48.0,247267
193,2000-10-06,47.859375,48.0,44.25,45.0,401700
194,2000-10-09,45.328125,45.375,40.6875,44.8125,55467
195,2000-10-10,45.0,45.375,42.0,43.125,307933
196,2000-10-11,41.0625,42.375,39.0,39.5625,410867
197,2000-10-12,42.1875,42.1875,38.625,39.5625,190133
198,2000-10-13,38.953125,42.1875,38.625,40.5,83967
199,2000-10-16,42.75,43.5,41.625,42.1875,136733
