,Date,Open,High,Low,Close,Volume
0,2000-01-03,9.1875,9.25,9.0,9.125,62600
1,2000-01-04,9.1875,9.25,9.0,9.0625,17800
2,2000-01-05,9.0625,9.0625,8.875,8.9375,19700
3,2000-01-06,8.9375,8.9375,8.75,8.8125,12600
4,2000-01-07,8.9375,9.0,8.75,8.875,33300
5,2000-01-10,8.4375,8.875,8.4375,8.875,57700
6,2000-01-11,8.9375,9.3125,8.875,9.25,71200
7,2000-01-12,9.3125,9.375,9.25,9.3125,74100
8,2000-01-13,9.3125,9.5,9.1875,9.1875,65700
9,2000-01-14,9.3125,9.3125,9.1875,9.25,48300
10,2000-01-18,9.125,9.25,9.0625,9.25,38300
11,2000-01-19,9.125,9.25,9.125,9.1875,70800
12,2000-01-20,9.1875,9.25,9.0625,9.25,34800
13,2000-01-21,9.375,9.375,9.125,9.1875,52300
14,2000-01-24,9.125,9.25,9.0625,9.125,39800
15,2000-01-25,9.125,9.125,8.625,8.625,37500
16,2000-01-26,8.625,8.875,8.25,8.25,131700
17,2000-01-27,8.25,8.5,8.25,8.5,22100
18,2000-01-28,8.5,8.5,8.3125,8.3125,84200
19,2000-01-31,8.375,8.4375,8.25,8.375,27500
20,2000-02-01,8.5,8.5,8.3125,8.4375,22900
21,2000-02-02,8.375,8.375,8.125,8.125,39300
22,2000-02-03,8.1875,8.25,8.0,8.25,27800
23,2000-02-04,8.25,8.25,8.125,8.25,16000
24,2000-02-07,8.25,8.25,8.0,8.1875,30600
25,2000-02-08,8.0625,8.0625,7.875,8.0625,166700
26,2000-02-09,8.1875,9.25,8.0625,8.6875,72700
27,2000-02-10,9.25,10.125,9.25,9.9375,103100
28,2000-02-11,9.8125,9.875,9.625,9.75,40300
29,2000-02-14,10.375,10.375,9.5,9.5,95900
30,2000-02-15,9.5,10.0,9.5,9.9375,69100
31,2000-02-16,10.0625,10.0625,9.6875,9.6875,37100
32,2000-02-17,9.8125,10.25,9.75,10.125,60000
33,2000-02-18,10.25,10.375,9.875,10.0,34800
34,2000-02-22,10.25,10.25,9.875,9.875,64400
35,2000-02-23,10.125,10.125,9.6875,9.75,33400
36,2000-02-24,9.75,9.75,9.5,9.625,39700
37,2000-02-25,9.875,9.875,9.625,9.625,24400
38,2000-02-28,9.625,9.625,9.0,9.125,62700
39,2000-02-29,8.8125,9.1875,8.75,8.9375,58400
40,2000-03-01,8.875,9.125,8.8125,8.9375,56800
41,2000-03-02,9.0625,9.5,9.0,9.25,56100
42,2000-03-03,9.375,9.5,9.25,9.4375,26900
43,2000-03-06,9.375,9.375,9.25,9.3125,23300
44,2000-03-07,9.625,9.625,9.0,9.0625,64900
45,2000-03-08,9.625,9.6875,9.1875,9.25,76300
46,2000-03-09,9.25,9.25,8.875,9.1875,42000
47,2000-03-10,9.125,9.25,9.0,9.0625,26300
48,2000-03-13,9.1875,9.1875,9.0,9.0,8000
49,2000-03-14,9.125,9.125,8.75,8.8125,32300
50,2000-03-15,9.125,9.125,8.5,8.5,69700
51,2000-03-16,9.0,9.0,8.8125,8.9375,47700
52,2000-03-17,8.9375,9.0625,8.875,8.9375,48500
53,2000-03-20,8.8125,9.125,8.8125,8.9375,35400
54,2000-03-21,8.9375,8.9375,8.8125,8.8125,12000
55,2000-03-22,8.9375,9.0,8.875,8.9375,13600
56,2000-03-23,9.0,9.375,9.0,9.0625,29000
57,2000-03-24,8.9375,9.0,8.75,8.875,24900
58,2000-03-27,8.875,8.875,8.5,8.5,37200
59,2000-03-28,8.5625,8.5625,8.4375,8.4375,70500
60,2000-03-29,8.3125,8.4375,8.0625,8.0625,56000
61,2000-03-30,8.0,8.125,7.875,7.875,71200
62,2000-03-31,8.0,8.0625,7.9375,7.9375,46400
63,2000-04-03,8.0,8.25,7.9375,8.125,20600
64,2000-04-04,8.125,8.1875,7.875,7.9375,57700
65,2000-04-05,7.9375,7.9375,7.75,7.8125,129000
66,2000-04-06,8.0,8.125,7.8125,8.0,28700
67,2000-04-07,7.875,8.0625,7.875,8.0625,32600
68,2000-04-10,7.9375,8.0625,7.9375,8.0625,30100
69,2000-04-11,7.9375,7.9375,7.8125,7.875,32000
70,2000-04-12,7.8125,8.0,7.75,7.75,21100
71,2000-04-13,7.875,7.875,7.75,7.75,14500
72,2000-04-14,7.8125,7.8125,7.4375,7.5,52300
73,2000-04-17,7.5,7.5,7.25,7.5,86000
74,2000-04-18,7.625,7.625,7.25,7.5,34300
75,2000-04-19,7.375,7.625,7.1875,7.25,44900
76,2000-04-20,7.375,7.5,7.1875,7.1875,49600
77,2000-04-24,7.1875,7.25,7.1875,7.25,50200
78,2000-04-25,7.375,7.375,7.3125,7.375,20900
79,2000-04-26,7.5,7.5,7.3125,7.5,13700
80,2000-04-27,7.625,8.0,7.5,7.5,61100
81,2000-04-28,7.75,7.75,7.5,7.6875,36900
82,2000-05-01,7.5625,7.75,7.5625,7.75,2900
83,2000-05-02,8.0,8.0,7.6875,7.75,25000
84,2000-05-03,7.75,7.875,7.625,7.625,1200
85,2000-05-04,7.5625,7.875,7.375,7.625,38900
86,2000-05-05,7.75,7.75,7.5,7.625,38700
87,2000-05-08,7.75,7.75,7.5625,7.5625,41900
88,2000-05-09,7.875,7.875,7.5625,7.6875,27100
89,2000-05-10,7.5625,7.6875,7.5,7.5,17700
90,2000-05-11,7.625,7.625,7.25,7.4375,33900
91,2000-05-12,7.3125,7.375,7.3125,7.3125,5800
