,Date,Open,High,Low,Close,Volume
0,2000-01-03,9.5,9.53125,8.96875,9.3125,511400
1,2000-01-04,9.21875,9.4375,9.21875,9.25,260800
2,2000-01-05,9.3125,9.75,9.3125,9.625,3867200
3,2000-01-06,9.5,9.5625,9.40625,9.46875,563600
4,2000-01-07,9.59375,9.625,9.4375,9.5625,931200
5,2000-01-10,9.625,9.625,9.3125,9.40625,265400
6,2000-01-11,9.3125,9.5,9.28125,9.28125,145400
7,2000-01-12,9.28125,9.46875,9.21875,9.21875,253600
8,2000-01-13,9.28125,9.5,9.28125,9.4375,706200
9,2000-01-14,9.4375,9.46875,9.25,9.25,310200
10,2000-01-18,9.125,9.25,8.90625,9.15625,460200
11,2000-01-19,9.15625,9.25,9.09375,9.125,172800
12,2000-01-20,9.03125,9.21875,9.03125,9.15625,226400
13,2000-01-21,9.25,9.5,9.1875,9.40625,302600
14,2000-01-24,9.375,9.53125,9.3125,9.375,707800
15,2000-01-25,9.5,9.5,9.15625,9.25,347400
16,2000-01-26,9.28125,9.59375,9.25,9.59375,1341200
17,2000-01-27,9.625,9.78125,9.59375,9.75,323200
18,2000-01-28,9.6875,9.9375,9.65625,9.78125,672800
19,2000-01-31,9.90625,10.15625,9.6875,10.15625,550000
20,2000-02-01,10.0625,10.0625,9.90625,9.96875,321400
21,2000-02-02,10.0,10.375,10.0,10.1875,400800
22,2000-02-03,10.21875,10.4375,10.21875,10.4375,266400
23,2000-02-04,10.34375,10.375,10.03125,10.21875,431600
24,2000-02-07,10.21875,10.25,10.03125,10.03125,96800
25,2000-02-08,10.09375,10.15625,9.96875,9.96875,294600
26,2000-02-09,9.96875,10.0625,9.78125,9.9375,282400
27,2000-02-10,9.90625,10.0,9.78125,9.78125,212600
28,2000-02-11,9.875,9.875,9.65625,9.65625,298400
29,2000-02-14,9.78125,10.0,9.625,9.90625,309600
30,2000-02-15,9.84375,9.84375,9.71875,9.84375,328200
31,2000-02-16,9.8125,9.875,9.75,9.75,107000
32,2000-02-17,9.75,9.8125,9.46875,9.53125,272800
33,2000-02-18,9.53125,9.53125,9.375,9.46875,172000
34,2000-02-22,9.5,9.5625,9.3125,9.40625,145600
35,2000-02-23,9.4375,9.4375,9.125,9.1875,246600
36,2000-02-24,9.125,9.15625,8.78125,8.96875,416800
37,2000-02-25,8.96875,8.96875,8.78125,8.84375,198400
38,2000-02-28,8.8125,8.8125,8.53125,8.625,868400
39,2000-02-29,8.625,8.71875,8.5,8.59375,583600
40,2000-03-01,8.65625,8.6875,8.3125,8.5,310400
41,2000-03-02,8.59375,8.625,8.5,8.5625,265000
42,2000-03-03,8.625,8.65625,8.46875,8.53125,321600
43,2000-03-06,8.5,8.53125,8.25,8.28125,262000
44,2000-03-07,8.3125,8.5,8.28125,8.4375,544000
45,2000-03-08,8.53125,8.6875,8.46875,8.5,345200
46,2000-03-09,8.5,8.6875,8.5,8.5625,218800
47,2000-03-10,8.46875,8.625,8.28125,8.5,308200
48,2000-03-13,8.53125,8.59375,8.375,8.4375,158600
49,2000-03-14,8.4375,8.46875,8.28125,8.3125,239000
50,2000-03-15,8.5,8.90625,8.34375,8.8125,579200
51,2000-03-16,8.875,9.4375,8.84375,9.28125,393200
52,2000-03-17,9.15625,9.25,8.875,8.9375,405200
53,2000-03-20,9.03125,9.125,8.90625,8.9375,301000
54,2000-03-21,8.90625,8.96875,8.875,8.875,194400
55,2000-03-22,8.875,8.90625,8.5625,8.6875,258800
56,2000-03-23,8.5625,8.9375,8.53125,8.875,566200
57,2000-03-24,8.875,9.0,8.75,8.9375,551000
58,2000-03-27,8.9375,9.0625,8.9375,8.9375,446800
59,2000-03-28,9.0,9.0,8.75,8.84375,321600
60,2000-03-29,8.84375,9.0625,8.84375,9.03125,442400
61,2000-03-30,9.0,9.4375,9.0,9.4375,362400
62,2000-03-31,9.375,9.90625,9.28125,9.59375,1220400
63,2000-04-03,9.625,9.78125,9.53125,9.59375,409400
64,2000-04-04,9.59375,9.875,9.46875,9.59375,316800
65,2000-04-05,9.6875,10.09375,9.65625,9.96875,4377600
66,2000-04-06,9.84375,9.875,9.5,9.5625,1752400
67,2000-04-07,9.5625,9.625,9.5,9.53125,128000
68,2000-04-10,9.5625,9.75,9.5625,9.75,230000
69,2000-04-11,9.75,9.9375,9.625,9.8125,222600
70,2000-04-12,9.84375,9.9375,9.8125,9.84375,777600
71,2000-04-13,9.84375,10.09375,9.84375,9.96875,734800
72,2000-04-14,10.0,10.0,9.6875,9.75,305800
73,2000-04-17,9.75,9.84375,9.46875,9.84375,562800
74,2000-04-18,9.84375,9.9375,9.78125,9.875,317000
75,2000-04-19,9.8125,9.84375,9.5625,9.71875,345400
76,2000-04-20,9.71875,9.8125,9.6875,9.75,676800
77,2000-04-24,9.78125,9.90625,9.75,9.8125,400200
78,2000-04-25,9.875,9.96875,9.78125,9.9375,730000
79,2000-04-26,9.84375,10.28125,9.6875,10.25,2528400
80,2000-04-27,10.3125,10.3125,9.8125,9.96875,344200
81,2000-04-28,10.0625,10.0625,9.78125,9.90625,871600
82,2000-05-01,10.03125,10.03125,9.8125,9.84375,222200
83,2000-05-02,9.78125,9.8125,9.5,9.5625,328000
84,2000-05-03,9.53125,9.59375,9.34375,9.53125,948400
85,2000-05-04,9.59375,9.9375,9.5,9.8125,390200
86,2000-05-05,9.75,9.75,9.5,9.625,289800
87,2000-05-08,9.6875,10.15625,9.65625,9.96875,478600
88,2000-05-09,9.9375,10.15625,9.9375,10.15625,801600
89,2000-05-10,10.15625,10.28125,10.125,10.1875,384600
90,2000-05-11,10.21875,10.53125,10.125,10.46875,855200
91,2000-05-12,10.40625,10.46875,10.25,10.25,889800
92,2000-05-15,10.15625,10.4375,10.15625,10.4375,241200
93,2000-05-16,10.375,10.375,10.03125,10.15625,363600
94,2000-05-17,10.28125,10.28125,10.0,10.09375,622600
95,2000-05-18,10.0625,10.625,10.0625,10.3125,1504200
96,2000-05-19,10.1875,10.28125,10.0625,10.21875,291200
97,2000-05-22,10.21875,10.59375,10.1875,10.53125,496400
98,2000-05-23,10.53125,10.53125,10.21875,10.28125,354000
99,2000-05-24,10.3125,10.375,10.03125,10.03125,1094800
100,2000-05-25,10.09375,10.09375,9.8125,9.84375,281400
101,2000-05-26,9.90625,10.28125,9.875,10.25,546800
102,2000-05-30,10.0625,10.0625,9.625,9.625,3188200
103,2000-05-31,9.75,9.875,9.75,9.75,461200
104,2000-06-01,9.78125,9.8125,9.625,9.71875,742600
105,2000-06-02,9.71875,9.84375,9.5625,9.65625,349200
106,2000-06-05,9.65625,9.65625,9.15625,9.28125,1018800
107,2000-06-06,9.25,9.59375,9.25,9.4375,405400
108,2000-06-07,9.4375,9.53125,9.34375,9.375,539600
109,2000-06-08,9.34375,9.34375,9.25,9.25,352200
110,2000-06-09,9.28125,9.65625,9.28125,9.625,801600
111,2000-06-12,9.6875,9.90625,9.5,9.90625,287800
112,2000-06-13,9.78125,9.84375,9.59375,9.6875,510000
113,2000-06-14,9.625,9.625,9.53125,9.53125,348400
114,2000-06-15,9.53125,9.8125,9.53125,9.75,316600
115,2000-06-16,9.8125,9.96875,9.71875,9.875,707800
116,2000-06-19,9.8125,9.90625,9.71875,9.8125,522400
117,2000-06-20,9.8125,9.96875,9.6875,9.9375,691800
118,2000-06-21,9.9375,10.0625,9.9375,9.96875,751600
119,2000-06-22,10.0,10.0,9.5625,9.71875,450400
120,2000-06-23,9.75,9.875,9.71875,9.78125,235400
121,2000-06-26,9.8125,9.9375,9.75,9.9375,299600
122,2000-06-27,9.9375,9.96875,9.53125,9.6875,315400
123,2000-06-28,9.8125,10.03125,9.625,9.96875,785000
124,2000-06-29,10.03125,10.21875,9.9375,10.0,953800
125,2000-06-30,10.03125,10.1875,9.242188,9.25,2496800
126,2000-07-03,9.4375,9.84375,9.4375,9.78125,615600
127,2000-07-05,9.75,10.0,9.59375,9.71875,4595200
128,2000-07-06,9.5,9.75,9.5,9.71875,281000
129,2000-07-07,9.71875,9.8125,9.6875,9.6875,429200
130,2000-07-10,9.6875,9.9375,9.6875,9.9375,442800
131,2000-07-11,9.90625,9.90625,9.625,9.75,303400
132,2000-07-12,9.65625,9.84375,9.65625,9.8125,249400
133,2000-07-13,9.8125,9.8125,9.75,9.8125,142600
134,2000-07-14,9.75,9.90625,9.75,9.8125,205400
135,2000-07-17,9.75,9.8125,9.6875,9.78125,160600
136,2000-07-18,9.75,9.84375,9.71875,9.8125,201800
137,2000-07-19,9.875,10.03125,9.84375,9.90625,259400
138,2000-07-20,9.84375,10.0,9.84375,9.96875,268600
139,2000-07-21,9.9375,10.03125,9.625,9.8125,720000
140,2000-07-24,9.625,9.65625,9.375,9.46875,874800
141,2000-07-25,9.53125,9.75,9.53125,9.75,364600
142,2000-07-26,9.71875,9.78125,9.59375,9.6875,344400
143,2000-07-27,9.6875,9.8125,9.5625,9.59375,314600
144,2000-07-28,9.59375,9.6875,9.53125,9.59375,845400
145,2000-07-31,9.59375,9.59375,9.4375,9.5,360400
146,2000-08-01,9.5,9.6875,9.5,9.65625,225800
147,2000-08-02,9.65625,9.84375,9.625,9.78125,429000
148,2000-08-03,9.84375,10.25,9.8125,10.070313,458600
149,2000-08-04,10.21875,10.21875,9.84375,10.03125,225800
150,2000-08-07,10.0,10.25,10.0,10.226563,314800
151,2000-08-08,10.21875,10.28125,10.125,10.25,253200
152,2000-08-09,10.21875,10.25,10.0625,10.125,171200
153,2000-08-10,10.125,10.125,10.0625,10.070313,187800
154,2000-08-11,10.0625,10.5625,10.0625,10.4375,388400
