,Date,Open,High,Low,Close,Volume
0,2000-01-03,13.0,13.0625,12.5625,12.5625,111500
1,2000-01-04,12.5,12.9375,12.5,12.625,100700
2,2000-01-05,12.75,13.4375,12.375,12.5625,182100
3,2000-01-06,12.8125,13.375,12.8125,13.3125,178800
4,2000-01-07,13.6875,13.875,12.4375,12.4375,293500
5,2000-01-10,12.5625,12.875,12.5,12.8125,120200
6,2000-01-11,12.875,12.9375,12.5,12.5625,125800
7,2000-01-12,12.5625,12.875,12.5625,12.6875,62000
8,2000-01-13,12.625,12.875,12.4375,12.6875,144500
9,2000-01-14,12.6875,12.6875,12.3125,12.375,92100
10,2000-01-18,12.25,12.375,11.6875,11.8125,134000
11,2000-01-19,11.6875,11.75,10.0,10.25,272200
12,2000-01-20,10.25,10.3125,9.625,9.9375,183800
13,2000-01-21,10.0,11.375,9.1875,10.875,296300
14,2000-01-24,11.375,11.375,10.5625,10.75,238900
15,2000-01-25,10.875,10.875,9.8125,10.1875,189600
16,2000-01-26,9.8125,9.875,9.1875,9.875,180100
17,2000-01-27,9.8125,9.875,9.375,9.6875,125500
18,2000-01-28,9.5625,9.5625,9.0625,9.1875,107000
19,2000-01-31,8.875,8.875,7.125,7.75,280600
20,2000-02-01,8.0,8.75,7.75,8.5,114300
21,2000-02-02,8.125,8.4375,7.625,8.0,204900
22,2000-02-03,7.875,7.9375,7.25,7.3125,160900
23,2000-02-04,7.25,7.4375,7.0625,7.125,165300
24,2000-02-07,7.1875,7.1875,6.5625,7.0,262500
25,2000-02-08,7.0,7.0,6.5,6.75,198900
26,2000-02-09,6.6875,6.75,5.75,5.8125,833300
27,2000-02-10,5.9375,6.0,5.6875,5.9375,342400
28,2000-02-11,6.0,6.0625,5.75,5.875,193000
29,2000-02-14,5.8125,6.8125,5.8125,6.625,477700
30,2000-02-15,7.0,7.5,6.625,6.75,309800
31,2000-02-16,6.6875,6.9375,6.6875,6.8125,91800
32,2000-02-17,6.9375,6.9375,6.625,6.625,94100
33,2000-02-18,6.6875,6.75,6.5,6.5,56400
34,2000-02-22,6.75,6.8125,6.5,6.5,102200
35,2000-02-23,6.5,6.75,6.4375,6.5,96000
36,2000-02-24,6.375,6.375,6.0,6.1875,247600
37,2000-02-25,6.3125,6.3125,6.0625,6.125,107500
38,2000-02-28,6.25,6.25,6.0625,6.1875,97200
39,2000-02-29,6.1875,6.1875,5.9375,6.125,118600
40,2000-03-01,6.0,6.25,5.9375,6.1875,100000
41,2000-03-02,6.1875,6.25,6.0625,6.1875,79400
42,2000-03-03,6.1875,6.25,6.0,6.125,120700
43,2000-03-06,6.125,6.25,6.0625,6.125,80100
44,2000-03-07,6.0625,6.125,6.0,6.0625,107000
45,2000-03-08,6.0625,6.125,5.9375,6.0625,71300
46,2000-03-09,5.9375,6.0625,5.875,6.0625,104600
47,2000-03-10,6.0,6.1875,6.0,6.1875,56300
48,2000-03-13,6.3125,8.375,6.125,7.625,257600
49,2000-03-14,8.125,9.125,7.75,9.0625,313800
50,2000-03-15,9.0,9.0,8.625,8.8125,84600
51,2000-03-16,8.9375,10.0,8.0,10.0,150100
52,2000-03-17,10.0,10.3125,9.5,9.625,192500
53,2000-03-20,8.6875,8.75,7.75,8.75,145900
54,2000-03-21,8.625,9.125,8.4375,9.125,33300
55,2000-03-22,9.0,9.5,8.9375,9.5,112400
56,2000-03-23,9.4375,9.5,9.1875,9.375,113600
57,2000-03-24,9.3125,9.4375,9.0,9.0,56500
58,2000-03-27,9.0,9.25,8.9375,9.0,52900
59,2000-03-28,8.875,9.3125,8.6875,9.3125,89400
60,2000-03-29,9.4375,9.4375,9.25,9.25,34400
61,2000-03-30,9.3125,9.4375,9.0,9.0,34400
62,2000-03-31,8.9375,9.1875,6.25,6.3125,215100
63,2000-04-03,6.4375,6.5,6.125,6.4375,200400
64,2000-04-04,6.4375,6.5625,6.125,6.5,165700
65,2000-04-05,6.5625,7.875,6.3125,7.5,100300
66,2000-04-06,7.375,7.5,7.0625,7.0625,185500
67,2000-04-07,7.1875,7.1875,6.6875,6.6875,60800
68,2000-04-10,6.6875,6.6875,6.4375,6.4375,67100
69,2000-04-11,6.5,6.75,6.5,6.5625,65200
70,2000-04-12,6.625,6.75,6.5,6.6875,120800
71,2000-04-13,6.75,6.8125,6.5,6.625,79600
72,2000-04-14,6.625,6.625,6.4375,6.5,67000
73,2000-04-17,6.4375,6.4375,6.25,6.25,57800
74,2000-04-18,6.25,6.3125,6.0,6.125,88100
75,2000-04-19,6.1875,6.4375,6.125,6.4375,45500
76,2000-04-20,6.4375,6.5,6.25,6.5,40800
77,2000-04-24,6.25,6.9375,6.1875,6.9375,103200
78,2000-04-25,6.9375,6.9375,6.0,6.5,179200
79,2000-04-26,6.5,6.5,6.1875,6.375,61000
80,2000-04-27,6.25,6.4375,6.25,6.25,64700
81,2000-04-28,6.25,6.375,6.0625,6.125,50100
82,2000-05-01,6.1875,6.1875,5.75,5.75,143400
83,2000-05-02,5.625,5.625,5.125,5.125,284100
84,2000-05-03,5.1875,5.75,4.875,5.375,331700
85,2000-05-04,5.25,5.3125,5.0,5.25,113300
86,2000-05-05,5.1875,5.75,5.0,5.5625,100000
87,2000-05-08,5.5625,5.6875,5.3125,5.5625,50400
88,2000-05-09,5.625,5.875,5.375,5.4375,90300
89,2000-05-10,5.3125,5.5,5.0625,5.5,65300
90,2000-05-11,5.4375,5.4375,5.125,5.1875,67200
91,2000-05-12,6.375,6.8125,6.25,6.375,526800
92,2000-05-15,6.375,6.4375,6.1875,6.25,110100
93,2000-05-16,6.125,6.1875,5.8125,5.875,121500
94,2000-05-17,5.75,5.875,5.75,5.75,105400
95,2000-05-18,5.5625,5.625,5.5,5.5,81500
96,2000-05-19,5.5,5.5625,5.25,5.375,142700
97,2000-05-22,5.3125,5.3125,5.0,5.0,144100
98,2000-05-23,5.0,5.125,5.0,5.0,123600
99,2000-05-24,5.0,5.0625,4.8125,4.8125,116300
100,2000-05-25,4.875,5.0625,4.75,5.0,87900
101,2000-05-26,5.0,5.0625,4.75,5.0,73400
102,2000-05-30,4.9375,5.125,4.8125,4.875,67800
103,2000-05-31,4.875,4.875,4.75,4.8125,41000
104,2000-06-01,4.6875,4.8125,4.5,4.75,159200
105,2000-06-02,4.8125,5.0625,4.75,5.0625,142000
106,2000-06-05,5.0,5.375,5.0,5.25,108400
107,2000-06-06,5.1875,5.25,5.0,5.0625,78200
108,2000-06-07,5.0625,5.1875,5.0625,5.0625,74700
109,2000-06-08,5.125,5.1875,4.9375,4.9375,66500
110,2000-06-09,4.9375,5.125,4.875,5.125,60200
111,2000-06-12,5.125,5.125,4.875,4.875,48300
112,2000-06-13,4.875,5.0,4.875,4.9375,40000
113,2000-06-14,4.875,5.1875,4.875,5.1875,74900
114,2000-06-15,5.1875,5.3125,5.0625,5.125,100100
115,2000-06-16,5.125,5.25,5.0625,5.125,62000
116,2000-06-19,5.125,5.3125,5.125,5.3125,62500
117,2000-06-20,5.25,5.25,5.125,5.125,40300
118,2000-06-21,5.0,5.1875,5.0,5.125,69700
119,2000-06-22,5.125,5.25,5.0625,5.125,73300
120,2000-06-23,5.125,5.1875,5.0625,5.125,45100
121,2000-06-26,5.0625,5.125,5.0625,5.0625,28300
122,2000-06-27,5.1875,5.1875,4.75,4.75,112600
123,2000-06-28,4.75,4.875,4.75,4.8125,65500
124,2000-06-29,4.8125,4.875,4.5625,4.625,81400
125,2000-06-30,4.625,4.875,4.5,4.515625,403500
126,2000-07-03,4.5,4.6875,4.375,4.625,57600
127,2000-07-05,4.625,4.75,4.5,4.75,164400
128,2000-07-06,4.625,4.625,4.5,4.5625,49800
129,2000-07-07,4.625,4.6875,4.5625,4.6875,70100
130,2000-07-10,4.6875,4.75,4.625,4.625,112800
131,2000-07-11,4.625,5.1875,4.625,5.0625,117100
132,2000-07-12,5.125,5.5625,5.125,5.375,181600
133,2000-07-13,5.3125,5.5625,5.3125,5.375,54300
134,2000-07-14,5.5,5.875,5.3125,5.375,89500
135,2000-07-17,5.75,5.75,5.375,5.375,92300
136,2000-07-18,5.375,5.75,5.375,5.6875,105500
137,2000-07-19,5.625,6.25,5.625,6.0,143800
138,2000-07-20,6.125,6.25,5.6875,5.6875,135100
139,2000-07-21,5.75,6.125,5.625,5.6875,121900
140,2000-07-24,5.625,5.8125,5.625,5.8125,82800
141,2000-07-25,5.625,5.625,5.5,5.5,62500
142,2000-07-26,5.625,5.625,5.25,5.5,111600
143,2000-07-27,5.4375,5.4375,5.0,5.1875,97800
144,2000-07-28,5.1875,5.8125,5.125,5.75,173400
145,2000-07-31,5.8125,6.25,5.8125,6.25,105500
146,2000-08-01,6.25,6.375,6.125,6.25,143400
147,2000-08-02,6.25,6.75,6.0,6.6875,114800
148,2000-08-03,6.1875,6.3125,6.125,6.25,28000
149,2000-08-04,6.1875,6.5,6.1875,6.4375,60200
150,2000-08-07,6.375,6.5,6.3125,6.375,33900
151,2000-08-08,6.25,6.4375,6.0625,6.375,32900
152,2000-08-09,6.3125,6.4375,6.3125,6.3125,28600
153,2000-08-10,6.375,6.5,6.0625,6.1875,42500
154,2000-08-11,6.125,6.3125,6.125,6.25,32800
155,2000-08-14,6.3125,6.375,6.125,6.25,54400
156,2000-08-15,6.375,6.4375,6.125,6.25,60800
157,2000-08-16,6.3125,6.4375,6.25,6.375,42600
158,2000-08-17,6.375,6.375,6.1875,6.375,50600
159,2000-08-18,6.25,6.25,5.9375,5.9375,176300
160,2000-08-21,6.0,6.0,5.875,5.9375,32100
161,2000-08-22,5.875,5.9375,5.5625,5.8125,81600
162,2000-08-23,5.75,5.8125,5.75,5.75,27600
163,2000-08-24,5.875,6.0625,5.6875,6.0625,50300
164,2000-08-25,6.0,6.0,5.75,5.875,24100
165,2000-08-28,5.8125,6.0625,5.75,5.9375,33200
166,2000-08-29,5.8125,6.0625,5.75,6.0625,35500
167,2000-08-30,6.0,6.125,6.0,6.0,26400
168,2000-08-31,6.0,6.1875,6.0,6.0625,35000
169,2000-09-01,6.125,6.125,5.9375,5.9375,25500
170,2000-09-05,5.9375,6.1875,5.875,6.1875,50300
171,2000-09-06,6.0625,6.1875,5.9375,6.0,27000
172,2000-09-07,6.1875,6.1875,6.0,6.0625,33900
173,2000-09-08,6.0,6.125,6.0,6.0,32500
174,2000-09-11,6.0,6.0625,6.0,6.0625,23600
175,2000-09-12,6.0,6.1875,6.0,6.0625,32900
176,2000-09-13,6.125,6.1875,6.0625,6.125,19700
177,2000-09-14,6.1875,6.4375,6.125,6.4375,45900
178,2000-09-15,6.375,6.6875,6.375,6.375,83300
179,2000-09-18,6.4375,6.5,6.0625,6.0625,47900
180,2000-09-19,6.0,6.25,6.0,6.125,21900
181,2000-09-20,6.0625,6.1875,6.0,6.125,46700
182,2000-09-21,6.0625,6.1875,6.0625,6.125,17900
183,2000-09-22,6.125,6.1875,6.125,6.1875,40400
184,2000-09-25,6.1875,6.25,6.125,6.1875,63200
185,2000-09-26,6.1875,6.25,6.0625,6.125,29300
186,2000-09-27,6.25,6.25,6.0625,6.1875,40900
187,2000-09-28,6.1875,6.25,6.0625,6.1875,47900
188,2000-09-29,6.125,6.1875,6.0625,6.1875,39900
189,2000-10-02,6.125,6.1875,6.0625,6.125,31900
190,2000-10-03,6.1875,6.25,6.1875,6.25,50600
191,2000-10-04,6.1875,6.25,6.125,6.125,20800
192,2000-10-05,6.125,6.25,6.0625,6.0625,40300
193,2000-10-06,6.125,6.125,5.875,6.125,88500
194,2000-10-09,6.125,6.125,5.9375,5.9375,74300
195,2000-10-10,5.9375,6.0,5.75,5.8125,123700
196,2000-10-11,5.8125,5.875,5.5625,5.8125,42200
197,2000-10-12,5.6875,5.8125,5.5,5.75,31400
198,2000-10-13,5.75,5.9375,5.75,5.9375,42800
199,2000-10-16,5.875,5.9375,5.625,5.75,116600
200,2000-10-17,5.6875,5.875,5.625,5.6875,169000
201,2000-10-18,5.625,5.75,5.5,5.625,234100
202,2000-10-19,5.625,5.9375,5.625,5.75,40800
203,2000-10-20,5.75,5.8125,5.5625,5.75,53100
204,2000-10-23,5.6875,5.8125,5.625,5.6875,123400
205,2000-10-24,5.6875,5.75,5.5625,5.5625,54000
206,2000-10-25,5.5625,5.625,5.5,5.625,102300
207,2000-10-26,5.5625,5.5625,5.375,5.5625,65200
208,2000-10-27,5.5,5.625,5.375,5.5,44600
209,2000-10-30,5.5,5.5625,5.25,5.4375,111200
210,2000-10-31,5.375,5.75,5.375,5.75,186800
211,2000-11-01,5.625,5.625,5.3125,5.4375,25900
212,2000-11-02,5.4375,5.5,5.4375,5.4375,25200
213,2000-11-03,5.3125,5.375,5.1875,5.375,27300
214,2000-11-06,5.375,5.375,5.3125,5.375,28400
215,2000-11-07,5.25,5.3125,5.0625,5.3125,34300
216,2000-11-08,5.3125,5.3125,5.25,5.25,19900
217,2000-11-09,5.25,5.25,5.0,5.125,79700
218,2000-11-10,5.125,5.25,5.0625,5.125,34600
219,2000-11-13,5.0625,5.25,5.0625,5.1875,30600
220,2000-11-14,5.1875,5.3125,5.0625,5.125,68900
221,2000-11-15,5.3125,5.3125,5.25,5.3125,33100
222,2000-11-16,5.375,5.5,5.0,5.1875,266400
223,2000-11-17,5.1875,5.25,5.0625,5.125,25800
224,2000-11-20,5.125,5.125,4.75,4.8125,243600
225,2000-11-21,4.6875,5.0,4.625,4.875,159600
226,2000-11-22,4.75,4.875,4.3125,4.875,175700
227,2000-11-24,4.8125,4.8125,4.625,4.75,20200
228,2000-11-27,4.6875,4.75,4.25,4.625,65200
229,2000-11-28,4.5,4.6875,4.1875,4.375,104600
230,2000-11-29,4.25,4.375,3.75,4.0625,143100
231,2000-11-30,3.8125,4.0625,3.75,3.9375,98400
232,2000-12-01,4.0,4.0,3.8125,3.9375,64900
233,2000-12-04,3.875,3.875,3.625,3.875,103500
234,2000-12-05,3.8125,4.0,3.375,4.0,121800
235,2000-12-06,3.9375,3.9375,3.5625,3.9375,44600
236,2000-12-07,3.875,4.125,3.6875,4.0,96200
237,2000-12-08,3.875,4.0,3.75,4.0,478600
238,2000-12-11,3.9375,4.0,3.75,3.875,85000
239,2000-12-12,3.8125,3.9375,3.6875,3.875,78200
240,2000-12-13,3.75,3.9375,3.625,3.9375,75800
241,2000-12-14,3.875,3.9375,3.6875,3.9375,44600
242,2000-12-15,3.75,3.9375,3.5625,3.875,94400
243,2000-12-18,3.875,3.875,3.625,3.8125,118800
244,2000-12-19,3.875,3.875,3.5625,3.875,141800
245,2000-12-20,3.8125,3.8125,3.5625,3.75,82500
246,2000-12-21,3.6875,3.6875,3.5,3.5625,95600
247,2000-12-22,3.5,3.625,3.25,3.625,472000
248,2000-12-26,3.4375,3.5,3.0625,3.5,256500
249,2000-12-27,3.5,3.5,3.125,3.375,132200
250,2000-12-28,3.3125,3.375,3.0625,3.375,299500
251,2000-12-29,3.25,3.8125,3.125,3.75,270600
252,2001-01-02,3.75,3.8125,3.6875,3.8125,54200
253,2001-01-03,3.875,4.0,3.8125,4.0,74400
254,2001-01-04,4.0,4.375,4.0,4.25,118100
255,2001-01-05,4.3125,4.3125,4.0,4.1875,48700
256,2001-01-08,4.25,4.25,4.1875,4.1875,31900
257,2001-01-09,3.9375,4.125,3.9375,4.0,75500
258,2001-01-10,4.0625,4.0625,3.875,4.0,73100
259,2001-01-11,3.9375,4.125,3.875,4.0625,44400
260,2001-01-12,4.0625,4.125,3.9375,4.125,147800
261,2001-01-16,4.0625,4.1875,4.0,4.1875,40800
262,2001-01-17,4.125,4.375,4.0625,4.375,27900
263,2001-01-18,4.375,4.4375,4.25,4.375,51900
264,2001-01-19,4.375,4.375,4.25,4.375,67700
265,2001-01-22,4.3125,4.375,4.25,4.375,35200
266,2001-01-23,4.375,4.375,4.3125,4.375,35600
267,2001-01-24,4.375,4.4375,4.25,4.3125,38900
268,2001-01-25,4.3125,4.4375,4.3125,4.3125,73300
269,2001-01-26,4.375,4.5,4.3125,4.5,97300
270,2001-01-29,4.5,4.69,4.5,4.57,71800
271,2001-01-30,4.6,4.72,4.3,4.5,52200
272,2001-01-31,4.26,4.54,4.26,4.52,127900
273,2001-02-01,4.22,4.4,2.81,2.98,966500
274,2001-02-02,2.92,3.06,2.55,2.69,591500
275,2001-02-05,2.55,2.59,2.25,2.4,334100
276,2001-02-06,2.3,2.3,2.02,2.29,254600
277,2001-02-07,2.1,2.24,2.07,2.2,174300
278,2001-02-08,2.2,2.4,2.15,2.38,139200
279,2001-02-09,2.45,2.59,2.36,2.55,149400
280,2001-02-12,2.55,2.55,2.25,2.42,84400
281,2001-02-13,2.32,2.45,2.3,2.35,86300
282,2001-02-14,2.35,2.4,2.1,2.34,80400
283,2001-02-15,2.34,2.4,2.3,2.39,35900
284,2001-02-16,2.35,2.35,2.25,2.35,55400
285,2001-02-20,2.3,2.4,2.1,2.4,55400
286,2001-02-21,2.08,2.46,2.08,2.46,87200
287,2001-02-22,2.4,2.4,2.16,2.36,63800
288,2001-02-23,2.3,2.36,2.16,2.36,30000
289,2001-02-26,2.2,2.34,2.2,2.34,29300
290,2001-02-27,2.3,2.37,2.16,2.26,49200
291,2001-02-28,2.17,2.3,2.13,2.3,61600
292,2001-03-01,2.12,2.25,2.12,2.2,49900
293,2001-03-02,2.18,2.34,2.17,2.18,36700
294,2001-03-05,2.07,2.24,2.07,2.24,39200
295,2001-03-06,2.2,2.2,2.15,2.2,16700
296,2001-03-07,2.2,2.21,2.15,2.2,21200
297,2001-03-08,2.2,2.22,2.17,2.2,19800
298,2001-03-09,2.15,2.17,2.14,2.16,49300
299,2001-03-12,2.11,2.2,2.1,2.15,60500
300,2001-03-13,2.1,2.15,2.08,2.08,32700
301,2001-03-14,2.13,2.14,2.06,2.08,50200
302,2001-03-15,2.06,2.1,2.06,2.1,27200
303,2001-03-16,2.06,2.06,2.01,2.06,27800
304,2001-03-19,2.06,2.06,2.0,2.05,35800
305,2001-03-20,2.0,2.05,2.0,2.05,30000
306,2001-03-21,1.95,2.03,1.95,2.0,40200
307,2001-03-22,1.95,2.03,1.89,2.03,46100
308,2001-03-23,2.05,2.2,2.0,2.17,30300
309,2001-03-26,2.12,2.15,1.97,2.15,54400
310,2001-03-27,2.1,2.11,1.82,2.1,88200
311,2001-03-28,2.05,2.12,1.9,2.1,48000
312,2001-03-29,2.13,2.13,1.95,1.95,59100
313,2001-03-30,2.0,2.15,1.75,2.15,228800
314,2001-04-02,2.18,2.18,2.05,2.08,35200
315,2001-04-03,2.05,2.08,2.03,2.08,28500
316,2001-04-04,2.05,2.05,1.83,2.0,64300
317,2001-04-05,1.95,1.98,1.88,1.98,44200
318,2001-04-06,1.95,1.97,1.88,1.95,59400
319,2001-04-09,1.8,1.9,1.78,1.9,41400
320,2001-04-10,1.89,1.95,1.89,1.95,37600
321,2001-04-11,1.7,1.96,1.7,1.96,60000
322,2001-04-12,1.9,1.95,1.78,1.93,47000
323,2001-04-16,1.9,1.93,1.9,1.93,15300
324,2001-04-17,1.83,1.89,1.8,1.89,24300
325,2001-04-18,1.82,1.89,1.78,1.82,49400
326,2001-04-19,1.78,1.84,1.71,1.8,38700
327,2001-04-20,1.8,1.8,1.6,1.72,64300
328,2001-04-23,1.62,1.75,1.58,1.6,49700
329,2001-04-24,1.6,1.73,1.55,1.59,42700
330,2001-04-25,1.56,1.74,1.48,1.68,99100
331,2001-04-26,1.4,1.65,1.4,1.55,68600
332,2001-04-27,1.35,1.6,1.35,1.6,44200
333,2001-04-30,1.5,1.74,1.42,1.74,65700
334,2001-05-01,1.61,1.7,1.56,1.61,67100
335,2001-05-02,1.51,1.59,1.5,1.54,32400
336,2001-05-03,1.5,1.59,1.5,1.55,23000
337,2001-05-04,1.54,1.59,1.42,1.56,27300
338,2001-05-07,1.5,1.58,1.5,1.51,18700
339,2001-05-08,1.51,1.55,1.51,1.52,32700
340,2001-05-09,1.55,1.55,1.5,1.52,21100
341,2001-05-10,1.54,1.54,1.49,1.52,71100
342,2001-05-11,1.49,1.55,1.49,1.53,34500
343,2001-05-14,1.53,1.56,1.53,1.55,72800
344,2001-05-15,1.6,1.72,1.6,1.68,106300
345,2001-05-16,1.58,1.74,1.58,1.74,95700
346,2001-05-17,1.73,1.86,1.69,1.86,99100
347,2001-05-18,1.76,1.94,1.76,1.94,139600
348,2001-05-21,1.98,2.01,1.95,2.01,113300
349,2001-05-22,2.02,2.58,2.0,2.41,261800
350,2001-05-23,2.53,2.53,2.42,2.47,100200
351,2001-05-24,2.47,2.5,2.39,2.45,37100
352,2001-05-25,2.45,2.45,2.25,2.28,43000
353,2001-05-29,2.2,2.33,2.1,2.2,30400
354,2001-05-30,2.15,2.15,2.05,2.1,30200
355,2001-05-31,2.1,2.2,2.1,2.2,20200
356,2001-06-01,2.15,2.15,2.07,2.11,18100
357,2001-06-04,2.1,2.2,2.06,2.06,37800
358,2001-06-05,2.1,2.2,2.05,2.1,23400
359,2001-06-06,2.05,2.3,2.05,2.2,35600
360,2001-06-07,2.35,2.35,2.15,2.17,49900
361,2001-06-08,2.18,2.23,2.18,2.2,35000
362,2001-06-11,2.3,2.38,2.25,2.32,48600
363,2001-06-12,2.51,2.51,2.32,2.44,92900
364,2001-06-13,2.45,2.95,2.41,2.85,205600
365,2001-06-14,2.95,3.38,2.95,3.24,280800
366,2001-06-15,3.25,3.39,3.12,3.15,148900
367,2001-06-18,3.05,3.08,2.95,3.08,74900
368,2001-06-19,3.15,3.21,3.14,3.14,43300
369,2001-06-20,3.15,3.16,3.1,3.1,45500
370,2001-06-21,3.1,3.14,3.1,3.11,34200
371,2001-06-22,3.12,3.12,3.01,3.1,254900
372,2001-06-25,3.05,3.1,2.91,2.94,31000
373,2001-06-26,2.9,2.94,2.76,2.9,16900
374,2001-06-27,2.95,2.98,2.81,2.98,8700
375,2001-06-28,2.95,3.0,2.9,2.99,20100
376,2001-06-29,2.9,3.0,2.9,3.0,14400
377,2001-07-02,2.91,3.1,2.91,3.1,26800
378,2001-07-03,3.0,3.15,3.0,3.07,13500
379,2001-07-05,3.02,3.06,2.93,3.0,10100
380,2001-07-06,2.92,3.02,2.92,2.96,14700
381,2001-07-09,2.96,3.0,2.84,2.9,24500
382,2001-07-10,2.85,2.91,2.8,2.88,36900
383,2001-07-11,2.99,3.03,2.81,3.03,28000
384,2001-07-12,3.04,3.04,2.91,2.91,33200
385,2001-07-13,2.92,2.92,2.81,2.88,22900
386,2001-07-16,2.82,2.95,2.8,2.85,13400
