,Date,Open,High,Low,Close,Volume
0,2000-01-03,5.526615,5.526615,5.389818,5.430857,921527
1,2000-01-04,5.403498,5.471896,5.335099,5.362458,403425
2,2000-01-05,5.403498,5.444537,5.362458,5.417177,1007877
3,2000-01-06,5.430857,5.499256,5.376138,5.417177,570643
4,2000-01-07,5.444537,5.622373,5.444537,5.622373,468759
5,2000-01-10,5.608694,5.649733,5.581334,5.608694,385150
6,2000-01-11,5.595014,5.636053,5.540295,5.540295,394287
7,2000-01-12,5.581334,5.690772,5.581334,5.677092,704509
8,2000-01-13,5.677092,5.81389,5.677092,5.80021,490689
9,2000-01-14,5.78653,5.854929,5.663413,5.745491,418045
10,2000-01-18,5.690772,5.745491,5.636053,5.649733,262706
11,2000-01-19,5.690772,5.78653,5.690772,5.718132,287378
12,2000-01-20,5.745491,5.772851,5.690772,5.759171,224328
13,2000-01-21,5.759171,6.060125,5.718132,6.032766,425355
14,2000-01-24,6.032766,6.183243,5.978047,6.032766,572928
15,2000-01-25,6.032766,6.128524,5.923328,5.923328,339462
16,2000-01-26,5.978047,6.060125,5.895968,5.909648,319816
17,2000-01-27,5.841249,5.854929,5.704452,5.704452,243060
18,2000-01-28,5.704452,5.772851,5.677092,5.704452,263163
19,2000-01-31,5.718132,5.81389,5.581334,5.718132,344031
20,2000-02-01,5.690772,5.80021,5.526615,5.745491,258594
21,2000-02-02,5.80021,5.841249,5.718132,5.80021,294231
22,2000-02-03,5.772851,5.841249,5.608694,5.80021,270930
23,2000-02-04,5.80021,5.80021,5.581334,5.649733,270473
24,2000-02-07,5.649733,5.649733,5.512936,5.526615,506223
25,2000-02-08,5.526615,5.526615,5.2667,5.444537,938432
26,2000-02-09,5.389818,5.444537,5.29406,5.348779,564247
27,2000-02-10,5.321419,5.444537,5.321419,5.403498,214277
28,2000-02-11,5.362458,5.417177,5.143583,5.198302,421243
29,2000-02-14,5.25302,5.389818,5.129903,5.321419,276412
30,2000-02-15,5.335099,5.471896,5.335099,5.444537,467845
31,2000-02-16,5.444537,5.458217,5.2667,5.29406,397029
32,2000-02-17,5.321419,5.430857,5.307739,5.321419,267732
33,2000-02-18,5.321419,5.335099,5.239341,5.239341,293317
34,2000-02-22,5.211981,5.211981,5.061504,5.143583,195545
35,2000-02-23,5.143583,5.143583,5.034145,5.075184,151684
36,2000-02-24,5.034145,5.075184,4.856308,4.911027,483379
37,2000-02-25,4.911027,4.979426,4.76055,4.76055,402968
38,2000-02-28,4.787909,4.924707,4.77423,4.897347,313877
39,2000-02-29,4.856308,4.993105,4.842628,4.965746,329410
40,2000-03-01,4.965746,5.034145,4.965746,5.034145,402054
41,2000-03-02,4.993105,5.061504,4.965746,4.979426,568816
42,2000-03-03,4.952066,5.061504,4.883667,4.993105,364133
43,2000-03-06,4.965746,4.979426,4.897347,4.924707,257223
44,2000-03-07,4.938386,5.102543,4.883667,5.006785,318902
45,2000-03-08,5.047824,5.184622,5.034145,5.157262,392003
46,2000-03-09,5.116223,5.198302,5.047824,5.198302,436320
47,2000-03-10,5.170942,5.239341,5.088864,5.211981,394744
48,2000-03-13,5.157262,5.239341,5.075184,5.239341,579781
49,2000-03-14,5.198302,5.198302,4.952066,4.965746,586177
50,2000-03-15,5.006785,5.170942,4.897347,5.061504,444544
51,2000-03-16,5.047824,5.389818,5.047824,5.389818,412563
52,2000-03-17,5.335099,5.335099,5.102543,5.321419,546885
53,2000-03-20,5.376138,5.389818,5.307739,5.389818,307023
54,2000-03-21,5.348779,5.471896,5.321419,5.471896,305196
55,2000-03-22,5.471896,5.595014,5.225661,5.29406,341289
56,2000-03-23,5.348779,5.430857,5.239341,5.28038,172701
57,2000-03-24,5.25302,5.348779,5.239341,5.348779,230724
58,2000-03-27,5.321419,5.417177,5.307739,5.348779,184580
59,2000-03-28,5.348779,5.362458,5.198302,5.198302,218846
60,2000-03-29,5.143583,5.403498,5.143583,5.335099,193260
61,2000-03-30,5.362458,5.417177,5.307739,5.403498,392460
62,2000-03-31,5.403498,5.526615,5.321419,5.471896,333522
63,2000-04-03,5.485576,5.485576,5.417177,5.485576,179554
64,2000-04-04,5.458217,5.499256,5.28038,5.458217,252198
65,2000-04-05,5.499256,5.512936,5.348779,5.389818,578410
66,2000-04-06,5.417177,5.485576,5.348779,5.485576,232552
67,2000-04-07,5.512936,5.540295,5.376138,5.444537,185950
68,2000-04-10,5.485576,5.499256,5.389818,5.403498,254939
69,2000-04-11,5.403498,5.430857,5.307739,5.403498,360478
70,2000-04-12,5.403498,5.471896,5.348779,5.417177,718215
71,2000-04-13,5.430857,5.663413,5.417177,5.595014,305653
72,2000-04-14,5.636053,5.772851,5.526615,5.540295,339462
73,2000-04-17,5.581334,5.649733,5.499256,5.622373,270930
74,2000-04-18,5.595014,5.595014,5.471896,5.567655,206510
75,2000-04-19,5.567655,5.581334,5.499256,5.553975,185036
76,2000-04-20,5.471896,5.704452,5.471896,5.677092,250370
77,2000-04-24,5.649733,5.663413,5.526615,5.567655,256767
78,2000-04-25,5.581334,5.704452,5.526615,5.704452,246258
79,2000-04-26,5.608694,5.663413,5.581334,5.622373,194174
80,2000-04-27,5.636053,5.636053,5.430857,5.485576,257223
81,2000-04-28,5.485576,5.636053,5.458217,5.526615,233466
82,2000-05-01,5.417177,5.622373,5.403498,5.567655,205596
83,2000-05-02,5.526615,5.636053,5.512936,5.567655,273214
84,2000-05-03,5.553975,5.574494,5.526615,5.540295,250827
85,2000-05-04,5.540295,5.581334,5.526615,5.526615,127013
86,2000-05-05,5.540295,5.608694,5.526615,5.608694,100057
87,2000-05-08,5.649733,5.759171,5.567655,5.595014,179097
88,2000-05-09,5.567655,5.595014,5.471896,5.499256,399313
89,2000-05-10,5.499256,5.608694,5.471896,5.512936,348143
90,2000-05-11,5.595014,5.690772,5.553975,5.649733,199657
91,2000-05-12,5.636053,5.704452,5.581334,5.636053,95945
92,2000-05-15,5.636053,5.991726,5.526615,5.882289,476983
93,2000-05-16,5.978047,5.978047,5.854929,5.895968,483836
94,2000-05-17,5.868609,5.882289,5.690772,5.78653,256310
95,2000-05-18,5.78653,5.895968,5.704452,5.745491,177269
96,2000-05-19,5.690772,5.759171,5.649733,5.718132,259508
97,2000-05-22,5.745491,5.895968,5.745491,5.895968,258594
98,2000-05-23,5.868609,5.882289,5.759171,5.81389,114220
99,2000-05-24,5.81389,6.005406,5.772851,6.005406,424898
100,2000-05-25,5.991726,6.060125,5.909648,5.923328,214277
101,2000-05-26,5.950687,6.169563,5.909648,6.019086,234836
102,2000-05-30,6.087485,6.169563,6.087485,6.142204,280981
103,2000-05-31,6.155883,6.443158,6.155883,6.374759,431752
104,2000-06-01,6.415798,6.607315,6.402119,6.579955,611762
105,2000-06-02,6.648354,6.83987,6.579955,6.593635,632322
106,2000-06-05,6.579955,6.579955,6.306361,6.3474,362306
107,2000-06-06,6.374759,6.511557,6.183243,6.224282,402511
108,2000-06-07,6.265321,6.265321,6.128524,6.183243,294231
109,2000-06-08,6.183243,6.224282,6.046445,6.087485,266818
110,2000-06-09,6.114844,6.265321,6.114844,6.224282,209251
111,2000-06-12,6.237962,6.361079,6.210602,6.251642,208337
112,2000-06-13,6.265321,6.429478,6.237962,6.306361,162649
113,2000-06-14,6.279001,6.306361,6.210602,6.265321,314333
114,2000-06-15,6.251642,6.292681,6.183243,6.224282,303825
115,2000-06-16,6.237962,6.367919,6.196923,6.265321,514904
116,2000-06-19,6.279001,6.279001,6.183243,6.251642,217018
117,2000-06-20,6.224282,6.224282,6.128524,6.169563,299713
118,2000-06-21,6.183243,6.251642,6.101164,6.155883,454596
119,2000-06-22,6.183243,6.210602,5.937008,6.005406,435864
120,2000-06-23,5.991726,6.114844,5.950687,5.964367,241233
121,2000-06-26,6.019086,6.128524,5.964367,5.991726,164020
122,2000-06-27,6.019086,6.060125,5.841249,5.868609,554195
123,2000-06-28,5.895968,6.060125,5.772851,6.025926,399770
124,2000-06-29,6.019086,6.019086,5.882289,5.882289,443630
125,2000-06-30,5.909648,6.087485,5.636053,5.680512,1654362
126,2000-07-03,5.526615,5.937008,5.526615,5.937008,474241
127,2000-07-05,5.923328,5.964367,5.868609,5.895968,328954
128,2000-07-06,5.882289,5.895968,5.80021,5.868609,269559
129,2000-07-07,5.841249,5.937008,5.81389,5.841249,143460
130,2000-07-10,5.882289,5.895968,5.80021,5.854929,201027
131,2000-07-11,5.854929,5.978047,5.854929,5.964367,162192
132,2000-07-12,6.005406,6.019086,5.937008,5.978047,243517
133,2000-07-13,5.950687,5.950687,5.909648,5.937008,80868
134,2000-07-14,5.937008,5.937008,5.854929,5.854929,474698
135,2000-07-17,5.854929,5.882289,5.80021,5.854929,454139
136,2000-07-18,5.854929,5.964367,5.841249,5.923328,301084
137,2000-07-19,5.950687,6.046445,5.937008,6.019086,223414
138,2000-07-20,6.060125,6.080645,6.019086,6.032766,196002
139,2000-07-21,6.005406,6.060125,5.978047,5.978047,143460
140,2000-07-24,5.991726,5.991726,5.78653,5.854929,185036
141,2000-07-25,5.882289,5.950687,5.81389,5.895968,171330
142,2000-07-26,5.882289,5.937008,5.81389,5.895968,184580
143,2000-07-27,5.868609,5.937008,5.81389,5.937008,224328
144,2000-07-28,5.82757,5.82757,5.745491,5.759171,201027
145,2000-07-31,5.78653,5.964367,5.78653,5.841249,286007
146,2000-08-01,5.854929,6.019086,5.82757,5.937008,139348
147,2000-08-02,6.128524,6.251642,6.046445,6.237962,370073
148,2000-08-03,6.237962,6.484197,6.224282,6.388439,368245
149,2000-08-04,6.374759,6.402119,6.224282,6.361079,207880
150,2000-08-07,6.402119,6.443158,6.292681,6.419218,260422
151,2000-08-08,6.374759,6.552596,6.3474,6.511557,418045
152,2000-08-09,6.456838,6.552596,6.443158,6.525236,208337
153,2000-08-10,6.538916,6.566276,6.456838,6.501297,228440
154,2000-08-11,6.497877,6.703073,6.402119,6.634674,375555
155,2000-08-14,6.662034,6.798831,6.566276,6.730432,305653
156,2000-08-15,6.785151,7.072426,6.744112,6.908269,718215
157,2000-08-16,6.921949,7.086106,6.85355,6.949308,373271
158,2000-08-17,6.962988,6.962988,6.83987,6.908269,320273
159,2000-08-18,6.88091,6.88091,6.798831,6.826191,289662
160,2000-08-21,6.757792,6.83987,6.744112,6.771472,362306
161,2000-08-22,6.757792,6.894589,6.744112,6.88091,193260
162,2000-08-23,6.894589,6.949308,6.798831,6.908269,179554
163,2000-08-24,6.921949,6.921949,6.812511,6.88091,240776
164,2000-08-25,6.83987,6.85355,6.730432,6.771472,179554
165,2000-08-28,6.798831,6.86723,6.798831,6.826191,126556
166,2000-08-29,6.85355,6.921949,6.812511,6.894589,221130
167,2000-08-30,6.908269,7.017707,6.908269,6.976668,180011
168,2000-08-31,6.990348,7.127145,6.949308,6.993768,452311
169,2000-09-01,7.017707,7.031387,6.962988,7.031387,160822
170,2000-09-05,7.072426,7.332341,7.004027,7.222903,618159
171,2000-09-06,7.222903,7.40074,7.181864,7.318661,300627
172,2000-09-07,7.359701,7.537537,7.359701,7.537537,294231
173,2000-09-08,7.537537,7.605936,7.455459,7.571737,375555
174,2000-09-11,7.551217,7.852171,7.551217,7.824812,631865
175,2000-09-12,7.824812,7.975289,7.701694,7.797452,531808
176,2000-09-13,7.879531,7.89321,7.742733,7.811132,297886
177,2000-09-14,7.797452,7.811132,7.578576,7.633295,259508
178,2000-09-15,7.619616,8.002648,7.619616,7.992389,598056
179,2000-09-18,8.002648,8.125766,7.90689,7.975289,423071
180,2000-09-19,8.002648,8.002648,7.715374,7.756413,239405
181,2000-09-20,7.770093,7.865851,7.763253,7.811132,253112
182,2000-09-21,7.811132,7.811132,7.729054,7.770093,253112
183,2000-09-22,7.770093,7.811132,7.646975,7.742733,236664
184,2000-09-25,7.797452,7.797452,7.619616,7.715374,335807
185,2000-09-26,7.715374,7.89321,7.715374,7.865851,201484
186,2000-09-27,7.852171,8.084727,7.838492,8.057367,294231
187,2000-09-28,8.043688,8.207845,8.043688,8.166805,620443
188,2000-09-29,8.112086,8.755034,8.112086,8.703735,1179664
189,2000-10-02,8.672956,8.713995,8.495119,8.672956,566988
190,2000-10-03,8.645596,8.837113,8.556678,8.782394,681665
191,2000-10-04,8.782394,9.110707,8.672956,9.097028,1270583
192,2000-10-05,9.069668,9.124387,8.97391,9.042309,619986
193,2000-10-06,9.042309,9.794694,9.042309,9.343263,1168242
194,2000-10-09,9.384302,9.48006,9.192786,9.192786,672984
195,2000-10-10,9.192786,9.698936,8.864472,8.97391,883606
196,2000-10-11,8.891832,9.220145,8.850792,9.042309,686691
197,2000-10-12,9.028629,9.274864,8.98759,9.110707,412563
198,2000-10-13,9.165426,9.192786,8.946551,9.069668,443630
199,2000-10-16,9.042309,9.233825,8.850792,9.151747,362306
200,2000-10-17,9.151747,9.151747,8.645596,8.864472,592573
201,2000-10-18,8.878152,8.98759,8.618237,8.713995,695828
202,2000-10-19,8.700315,8.796073,8.522479,8.782394,585720
203,2000-10-20,8.768714,8.946551,8.768714,8.850792,301541
204,2000-10-23,8.809753,8.919191,8.563518,8.645596,677553
205,2000-10-24,8.618237,8.659276,8.46776,8.590877,521757
206,2000-10-25,8.563518,8.563518,8.372001,8.42672,351341
207,2000-10-26,8.42672,8.508799,8.317282,8.46776,388805
208,2000-10-27,8.42672,8.495119,8.42672,8.495119,518102
209,2000-10-30,8.45408,8.495119,8.4404,8.495119,317075
210,2000-10-31,8.536158,8.700315,8.4404,8.672956,420330
211,2000-11-01,8.672956,8.878152,8.672956,8.850792,404796
212,2000-11-02,9.192786,9.439021,8.864472,8.919191,1152708
213,2000-11-03,8.891832,8.96023,8.850792,8.905511,476526
214,2000-11-06,8.946551,9.179106,8.946551,9.028629,413933
215,2000-11-07,9.028629,9.233825,9.028629,9.192786,425355
216,2000-11-08,9.192786,9.384302,9.165426,9.220145,410735
217,2000-11-09,9.220145,9.302224,9.001269,9.151747,407994
218,2000-11-10,9.151747,9.151747,9.001269,9.124387,729637
219,2000-11-13,9.097028,9.179106,8.96023,9.097028,556480
220,2000-11-14,9.110707,9.220145,8.891832,8.97391,673441
221,2000-11-15,8.98759,9.151747,8.932871,9.138067,726896
222,2000-11-16,9.151747,9.288544,9.083348,9.110707,566074
223,2000-11-17,9.179106,9.370622,9.001269,9.247505,452311
224,2000-11-20,9.220145,9.329583,9.110707,9.220145,263163
225,2000-11-21,9.233825,9.295384,8.98759,9.288544,288748
226,2000-11-22,9.261185,9.411662,9.124387,9.138067,726896
227,2000-11-24,9.165426,9.397982,9.124387,9.192786,233466
228,2000-11-27,9.220145,9.302224,9.165426,9.192786,456423
229,2000-11-28,9.192786,9.397982,9.192786,9.329583,383322
230,2000-11-29,9.384302,9.384302,9.192786,9.206466,415304
231,2000-11-30,9.179106,9.397982,8.891832,8.932871,709992
232,2000-12-01,8.946551,9.370622,8.932871,9.124387,1023411
233,2000-12-04,9.110707,9.411662,9.110707,9.302224,483379
234,2000-12-05,9.343263,9.48006,9.315904,9.452701,1315358
235,2000-12-06,9.466381,9.589498,9.343263,9.370622,630038
236,2000-12-07,9.370622,9.589498,9.206466,9.206466,319816
237,2000-12-08,9.220145,9.288544,9.179106,9.274864,566988
238,2000-12-11,9.274864,9.439021,9.179106,9.179106,589832
239,2000-12-12,9.110707,9.5211,9.110707,9.466381,555566
