,Date,Open,High,Low,Close,Volume
0,2000-01-03,19.5625,19.5625,18.6875,18.9375,192800
1,2000-01-04,18.5625,19.0,18.5,18.875,284100
2,2000-01-05,19.0625,20.9375,18.9375,20.125,534600
3,2000-01-06,20.25,21.5,20.0625,20.84375,718800
4,2000-01-07,21.1875,21.3125,20.3125,20.6875,224200
5,2000-01-10,20.6875,21.0625,19.625,20.0625,128200
6,2000-01-11,19.5,20.0625,19.4375,19.6875,209200
7,2000-01-12,19.4375,20.4375,19.375,19.625,105600
8,2000-01-13,19.4375,19.9375,19.375,19.5,126900
9,2000-01-14,19.6875,20.375,19.625,20.25,300500
10,2000-01-18,20.25,20.3125,19.875,19.9375,151600
11,2000-01-19,19.9375,19.9375,19.375,19.4375,103600
12,2000-01-20,19.375,19.4375,19.0,19.1875,114100
13,2000-01-21,19.1875,19.5625,18.75,18.875,267600
14,2000-01-24,18.6875,18.8125,18.1875,18.5,152600
15,2000-01-25,18.625,18.9375,18.5625,18.75,172300
16,2000-01-26,18.8125,19.375,18.8125,19.25,187700
17,2000-01-27,19.25,19.5,18.4375,18.6875,206000
18,2000-01-28,18.9375,19.5,18.0,18.5625,415900
19,2000-01-31,18.75,18.8125,17.5,17.5,296200
20,2000-02-01,17.5,18.0,17.5,18.0,308200
21,2000-02-02,18.125,18.5,17.375,18.0,220500
22,2000-02-03,18.0,18.0,17.25,17.75,227400
23,2000-02-04,17.8125,17.8125,17.3125,17.5625,224800
24,2000-02-07,17.8125,17.8125,17.4375,17.8125,133100
25,2000-02-08,18.0,18.0,16.875,16.875,200700
26,2000-02-09,16.75,17.125,16.375,16.4375,252000
27,2000-02-10,16.625,16.625,15.375,15.5625,329000
28,2000-02-11,15.625,16.3125,15.625,15.6875,306900
29,2000-02-14,15.6875,16.5625,15.5,16.4375,461400
30,2000-02-15,16.5,16.9375,16.375,16.625,114900
31,2000-02-16,16.375,16.625,16.25,16.5,180500
32,2000-02-17,16.5625,17.125,16.4375,17.125,127000
33,2000-02-18,17.0,17.0,15.75,16.0625,115600
34,2000-02-22,16.0625,16.1875,15.0,16.1875,364600
35,2000-02-23,16.4375,16.4375,15.75,16.0,140000
36,2000-02-24,15.9375,15.9375,15.125,15.5,79700
37,2000-02-25,15.8125,16.5,15.5625,15.6875,320500
38,2000-02-28,15.4375,15.9375,15.1875,15.6875,178800
39,2000-02-29,15.6875,15.6875,14.875,15.5,207400
40,2000-03-01,15.5,15.8125,15.375,15.6875,129900
41,2000-03-02,15.625,15.875,15.5625,15.8125,291100
42,2000-03-03,15.8125,16.25,15.6875,16.25,162000
43,2000-03-06,15.875,16.3125,15.5,16.0,171300
44,2000-03-07,16.0,16.0,15.0,15.125,209400
45,2000-03-08,16.0625,16.1875,15.5,15.5625,181000
46,2000-03-09,15.875,15.875,15.3125,15.8125,127600
47,2000-03-10,15.625,16.5,15.375,16.3125,211900
48,2000-03-13,16.1875,16.1875,15.625,16.0,73100
49,2000-03-14,16.0,16.1875,15.5,15.5,125800
50,2000-03-15,15.875,17.0,15.6875,16.9375,111300
51,2000-03-16,17.1875,17.4375,17.0,17.3125,195900
52,2000-03-17,16.625,17.0625,16.5625,16.9375,128600
53,2000-03-20,16.875,17.4375,16.875,17.1875,99000
54,2000-03-21,17.0,17.0,16.4375,16.5,125700
55,2000-03-22,16.5625,16.5625,16.125,16.25,137800
56,2000-03-23,16.0,16.5625,15.75,16.5625,111900
57,2000-03-24,16.5625,17.0,16.3125,16.3125,91900
58,2000-03-27,16.375,16.375,16.0,16.0,67700
59,2000-03-28,16.125,16.375,15.75,15.8125,77500
60,2000-03-29,15.9375,17.0,15.9375,16.3125,207200
61,2000-03-30,16.375,17.25,16.375,17.0625,246000
62,2000-03-31,17.3125,18.1875,17.0625,17.75,368800
63,2000-04-03,17.5625,18.125,16.5,17.0625,114500
64,2000-04-04,16.9375,17.125,16.0,17.0,336800
65,2000-04-05,16.75,16.9375,16.3125,16.75,55500
66,2000-04-06,16.75,17.6875,16.75,17.375,99400
67,2000-04-07,17.4375,17.4375,16.5625,17.0,74500
68,2000-04-10,16.875,16.9375,16.6875,16.6875,44800
69,2000-04-11,16.9375,18.375,16.8125,18.375,272900
70,2000-04-12,18.375,19.25,17.875,17.9375,382200
71,2000-04-13,18.125,18.625,18.0,18.0625,176200
72,2000-04-14,18.0625,18.0625,16.9375,16.9375,92700
73,2000-04-17,17.0625,17.375,16.875,17.25,196100
74,2000-04-18,17.25,17.25,16.5,17.0,181800
75,2000-04-19,17.0,17.8125,16.625,16.6875,69700
76,2000-04-20,16.6875,16.8125,16.4375,16.6875,124800
77,2000-04-24,16.75,17.0,16.375,16.875,136400
78,2000-04-25,16.9375,16.9375,15.9375,16.8125,122700
79,2000-04-26,17.0625,17.25,16.375,16.4375,159800
80,2000-04-27,16.1875,16.3125,15.5625,16.25,148200
81,2000-04-28,17.0,17.9375,17.0,17.75,684200
82,2000-05-01,17.6875,17.75,17.375,17.5,346000
83,2000-05-02,17.375,17.875,17.3125,17.8125,275400
84,2000-05-03,17.8125,17.8125,17.1875,17.1875,164900
85,2000-05-04,17.3125,17.75,17.25,17.5,189000
86,2000-05-05,17.4375,17.9375,17.3125,17.8125,253900
87,2000-05-08,17.625,18.0,17.5,17.8125,77200
88,2000-05-09,17.875,18.3125,17.3125,18.1875,114100
89,2000-05-10,17.9375,17.9375,17.3125,17.3125,134800
90,2000-05-11,17.5625,18.1875,17.5,17.5625,294600
91,2000-05-12,17.3125,17.5625,17.3125,17.4375,320500
92,2000-05-15,17.4375,17.875,17.375,17.875,146400
93,2000-05-16,18.0,18.4375,18.0,18.25,158700
94,2000-05-17,18.125,18.125,17.6875,17.6875,73800
95,2000-05-18,17.8125,17.8125,17.25,17.25,59200
96,2000-05-19,17.125,17.4375,16.6875,17.4375,115500
97,2000-05-22,17.375,17.875,17.375,17.75,120700
98,2000-05-23,17.75,19.125,17.75,18.25,244900
99,2000-05-24,18.25,18.8125,18.125,18.75,261900
100,2000-05-25,18.75,18.875,17.3125,17.375,197100
101,2000-05-26,17.375,17.625,16.4375,17.0,197700
102,2000-05-30,17.1875,17.1875,16.5625,17.0,83800
103,2000-05-31,16.8125,16.8125,15.625,15.625,319100
104,2000-06-01,16.0625,16.25,15.5625,16.0,251600
105,2000-06-02,16.0,16.4375,15.6875,15.875,217000
106,2000-06-05,15.875,15.875,15.3125,15.3125,90400
107,2000-06-06,15.4375,15.5,15.3125,15.5,114200
108,2000-06-07,15.625,15.8125,15.125,15.5,67900
109,2000-06-08,15.375,15.4375,15.0625,15.0625,43000
110,2000-06-09,15.0625,15.6875,15.0625,15.0625,118300
111,2000-06-12,15.25,15.9375,15.25,15.8125,180100
112,2000-06-13,15.8125,16.6875,15.8125,16.4375,277600
113,2000-06-14,16.5625,17.0625,16.5625,17.0,164800
114,2000-06-15,17.0,17.1875,16.4375,17.0625,307400
115,2000-06-16,16.8125,17.75,16.8125,17.0,214800
116,2000-06-19,16.375,16.75,16.1875,16.5625,85500
