,Date,Open,High,Low,Close,Volume
0,2000-01-03,31.15625,31.296875,27.90625,29.53125,98114800
1,2000-01-04,28.875,29.65625,26.25,26.921875,116824800
2,2000-01-05,25.40625,26.59375,24.0,25.5,166054000
3,2000-01-06,25.039063,26.25,23.671875,24.0,109880000
4,2000-01-07,23.75,25.875,23.390625,25.84375,91755600
5,2000-01-10,27.0,29.0,26.375,28.9375,91518000
6,2000-01-11,28.15625,28.6875,27.375,28.09375,86585200
7,2000-01-12,28.0625,28.0625,25.921875,26.40625,83443600
8,2000-01-13,27.125,27.46875,25.875,26.265625,55779200
9,2000-01-14,27.25,27.84375,26.1875,26.703125,57078000
10,2000-01-18,26.96875,28.625,26.40625,27.8125,66780000
11,2000-01-19,28.0625,29.125,27.0,28.5625,49198400
12,2000-01-20,29.5,30.125,29.0625,29.625,54526800
13,2000-01-21,30.75,30.75,29.5,29.84375,50891000
14,2000-01-24,30.125,30.1875,27.0,27.09375,50022400
15,2000-01-25,27.53125,28.75,27.4375,28.21875,53059200
16,2000-01-26,28.375,29.46875,27.5,27.53125,47569200
17,2000-01-27,27.90625,28.34375,25.0,25.90625,61054000
18,2000-01-28,25.75,25.96875,23.3125,23.6875,86394000
19,2000-01-31,23.96875,25.0625,23.53125,24.976563,68148000
20,2000-02-01,25.625,27.15625,25.0,27.0,57105600
21,2000-02-02,27.46875,28.0,27.0,27.15625,63933000
22,2000-02-03,27.6875,28.5,27.125,28.34375,55533200
23,2000-02-04,28.8125,29.125,28.40625,28.90625,40916000
24,2000-02-07,29.65625,30.0,29.4375,29.96875,44691200
25,2000-02-08,30.375,30.71875,29.5,29.78125,55718000
26,2000-02-09,30.03125,30.65625,29.40625,29.96875,52471600
27,2000-02-10,30.0,31.3125,29.0,31.15625,45288600
28,2000-02-11,31.25,32.375,29.375,29.84375,55774000
29,2000-02-14,30.4375,31.125,29.3125,31.09375,37599800
30,2000-02-15,30.8125,31.59375,29.5625,30.6875,47971400
31,2000-02-16,30.5,31.28125,30.0625,30.625,33489200
32,2000-02-17,30.875,31.375,30.0,30.8125,40392600
33,2000-02-18,30.84375,31.0,29.1875,29.28125,63888400
34,2000-02-22,29.5625,30.71875,28.15625,29.65625,75546200
35,2000-02-23,30.09375,31.632813,29.8125,31.53125,69664400
36,2000-02-24,31.59375,32.53125,30.125,30.96875,70963200
37,2000-02-25,30.9375,35.5,30.9375,35.3125,103186600
