,Date,Open,High,Low,Close,Volume
0,2000-01-03,10.269221,10.388979,9.939887,9.969827,1161303
1,2000-01-04,9.79019,10.059645,9.730311,9.760251,1576308
2,2000-01-05,9.760251,9.909948,9.670432,9.82013,1172159
3,2000-01-06,9.730311,10.269221,9.700372,10.089584,3336738
4,2000-01-07,10.3291,10.778191,10.209342,10.388979,3325674
5,2000-01-10,10.388979,10.388979,9.969827,10.059645,2256849
6,2000-01-11,10.059645,10.508736,10.029705,10.448857,2191718
7,2000-01-12,10.508736,10.538676,10.359039,10.388979,2112391
8,2000-01-13,10.388979,10.778191,10.359039,10.718312,2998555
9,2000-01-14,10.718312,10.748252,10.3291,10.538676,1925138
10,2000-01-18,10.29916,10.598554,10.179403,10.538676,2645133
11,2000-01-19,10.538676,10.778191,10.448857,10.688373,3027990
12,2000-01-20,10.83807,10.83807,10.478797,10.598554,1647076
13,2000-01-21,10.598554,10.658433,10.29916,10.388979,3216495
14,2000-01-24,10.538676,10.538676,9.880008,9.999766,2719241
15,2000-01-25,10.418918,10.418918,9.460857,9.490796,4284485
16,2000-01-26,9.580614,9.850069,9.520735,9.730311,2695652
17,2000-01-27,9.850069,9.850069,9.550675,9.640493,2270418
18,2000-01-28,9.460857,9.760251,9.460857,9.580614,2209670
19,2000-01-31,9.670432,9.670432,9.221341,9.520735,2261650
20,2000-02-01,9.490796,9.580614,9.28122,9.490796,1600732
21,2000-02-02,9.490796,9.640493,9.341099,9.400978,2528230
22,2000-02-03,9.341099,9.460857,9.251281,9.341099,1728073
23,2000-02-04,9.430917,9.490796,9.311159,9.341099,1906350
24,2000-02-07,9.251281,9.371038,9.221341,9.311159,1672127
25,2000-02-08,9.251281,9.371038,9.161462,9.251281,1481533
26,2000-02-09,9.341099,9.341099,9.041705,9.101583,4365691
27,2000-02-10,9.101583,9.341099,9.071644,9.071644,2309873
28,2000-02-11,9.101583,9.191402,8.802189,8.862068,4588641
29,2000-02-14,8.862068,8.892008,8.023764,8.26328,9843837
30,2000-02-15,8.23334,8.622553,8.113583,8.592613,12174376
31,2000-02-16,8.592613,8.74231,8.442916,8.682432,3632544
32,2000-02-17,8.652492,8.74231,8.383037,8.442916,1589251
33,2000-02-18,8.442916,8.472856,8.173461,8.26328,2491281
34,2000-02-22,8.26328,8.383037,8.203401,8.26328,1939959
35,2000-02-23,8.26328,8.26328,7.963886,8.053704,2346822
36,2000-02-24,8.083643,8.083643,7.844128,7.874067,2173138
37,2000-02-25,7.874067,7.874067,7.544734,7.544734,3410846
38,2000-02-28,7.664491,7.72437,7.544734,7.604613,4853342
39,2000-02-29,7.604613,7.814188,7.574673,7.694431,3798295
40,2000-03-01,7.72437,7.874067,7.634552,7.694431,5559769
41,2000-03-02,7.694431,8.173461,7.634552,8.083643,6713975
42,2000-03-03,8.083643,8.293219,7.963886,8.23334,2683335
43,2000-03-06,8.26328,8.323159,8.143522,8.26328,2134727
44,2000-03-07,8.353098,8.682432,8.225855,8.532735,2758070
45,2000-03-08,8.74231,8.74231,8.323159,8.353098,4902817
46,2000-03-09,8.323159,8.383037,8.143522,8.23334,2363732
47,2000-03-10,8.173461,8.412977,8.173461,8.353098,3569709
48,2000-03-13,8.143522,8.383037,8.143522,8.323159,2577914
49,2000-03-14,8.323159,8.353098,8.143522,8.23334,3341539
50,2000-03-15,8.26328,8.383037,8.173461,8.323159,2461638
51,2000-03-16,8.323159,8.77225,8.323159,8.74231,3501446
52,2000-03-17,8.74231,8.802189,8.562674,8.74231,3741096
53,2000-03-20,8.74231,8.832129,8.652492,8.652492,1833494
54,2000-03-21,8.682432,8.951886,8.682432,8.862068,2760575
55,2000-03-22,8.862068,9.011765,8.832129,8.951886,2844494
56,2000-03-23,8.951886,9.041705,8.921947,9.011765,3259499
57,2000-03-24,9.071644,9.191402,9.011765,9.101583,1793204
58,2000-03-27,9.131523,9.221341,8.981826,9.101583,2237226
59,2000-03-28,9.101583,9.251281,9.101583,9.161462,2004047
60,2000-03-29,9.161462,9.460857,9.131523,9.341099,3544032
61,2000-03-30,9.430917,9.82013,9.371038,9.700372,3375984
62,2000-03-31,9.760251,10.029705,9.730311,9.939887,4766083
63,2000-04-03,9.850069,9.999766,9.82013,9.969827,1993400
64,2000-04-04,9.939887,10.059645,9.730311,9.880008,3597473
65,2000-04-05,9.939887,10.149463,9.880008,10.029705,4276135
66,2000-04-06,10.059645,10.418918,10.059645,10.388979,3151572
67,2000-04-07,10.388979,10.478797,10.179403,10.269221,3326092
68,2000-04-10,10.269221,10.3291,10.089584,10.239281,2426984
69,2000-04-11,10.239281,10.448857,10.239281,10.3291,4673813
70,2000-04-12,10.359039,10.478797,10.3291,10.388979,5863925
71,2000-04-13,10.359039,10.598554,10.29916,10.359039,2005091
72,2000-04-14,10.418918,10.568615,9.939887,10.269221,3367425
73,2000-04-17,10.059645,10.179403,9.760251,9.999766,2127630
74,2000-04-18,10.089584,10.089584,9.460857,9.640493,2247664
75,2000-04-19,9.850069,9.880008,9.670432,9.79019,1912195
76,2000-04-20,9.79019,9.880008,9.460857,9.850069,2616325
77,2000-04-24,9.939887,10.119524,9.82013,10.029705,1997575
78,2000-04-25,10.209342,10.269221,10.149463,10.239281,2323651
79,2000-04-26,10.359039,10.598554,10.29916,10.418918,2266869
80,2000-04-27,10.418918,10.598554,10.359039,10.508736,2111138
81,2000-04-28,10.448857,10.568615,10.059645,10.269221,2812763
82,2000-05-01,10.269221,10.538676,10.209342,10.478797,1385924
83,2000-05-02,10.538676,10.628494,10.418918,10.478797,1798006
84,2000-05-03,10.478797,10.478797,10.119524,10.179403,2099657
85,2000-05-04,10.29916,10.538676,10.239281,10.388979,2027636
86,2000-05-05,10.3291,10.658433,10.3291,10.628494,1392395
87,2000-05-08,10.508736,10.868009,10.508736,10.868009,1830780
88,2000-05-09,10.897949,10.957827,10.598554,10.897949,1615972
89,2000-05-10,10.897949,11.077585,10.868009,10.957827,2868710
90,2000-05-11,11.017706,11.167403,10.957827,11.077585,3946094
91,2000-05-12,11.107525,11.167403,11.047646,11.107525,1190738
92,2000-05-15,11.137464,11.197343,11.017706,11.047646,3296657
93,2000-05-16,11.047646,11.227282,10.987767,11.197343,2607975
94,2000-05-17,11.047646,11.317101,11.047646,11.317101,3227768
95,2000-05-18,11.317101,11.556616,11.317101,11.556616,3012542
96,2000-05-19,11.556616,11.556616,11.227282,11.556616,1770450
97,2000-05-22,11.556616,11.646434,11.317101,11.466798,2023252
98,2000-05-23,11.496737,11.496737,11.197343,11.227282,1658975
99,2000-05-24,11.287161,11.287161,11.077585,11.197343,2228250
100,2000-05-25,11.137464,11.137464,10.718312,10.868009,1587372
101,2000-05-26,10.957827,11.017706,10.897949,10.927888,929377
102,2000-05-30,11.047646,11.047646,10.868009,10.957827,1461075
103,2000-05-31,10.987767,11.436858,10.927888,11.34704,1516187
104,2000-06-01,11.317101,11.376979,11.137464,11.197343,1420994
105,2000-06-02,11.137464,11.167403,10.688373,10.83807,1583823
106,2000-06-05,10.718312,10.897949,10.508736,10.658433,1546456
107,2000-06-06,10.418918,11.047646,10.388979,11.017706,2876642
108,2000-06-07,10.957827,11.017706,10.80813,10.927888,1443331
109,2000-06-08,10.868009,10.987767,10.778191,10.868009,1020185
110,2000-06-09,10.748252,10.868009,10.658433,10.80813,893680
111,2000-06-12,10.868009,11.107525,10.80813,11.017706,2231381
112,2000-06-13,10.778191,11.167403,10.778191,10.83807,1389264
113,2000-06-14,11.017706,11.227282,10.83807,10.868009,1928060
114,2000-06-15,10.957827,11.107525,10.688373,10.718312,1495937
115,2000-06-16,10.83807,11.34704,10.80813,11.317101,2282526
116,2000-06-19,11.376979,11.436858,10.897949,10.897949,3761137
117,2000-06-20,10.897949,10.897949,10.478797,10.80813,1755629
118,2000-06-21,10.748252,11.376979,10.628494,11.257222,3258246
119,2000-06-22,11.137464,11.526676,11.017706,11.107525,2882696
120,2000-06-23,11.137464,11.436858,11.137464,11.227282,1579231
121,2000-06-26,11.077585,11.137464,10.658433,10.688373,2234721
122,2000-06-27,10.568615,10.628494,10.388979,10.508736,2035986
123,2000-06-28,10.598554,10.688373,10.359039,10.396463,1129155
124,2000-06-29,10.388979,10.478797,10.179403,10.269221,1868147
125,2000-06-30,10.29916,10.418918,10.059645,10.089584,2800238
126,2000-07-03,10.149463,10.388979,10.119524,10.3291,723753
127,2000-07-05,10.3291,10.359039,9.82013,9.850069,2078364
128,2000-07-06,9.999766,10.209342,9.850069,10.059645,2403812
129,2000-07-07,10.179403,10.209342,9.969827,10.059645,1665029
130,2000-07-10,9.999766,10.179403,9.880008,9.969827,1811784
131,2000-07-11,9.939887,10.987767,9.880008,10.665918,2960771
132,2000-07-12,10.658433,10.658433,10.269221,10.29916,1675258
133,2000-07-13,10.239281,10.269221,9.999766,10.119524,1432894
134,2000-07-14,10.119524,10.269221,9.969827,10.059645,1165061
135,2000-07-17,10.059645,10.089584,9.79019,9.842584,1320583
136,2000-07-18,9.939887,10.149463,9.670432,9.760251,2029724
137,2000-07-19,9.999766,10.089584,9.610554,9.610554,1918457
138,2000-07-20,9.700372,9.850069,9.610554,9.640493,2785416
139,2000-07-21,9.700372,9.700372,9.490796,9.490796,1603446
140,2000-07-24,9.490796,9.640493,9.131523,9.221341,3509587
141,2000-07-25,9.251281,9.520735,8.921947,9.041705,2868501
142,2000-07-26,9.101583,9.221341,8.892008,8.951886,2572695
143,2000-07-27,8.892008,9.460857,8.892008,9.221341,4599914
144,2000-07-28,9.341099,9.490796,9.251281,9.318644,1252321
145,2000-07-31,9.341099,9.700372,9.131523,9.700372,4059865
146,2000-08-01,9.700372,9.700372,9.371038,9.460857,1814080
147,2000-08-02,9.341099,9.640493,9.341099,9.520735,2245368
148,2000-08-03,9.520735,9.640493,9.460857,9.520735,2049555
149,2000-08-04,9.490796,9.520735,9.371038,9.490796,1313068
150,2000-08-07,9.760251,9.850069,9.520735,9.707857,2090471
151,2000-08-08,9.880008,9.909948,9.550675,9.610554,1415149
152,2000-08-09,9.640493,9.82013,9.610554,9.700372,1440200
153,2000-08-10,9.700372,9.79019,9.670432,9.737796,1499486
154,2000-08-11,9.730311,9.730311,9.610554,9.700372,1427048
155,2000-08-14,9.82013,10.059645,9.640493,9.880008,2948454
156,2000-08-15,9.999766,10.059645,9.850069,9.880008,2330331
