,Date,Open,High,Low,Close,Volume
0,2000-01-03,20.375,20.375,19.6875,19.8125,609700
1,2000-01-04,19.8125,20.875,19.6875,20.6875,1603100
2,2000-01-05,20.75,22.375,20.75,22.0625,3054100
3,2000-01-06,21.875,22.375,21.8125,22.25,1058100
4,2000-01-07,22.25,22.625,22.0625,22.25,943400
5,2000-01-10,21.75,22.125,21.5625,21.8125,543200
6,2000-01-11,21.625,21.9375,21.3125,21.5,751600
7,2000-01-12,21.5,22.3125,21.5,22.0,852800
8,2000-01-13,21.9375,22.0625,21.8125,22.0,863600
9,2000-01-14,22.0,22.0,21.3125,21.8125,1355300
10,2000-01-18,22.0,22.0,21.5625,21.875,2423200
11,2000-01-19,22.125,22.375,21.9375,22.375,1203700
12,2000-01-20,22.3125,22.3125,21.8125,22.0,1001600
13,2000-01-21,21.9375,22.625,21.625,22.4375,1815000
14,2000-01-24,22.5,22.6875,22.25,22.375,1304000
15,2000-01-25,22.3125,22.375,21.375,21.625,1033100
16,2000-01-26,21.4375,22.0625,21.25,22.0,1571000
17,2000-01-27,21.9375,22.25,21.125,21.5625,1449000
18,2000-01-28,21.5625,21.625,21.0625,21.125,1348800
19,2000-01-31,21.6875,22.0,21.3125,21.9375,1122100
20,2000-02-01,22.0,22.25,21.8125,22.1875,1119400
21,2000-02-02,22.1875,22.3125,22.0,22.0625,1514600
22,2000-02-03,22.125,22.9375,22.125,22.75,825800
23,2000-02-04,22.875,22.875,21.875,22.25,607400
24,2000-02-07,22.25,22.3125,22.0,22.25,456700
25,2000-02-08,22.125,22.4375,22.0625,22.0625,515500
26,2000-02-09,22.0625,22.4375,22.0625,22.0625,686200
27,2000-02-10,22.0,22.1875,21.25,21.375,510700
28,2000-02-11,21.3125,21.8125,21.0625,21.6875,811100
29,2000-02-14,21.5625,22.25,21.375,21.875,599700
30,2000-02-15,22.1875,22.25,21.625,21.8125,1339200
31,2000-02-16,21.8125,22.0625,21.75,21.8125,609100
32,2000-02-17,21.875,23.125,21.625,23.125,1716800
33,2000-02-18,22.875,23.0,22.3125,22.5,1276800
34,2000-02-22,22.0,22.75,22.0,22.4375,849300
35,2000-02-23,22.25,22.25,21.75,21.875,649200
36,2000-02-24,21.875,21.875,20.5,20.8125,1285400
37,2000-02-25,20.6875,20.6875,20.0,20.0625,833800
38,2000-02-28,20.25,20.875,19.875,20.75,851200
39,2000-02-29,20.6875,20.75,20.125,20.625,807500
40,2000-03-01,20.5625,20.625,19.75,19.9375,1260900
41,2000-03-02,20.25,21.125,20.25,21.0,954900
42,2000-03-03,21.0,21.875,20.875,21.75,1940700
43,2000-03-06,21.75,21.75,21.0,21.0625,1393600
44,2000-03-07,21.0625,21.4375,20.25,20.25,2040500
45,2000-03-08,20.25,21.125,20.1875,20.3125,1510100
46,2000-03-09,20.5,20.9375,20.3125,20.625,1821200
47,2000-03-10,20.625,21.25,20.5,21.25,4013600
48,2000-03-13,20.75,20.9375,20.375,20.875,2916700
49,2000-03-14,20.875,21.0625,20.3125,20.8125,1074900
50,2000-03-15,20.75,22.25,20.5625,21.9375,1040100
51,2000-03-16,22.0,23.0625,22.0,22.625,1229200
52,2000-03-17,22.625,22.6875,21.25,22.25,2057200
53,2000-03-20,21.625,22.375,21.3125,21.375,798600
54,2000-03-21,20.9375,21.5625,20.9375,21.25,1537100
55,2000-03-22,21.25,21.3125,20.6875,21.125,517500
56,2000-03-23,21.0625,21.4375,20.8125,21.0625,988700
57,2000-03-24,21.125,21.75,20.6875,21.3125,652600
58,2000-03-27,21.25,21.6875,21.125,21.1875,836600
59,2000-03-28,20.875,21.25,20.875,20.9375,692800
60,2000-03-29,21.0,21.3125,20.875,21.0625,1061200
61,2000-03-30,21.1875,21.3125,21.0625,21.25,962900
62,2000-03-31,21.25,21.25,20.625,21.0,875600
63,2000-04-03,21.0625,21.4375,20.875,21.3125,873400
64,2000-04-04,21.375,22.125,21.3125,21.9375,1534200
65,2000-04-05,21.6875,22.4375,21.5625,21.625,1253900
66,2000-04-06,21.875,21.875,21.0625,21.1875,843200
67,2000-04-07,21.0,21.4375,20.8125,21.125,705600
68,2000-04-10,20.625,22.125,20.625,22.125,768100
69,2000-04-11,21.625,22.625,21.625,22.5,1129800
70,2000-04-12,22.875,23.9375,22.75,23.5,1456100
71,2000-04-13,23.0,24.1875,23.0,24.0625,1914900
72,2000-04-14,23.9375,24.625,23.4375,23.5625,1174300
73,2000-04-17,23.6875,24.25,22.875,24.25,1109400
74,2000-04-18,24.25,24.4375,23.75,23.75,864500
75,2000-04-19,23.8125,24.0625,23.25,23.9375,1020900
76,2000-04-20,24.0,24.875,24.0,24.5625,1027000
77,2000-04-24,24.3125,26.125,24.3125,26.125,1670800
78,2000-04-25,26.125,27.25,26.0,27.0625,1803900
79,2000-04-26,27.0625,27.75,27.0,27.625,1327500
80,2000-04-27,27.5,27.5625,26.8125,27.125,1677800
81,2000-04-28,27.0,27.0625,25.9375,25.9375,868900
82,2000-05-01,25.9375,26.25,25.875,26.0625,653600
83,2000-05-02,26.0625,26.625,25.8125,25.875,941600
84,2000-05-03,25.625,25.625,25.1875,25.4375,468400
85,2000-05-04,25.0625,26.3125,24.875,26.0625,1329500
86,2000-05-05,26.0,26.0,25.375,25.5625,910300
87,2000-05-08,25.4375,26.875,25.4375,26.0,904300
88,2000-05-09,26.1875,26.1875,25.5625,25.8125,923700
89,2000-05-10,26.0,26.5625,26.0,26.1875,934700
90,2000-05-11,26.1875,26.75,26.0,26.5625,576400
91,2000-05-12,26.4375,26.5625,25.9375,26.125,1551500
92,2000-05-15,26.125,26.5625,26.0,26.0625,752500
93,2000-05-16,26.1875,26.3125,25.3125,25.875,746800
94,2000-05-17,25.625,25.6875,24.5625,25.25,530300
95,2000-05-18,25.0,25.875,25.0,25.5,787800
96,2000-05-19,25.375,26.0,25.0625,25.5,558500
97,2000-05-22,25.5625,26.5625,25.5625,26.5,639300
98,2000-05-23,26.0,26.3125,25.8125,26.0625,509700
99,2000-05-24,25.8125,26.9375,25.8125,26.375,729300
100,2000-05-25,26.375,26.375,25.625,25.75,731100
101,2000-05-26,26.0,26.5625,26.0,26.125,471600
102,2000-05-30,26.375,26.375,25.5,25.75,598000
103,2000-05-31,25.75,26.25,25.6875,25.9375,465300
