,Date,Open,High,Low,Close,Volume
0,2000-01-03,30.419828,30.716318,30.004744,30.241936,12873345
1,2000-01-04,29.648956,29.886148,28.462997,29.115274,14208974
2,2000-01-05,29.293169,30.241936,29.233871,29.589659,12981591
3,2000-01-06,29.648956,31.072105,29.589659,30.657021,11115273
4,2000-01-07,32.258064,33.088234,30.657021,32.732449,17962163
5,2000-01-10,33.206833,33.206833,32.317364,32.673149,10413731
6,2000-01-11,32.495255,33.206833,32.258064,32.258064,9747076
7,2000-01-12,32.732449,33.503323,32.673149,33.325428,11423252
8,2000-01-13,33.147533,35.222961,32.851044,35.104362,27705866
9,2000-01-14,35.519451,35.697342,35.104362,35.104362,17055828
10,2000-01-18,35.222961,35.341557,33.977703,34.629982,11459615
11,2000-01-19,34.867172,35.163662,34.452087,35.104362,10596389
12,2000-01-20,34.867172,34.985767,33.977703,34.526211,8411342
13,2000-01-21,34.689278,34.689278,33.206833,33.266129,13022802
14,2000-01-24,33.206833,33.444023,31.665085,32.613853,13734463
15,2000-01-25,32.732449,33.621918,32.554554,33.088234,9903595
16,2000-01-26,33.028938,33.206833,32.613853,33.088234,7728771
17,2000-01-27,32.791744,33.621918,32.732449,32.732449,9058708
18,2000-01-28,32.732449,33.859108,32.139469,33.384724,11834628
19,2000-01-31,32.258064,34.629982,32.258064,34.333492,10634544
20,2000-02-01,33.740513,35.282257,33.681213,35.104362,12345713
21,2000-02-02,35.045067,35.104362,33.918407,34.155598,7527141
22,2000-02-03,34.214897,34.748577,33.503323,33.799809,9268876
23,2000-02-04,34.274193,34.274193,33.503323,33.918407,6965991
24,2000-02-07,34.037003,35.104362,33.740513,35.104362,13399924
25,2000-02-08,35.163662,35.993832,34.985767,35.875237,16190178
26,2000-02-09,35.697342,35.756641,34.274193,34.274193,11812389
27,2000-02-10,34.629982,34.629982,33.206833,33.206833,11148685
28,2000-02-11,33.740513,33.740513,32.258064,33.206833,10721288
29,2000-02-14,31.842979,33.503323,31.842979,33.206833,8846644
30,2000-02-15,33.266129,34.037003,32.969639,33.740513,8255666
31,2000-02-16,33.206833,33.266129,32.020874,32.020874,10407091
32,2000-02-17,32.376659,32.613853,31.902277,32.258064,8953835
33,2000-02-18,32.258064,32.258064,31.190702,32.258064,10871061
34,2000-02-22,31.724382,32.08017,31.427895,31.783682,9207006
35,2000-02-23,32.08017,32.258064,31.25,32.258064,9581071
36,2000-02-24,31.190702,31.605787,30.894213,31.368595,9788076
37,2000-02-25,31.309298,31.54649,30.360531,30.716318,8700770
38,2000-02-28,30.479128,30.775618,30.301233,30.538425,8546148
39,2000-02-29,31.190702,31.190702,30.004744,30.479128,12447318
40,2000-03-01,30.479128,30.775618,29.886148,30.241936,11586833
41,2000-03-02,30.360531,30.360531,29.886148,30.360531,8803219
42,2000-03-03,31.783682,31.783682,29.886148,30.95351,10588589
43,2000-03-06,30.419828,30.894213,29.886148,30.064041,11152585
44,2000-03-07,29.767551,29.886148,28.462997,28.462997,15320312
45,2000-03-08,29.411764,31.427895,28.640892,30.775618,19821946
46,2000-03-09,30.95351,32.613853,30.597723,32.613853,19181957
47,2000-03-10,33.325428,33.444023,32.258064,33.206833,20526439
48,2000-03-13,33.325428,33.325428,31.783682,32.554554,12301445
49,2000-03-14,32.435959,32.435959,31.309298,31.54649,9108036
50,2000-03-15,32.139469,33.799809,32.020874,33.444023,16351545
51,2000-03-16,34.333492,34.689278,33.799809,34.629982,19343113
52,2000-03-17,34.214897,34.452087,33.681213,33.977703,13465377
53,2000-03-20,34.155598,34.214897,32.258064,33.206833,8288129
54,2000-03-21,34.214897,35.104362,33.977703,34.807877,14331660
55,2000-03-22,33.918407,34.274193,32.851044,33.799809,18326109
56,2000-03-23,33.028938,34.096298,33.028938,33.444023,10665004
57,2000-03-24,33.444023,34.037003,33.028938,33.088234,9484524
58,2000-03-27,33.088234,33.681213,32.910343,32.969639,9767734
59,2000-03-28,32.495255,33.740513,32.495255,33.266129,9288691
60,2000-03-29,33.444023,34.867172,33.3106,34.511387,14706146
61,2000-03-30,34.570683,34.926472,34.214897,34.629982,10455785
62,2000-03-31,34.689278,34.985767,33.859108,34.689278,9122475
63,2000-04-03,35.104362,36.646111,34.867172,36.053131,20075011
64,2000-04-04,36.705406,37.950665,36.053131,37.71347,35368340
65,2000-04-05,36.527515,37.17979,36.408916,36.646111,10348594
66,2000-04-06,36.171726,36.646111,35.815941,36.408916,10042090
67,2000-04-07,36.527515,37.416985,36.468216,36.824005,9818537
68,2000-04-10,36.9426,38.247154,36.764706,37.77277,16211574
69,2000-04-11,37.71347,38.425049,37.53558,37.77277,13789271
70,2000-04-12,37.47628,38.899429,37.23909,38.306454,17862033
71,2000-04-13,38.128559,38.306454,36.9426,37.594875,13212944
72,2000-04-14,36.9426,37.061195,34.985767,35.993832,14472369
73,2000-04-17,35.341557,36.883301,35.104362,36.053131,14601378
74,2000-04-18,36.053131,37.594875,36.053131,37.53558,14987248
75,2000-04-19,37.654175,40.322582,37.357685,39.195919,21162950
76,2000-04-20,39.966793,39.966793,38.662239,39.373814,11451394
77,2000-04-24,39.373814,41.982922,39.136623,41.271347,15705022
78,2000-04-25,40.915562,41.508537,40.026093,41.212048,10930718
79,2000-04-26,40.559772,41.271347,40.322582,41.271347,10977094
80,2000-04-27,39.848198,41.330647,39.848198,40.559772,10821945
81,2000-04-28,40.559772,40.678368,39.611008,39.966793,9442575
82,2000-05-01,40.085388,41.271347,39.195919,39.670303,8701192
83,2000-05-02,39.848198,41.034157,39.729603,40.737667,11289499
84,2000-05-03,40.737667,41.212048,40.085388,40.500473,12143872
85,2000-05-04,40.322582,41.093452,40.085388,40.796963,6728631
86,2000-05-05,40.203983,42.635201,39.907494,42.338711,13274287
87,2000-05-08,42.694496,43.99905,42.635201,43.76186,19277133
88,2000-05-09,43.228176,43.346775,42.101517,42.338711,11734287
89,2000-05-10,41.805027,42.872391,40.915562,41.167576,10972245
90,2000-05-11,41.330647,41.389942,40.144688,40.515301,10377895
91,2000-05-12,40.203983,41.152752,39.551708,40.88591,8216035
92,2000-05-15,40.619068,41.982922,40.500473,41.745731,8647121
93,2000-05-16,42.160816,42.575901,41.034157,42.220116,13044936
94,2000-05-17,42.220116,42.990986,41.923622,42.694496,14851914
95,2000-05-18,42.813091,43.228176,42.457306,42.872391,7625479
96,2000-05-19,42.398006,42.457306,41.567837,41.923622,7669009
97,2000-05-22,42.160816,42.872391,41.034157,41.686432,9559358
98,2000-05-23,41.567837,42.220116,40.974857,41.923622,7328673
99,2000-05-24,41.152752,42.635201,41.152752,41.982922,8767488
100,2000-05-25,42.279411,43.406071,42.160816,43.317123,10757862
101,2000-05-26,42.575901,43.109585,42.398006,42.813091,6293961
102,2000-05-30,41.805027,42.160816,41.449242,41.923622,8749465
103,2000-05-31,41.508537,42.694496,41.449242,42.220116,7391597
104,2000-06-01,43.346775,43.76186,42.575901,42.694496,10491305
105,2000-06-02,43.583965,43.583965,41.034157,41.330647,10964130
106,2000-06-05,41.567837,41.686432,40.085388,40.559772,10231600
107,2000-06-06,40.796963,41.567837,40.263283,41.212048,9990655
108,2000-06-07,41.212048,41.923622,41.034157,41.271347,5864245
109,2000-06-08,41.508537,42.160816,41.330647,41.982922,6758986
110,2000-06-09,42.101517,43.643265,41.864326,43.643265,6991814
111,2000-06-12,42.753796,43.406071,42.101517,42.101517,5991990
112,2000-06-13,43.050285,43.99905,42.753796,43.495018,11890806
113,2000-06-14,43.583965,44.53273,43.52467,44.206593,11655027
114,2000-06-15,43.99905,44.59203,43.76186,44.59203,8795419
115,2000-06-16,44.05835,45.659393,44.05835,45.481499,15176651
