,Date,Open,High,Low,Close,Volume
0,2001-10-23,20.5,21.389999,20.4,21.0,32584000
1,2001-10-24,21.1,22.200001,21.0,22.15,5847500
2,2001-10-25,22.0,22.15,21.65,21.950001,2038800
3,2001-10-26,21.950001,22.0,21.4,21.5,3339100
4,2001-10-29,22.0,22.0,21.0,21.200001,1758700
5,2001-10-30,21.4,22.25,21.0,22.040001,2225300
6,2001-10-31,22.4,23.99,21.950001,22.5,5101800
7,2001-11-01,22.629999,22.629999,21.700001,21.950001,2747400
8,2001-11-02,22.1,22.25,21.950001,22.18,1183800
9,2001-11-05,22.1,22.200001,21.75,22.0,1144000
10,2001-11-06,21.92,22.700001,21.85,22.6,695100
11,2001-11-07,22.65,22.65,21.65,21.85,1002900
12,2001-11-08,21.950001,22.0,21.59,21.82,1642800
13,2001-11-09,21.5,21.77,21.5,21.6,1601000
14,2001-11-12,21.610001,22.0,21.309999,21.98,1101400
15,2001-11-13,22.0,22.0,21.75,21.85,687300
16,2001-11-14,22.1,22.1,21.4,21.75,1964000
17,2001-11-15,21.65,21.99,21.6,21.93,867300
18,2001-11-16,22.0,22.879999,21.98,22.25,1851600
19,2001-11-19,22.0,22.74,22.0,22.33,1231800
20,2001-11-20,22.25,22.75,22.25,22.719999,1182300
21,2001-11-21,22.799999,22.9,22.65,22.870001,1016400
22,2001-11-23,22.879999,22.879999,22.200001,22.379999,328800
23,2001-11-26,22.1,22.48,21.98,22.33,2417500
24,2001-11-27,22.25,22.6,22.25,22.4,1536000
25,2001-11-28,22.93,22.93,22.48,22.799999,871900
26,2001-11-29,22.799999,22.950001,22.5,22.879999,523100
27,2001-11-30,22.9,23.0,22.700001,22.950001,2255100
28,2001-12-03,22.98,23.200001,22.25,22.950001,1037600
29,2001-12-04,22.950001,22.99,22.65,22.950001,578700
30,2001-12-05,23.030001,23.299999,22.950001,23.200001,1370400
31,2001-12-06,23.200001,23.809999,23.120001,23.450001,509400
32,2001-12-07,23.299999,23.780001,23.200001,23.450001,1175600
33,2001-12-10,23.440001,23.440001,23.200001,23.35,1396900
34,2001-12-11,23.35,23.85,23.35,23.49,1376300
35,2001-12-12,23.65,23.950001,23.5,23.65,1933800
36,2001-12-13,23.75,23.85,23.35,23.48,1813400
37,2001-12-14,23.4,24.35,23.4,24.08,2133900
38,2001-12-17,24.280001,24.75,23.52,23.690001,1285500
39,2001-12-18,23.9,24.09,23.5,23.690001,1949800
40,2001-12-19,23.879999,24.120001,23.0,23.51,3143500
41,2001-12-20,23.51,23.700001,23.0,23.58,3660000
42,2001-12-21,23.1,23.559999,23.08,23.370001,2871400
43,2001-12-24,23.4,23.49,23.299999,23.4,1578200
44,2001-12-26,23.5,23.700001,23.25,23.299999,2152100
45,2001-12-27,23.450001,23.9,23.200001,23.549999,1772400
46,2001-12-28,23.6,24.049999,23.4,23.52,1977900
47,2001-12-31,23.6,24.049999,23.549999,24.0,1596000
48,2002-01-02,24.049999,24.200001,23.43,23.83,2708100
49,2002-01-03,23.809999,23.950001,23.549999,23.75,1501300
50,2002-01-04,23.799999,24.26,23.75,23.950001,2971800
51,2002-01-07,24.0,24.1,23.4,23.85,2623000
52,2002-01-08,23.75,24.15,23.52,24.08,2397100
53,2002-01-09,24.08,24.15,23.719999,23.9,2569100
54,2002-01-10,24.299999,24.299999,24.0,24.200001,2023900
55,2002-01-11,24.200001,24.299999,23.75,24.0,1845800
56,2002-01-14,24.049999,24.15,23.799999,23.98,1516500
57,2002-01-15,23.85,24.059999,23.65,23.799999,1548300
58,2002-01-16,23.950001,23.950001,23.540001,23.700001,1409800
59,2002-01-17,23.780001,24.18,23.77,24.18,2317000
60,2002-01-18,24.299999,24.4,23.940001,24.200001,1503600
61,2002-01-22,24.5,24.65,24.23,24.48,2034700
62,2002-01-23,24.5,24.58,23.75,23.799999,2306700
63,2002-01-24,24.1,24.25,23.93,24.15,2413800
64,2002-01-25,24.25,26.0,24.07,25.639999,2492400
65,2002-01-28,25.440001,26.200001,25.049999,26.0,1486900
66,2002-01-29,25.9,27.049999,25.700001,25.969999,2980800
67,2002-01-30,25.950001,26.15,25.0,25.5,1981800
68,2002-01-31,25.58,25.58,25.0,25.450001,2352100
69,2002-02-01,25.15,25.200001,24.4,24.4,4133400
70,2002-02-04,24.299999,24.540001,22.200001,23.75,3861300
