,Date,Open,High,Low,Close,Volume
0,2000-01-03,34.208332,34.208332,32.333332,32.541668,593400
1,2000-01-04,32.541668,32.833332,31.25,31.25,217650
2,2000-01-05,31.416668,31.833332,31.083332,31.25,420900
3,2000-01-06,31.333332,31.833332,30.75,31.833332,1203450
4,2000-01-07,34.666668,36.0,34.5,34.75,2630100
5,2000-01-10,34.75,35.625,33.833332,34.333332,774900
6,2000-01-11,34.166668,34.541668,33.333332,33.458332,523500
7,2000-01-12,33.625,34.125,33.583332,33.916668,1078950
8,2000-01-13,33.958332,33.958332,33.208332,33.5,551550
9,2000-01-14,33.583332,33.583332,32.416668,33.083332,741150
10,2000-01-18,32.666668,32.791668,30.375,31.125,1312800
11,2000-01-19,30.666668,31.916668,30.5,31.916668,899250
12,2000-01-20,32.666668,32.666668,31.541668,31.708332,862800
13,2000-01-21,31.708332,32.0,30.666668,31.166668,755250
14,2000-01-24,31.208332,31.208332,29.416668,29.541668,783900
15,2000-01-25,29.583332,29.666668,28.5,28.75,556050
16,2000-01-26,28.875,29.75,27.875,29.375,1097700
17,2000-01-27,29.333332,30.0,29.0,29.25,442500
18,2000-01-28,29.083332,29.083332,28.0,28.125,567150
19,2000-01-31,28.083332,29.083332,27.791668,28.833332,387900
20,2000-02-01,28.75,29.625,28.75,29.416668,705450
21,2000-02-02,29.416668,29.833332,28.5,28.708332,306150
22,2000-02-03,28.791668,29.041668,27.916668,28.375,320400
23,2000-02-04,28.541668,28.666668,27.625,27.958332,404400
24,2000-02-07,28.0,28.291668,26.833332,27.291668,653250
25,2000-02-08,27.291668,28.166668,27.291668,27.291668,587700
26,2000-02-09,27.416668,27.458332,25.458332,25.791668,1052100
27,2000-02-10,26.125,26.166668,25.083332,25.208332,828600
28,2000-02-11,25.208332,25.208332,23.583332,23.666668,843300
29,2000-02-14,23.833332,25.875,23.75,25.458332,763650
30,2000-02-15,25.625,27.958332,25.625,27.791668,1480050
31,2000-02-16,27.666668,28.916668,27.666668,27.958332,1201050
32,2000-02-17,28.125,28.125,26.666668,27.0,483900
33,2000-02-18,27.5,28.291668,27.375,27.458332,796950
34,2000-02-22,27.0,27.75,27.0,27.541668,776550
35,2000-02-23,27.541668,27.583332,27.083332,27.5,603900
36,2000-02-24,26.833332,26.833332,24.666668,24.958332,771900
37,2000-02-25,25.125,25.5,22.75,22.875,1359900
38,2000-02-28,23.166668,23.666668,22.75,23.291668,2224050
39,2000-02-29,23.291668,24.5,23.0,24.166668,1242750
40,2000-03-01,23.916668,24.875,23.875,24.708332,785700
41,2000-03-02,24.791668,24.791668,23.0,23.791668,760050
42,2000-03-03,23.791668,25.166668,23.583332,23.958332,803700
43,2000-03-06,24.583332,24.583332,23.3125,23.625,533100
44,2000-03-07,23.5,23.5,22.708332,22.708332,629850
45,2000-03-08,22.875,23.5,22.75,23.5,493800
46,2000-03-09,23.666668,24.166668,23.625,24.0,708600
47,2000-03-10,23.916668,24.125,23.583332,23.666668,440700
48,2000-03-13,23.083332,23.541668,23.041668,23.333332,484800
49,2000-03-14,23.5,23.5,22.625,22.625,292500
50,2000-03-15,22.666668,24.916668,22.625,24.333332,1545300
51,2000-03-16,24.375,27.083332,24.375,26.833332,803550
52,2000-03-17,25.666668,26.333332,24.708332,25.333332,1132800
53,2000-03-20,25.333332,26.333332,25.333332,26.166668,479850
54,2000-03-21,26.083332,26.25,25.333332,25.708332,417450
55,2000-03-22,25.708332,25.708332,24.708332,24.916668,560100
56,2000-03-23,24.833332,25.75,24.583332,25.708332,553800
57,2000-03-24,25.833332,26.25,25.666668,26.083332,497550
58,2000-03-27,26.083332,26.291668,25.083332,25.333332,218850
59,2000-03-28,27.666668,27.666668,26.416668,27.0,813300
60,2000-03-29,27.0,27.75,27.0,27.5,879750
61,2000-03-30,27.75,28.625,27.5,27.708332,413850
62,2000-03-31,27.666668,28.125,27.541668,27.541668,364950
63,2000-04-03,27.375,28.625,27.291668,27.875,636450
64,2000-04-04,27.75,28.875,27.75,28.666668,806700
65,2000-04-05,28.833332,28.833332,28.375,28.416668,708450
66,2000-04-06,28.666668,29.333332,28.625,29.125,617400
67,2000-04-07,29.041668,30.0,29.041668,29.291668,495750
68,2000-04-10,29.208332,29.916668,28.916668,29.75,613650
69,2000-04-11,29.458332,30.916668,29.458332,30.5,493350
70,2000-04-12,30.541668,32.041668,30.541668,31.375,730650
71,2000-04-13,31.375,31.375,29.791668,29.833332,471750
72,2000-04-14,29.708332,29.708332,27.333332,27.416668,691950
73,2000-04-17,27.333332,28.291668,27.0,28.083332,855000
74,2000-04-18,28.708332,30.0,28.166668,28.291668,585900
75,2000-04-19,28.208332,29.458332,28.083332,28.541668,572700
76,2000-04-20,28.625,29.708332,28.375,29.5,516450
77,2000-04-24,29.0,29.833332,28.916668,29.583332,448050
78,2000-04-25,29.5,31.833332,29.416668,31.375,995850
79,2000-04-26,30.833332,31.541668,30.541668,30.75,748350
80,2000-04-27,30.041668,31.416668,30.041668,30.916668,578250
81,2000-04-28,31.166668,31.541668,30.875,31.0,626550
82,2000-05-01,30.875,31.458332,30.666668,31.041668,447750
83,2000-05-02,30.708332,31.708332,30.625,30.916668,597750
84,2000-05-03,31.333332,31.333332,30.041668,30.208332,351750
85,2000-05-04,30.375,30.583332,29.916668,30.166668,487800
86,2000-05-05,30.166668,32.208332,30.041668,32.166668,862950
87,2000-05-08,31.666668,31.75,30.791668,30.916668,418200
88,2000-05-09,31.0,31.0,29.5,29.875,521250
89,2000-05-10,30.0,30.375,29.25,29.75,292650
90,2000-05-11,30.083332,30.791668,30.0,30.458332,518550
91,2000-05-12,30.458332,30.666668,30.166668,30.291668,319950
92,2000-05-15,30.458332,30.833332,30.25,30.333332,411750
93,2000-05-16,30.416668,31.333332,30.25,31.166668,473250
94,2000-05-17,30.666668,30.916668,30.166668,30.458332,203550
95,2000-05-18,30.333332,30.708332,30.041668,30.291668,203250
96,2000-05-19,30.041668,31.125,29.625,30.958332,743700
97,2000-05-22,30.875,31.333332,30.208332,30.375,530100
98,2000-05-23,29.75,30.208332,29.75,30.041668,302250
99,2000-05-24,30.083332,30.416668,29.333332,29.416668,569250
100,2000-05-25,29.0,29.625,29.0,29.25,437400
101,2000-05-26,29.0,29.5,28.458332,28.458332,498300
102,2000-05-30,28.625,28.875,27.875,28.541668,517050
103,2000-05-31,28.708332,29.208332,27.708332,27.791668,534300
104,2000-06-01,27.375,29.416668,27.375,29.416668,627900
105,2000-06-02,29.791668,30.0,29.0,29.291668,398100
106,2000-06-05,29.041668,29.041668,28.666668,28.875,482400
107,2000-06-06,29.083332,29.416668,28.916668,29.125,574500
108,2000-06-07,29.291668,29.375,28.5,28.791668,526800
109,2000-06-08,28.041668,28.416668,27.916668,28.208332,296700
110,2000-06-09,28.375,28.375,27.833332,27.958332,272850
111,2000-06-12,27.958332,27.958332,27.5,27.520832,263850
112,2000-06-13,27.416668,27.5,26.666668,27.0,659100
113,2000-06-14,23.333332,25.333332,23.333332,25.291668,3689100
114,2000-06-15,26.416668,27.666668,25.916668,27.541668,1394700
115,2000-06-16,27.333332,27.375,26.0,26.125,1265550
116,2000-06-19,26.083332,26.375,25.583332,25.791668,831900
117,2000-06-20,25.833332,25.875,25.125,25.208332,502650
118,2000-06-21,25.208332,25.208332,24.416668,24.666668,525000
119,2000-06-22,24.5,24.625,24.0,24.166668,614550
120,2000-06-23,24.166668,24.375,24.125,24.291668,599400
121,2000-06-26,24.333332,24.5,23.791668,23.958332,828600
122,2000-06-27,24.333332,24.916668,24.208332,24.916668,840750
123,2000-06-28,24.958332,25.291668,24.708332,25.020832,528300
124,2000-06-29,25.0,25.0,23.791668,23.833332,1682100
125,2000-06-30,23.791668,23.833332,22.822918,22.833332,1879650
126,2000-07-03,23.083332,23.916668,23.083332,23.791668,610500
127,2000-07-05,24.0,24.083332,23.333332,23.333332,1615350
128,2000-07-06,23.666668,24.041668,23.666668,23.666668,699300
129,2000-07-07,24.0,24.125,23.791668,23.833332,849300
130,2000-07-10,23.291668,24.458332,23.291668,24.041668,920400
131,2000-07-11,24.041668,25.291668,24.041668,24.666668,903450
132,2000-07-12,25.0,25.125,24.666668,24.875,893550
133,2000-07-13,25.041668,25.333332,24.958332,25.125,515400
134,2000-07-14,25.375,25.666668,25.041668,25.25,593400
135,2000-07-17,25.208332,25.25,25.041668,25.125,467700
136,2000-07-18,25.0,25.145832,24.916668,25.083332,1166400
137,2000-07-19,25.25,25.375,24.833332,25.083332,972150
138,2000-07-20,25.166668,25.916668,25.041668,25.791668,1070850
